Mes de defunción;Lugar de ocurrencia;Edad;año;Total
Total;Total;Total;2019;410.280
Total;Total;Total;2018;427.721
Total;Total;De 0 a 64 años;2019;57.133
Total;Total;De 0 a 64 años;2018;59.719
Total;Total;De 65 a 69 años;2019;23.346
Total;Total;De 65 a 69 años;2018;24.425
Total;Total;De 70 a 74 años;2019;32.851
Total;Total;De 70 a 74 años;2018;33.621
Total;Total;De  75 a 79 años;2019;41.385
Total;Total;De  75 a 79 años;2018;41.376
Total;Total;De 80 a 84 años;2019;62.485
Total;Total;De 80 a 84 años;2018;70.037
Total;Total;De 85 a 89 años;2019;88.411
Total;Total;De 85 a 89 años;2018;92.255
Total;Total;De 90 a 94 años;2019;70.669
Total;Total;De 90 a 94 años;2018;72.355
Total;Total;De  95 y más años;2019;33.912
Total;Total;De  95 y más años;2018;33.933
Total;Total;No consta;2019;88
Total;Total;No consta;2018;..
Total;Centro hospitalario;Total;2019;227.535
Total;Centro hospitalario;Total;2018;231.900
Total;Centro hospitalario;De 0 a 64 años;2019;33.380
Total;Centro hospitalario;De 0 a 64 años;2018;34.441
Total;Centro hospitalario;De 65 a 69 años;2019;15.123
Total;Centro hospitalario;De 65 a 69 años;2018;15.519
Total;Centro hospitalario;De 70 a 74 años;2019;21.175
Total;Centro hospitalario;De 70 a 74 años;2018;21.448
Total;Centro hospitalario;De  75 a 79 años;2019;25.943
Total;Centro hospitalario;De  75 a 79 años;2018;25.471
Total;Centro hospitalario;De 80 a 84 años;2019;37.052
Total;Centro hospitalario;De 80 a 84 años;2018;40.447
Total;Centro hospitalario;De 85 a 89 años;2019;48.187
Total;Centro hospitalario;De 85 a 89 años;2018;48.730
Total;Centro hospitalario;De 90 a 94 años;2019;33.598
Total;Centro hospitalario;De 90 a 94 años;2018;33.395
Total;Centro hospitalario;De  95 y más años;2019;13.051
Total;Centro hospitalario;De  95 y más años;2018;12.449
Total;Centro hospitalario;No consta;2019;26
Total;Centro hospitalario;No consta;2018;..
Total;Domicilio particular;Total;2019;101.411
Total;Domicilio particular;Total;2018;108.514
Total;Domicilio particular;De 0 a 64 años;2019;12.858
Total;Domicilio particular;De 0 a 64 años;2018;13.317
Total;Domicilio particular;De 65 a 69 años;2019;5.245
Total;Domicilio particular;De 65 a 69 años;2018;5.581
Total;Domicilio particular;De 70 a 74 años;2019;7.330
Total;Domicilio particular;De 70 a 74 años;2018;7.564
Total;Domicilio particular;De  75 a 79 años;2019;9.417
Total;Domicilio particular;De  75 a 79 años;2018;9.766
Total;Domicilio particular;De 80 a 84 años;2019;14.703
Total;Domicilio particular;De 80 a 84 años;2018;17.346
Total;Domicilio particular;De 85 a 89 años;2019;22.195
Total;Domicilio particular;De 85 a 89 años;2018;23.920
Total;Domicilio particular;De 90 a 94 años;2019;19.249
Total;Domicilio particular;De 90 a 94 años;2018;20.124
Total;Domicilio particular;De  95 y más años;2019;10.399
Total;Domicilio particular;De  95 y más años;2018;10.896
Total;Domicilio particular;No consta;2019;15
Total;Domicilio particular;No consta;2018;..
Total;Residencia socio-sanitaria;Total;2019;53.220
Total;Residencia socio-sanitaria;Total;2018;58.014
Total;Residencia socio-sanitaria;De 0 a 64 años;2019;1.385
Total;Residencia socio-sanitaria;De 0 a 64 años;2018;1.592
Total;Residencia socio-sanitaria;De 65 a 69 años;2019;1.069
Total;Residencia socio-sanitaria;De 65 a 69 años;2018;1.165
Total;Residencia socio-sanitaria;De 70 a 74 años;2019;2.042
Total;Residencia socio-sanitaria;De 70 a 74 años;2018;2.196
Total;Residencia socio-sanitaria;De  75 a 79 años;2019;3.421
Total;Residencia socio-sanitaria;De  75 a 79 años;2018;3.630
Total;Residencia socio-sanitaria;De 80 a 84 años;2019;7.457
Total;Residencia socio-sanitaria;De 80 a 84 años;2018;8.699
Total;Residencia socio-sanitaria;De 85 a 89 años;2019;13.999
Total;Residencia socio-sanitaria;De 85 a 89 años;2018;15.474
Total;Residencia socio-sanitaria;De 90 a 94 años;2019;14.757
Total;Residencia socio-sanitaria;De 90 a 94 años;2018;15.948
Total;Residencia socio-sanitaria;De  95 y más años;2019;9.087
Total;Residencia socio-sanitaria;De  95 y más años;2018;9.310
