Comunidades y Ciudades Autónomas;Periodo;Total
Total;2018M12;37.033
Total;2018M11;34.338
Total;2018M10;32.879
Total;2018M09;30.293
Total;2018M08;33.177
Total;2018M07;32.215
Total;2018M06;31.970
Total;2018M05;33.421
Total;2018M04;34.956
Total;2018M03;39.772
Total;2018M02;39.756
Total;2018M01;47.911
Total;2017M12;41.665
Total;2017M11;34.149
Total;2017M10;32.680
Total;2017M09;30.049
Total;2017M08;32.356
Total;2017M07;31.924
Total;2017M06;32.236
Total;2017M05;33.673
Total;2017M04;33.208
Total;2017M03;35.779
Total;2017M02;37.434
Total;2017M01;49.370
Total;2016M12;39.188
Total;2016M11;33.759
Total;2016M10;32.060
Total;2016M09;30.095
Total;2016M08;32.248
Total;2016M07;32.961
Total;2016M06;31.512
Total;2016M05;33.001
Total;2016M04;33.707
Total;2016M03;38.198
Total;2016M02;35.548
Total;2016M01;38.334
Total;2015M12;36.423
Total;2015M11;32.346
Total;2015M10;31.898
Total;2015M09;""
Total;2015M08;""
Total;2015M07;""
Total;2015M06;""
Total;2015M05;""
Total;2015M04;""
Total;2015M03;""
Total;2015M02;""
Total;2015M01;""
Total;2014M12;""
Total;2014M11;""
Total;2014M10;""
Total;2014M09;""
Total;2014M08;""
Total;2014M07;""
Total;2014M06;""
Total;2014M05;""
Total;2014M04;""
Total;2014M03;""
Total;2014M02;""
Total;2014M01;""
Total;2013M12;""
Total;2013M11;""
Total;2013M10;""
Total;2013M09;""
Total;2013M08;""
Total;2013M07;""
Total;2013M06;""
Total;2013M05;""
Total;2013M04;""
Total;2013M03;""
Total;2013M02;""
Total;2013M01;""
Total;2012M12;""
Total;2012M11;""
Total;2012M10;""
Total;2012M09;""
Total;2012M08;""
Total;2012M07;""
Total;2012M06;""
Total;2012M05;""
Total;2012M04;""
Total;2012M03;""
Total;2012M02;""
Total;2012M01;""
Total;2011M12;""
Total;2011M11;""
Total;2011M10;""
Total;2011M09;""
Total;2011M08;""
Total;2011M07;""
Total;2011M06;""
Total;2011M05;""
Total;2011M04;""
Total;2011M03;""
Total;2011M02;""
Total;2011M01;""
Total;2010M12;""
Total;2010M11;""
Total;2010M10;""
Total;2010M09;""
Total;2010M08;""
Total;2010M07;""
Total;2010M06;""
Total;2010M05;""
Total;2010M04;""
Total;2010M03;""
Total;2010M02;""
Total;2010M01;""
Total;2009M12;""
Total;2009M11;""
Total;2009M10;""
Total;2009M09;""
Total;2009M08;""
Total;2009M07;""
Total;2009M06;""
Total;2009M05;""
Total;2009M04;""
Total;2009M03;""
Total;2009M02;""
Total;2009M01;""
Total;2008M12;""
Total;2008M11;""
Total;2008M10;""
Total;2008M09;""
Total;2008M08;""
Total;2008M07;""
Total;2008M06;""
Total;2008M05;""
Total;2008M04;""
Total;2008M03;""
Total;2008M02;""
Total;2008M01;""
Total;2007M12;""
Total;2007M11;""
Total;2007M10;""
Total;2007M09;""
Total;2007M08;""
Total;2007M07;""
Total;2007M06;""
Total;2007M05;""
Total;2007M04;""
Total;2007M03;""
Total;2007M02;""
Total;2007M01;""
Total;2006M12;""
Total;2006M11;""
Total;2006M10;""
Total;2006M09;""
Total;2006M08;""
Total;2006M07;""
Total;2006M06;""
Total;2006M05;""
Total;2006M04;""
Total;2006M03;""
Total;2006M02;""
Total;2006M01;""
Total;2005M12;""
Total;2005M11;""
Total;2005M10;""
Total;2005M09;""
Total;2005M08;""
Total;2005M07;""
Total;2005M06;""
Total;2005M05;""
Total;2005M04;""
Total;2005M03;""
Total;2005M02;""
Total;2005M01;""
Total;2004M12;""
Total;2004M11;""
Total;2004M10;""
Total;2004M09;""
Total;2004M08;""
Total;2004M07;""
Total;2004M06;""
Total;2004M05;""
Total;2004M04;""
Total;2004M03;""
Total;2004M02;""
Total;2004M01;""
Total;2003M12;""
Total;2003M11;""
Total;2003M10;""
Total;2003M09;""
Total;2003M08;""
Total;2003M07;""
Total;2003M06;""
Total;2003M05;""
Total;2003M04;""
Total;2003M03;""
Total;2003M02;""
Total;2003M01;""
Total;2002M12;""
Total;2002M11;""
Total;2002M10;""
Total;2002M09;""
Total;2002M08;""
Total;2002M07;""
Total;2002M06;""
Total;2002M05;""
Total;2002M04;""
Total;2002M03;""
Total;2002M02;""
Total;2002M01;""
Total;2001M12;""
Total;2001M11;""
Total;2001M10;""
Total;2001M09;""
Total;2001M08;""
Total;2001M07;""
Total;2001M06;""
Total;2001M05;""
Total;2001M04;""
Total;2001M03;""
Total;2001M02;""
Total;2001M01;""
Total;2000M12;""
Total;2000M11;""
Total;2000M10;""
Total;2000M09;""
Total;2000M08;""
Total;2000M07;""
Total;2000M06;""
Total;2000M05;""
Total;2000M04;""
Total;2000M03;""
Total;2000M02;""
