Operación;Conceptos Demográficos;Periodo;Total
MNP Estadística de Defunciones;Nacimiento;2018;""
MNP Estadística de Defunciones;Nacimiento;2017;""
MNP Estadística de Defunciones;Nacimiento;2016;""
MNP Estadística de Defunciones;Nacimiento;2015;""
MNP Estadística de Defunciones;Nacimiento;2014;""
MNP Estadística de Defunciones;Nacimiento;2013;""
MNP Estadística de Defunciones;Nacimiento;2012;""
MNP Estadística de Defunciones;Nacimiento;2011;""
MNP Estadística de Defunciones;Nacimiento;2010;""
MNP Estadística de Defunciones;Nacimiento;2009;""
MNP Estadística de Defunciones;Nacimiento;2008;""
MNP Estadística de Defunciones;Nacimiento;2007;""
MNP Estadística de Defunciones;Nacimiento;2006;""
MNP Estadística de Defunciones;Nacimiento;2005;""
MNP Estadística de Defunciones;Nacimiento;2004;""
MNP Estadística de Defunciones;Nacimiento;2003;""
MNP Estadística de Defunciones;Nacimiento;2002;""
MNP Estadística de Defunciones;Nacimiento;2001;""
MNP Estadística de Defunciones;Nacimiento;2000;""
MNP Estadística de Defunciones;Nacimiento;1999;""
MNP Estadística de Defunciones;Nacimiento;1998;""
MNP Estadística de Defunciones;Nacimiento;1997;""
MNP Estadística de Defunciones;Nacimiento;1996;""
MNP Estadística de Defunciones;Nacimiento;1995;""
MNP Estadística de Defunciones;Nacimiento;1994;""
MNP Estadística de Defunciones;Nacimiento;1993;""
MNP Estadística de Defunciones;Nacimiento;1992;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2018;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2017;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2016;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2015;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2014;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2013;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2012;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2011;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2010;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2009;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2008;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2007;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2006;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2005;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2004;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2003;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2002;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2001;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;2000;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;1999;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;1998;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;1997;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;1996;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;1995;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;1994;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;1993;""
MNP Estadística de Defunciones;Matrimonio; mismo y distinto sexo;1992;""
MNP Estadística de Defunciones;Defunción;2018;427.721
MNP Estadística de Defunciones;Defunción;2017;424.523
MNP Estadística de Defunciones;Defunción;2016;410.611
MNP Estadística de Defunciones;Defunción;2015;422.568
MNP Estadística de Defunciones;Defunción;2014;395.830
MNP Estadística de Defunciones;Defunción;2013;390.419
MNP Estadística de Defunciones;Defunción;2012;402.950
MNP Estadística de Defunciones;Defunción;2011;387.911
MNP Estadística de Defunciones;Defunción;2010;382.047
MNP Estadística de Defunciones;Defunción;2009;384.933
MNP Estadística de Defunciones;Defunción;2008;386.324
MNP Estadística de Defunciones;Defunción;2007;385.361
MNP Estadística de Defunciones;Defunción;2006;371.478
MNP Estadística de Defunciones;Defunción;2005;387.355
MNP Estadística de Defunciones;Defunción;2004;371.934
MNP Estadística de Defunciones;Defunción;2003;384.828
MNP Estadística de Defunciones;Defunción;2002;368.618
MNP Estadística de Defunciones;Defunción;2001;360.131
MNP Estadística de Defunciones;Defunción;2000;360.391
MNP Estadística de Defunciones;Defunción;1999;371.102
MNP Estadística de Defunciones;Defunción;1998;360.511
MNP Estadística de Defunciones;Defunción;1997;349.521
MNP Estadística de Defunciones;Defunción;1996;351.449
MNP Estadística de Defunciones;Defunción;1995;346.227
MNP Estadística de Defunciones;Defunción;1994;338.242
MNP Estadística de Defunciones;Defunción;1993;339.661
MNP Estadística de Defunciones;Defunción;1992;331.515
MNP Estadística de Defunciones;Crecimiento vegetativo;2018;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2017;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2016;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2015;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2014;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2013;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2012;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2011;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2010;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2009;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2008;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2007;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2006;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2005;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2004;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2003;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2002;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2001;""
MNP Estadística de Defunciones;Crecimiento vegetativo;2000;""
MNP Estadística de Defunciones;Crecimiento vegetativo;1999;""
MNP Estadística de Defunciones;Crecimiento vegetativo;1998;""
MNP Estadística de Defunciones;Crecimiento vegetativo;1997;""
MNP Estadística de Defunciones;Crecimiento vegetativo;1996;""
MNP Estadística de Defunciones;Crecimiento vegetativo;1995;""
MNP Estadística de Defunciones;Crecimiento vegetativo;1994;""
MNP Estadística de Defunciones;Crecimiento vegetativo;1993;""
MNP Estadística de Defunciones;Crecimiento vegetativo;1992;""
MNP Estadística de Defunciones;Muertes fetales tardías;2018;""
MNP Estadística de Defunciones;Muertes fetales tardías;2017;""
MNP Estadística de Defunciones;Muertes fetales tardías;2016;""
MNP Estadística de Defunciones;Muertes fetales tardías;2015;""
MNP Estadística de Defunciones;Muertes fetales tardías;2014;""
MNP Estadística de Defunciones;Muertes fetales tardías;2013;""
MNP Estadística de Defunciones;Muertes fetales tardías;2012;""
MNP Estadística de Defunciones;Muertes fetales tardías;2011;""
MNP Estadística de Defunciones;Muertes fetales tardías;2010;""
MNP Estadística de Defunciones;Muertes fetales tardías;2009;""
MNP Estadística de Defunciones;Muertes fetales tardías;2008;""
MNP Estadística de Defunciones;Muertes fetales tardías;2007;""
