"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Almería, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia municipal Río Nacimiento,Calle,Mituete,2,04510,Abla,950 35 18 06 / 950 35 14 25,Pública local,42,,"37,143485","-2,775108",04/04/2019
Centro residencial para personas mayores de Adra,Calle,Manolo de la Rivera,8,04770,Adra,950 60 45 41,Pública local,37,www.clecemayores.com/es/residencia/48/ciudad-de-adra/,"36,748955","-3,005511",05/04/2019
Residencia para personas mayores Virgen del Saliente,Calle,Amistad,26,04800,Albox,950 63 32 89,Pública local,28,gerial.es/residencia-virgen-del-saliente,"37,386725","-2,140458",17/04/2019
Residencia de ancianos Nicolás Salmerón,Calle,Doctor Company,s/n,04400,Alhama de Almería,950 64 13 77,Privada,81,www.residencianicolassalmeron.com,"36,956284","-2,564852",11/02/2013
"Residencia geriátrica Mirasierra, S. L.",Calle,Tierno Galván,18,04400,Alhama de Almería,950 64 07 64,Privada,181,,"36,956749","-2,563981",04/04/2019
Residencia Virgen de la Esperanza,Calle,Miguel de Molina,1,04007,Almería,950 20 62 32,Privada,148,residenciaesperanza.net,"36,830854","-2,439970",12/04/2019
Centro residencial para personas mayores El Zapillo,Avenida,Cabo de Gata,295,04008,Almería,950 15 17 03,Pública autonómica,122,,"36,819730","-2,439659",11/04/2019
Ballesol Almería,Rambla,de Belén,1,04008,Almería,950 28 10 40 / 950 23 02 58,Privada,253,ballesol.es/residencias-para-mayores-en-andalucia/ballesol-almeria,"36,851590","-2,469327",17/07/2017
Residencia para personas mayores Los Ángeles,Carretera,de Níjar,Km. 5.9,04120,Almería,950 62 66 38,Privada,52,,"36,845232","-2,390366",05/04/2019
Residencia asistida de Ancianos,Carretera,del Mamí,s/n,04120,Almería,950 21 15 63,Pública provincial,186,,"36,857384","-2,414100",12/07/2017
Hogar Santa Teresa Jornet,Carretera,del Mamí,finca 0012,04120,Almería,950 29 01 80 / 950 29 01 85,Privada sin fin de lucro,147,,"36,854565","-2,415861",05/04/2019
Residencia de la 3ª edad La Purísima,Carretera,del Mamí,Km. 1.3 (junto Hospital Virgen del Mar),04120,Almería,950 29 38 50,Privada,64,gerial.es/residencia-la-purisima,"36,855738","-2,419974",18/07/2017
Residencia municipal,Calle,Miguel Hernández,6,04888,Armuña de Almanzora,950 61 34 88,Pública local,12,,"37,348739","-2,410571",23/05/2018
Residencia municipal Santo Cristo del Bosque,Calle,Sierra de Los Filabres,s/n,04889,Bacares,950 61 33 99,Pública local,31,www.gerial.es,"37,260937","-2,454280",03/04/2019
Residencia para personas mayores Ciudad de Berja,Calle,Calerilla,1,04760,Berja,950 49 05 80,Pública local,136,avita.es,"36,842415","-2,940615",16/08/2017
Hospital Residencia San Antonio Abad,Calle,Olivares,8,04450,Canjáyar,950 51 00 82,Privada,48,,"37,007350","-2,737695",03/05/2018
Centro residencial Bautista Galera,Calle,Paseo,7,04825,Chirivel,950 41 34 19,Privada sin fin de lucro,49,,"37,595615","-2,264473",09/04/2019
Residencia de ancianos Santa Luisa de Marillac,Plaza,del Hospital,9,04610,Cuevas del Almanzora,950 45 60 82,Privada sin fin de lucro,36,hhccespanasur.org/mayores,"37,295283","-1,879698",08/04/2019
Residencia Profesor Gabriel Callejón Maldonado,Plaza,Estefanía Callejón,3,04750,Dalías,950 49 49 00,Pública local,30,,"36,820446","-2,872187",11/02/2013
Residencia asistida Ciudad de El Ejido,Calle,Antonio Torres,1,04700,Ejido (El),950 57 33 55,Pública local,70,,"36,761742","-2,801729",11/04/2019
Residencia para mayores San Álvaro,Paseo,Santa María del Águila,61,04710,Ejido (El),950 58 13 77,Privada,60,www.residenciademayoressanalvaro.com,"36,779361","-2,777178",08/04/2019
Residencia de mayores Moraima,Calle,Moraima,1,04479,Fondón,950 11 33 02 / 950 60 81 41,Pública local,29,,"36,983699","-2,879865",12/07/2013
Centro Residencial Los Jardines de la Cerca,,Rambla de La Molina,s/n,04550,Gérgal,609 83 53 25,Privada,20,www.beninar.com/residencia/info.html,"37,118925","-2,554681",01/08/2011
Centro para personas mayores Los Filabres,Plaza,Vieja,4,04550,Gérgal,950 35 30 19,Privada,26,residencialosfilabres.com,"37,120898","-2,537885",06/05/2019
Residencia Nuestra Señora del Río,Calle,Granada,12,04600,Huércal-Overa,950 47 04 31,Privada sin fin de lucro,91,,"37,387502","-1,945178",11/02/2013
Residencia de personas mayores Ángeles Parra,Calle,Molino,s/n,04600,Huércal-Overa,950 13 55 40,Pública local,119,,"37,390038","-1,942762",05/04/2019
Residencia Valleluz,Calle,Almazara,1,04431,Íllar,950 64 70 20,Privada,69,www.residenciavalleluz.com,"36,985034","-2,639304",10/04/2019
Centro Residencial Macael,Avenida,de Andalucía,s/n,04867,Macael,950 44 57 43,Privada,150,www.gerial.es,"37,336998","-2,298866",04/04/2019
Centro Residencial San Rafael,Urbanización,Torre del Campo,s/n,04114,Níjar,950 52 58 10,Privada,125,www.rsanrafael.com,"36,949477","-2,172130",04/04/2019
Centro Residencial Bartolomé Sánchez Moreno,Calle,Fortaleza de Olías,s/n,04810,Oria,950 16 31 69 / 619 24 99 50,Pública autonómica,45,www.gruporeifs.com/nuestros-centros/item/15-residencia-para-mayores-reifs-oria-bartolome-sanchez-moreno,"37,480394","-2,281140",04/04/2019
Residencia de mayores Portocarrero Cortijo El Limonero,Calle,Cortijo El Limonero,s/n,04250,Pechina,950 31 76 45,Privada,33,www.residenciasportocarrero.com,"36,923118","-2,439872",08/05/2019
Residencia para mayores Cortijo Colorao,Paraje,Cortijo San Carlos,1,04647,Pulpí,950 61 97 61,Pública local,101,www.vitaliahome.es/project/vitalia-pulpi/,"37,386300","-1,747140",11/07/2017
Residencia para personas mayores Virgen del Rosario,Calle,Baños de Alhamilla,s/n,04260,Rioja,950 31 21 61,Privada,39,www.gerial.es,"36,945049","-2,462677",01/08/2017
Residencia Mirasierra Aguadulce,Calle,Escocia,2,04720,Roquetas de Mar,,Privada,116,,"36,802652","-2,582640",19/07/2019
Residencia de personas mayores Virgen del Rosario,Avenida,Rey Juan Carlos I,246,04740,Roquetas de Mar,950 09 02 99,Pública local,100,www.roquehogar.com,"36,768234","-2,607257",04/04/2019
Residencia de personas mayores de Serón,Calle,Doctor Francisco Rodríguez,s/n,04890,Serón,950 42 62 52,Pública local,71,,"37,344564","-2,507302",22/04/2019
Residencia Indasalud,Calle,Gerona,4,04270,Sorbas,950 36 40 90,Privada,49,www.indasalud.com,"37,101211","-2,128647",15/11/2018
Centro Residencial de personas Mayores El Manantial,Avenida,Rosalía de Castro,13,04569,Terque,950 64 33 16 / 950 64 34 17,Privada,40,www.manantialdelandarax.es,"36,983408","-2,597275",03/04/2019
Residencia San Sebastián,Avenida,Residencia,1,04880,Tíjola,950 42 08 34,Pública local,62,,"37,348275","-2,430411",18/07/2017
Residencia comarcal de personas mayores,Calle,Inés Baró,1,04820,Vélez-Rubio,950 41 04 74,Privada,95,recopema.com,"37,648037","-2,071237",08/04/2019
Centro residencial para personas mayores de Vélez-Rubio,Calle,José Miras,2,04820,Vélez-Rubio,950 41 04 46,Pública local,47,www.asispa.org/servicios/residencias-asistidas/titularidad-publica-gestionadas-por-asispa/residencia-velez-rubi,"37,651864","-2,077982",06/04/2019
