"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Asturias, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
CPR Moreda,Paseo,Les Xandes,8,33679,Aller,985 48 38 77,Pública autonómica,90,,"43,173450","-5,745970",04/04/2019
Residencia Marad,Carretera,de Casomera,11,33680,Aller,985 48 71 12,Privada,22,www.residenciamarad.com,"43,122899","-5,564407",30/04/2017
Residencia de Mayores La Minería,Carretera,del Puerto de San Isidro,Km. 14,33688,Aller,985 48 75 11 / 985 48 75 86,Privada,247,www.residencialamineria.com,"43,101802","-5,498425",04/04/2019
Residencia de Amieva,,Sames,s/n,33558,Amieva,619 33 90 47 / 985 94 48 30,Pública local,20,geriatricosamesasturias.es,"43,269275","-5,127948",10/04/2019
CPR El Nodo,Calle,Balandro,s/n,33401,Avilés,985 56 39 60,Pública autonómica,146,,"43,564672","-5,929748",15/04/2019
Centro sociosanitario Larrañaga,Avenida,de los Telares,2,33401,Avilés,985 52 78 19 / 985 52 78 20,Privada,85,www.residenciaslarranaga.com,"43,559876","-5,921925",07/05/2018
Nelva Residencia de 3ª edad,,Jardín de la Maruca,28,33401,Avilés,985 52 01 36,Privada,25,www.nelva.es,"43,574876","-5,935641",04/04/2019
Centro sociosanitario Larrañaga - El Quirinal,Calle,José Cueto,76,33401,Avilés,984 83 30 15,Privada,166,www.residenciaslarranaga.com/centro-el-quirinal_65497.html#,"43,560716","-5,936684",07/05/2015
CPR Los Canapés,Calle,Gutiérrez Herrero,23,33402,Avilés,985 51 12 53,Pública autonómica,82,,"43,548104","-5,915211",04/04/2019
CPR Belmonte,Avenida,del Puerto,7,33830,Belmonte de Miranda,985 76 22 82,Pública autonómica,51,,"43,285753","-6,218423",04/04/2019
Residencial Los Laureles,,San Julián,3 B,33527,Bimenes,985 70 48 88,Privada,25,www.residencialoslaureles.com,"43,335876","-5,566196",08/05/2015
Residencia geriátrica Doña Manolita,Barrio,de la Fontina,104,33828,Candamo,985 82 95 94,Privada,24,www.residenciamanolita.com,"43,449551","-6,072885",06/07/2017
Centro de alojamiento para personas mayores Alcalde José Luis Fernández,Barrio,El Pueblo,91,33829,Candamo,984 11 13 21,Pública local,24,www.residenciacandamo.com,"43,435286","-6,060540",03/04/2019
Fundación Hogar Beceña González,Calle,Evaristo Sánchez,13,33550,Cangas de Onís,985 84 80 03,Privada sin fin de lucro,115,,"43,349684","-5,127997",03/04/2019
Residencia El Cristo,Calle,Escultor Antón,54 - 56,33430,Carreño,985 88 48 50,Privada,22,,"43,588993","-5,771133",02/06/2015
Hotel Geriátrico Algamar,Calle,Tenderina,4,33430,Carreño,985 87 18 10,Privada,45,geriatricoalgamar.es,"43,590344","-5,765271",04/04/2019
Residencia San Juan,Barrio,La Rebollada,89,33438,Carreño,985 16 75 82 / 984 10 30 02,Privada,24,www.residenciasanjuan.com,"43,553613","-5,780758",10/04/2019
Residencia de 3ª edad Perlora,Barrio,La Estaquera,19,33491,Carreño,647 79 13 14,Privada,11,,"43,576871","-5,750959",21/03/2018
Residencia Rey Pelayo,Barrio,Monte Moris,9,33492,Carreño,985 88 50 44,Privada,24,www.residenciareypelayo.com,"43,568194","-5,739822",29/07/2013
Residencia San Pancracio,,Montemorís,s/n,33492,Carreño,985 88 48 68,Privada,102,www.grupogerontologico.es/nuestros-centros/residencia-san-pancracio/,"43,562646","-5,740634",07/03/2018
Centro Geriátrico Salinas,Calle,Ramón y Cajal,24,33405,Castrillón,985 50 01 50,Privada,25,www.geriatricosalinas.es,"43,574438","-5,957914",10/07/2013
Residencia Clínica Rozona,Calle,La Fábrica,62,33450,Castrillón,985 53 05 26 / 985 53 05 36,Privada,60,www.residenciarozona.es,"43,576363","-5,979267",11/07/2013
Residencia Santa María I,Avenida,Federico Fernández Trapa,16,33457,Castrillón,985 51 98 94,Privada,29,www.geriatricoresidenciasantamaria.com,"43,571016","-6,000674",28/10/2013
Geriátrico Argüelles,Avenida,Federico Fernández Trapa,127,33457,Castrillón,985 51 90 86,Privada,18,,"43,563981","-6,009755",17/06/2019
CPR Palacio del Villar,,Villar,s/n,33457,Castrillón,985 53 35 57,Pública autonómica,120,,"43,566737","-5,979134",05/04/2019
Residencia Unión Social Católica,Calle,San Juan de Huerres,s/n,33320,Colunga,985 85 60 27,Privada sin fin de lucro,24,,"43,487830","-5,257062",23/07/2013
CPR Lastres,Barrio,El Manso,s/n,33330,Colunga,985 94 98 97,Pública autonómica,50,,"43,515974","-5,273716",10/04/2019
Centro Residencial Armayor,,Juncedo,4,33416,Corvera de Asturias,985 51 47 82,Privada,25,,"43,516925","-5,919735",23/08/2017
Residencia Casa del Mar,Calle,García de la Concha,6,33150,Cudillero,985 12 25 40,Pública autonómica,32,,"43,560357","-6,148758",03/04/2019
Vivienda tutelada San Martín de Luiña,Calle,La Escalada,s/n,33155,Cudillero,985 59 66 31,Pública autonómica,12,,"43,509100","-6,208240",15/04/2019
