"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Ávila, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia Nuestra Señora del Rosario,Calle,Pozo,10,05214,Aldeaseca,920 30 60 39,Privada,30,www.virgendelrosario-aldeaseca.es,"41,049680","-4,816993",10/07/2017
Residencia Jardín del Tietar,Carretera,de Ávila,Km. 4,05400,Arenas de San Pedro,920 37 11 73,Privada,100,www.jardindeltietar.com,"40,221900","-5,060310",04/07/2019
Residencia San Pedro de Alcántara,Calle,Santísima Trinidad,10,05400,Arenas de San Pedro,920 37 07 31 / 920 37 07 32,Privada sin fin de lucro,61,,"40,209104","-5,087725",10/04/2019
Residencia de ancianos San Miguel Arcángel,Plaza,de Ángela Muñoz,3,05200,Arévalo,920 30 00 23 / 920 30 19 80,Privada,49,,"41,061559","-4,718635",04/04/2019
Residencia de mayores ASIDEMA,Calle,Tostado,9,05001,Ávila,920 35 24 67,Privada,97,,"40,656955","-4,697702",10/07/2017
Residencia DomusVi Decanos,Calle,Azalea,2,05002,Ávila,920 35 93 00,Privada,202,www.domusvi.es/residencia-de-mayores-avila-decanos/,"40,638199","-4,692930",07/07/2017
Residencia para personas mayores Casa de Misericordia,Plaza,de San Nicolás,18,05002,Ávila,920 22 69 59,Privada sin fin de lucro,127,www.casamisericordiaavila.com,"40,651130","-4,702177",20/07/2017
Residencia Santa Teresa Jornet,Calle,Empedrada,2,05002,Ávila,920 22 41 58,Privada sin fin de lucro,164,,"40,654284","-4,703130",09/09/2009
María Reina de la Paz,Calle,de la Virgen María,3,05003,Ávila,920 22 02 96,Privada sin fin de lucro,60,,"40,652889","-4,687454",10/07/2017
Centro residencial Infantas Elena y Cristina,Avenida,Juan Pablo II,20,05003,Ávila,920 25 74 74,Pública provincial,141,,"40,647046","-4,694613",17/04/2019
Residencia para personas mayores,Calle,Rufino Martín Velasco,38,05003,Ávila,920 22 88 00,Pública autonómica,229,,"40,648399","-4,695215",07/07/2017
Residencia Vistasol,Calle,Ciudad de Toledo,4,05004,Ávila,920 21 92 72,Privada,112,www.residenciavistasol.com,"40,668878","-4,656657",07/07/2017
Residencia San Miguel Arcángel,Plaza,de las Acacias,5,05600,Barco de Ávila (El),920 34 20 44,Pública local,50,,"40,355745","-5,526431",08/04/2019
Residencia de mayores Los Cerezos,,Arroyo de la Parra,2 B,05110,Barraco (El),920 28 15 96,Privada,59,,"40,433933","-4,553432",09/04/2019
Residencia de 3ª edad Virgen de la Piedad,Calle,La Virgen,34,05110,Barraco (El),920 28 13 85 / 920 28 14 85,Pública local,44,,"40,474520","-4,639865",03/04/2019
Residencia Aldehuela,Carretera,de Monsalupe,24 - 26,05162,Berlanas (Las),920 26 91 57,Privada,30,www.residenciaaldehuela.com,"40,797647","-4,763612",04/04/2019
Centro Residencial Burgosierra,Carretera,Ávila a Casavieja,2,05113,Burgohondo,920 28 31 98 / 639 78 23 67,Privada,55,www.burgosierra.es,"40,415112","-4,781161",08/04/2019
Residencia de personas mayores Las Palmeras,Calle,Madroño,2,05480,Candeleda,920 38 19 25,Privada,108,www.residencialaspalmeras.com,"40,157156","-5,235794",07/05/2018
Residencia San Juan Bautista,Camino,Escardinchal,s/n,05450,Casavieja,91 867 87 61,Privada,62,,"40,291733","-4,759089",03/04/2019
Casa Virgen de Valsordo,Avenida,Constitución,4,05260,Cebreros,91 863 12 48,Privada,46,,"40,455370","-4,464466",11/04/2019
Residencia Mairim,Carretera,de Chaherrero,12,05300,Crespos,920 24 82 48,Privada,50,www.residenciamairim.com,"40,867253","-4,966320",15/05/2019
Centro asistencial San Juan de la Cruz,Plaza,de San Juan de la Cruz,2,05310,Fontiveros,920 24 53 10,Pública local,48,,"40,930511","-4,965729",04/04/2019
Residencia El Olivar,Camino,de Fresnedilla a Casavieja,s/n,05427,Fresnedilla,91 867 33 26,Privada,48,residenciaolivar.com,"40,232656","-4,627156",02/06/2015
Residencia de mayores San Marcos,Calle,Castaño Garro,1,05415,Hornillo (El),655 86 31 19 / 920 37 46 30,Privada,30,www.residenciasanmarcos.info,"40,250431","-5,103426",03/04/2019
Centro residencial para personas mayores de UDP,Calle,La Pitanza,s/n,05250,Hoyo de Pinares (El),91 863 80 82,Privada,23,www.mayoresudp.org,"40,498000","-4,419210",10/04/2019
Residencia Virgen del Espino,Calle,La Torre,s/n,05634,Hoyos del Espino,920 34 92 69,Pública local,36,www.sergesa.com/residencia-geriatrica-en-avila-hoyos-del-espino/,"40,360717","-5,179359",08/04/2019
Centro Socio Geriátrico Valle del Tiétar,Camino,Erillas,35,05490,Lanzahíta,920 37 86 37,Privada,45,residenciavalledeltietar.com,"40,204527","-4,931714",31/07/2017
Residencia San Andrés,Calle,José Manuel Fernández Santiago,2,05410,Mombeltrán,920 38 63 62,Pública local,122,acgsanandres.net,"40,258720","-5,016234",10/07/2013
Residencia El Pinar,Calle,Nuestra Señora de los Milagros,2,05491,Mombeltrán,920 37 11 53,Privada,28,,"40,188696","-4,994294",08/03/2018
El Pinar de La Higuerilla,Calle,Prado Largo,s/n,05491,Mombeltrán,920 37 27 19,Privada,88,grupoelpinar.com,"40,186860","-4,992730",08/04/2019
Residencia para personas mayores de Navahondilla,Camino,de la Dehesa,1,05429,Navahondilla,91 861 06 28,Privada,48,centromayoresnavahondilla.com,"40,326099","-4,492540",27/01/2015
Residencia Aires de Gredos,Camino,de La Parrilla,47,05100,Navaluenga,920 29 85 11,Privada,58,residenciaancianos.airesdegredos.net,"40,416457","-4,709659",04/04/2019
Residencia municipal de 3ª edad Virgen de las Nieves,Calle,de las Nieves,14,05635,Navarredonda de Gredos,920 34 81 25,Pública local,24,,"40,361163","-5,131275",09/04/2019
Residencia El Cerrillo,Calle,El Cerrillo,33,05120,Navarredondilla,920 29 76 67 / 670 36 36 91,Privada,46,,"40,451397","-4,823616",04/04/2019
Ciudad Jardín,Calle,Luis Valero,23,05230,Navas del Marqués (Las),91 897 11 21,Privada,29,www.residenciaciudadjardin.com,"40,601631","-4,336563",05/04/2019
