"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Badajoz, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Hogar club con piso tutelado de Aceuchal,Avenida,de la Cerca,s/n,06207,Aceuchal,924 68 74 64,Pública local,20,aceuchal.com/serviciosmunicipales/pisotutelado.php,"38,645263","-6,485871",04/02/2019
Residencia Las Caleñas,Carretera,de Talavera,s/n,06170,Albuera (La),673 41 72 93 / 638 85 01 50,Pública local,53,,"38,721082","-6,821667",08/04/2019
Residencia de mayores de La Albuera,Calle,Manuel Díaz Escobar,22,06170,Albuera (La),924 48 00 88,Pública local,52,www.grupoasoma.com/portfolio/prueba-la-albuera-i,"38,713228","-6,823702",09/04/2019
Residencia de mayores Nuestra Señora de Carrión,Calle,Dulce Chacón,3,06510,Alburquerque,924 40 16 55,Pública local,20,,"39,220400","-7,007563",11/04/2019
Residencia sociosanitaria Virgen del Carmen,Calle,Pozo de las Pilas,32,06510,Alburquerque,924 40 01 21,Pública local,28,,"39,220392","-7,009186",11/04/2019
Residencia Los Baldíos,Calle,San Blas,77,06510,Alburquerque,924 40 11 38,Pública local,12,,"39,222793","-7,007971",11/04/2019
Hogar club con pisos tutelados de Alconchel,Plaza,de la Constitución,6,06131,Alconchel,924 42 05 05,Pública local,20,,"38,519167","-7,068878",07/07/2017
Residencia COMSER,Calle,Bernardo María Calzada,4,06200,Almendralejo,924 67 71 76,Privada,142,comser.es,"38,677401","-6,419798",10/04/2019
Residencia Nuestra Señora de la Piedad,Calle,Gargantas del Jerte,2,06200,Almendralejo,924 01 76 20 / 924 01 76 21,Pública autonómica,55,,"38,676740","-6,411229",03/04/2019
Fundación San Juan de Dios de Extremadura,Calle,Monsalud,1,06200,Almendralejo,924 67 00 17 / 924 66 50 37,Privada sin fin de lucro,60,www.sjd.es/?q=node/140,"38,682186","-6,401660",05/04/2019
Residencia Nuestra Señora de Perales,Calle,Franco García Sánchez,1 B,06850,Arroyo de San Serván,924 34 27 50,Pública local,46,,"38,858466","-6,453576",10/07/2017
Hogar San José,Avenida,de la Estación,98,06920,Azuaga,924 89 01 04,Privada sin fin de lucro,85,,"38,267302","-5,682819",13/03/2018
Residencia club Fuente Atenor,Calle,Fuente Atenor,s/n,06920,Azuaga,924 01 87 38,Pública autonómica,70,,"38,254566","-5,676778",06/05/2015
Puente Real Palacio de Guadiana,Avenida,Adolfo Díaz Ambrona,28,06006,Badajoz,924 17 13 60,Privada,130,puentereal.es/nuestros-centros-puente-real-residencias-para-mayores,"38,884735","-6,983153",04/04/2018
Residencia de mayores Puente Real I,Calle,Castillo de Puebla de Alcocer,75,06006,Badajoz,924 28 60 65,Privada,72,puentereal.es,"38,887777","-6,997757",08/04/2019
DomusVi Ciudad de Badajoz,Calle,Castillo de Puebla de Alcocer,16,06006,Badajoz,924 28 65 30,Privada,150,www.domusvi.es/residencia-mayores-badajoz-ciudad-de-badajoz,"38,888084","-6,994552",05/04/2019
Residencia de mayores Puente Real II,Calle,Federico Mayor Zaragoza,s/n,06006,Badajoz,924 28 67 08,Privada,139,puentereal.es,"38,888349","-6,998175",04/04/2019
Caser Residencial Guadiana,Avenida,del Guadiana,6,06011,Badajoz,924 49 28 20,Privada,162,www.caseresidencial.es/guadiana,"38,871897","-6,986528",13/02/2019
Centro Residencial La Granadilla,Avenida,José Miguel Sánchez Hueso,s/n,06011,Badajoz,924 01 43 00,Pública autonómica,176,,"38,863800","-7,004470",17/04/2019
Residencia Nuestra Señora de la Soledad - Hermanitas de los Ancianos Desemparados,Calle,La Granadilla,s/n,06011,Badajoz,924 25 55 03,Privada sin fin de lucro,200,,"38,860700","-7,002080",04/04/2018
Residencia hogar Lisardo Sánchez,Carretera,de Valencia de Alcántara,s/n,06194,Badajoz,924 43 22 30,Privada sin fin de lucro,40,,"39,003800","-6,916000",11/05/2015
Residencia de mayores de Barcarrota,Calle,Jerez,5,06160,Barcarrota,924 73 79 93,Pública local,58,www.grupoasoma.com/portfolio/barcarrota,"38,514241","-6,851132",03/04/2019
Residencia de mayores de Helechal,Calle,Altillo,s/n,06429,Benquerencia de la Serena,924 01 94 40 / 924 01 94 40,Pública local,23,,"38,669854","-5,370467",24/07/2017
Residencia de mayores de Berlanga,Avenida,de Florida,s/n,06930,Berlanga,924 89 36 94 / 924 89 41 84,Pública local,40,,"38,277897","-5,831860",22/02/2010
Pisos tutelados para personas mayores de Bienvenida,Calle,Los Barriales,s/n,06250,Bienvenida,924 50 61 54,Pública local,20,,"38,296613","-6,207562",06/07/2017
Pisos tutelados Humildad de Prado,Calle,Rúa,s/n,06394,Bodonal de la Sierra,927 72 18 32,Pública local,24,,"38,148010","-6,562907",08/04/2019
Casa Nuestra Señora del Amparo,Calle,Amparo,7,06370,Burguillos del Cerro,924 54 11 06 / 637 14 43 52,Privada sin fin de lucro,39,www.rmaria.org/ancianos.html#BURGUILLOS,"38,379722","-6,595955",08/04/2019
Residencia de mayores de Cabeza del Buey,Calle,Cristino,13,06600,Cabeza del Buey,924 60 01 04,Pública local,56,,"38,716805","-5,224505",03/04/2019
Fundación Hogar de Ancianos Jesús Nazareno,Calle,La Zarza,s/n,06600,Cabeza del Buey,924 60 00 46,Privada sin fin de lucro,50,www.hogarjesusnazareno.com,"38,726100","-5,216680",03/04/2019
Residencia de mayores de Cabeza la Vaca,Calle,Extremadura,s/n,06293,Cabeza la Vaca,924 58 30 02,Pública local,20,,"38,085489","-6,422840",11/05/2015
Casa San José y P. Leocadio,Avenida,de Mérida,5,06810,Calamonte,924 32 49 20,Privada sin fin de lucro,24,,"38,891169","-6,385284",05/04/2019
