"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Barcelona, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residència Canigó,Calle,Menorca,16,08630,Abrera,93 770 29 00,Privada,79,www.residenciacanigo.com,"41,520901","1,905129",08/04/2019
Residència de 3ª edat La Font,Calle,Enamorats,1,08591,Aiguafreda,93 844 10 61,Privada,54,,"41,781306","2,247073",07/05/2015
Can Caló,Calle,Major,11,08591,Aiguafreda,93 844 18 00,Privada,35,www.cancalo.cat,"41,768262","2,249920",08/04/2019
Residència geriàtrica Els Rosers,Avenida,dels Rosers,40,08328,Alella,93 555 16 32,Privada,35,rosers.lantus.es,"41,482534","2,303068",10/03/2017
Residència Germans Aymar i Puig,Avenida,Germans Aymar i Puig,9,08328,Alella,93 555 45 00 / 93 540 04 36,Privada sin fin de lucro,118,www.fundacioaymaripuig.org,"41,492232","2,293558",24/04/2019
Centre Asistencial de la Tercera Edat,Calle,Vallespir,17 - Urbanización Mas Coll,08328,Alella,93 265 82 70,Privada,66,,"41,502258","2,280952",24/07/2017
Centre residencial per a gent gran - ICASS,Carretera,de Llerona,s/n - Finca Can Focs,08480,Ametlla del Vallès (L'),93 843 27 86,Pública autonómica,32,www.fundaciovallparadis.cat,"41,656398","2,274076",04/04/2019
Can Camp Residencial,Calle,Mimosa,10,08480,Ametlla del Vallès (L'),93 845 79 74,Privada,50,www.residencialcancamp.es,"41,660880","2,259893",23/07/2013
Residència Millet y Millet Park,Camino,Puig-graciós,1,08480,Ametlla del Vallès (L'),93 843 00 71 / 93 843 26 32,Privada,91,www.milletpark.com,"41,674386","2,258081",21/07/2017
Residència Francesca Roig,Calle,Sant Nicolau,6,08480,Ametlla del Vallès (L'),93 843 29 84,Privada,56,www.fundacioantoniaroura.com,"41,674529","2,259908",15/04/2019
Centro Asistencial Titus,Carretera,Nacional II,Km. 655,08350,Arenys de Mar,93 791 20 76,Privada,86,www.residenciatitus.com,"41,572019","2,533075",04/04/2019
Llar Residencial Floris,Calle,Platja Cassà,78 - 80,08350,Arenys de Mar,93 792 33 54,Privada,61,,"41,577202","2,547793",04/04/2019
Residència per a gent gran Itaca - Arenys,Calle,Pompeu Fabra,48,08350,Arenys de Mar,93 795 82 24 / 93 795 82 22,Privada,105,www.residenciesitaca.es/d1/inici.php?web=arenys,"41,586699","2,546409",14/07/2017
Centre assistencial Impala,Calle,Pujada del Montmar,s/n,08350,Arenys de Mar,93 792 59 30,Privada,96,,"41,582816","2,556622",03/04/2019
Asil Torrent,Calle,Riera Pare Fita,67,08350,Arenys de Mar,93 792 01 85,Privada,98,www.asiltorrent.com,"41,584676","2,546436",05/04/2019
Residencia geriátrica del Sagrat Cor,Calle,Sant Narcís,29,08350,Arenys de Mar,93 792 00 98,Pública local,40,,"41,583023","2,547254",13/05/2019
Residencia Villa Betania,Calle,Sant Rafael,33,08350,Arenys de Mar,93 792 00 95,Privada sin fin de lucro,68,,"41,581162","2,546445",04/04/2019
Residència Sant Martí,Rambla,Francesc Macià,1,08358,Arenys de Munt,93 795 11 68,Privada,112,www.residenciasantmarti.es,"41,610091","2,540418",15/04/2019
Residència Nostra Senyora del Remei,Calle,Nou,2,08358,Arenys de Munt,93 793 82 92 / 93 795 10 86,Privada,41,www.residenciavergedelremei.com,"41,608021","2,539897",04/04/2019
Centre geriàtric Bonavista,Calle,Bellavista,9,08310,Argentona,93 756 05 89,Privada,24,www.residenciabonavista.com,"41,550593","2,399750",09/04/2019
Llar d'Argentona,Paseo,de la Soleia,7,08310,Argentona,93 756 06 99,Privada,30,www.inforesidencias.com/webs/llardargentona,"41,544587","2,393884",10/04/2019
Residència 3ª edat Santa Berta,Calle,Francesc Macià,39,08310,Argentona,93 756 11 93,Privada,24,www.residenciasantaberta.com,"41,569800","2,373340",03/04/2019
La Nostra Llar Santa Anna,Calle,Sant Julià,11 - 13,08310,Argentona,93 797 10 80,Privada,50,,"41,555634","2,401592",10/07/2017
Fundació Patronat de la Vila d'Artes,Calle,Hospital,15,08271,Artés,93 830 53 06,Privada,108,,"41,798700","1,949700",04/04/2019
Residència Sant Víctor,Calle,Sant Víctor,46,08271,Artés,93 820 28 42,Privada,53,www.residenciasantvictor.com,"41,800507","1,955790",20/08/2009
Residència Relat,Calle,Santiago Rusiñol,2,08279,Avinyó,93 838 88 63,Privada,82,www.residenciarelat.com,"41,859644","1,974371",05/04/2019
Residencia Ballesol Badalona,Avenida,Navarra,2 - 4,08911,Badalona,93 464 13 72,Privada,160,ballesol.es/residencias-para-mayores-en-cataluna/ballesol-badalona,"41,456014","2,248729",20/05/2019
Residencia Danae,Calle,Santa Maria,178,08911,Badalona,93 384 72 40,Privada,73,,"41,453506","2,257091",03/04/2019
Residència d'avis Can Bosch,Calle,Soletat,5,08911,Badalona,93 384 44 19,Pública local,20,,"41,449069","2,247863",07/07/2017
Residència per a gent gran Domènech i Montaner,Calle,Bellavista,24 - 30,08913,Badalona,93 460 50 17,Pública local,80,www.lonada.com/centros/informacion/badalona/,"41,441931","2,215784",04/04/2019
"Residència per a gent gran Berllor, S. L.",Pasaje,de Marconi,10 - 12,08913,Badalona,93 460 08 15,Privada,61,www.residenciaberllor.com,"41,434779","2,218506",19/07/2017
Residencia Roca y Pi,Avenida,Martí Pujol,654,08915,Badalona,93 399 46 02,Privada,134,www.rocaipi.cat,"41,462443","2,238267",05/04/2019
Residència assistida Parc Serentill,Calle,Molí de la Torre,62 - 72,08915,Badalona,93 399 90 61,Pública autonómica,56,,"41,458949","2,244297",03/11/2017
Residència Martal,Calle,María Benlliure,14,08917,Badalona,93 383 34 18,Privada,42,residenciasgeriatricas.com/llar-3a-edat-martal/,"41,447109","2,231936",05/04/2018
Residència Merán,Pasaje,Riu Mogent,1,08917,Badalona,93 460 40 00,Privada,50,,"41,449745","2,233104",23/10/2012
Residència y casal gent gran Sant Roc,Avenida,Maresme,182 - 190,08918,Badalona,93 399 17 11,Pública autonómica,40,,"41,435185","2,225172",17/04/2019
Salarich - Calderer,Calle,Historiador Pere Tomic,9,08695,Bagà,93 824 50 10,Privada sin fin de lucro,82,www.salarichcalderer.com,"42,253116","1,858454",15/05/2019
Casal Oller,Calle,Major,91 - 93,08550,Balenyà,93 889 83 05,Privada,40,www.casaloller.com,"41,817432","2,235065",10/04/2019
Casal Verge de Montserrat,Plaza,Roc Garcia,s/n,08660,Balsareny,93 839 60 31,Privada,72,,"41,863238","1,877446",11/07/2013
Ballesol Barberà del Vallés,Calle,Abat Oliva,24,08210,Barberà del Vallès,93 747 90 49,Privada,164,ballesol.es/residencias-para-mayores-en-cataluna/ballesol-barbera-del-valles,"41,511962","2,128477",03/04/2019
Residència Geriàtrica La Romànica,Calle,Àngel Guimerà,30,08210,Barberà del Vallès,677 35 23 74,Privada,25,www.vallesbenestar.com/resibarbera.html,"41,518564","2,128217",10/03/2017
Residència Sophos Barberà,Calle,Marquesos de Barberà,79 - 95,08210,Barberà del Vallès,93 729 29 22,Privada,103,www.sophos.cat/barbera-del-valles/,"41,518444","2,118317",05/04/2019
Residència Sant Agustí - Gent Gran Santa Maria,Ronda,Santa Maria,117 - bajos,08210,Barberà del Vallès,93 729 77 26,Privada,19,,"41,517407","2,131442",15/07/2015
Residència per a gent gran Acayser del Carme,Calle,Carme,64 - ppal.,08001,Barcelona,93 443 40 84,Privada,20,,"41,381067","2,168093",11/05/2015
Residencia Santa Rita,Calle,Doctor Dou,12 - entlo. 2ª,08001,Barcelona,93 302 59 05 / 902 15 10 51,Privada,24,www.sta-rita.com,"41,382887","2,168569",09/08/2017
Habitatges tutelats Reina Amàlia II,Calle,Lleialtat,7,08001,Barcelona,93 115 90 20,Pública local,131,,"41,377245","2,167111",03/05/2018
Residència assistida El Mil.lenari,Calle,Nou de la Rambla,47 - 49,08001,Barcelona,93 441 65 56,Pública autonómica,62,,"41,377312","2,172468",14/07/2017
Residència 3ª edat Geros 4,Calle,Pelai,9 - ppal.,08001,Barcelona,93 301 08 00,Privada,25,,"41,385811","2,166506",06/07/2017
Viviendas con servicios Reina Amàlia I,Calle,Reina Amàlia,33,08001,Barcelona,93 115 90 20,Pública local,64,,"41,376990","2,167154",10/07/2013
Residència Geriàtrica La Mercè,Calle,Canuda,"17 - 19, 1º 1ª",08002,Barcelona,93 412 02 59,Privada,21,,"41,384770","2,171988",04/04/2019
Residència Moll de la Fusta,Plaça,Duc de Medinaceli,5 - ppal.,08002,Barcelona,93 412 54 41,Privada,23,,"41,377973","2,179102",13/04/2019
Residencia Medinaceli,Plaça,Duc de Medinaceli,5 - 1º 4ª,08002,Barcelona,93 412 53 01,Privada,15,,"41,377973","2,179102",29/03/2010
Residència Collserola,Calle,Josep Anselm Clavé,6 - ppal.,08002,Barcelona,93 302 06 46 / 686 31 29 82,Privada,22,www.residenciacollserola.es,"41,377907","2,178352",07/07/2017
Llar de La Mercè,Calle,Rull,1,08002,Barcelona,93 412 21 44,Privada,25,fibs.cat/es/que-hacemos/llar-la-merce,"41,379815","2,177804",12/07/2017
Residència Barceloneta Bertran Oriola,Calle,Carbonell,4 - 6,08003,Barcelona,93 268 71 77,Pública autonómica,92,,"41,381696","2,187497",23/07/2013
Habitatges per a la gent gran Santa Caterina,Calle,Colomines,1 - 3,08003,Barcelona,93 269 02 28,Pública local,118,,"41,385685","2,178589",03/05/2018
Viviendas con servicios Barceloneta,Calle,Pinzón,6 - 12,08003,Barcelona,93 310 16 70,Pública local,162,,"41,382635","2,189706",03/04/2019
Residencia de La Fe,Calle,Sant Pere Més Alt,72 - entlo.,08003,Barcelona,93 319 24 56 / 640 64 46 10,Privada,23,,"41,389145","2,178199",15/07/2017
Unitats de Convivencia Sant Camil,Calle,Sant Pere Mitjà,18,08003,Barcelona,656 82 87 44 / 607 02 39 37,Privada sin fin de lucro,21,,"41,387657","2,177220",20/09/2013
Residència Font Florida,Calle,de la Font Florida,98,08004,Barcelona,93 524 06 52 / 93 380 09 70,Pública autonómica,88,www.mutuam.cat/serveis-residencials/residencies-gent-gran/residencia-font-florida,"41,367610","2,142020",10/04/2019
Residència Gran Via Parc,Calle,Mandoni,11,08004,Barcelona,93 296 40 02,Privada,170,www.granviaparc.com,"41,369003","2,143267",06/04/2019
Vitalia Sants,Calle,Mandoni,17,08004,Barcelona,93 422 43 58,Privada,184,www.vitaliahome.es/project/sants/,"41,368837","2,143453",05/04/2019
Residència Pare Batllori,Calle,Vila i Vilà,39 - 41,08004,Barcelona,93 324 91 40,Pública autonómica,90,www.fundaciovellaterra.org/residencies,"41,373252","2,171812",10/04/2019
Residència Pere Relats 2,Camino,Antic de Valencia,5 - 3º,08005,Barcelona,667 59 75 15,Privada,15,www.pererelats.org,"41,371012","2,162398",12/04/2019
Habitatges amb serveis per a gent gran Camí Antic de València,Camino,Antic de València,96 - 116,08005,Barcelona,93 303 55 87,Pública local,152,,"41,406514","2,203487",03/05/2018
Residència Jaume Batlle,Calle,Fernando Poo,45,08005,Barcelona,93 225 23 24,Pública autonómica,78,www.grupperemata.com/spa/item/ART00346.html,"41,398967","2,205948",05/04/2018
Residència Pere Relats 3,Calle,Llull,181 - ppal.,08005,Barcelona,93 300 29 76,Privada,16,www.pererelats.org,"41,400942","2,202013",04/04/2019
Residència Barcelona Poblenou,Calle,Llull,332,08005,Barcelona,93 303 71 20,Pública autonómica,90,,"41,407085","2,210378",06/05/2015
Icària Residencial,Rambla,Poblenou,5 - 7,08005,Barcelona,93 225 75 10,Privada,80,www.icariaresidencial.com,"41,397858","2,205364",05/04/2018
Acolliment a la Vellesa,Calle,Pujades,"273 - 275, 1º",08005,Barcelona,93 307 70 58,Privada,22,,"41,405298","2,205409",10/04/2019
Residencia Venero,Calle,Venero,4 - 6,08005,Barcelona,93 300 29 76,Privada,63,,"41,401253","2,202166",09/04/2019
Residencia Pro Avis en Família,Calle,Muntaner,402 - 1º,08006,Barcelona,93 414 67 81,Privada sin fin de lucro,20,www.somvia.org/contacte/on-som/,"41,400330","2,141534",14/03/2018
Residencia Aura,Calle,Muntaner,402 - 2º,08006,Barcelona,93 202 02 87,Privada,23,,"41,400330","2,141534",05/04/2019
Residencia L'Eixample III,Calle,Muntaner,402 - ppal. 2ª,08006,Barcelona,93 201 98 02,Privada,18,,"41,400330","2,141534",05/04/2019
Residència geriàtrica Bondia Grau,Calle,Ríos Rosas,21,08006,Barcelona,93 418 67 48,Privada,25,,"41,403823","2,144054",23/04/2019
Geriàtric Emily,Calle,Sant Elies,9,08006,Barcelona,93 201 90 02,Privada,25,,"41,401526","2,145245",15/07/2013
Llar residència per a gent gran Anna,Calle,Aragó,268 - 1º 2ª,08007,Barcelona,93 216 01 67,Privada,25,,"41,391465","2,163988",15/05/2015
Residencia geriátrica Consejo de Ciento,Calle,Consell de Cent,276 - 1º,08007,Barcelona,93 487 71 13,Privada,23,,"41,389023","2,163017",12/07/2017
Residència geriàtrica La Pau,Plaça,Doctor Letamendi,35 - 2º 2ª,08007,Barcelona,93 453 75 07 / 93 454 24 50,Privada,17,,"41,389510","2,161203",22/05/2018
Residència Llar d'avis,Calle,Gavà,11 - 17,08007,Barcelona,93 302 22 83,Privada,50,,"41,390058","2,167886",04/04/2019
Residència El Jardí 2000,Calle,Gran Via de les Corts Catalanes,618 - ppal. 1ª y 1º 1ª,08007,Barcelona,93 412 17 01,Privada,24,www.inforesidencias.com/webs/eljardi/index.htm,"41,387853","2,166584",15/04/2019
Residencia Nuestra Señora de Meritxell III,Calle,Gran Via de les Corts Catalanes,602 - entlo.,08007,Barcelona,93 304 13 01,Privada,25,www.residenciameritxell.es,"41,386754","2,165193",27/04/2018
Residència assistida Ricard Julià,Calle,València,263 - 2º,08007,Barcelona,93 488 13 41,Privada,23,,"41,393853","2,164778",12/07/2017
Residència L'Eixample I i II,Calle,Provença,245 - ppal. y 1º 1ª,08008,Barcelona,93 487 00 66 / 62 973 74 07,Privada,38,,"41,394115","2,160424",04/04/2019
Geriàtric Aragó,Calle,Aragó,293,08009,Barcelona,93 487 50 50,Privada,100,,"41,393988","2,167222",03/04/2019
Residència assistida Ramon Sala - Club d'avis Les Saleses,Calle,Aragó,344 - ppal.,08009,Barcelona,93 265 17 18,Privada,17,,"41,396288","2,170438",22/07/2013
Residència Seribel,Calle,Bailén,51 - ppal. 1ª y 2ª,08009,Barcelona,93 265 42 15,Privada,24,,"41,394367","2,173941",24/04/2018
Residencia Azahar,Calle,Bailén,102 - ppal. 1ª,08009,Barcelona,93 458 65 33,Privada,23,,"41,397005","2,170581",27/04/2018
Llar residència Rosa Franch,Calle,Consell de Cent,403 - 2º,08009,Barcelona,93 265 21 32,Privada,23,,"41,395274","2,171183",15/07/2013
Residència Els Ametllers,Calle,Diputació,293 - ppal.,08009,Barcelona,93 487 62 09,Privada,23,,"41,391993","2,169099",07/07/2017
Centro Gerontológico Llar Girona,Calle,Girona,51 - ppal. 2ª y 1º 4ª,08009,Barcelona,93 301 42 47 / 651 81 54 74,Privada,22,,"41,393684","2,172584",13/03/2017
Residència geriàtrica L'Arbor,Calle,Pau Claris,112 - ppal.,08009,Barcelona,93 487 62 09,Privada,20,,"41,391939","2,168264",06/05/2015
Residència Vinyet,Calle,Roger de Llúria,92 - 94 ppal.,08009,Barcelona,93 457 88 61,Privada,21,,"41,395625","2,165605",10/07/2017
Residència geriàtrica Ausiàs Marc,Calle,Ausiàs Marc,"44 - 46, ppal. 2ª",08010,Barcelona,93 232 50 20,Privada,19,residenciaausiasmarch.com/geriatric,"41,391882","2,176493",26/04/2018
Centro geriátrico Gure-Etxea y Gure-Etxea III,Calle,Bailén,28 - ppal. y 1º,08010,Barcelona,93 265 18 60,Privada,42,centro.gure-etxea.com,"41,392893","2,176016",10/07/2017
Residencia geriátrica Canava,Calle,Bailén,46 - bajo 1ª y ppal. 1ª y 2ª,08010,Barcelona,93 265 24 18,Privada,20,,"41,393799","2,174821",09/07/2019
Residencia Bruc,Calle,Bruc,46 - ppal. 1ª,08010,Barcelona,93 317 67 20,Privada,17,,"41,391891","2,172809",30/11/2011
Residència Mussol I,Calle,Bruc,32 - ppal.,08010,Barcelona,93 412 53 93,Privada,13,,"41,391107","2,173851",22/05/2019
Residencia Maria Rifa,Calle,Bruc,46 - ppal. 2ª,08010,Barcelona,93 301 51 82,Privada,18,,"41,391891","2,172809",14/03/2018
Residència Verge del Roser,Calle,Casp,82 - ppal. 2ª,08010,Barcelona,93 265 16 83,Privada,21,,"41,393201","2,176053",05/04/2019
Asilo de ancianos de las Hermanitas de los Pobres Casp,Calle,Casp,73,08010,Barcelona,93 265 52 27 / 93 246 15 05,Privada sin fin de lucro,86,,"41,394552","2,177420",16/04/2019
Residencia para personas mayores - IPF Servicios Geriátricos,Calle,Casp,82 - 4º 2ª,08010,Barcelona,93 265 16 83,Privada,16,,"41,393201","2,176053",05/04/2019
Centro geriátrico Ontalva,Calle,Gran Via de les Corts Catalanes,659 - 3º 1ª,08010,Barcelona,93 265 80 86,Privada,20,,"41,393699","2,173524",08/04/2019
Com a Casa,Calle,Gran Via de les Corts Catalanes,651 - ppal. 1ª y 2ª,08010,Barcelona,93 412 50 68,Privada,25,www.residenciacomacasa.com,"41,392913","2,172531",10/04/2019
Residència geriàtrica Taber,Calle,Gran Via de les Corts Catalanes,625 - ppal.,08010,Barcelona,93 317 41 33,Privada,24,,"41,390992","2,169970",07/07/2017
Residencia Gran Vida,Calle,Gran Via de les Corts Catalanes,637 - 1º 1ª,08010,Barcelona,93 301 91 79,Privada,17,,"41,391770","2,170985",04/04/2019
Residencia MERAN,Calle,Gran Via de les Corts Catalanes,692 - ppal.,08010,Barcelona,93 265 05 42,Privada,28,,"41,393346","2,173887",07/07/2017
Centro residencial Rosben,Calle,Gran Via de les Corts Catalanes,659 - ppal. 1º,08010,Barcelona,93 265 91 44,Privada,31,rosben1987.wixsite.com/residencia-rosben,"41,393699","2,173524",05/04/2018
Residència geriàtrica Batlle,Calle,Gran Via de les Corts Catalanes,631 - 4º,08010,Barcelona,93 412 66 70,Privada,20,,"41,391452","2,170572",08/04/2019
Residència assistida Olivaret Eixample,Plaça,Tetuan,2 - ppal. 1ª y 2ª,08010,Barcelona,93 232 39 15,Privada,24,www.olivaret.es,"41,393991","2,176231",09/04/2019
Residència El Balancí,Plaça,Tetuan,2 - 1º 1ª y 2ª,08010,Barcelona,93 265 87 98,Privada,23,www.residenciabalanci.com,"41,393991","2,176231",05/04/2019
Residencia Prudenci Miralles,Calle,Trafalgar,39 - 5º,08010,Barcelona,93 268 18 67,Privada,16,www.residenciapmiralles.org,"41,390092","2,177301",30/09/2013
