"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Bizkaia, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Centro Residencial Sanfuentes,Avenida,Los Chopos,29,48500,Abanto y Ciérvana-Abanto Zierbena,946 36 34 35,Privada,29,www.grupolekuona.com/residencias/centro-residencial-sanfuentes/,"43,323477","-3,071580",10/04/2019
Centro Asistencial Gallarta,Calle,Nueva Avenida,3,48500,Abanto y Ciérvana-Abanto Zierbena,946 36 93 62,Pública provincial,64,www.ifas.bizkaia.eus/interior.asp?idpagina=UYPCSGERRMTPWSIMUGQCTNFZYTTPXBJMVHXK,"43,317996","-3,075598",10/07/2017
Residencia Gure Etxea,,Barriada Arrindas,9,48340,Amorebieta-Etxano,946 73 09 67,Privada,14,www.residenciagureetxeal.com,"43,223077","-2,710815",08/04/2015
Residencia Gure Etxea II,,Barriada Dudea,25 bis,48340,Amorebieta-Etxano,946 30 96 80,Privada,19,,"43,223769","-2,716147",08/04/2015
Residencia José María Azkuna,Avenida,José Antonio Agirre,s/n,48340,Amorebieta-Etxano,946 30 99 55,Pública provincial,112,,"43,220740","-2,728932",09/04/2019
Residencia Piñudi,Calle,Karmen,26,48340,Amorebieta-Etxano,946 30 86 34,Privada,20,www.residenciapinudi.com,"43,224144","-2,730678",04/04/2019
Residencia Igurco Orúe,Barrio,San Miguel de Dudea,s/n,48340,Amorebieta-Etxano,946 30 05 50,Privada,129,www.igurco.es/pub/cast/orue/orue.htm,"43,202201","-2,705605",07/07/2017
Residencia Arandia,Travesía,del Cristo,11,48480,Arrigorriaga,946 07 67 55,Pública provincial,132,nostem.com/residencia-arandia,"43,208866","-2,892512",09/04/2019
Residencia Argietxea,Calle,Santa Isabel,53 - bajo,48480,Arrigorriaga,946 55 35 53,Privada,22,www.residenciaargietxea.com,"43,242855","-2,916792",17/04/2017
Residencia Zuetxe-Bakio,Calle,Errementeria,29 - Quinta Torre,48130,Bakio,946 19 46 01,Privada,46,www.residenciazuetxebakio.com,"43,420994","-2,815479",09/04/2019
Residencia León Trucios,Calle,El Cubo,9,48800,Balmaseda,946 80 06 01,Privada,82,,"43,192711","-3,196920",03/04/2019
