"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Cáceres, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Pisos tutelados de Acehúche,Avenida,Juan Morales,58,10879,Acehúche,927 37 41 42,Pública local,18,www.acehuche.es,"39,803223","-6,633244",05/09/2011
Residencia municipal,Calle,Pozo,1,10666,Aceituna,927 43 10 82,Pública local,20,,"40,150534","-6,331017",08/04/2019
Residencia Nuestra Señora de la Asunción,Carretera,del Guijo de Granadilla,25,10650,Ahigal,927 43 90 10,Pública local,20,bit.ly/2jujLA9,"40,191914","-6,181052",03/05/2018
Residencia de mayores La Esperanza,Calle,Peña Redonda,2,10187,Albalá,927 38 22 05,Pública local,24,,"39,257925","-6,189718",30/05/2018
Pisos tutelados para personas mayores de Alcántara,Plaza,de Portugal,14,10980,Alcántara,927 39 04 99,Pública local,18,,"39,717935","-6,881294",04/04/2018
Residencia de mayores María Inmaculada,Calle,Príncipe,3,10135,Alcollarín,927 34 09 99,Pública local,19,,"39,244200","-5,738485",16/07/2013
Casa de la Misericordia,Avenida,de Extremadura,2,10160,Alcuéscar,927 12 00 24,Privada sin fin de lucro,60,www.esclavosdemariaylospobres.org,"39,181625","-6,237371",04/04/2019
Residencia de mayores Amada Corral,Calle,Los Huertos,s/n,10160,Alcuéscar,927 38 45 19,Pública local,58,www.laconsolacion.com/r-g-amada-corral,"39,179945","-6,233446",03/05/2018
Residencia Francisco Sánchez Salazar,Calle,Pedro Campón,2,10163,Aldea del Cano,927 38 30 90,Pública local,32,www.laconsolacion.com/r-g-aldea-del-cano-francisco-sanchez-salazar,"39,288138","-6,317956",03/05/2018
Residencia Fundación Masides,,Finca Auditoría,,10740,Aldeanueva del Camino,927 48 40 11,Privada sin fin de lucro,35,,"40,265625","-5,943123",06/05/2015
Residencia de ancianos Angelita Olgado,Paseo,de La Habana,16,10550,Aliseda,927 27 73 53,Pública local,57,,"39,426080","-6,694988",14/08/2015
Residencia geriátrica Catalina Curiel,Travesía,José María Oriol,s/n,10350,Almaraz,927 54 40 85 / 927 54 40 08,Pública local,42,,"39,813375","-5,678636",06/05/2015
Pisos tutelados para personas mayores de Almoharín,Calle,Virgen de Sopetrán,s/n,10132,Almoharín,927 38 62 24,Pública local,17,www.laconsolacion.com/almoharin,"39,174216","-6,042351",06/07/2017
Residencia de mayores Virgen de la Luz,Paseo,de Extremadura,s/n,10900,Arroyo de la Luz,927 27 22 29,Pública autonómica,86,,"39,481595","-6,576780",03/04/2019
Residencia de mayores,Camino,de las Charcas,2,10161,Arroyomolinos,927 38 50 02,Pública local,24,,"39,180416","-6,158945",30/03/2012
Residencial Banium,Avenida,de los Mayores,1,10750,Baños de Montemayor,927 48 80 17,Privada sin fin de lucro,70,www.residencialbanium.com,"40,319855","-5,857410",04/04/2019
Residencia de mayores Nuestra Señora de Guadalupe,Avenida,Virgen de Guadalupe,s/n,10320,Bohonal de Ibor,927 57 42 62,Privada,80,www.residenciaguadalupe.es,"39,781684","-5,475763",13/04/2019
Fundación Condesa de la Encina - Residencia Nuestro Hogar,Carretera,de Cáceres,s/n,10950,Brozas,927 39 50 23,Privada,46,,"39,616692","-6,765963",12/04/2019
Residencia de Brozas,Plaza,de Ovando,13,10950,Brozas,927 37 30 64,Pública local,22,,"39,613391","-6,778319",08/10/2016
Residencia Peñas Albas,Parque,San Antonio,s/n,10610,Cabezuela del Valle,927 47 20 04,Pública local,39,,"40,191319","-5,806784",09/04/2019
Residencia de mayores La Consolación,Calle,Clemente Sánchez Ramos,6,10001,Cáceres,927 22 44 74,Privada,24,www.laconsolacion.com/la-consolacion,"39,471411","-6,379054",03/05/2018
Asilo de ancianos - Hermanitas de los Pobres,Avenida,de España,19,10002,Cáceres,927 22 32 21,Privada sin fin de lucro,100,,"39,470619","-6,377535",08/04/2019
Residencia asistida de mayores El Cuartillo,Avenida,de la Universidad,60 - Apdo. de Correos: 299,10003,Cáceres,927 00 52 80,Pública autonómica,320,,"39,476385","-6,341834",04/04/2019
Residencia Ciudad Jardín Parque del Príncipe,Calle,Barranco de Aguas Vivas,s/n,10004,Cáceres,927 24 44 21,Privada,140,www.grupociudadjardin.com,"39,479432","-6,380117",04/04/2019
Pisos tutelados Virgen del Rosario,Avenida,de Las Lavanderas,2 - 4,10004,Cáceres,927 24 30 06,Privada,30,,"39,480405","-6,376463",26/07/2017
Residencia Nuestra Señora del Rosario,Calle,Gaspar Muñoz,14,10004,Cáceres,927 21 14 15 / 927 21 15 18,Privada,62,,"39,481172","-6,378527",26/07/2017
Residencia Geriátrica Virgen de la Montaña II,Calle,Héroes de Baler,s/n,10004,Cáceres,927 62 80 10,Privada,104,,"39,482521","-6,366092",09/07/2017
Centro Residencial Cervantes de Cáceres,Avenida,Cervantes,19,10005,Cáceres,927 00 55 70,Pública autonómica,198,,"39,462096","-6,372319",10/04/2019
Residencia GERYVIDA,Calle,Estambul,8,10005,Cáceres,927 10 18 00,Privada,212,www.geryvida.com,"39,453607","-6,382848",04/04/2019
Residencia Santa Teresa,Calle,Oaxaca,25 - bajo,10005,Cáceres,927 23 31 50,Privada,8,,"39,455091","-6,379116",04/04/2018
Residencia de mayores La Hacienda,Carretera,Nacional 630,"km. 560,5",10195,Cáceres,927 62 61 60,Privada,158,centrodemayoreslahacienda.com,"39,417846","-6,354421",05/04/2019
Residencia de mayores Santa Catalina,Avenida,de los Mayores,s/n,10817,Calzadilla,927 14 64 58,Pública local,,,"40,057630","-6,534720",04/04/2018
Pisos tutelados de Calzadilla,Calle,Mayor,58,10817,Calzadilla,924 14 63 98,Pública local,23,,"40,061291","-6,531659",04/04/2018
Piso tutelado municipal de Cañamero,Avenida,Cervantes,59,10136,Cañamero,927 15 72 14,Pública local,19,,"39,383077","-5,389483",11/07/2011
Residencia San Roque - Pisos tutelados,Avenida,Doctor Boticario,s/n,10820,Cañaveral,927 30 00 06,Pública local,20,,"39,788882","-6,392594",07/05/2015
Residencia de mayores,Carretera,de Santiago,2,10511,Carbajo,927 19 14 12,Pública local,48,www.grupoasoma.com/portfolio/carbajo/,"39,603177","-7,191336",14/02/2019
Residencia de mayores Virgen de Guadalupe,Carretera,de Guadalupe,s/n,10331,Carrascalejo,927 55 50 51,Pública local,46,,"39,642801","-5,216682",05/04/2019
Hogar club con pisos tutelados de Casar de Cáceres,Calle,Larga Baja,32,10190,Casar de Cáceres,927 29 11 96,Pública local,14,,"39,562409","-6,417154",06/05/2015
Residencia Virgen de la Montaña I,Carretera,Nacional 630,Km. 541,10190,Casar de Cáceres,927 29 05 50,Privada,138,,"39,547026","-6,436260",09/07/2017
Residencia de mayores Rosario Terrón,Calle,Angosta,1,10640,Casar de Palomero,927 43 60 02,Pública local,30,,"40,292676","-6,256991",25/02/2010
Residencia de 3ª edad Madre Francisca,Calle,Castañar,9,10649,Casar de Palomero,927 43 60 31 / 927 43 63 66,Privada,86,,"40,297466","-6,299935",06/04/2019
Residencia de mayores Balcón Hurdano,Avenida,de Extremadura,s/n,10628,Casares de las Hurdes,927 19 73 75,Pública local,38,www.adomisacor.com,"40,441054","-6,289234",19/07/2017
Centro de mayores Sierra de San Pedro,Carretera,Nacional 630,Km. 582,10162,Casas de Don Antonio,927 38 32 58,Privada,79,www.centrodemayoressierradesanpedro.es,"39,235232","-6,297528",08/04/2019
Pisos tutelados para mayores de Casas de Millán,Calle,Luis de Miranda,s/n,10592,Casas de Millán,927 30 61 22,Pública local,20,,"39,815217","-6,328260",31/07/2017
Residencia El Cerro,Carretera,de Cabrero,Km. 1,10616,Casas del Castañar,927 47 85 83,Pública local,40,residenciaelcerro.business.site,"40,108226","-5,900889",04/04/2019
Residencia de mayores,Plaza,de España,7,10730,Casas del Monte,927 17 92 64,Pública local,32,,"40,202524","-5,960714",07/07/2017
Centro Sociosanitario de Casatejada,Camino,Real,s/n,10520,Casatejada,927 54 70 82,Pública local,30,,"39,887316","-5,677579",11/05/2015
Pisos tutelados de Casillas de Coria,Calle,Pozo Encalao,8,10818,Casillas de Coria,927 14 62 02,Pública local,25,,"39,964408","-6,634157",05/05/2015
Pisos tutelados de Ceclavín,Avenida,Emigrantes,15,10870,Ceclavín,927 37 46 55,Pública local,14,,"39,823527","-6,771027",13/03/2018
Residencia de mayores de Cedillo,Calle,Antonio Moreno,16 - 18,10513,Cedillo,927 59 01 45,Pública local,14,,"39,650369","-7,497521",23/05/2015
Pisos tutelados de Cilleros,Avenida,Virgen de Navelonga,18,10895,Cilleros,927 14 50 92,Pública local,20,,"40,115433","-6,791709",11/05/2015
Residencia La Inmaculada,Carretera,de Guijo,s/n,10800,Coria,927 50 07 23,Privada,70,,"39,994600","-6,540390",04/04/2019
Residencia de ancianos San Nicolás de Bari,Calle,Hospital,23,10800,Coria,927 50 02 02,Privada,79,,"39,984209","-6,540247",08/04/2019
Patronato Residencia de Ancianos,Calle,Salvador,1,10800,Coria,927 50 80 50,Pública autonómica,88,www.coria.org/a2012/b211.asp,"39,989800","-6,533470",06/07/2017
Residencia de mayores de Deleitosa,Calle,Cruz de los Ángeles,2,10370,Deleitosa,927 54 01 49,Pública local,36,,"39,641601","-5,648413",05/04/2019
Residencia Santa Ana,Calle,Caridad,31,10250,Garciaz,927 33 20 59,Pública local,18,,"39,411621","-5,630032",14/02/2019
Pisos tutelados de Garrovillas,Avenida,Soledad,s/n,10940,Garrovillas de Alconétar,927 30 90 02,Pública local,20,,"39,711978","-6,546927",11/09/2009
Residencia municipal,Avenida,Soledad,s/n,10940,Garrovillas de Alconétar,927 30 96 57,Pública local,120,www.grupoasoma.com/portfolio/garrovillas-de-alconetar/,"39,711948","-6,545963",09/05/2018
Residencia 3ª edad Sierra de Gata,Avenida,Virgen de Guadalupe,s/n,10860,Gata,927 01 57 05 / 927 01 57 06,Pública autonómica,40,,"40,238240","-6,598744",06/07/2017
Residencia de mayores,Calle,Alperchín,s/n,10230,Herguijuela,667 58 30 32,Pública local,20,,"39,373916","-5,760107",31/07/2013
Residencia Las Eras,Calle,Eras,1 C,10868,Hernán-Pérez,927 44 51 27,Pública local,28,,"40,213239","-6,461784",08/04/2019
Residencia de mayores de Hervás,Calle,La Poza,4,10700,Hervás,927 47 34 10,Pública local,46,,"40,274119","-5,861079",03/04/2019
Residencia de mayores de Hinojal,Plaza,Pedro Rivas,13,10192,Hinojal,927 28 60 81,Pública local,16,,"39,711308","-6,359994",25/02/2010
Hogar club con pisos tutelados Don Eladio Viñuelas,Calle,La Gonzala,9,10280,Ibahernando,927 33 02 97,Pública local,19,,"39,324338","-5,917743",04/04/2018
Residencia de mayores,Calle,Talavera,2,10380,Jaraicejo,927 33 60 04,Pública local,20,,"39,667094","-5,812822",14/02/2019
Residencia de mayores de Jaraíz de la Vera,Carretera,de Plasencia,s/n,10400,Jaraíz de la Vera,927 01 40 19,Pública autonómica,63,,"40,053300","-5,757380",05/05/2015
