"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Cádiz, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia Amor de Dios,Calle,Ángel de Viera,1,11180,Alcalá de los Gazules,956 42 06 65,Privada sin fin de lucro,15,,"36,463025","-5,723508",08/04/2019
Residencia para mayores Dolores Ibárruri La Pasionaria,Calle,Nueva Jarilla,1,11693,Alcalá del Valle,956 13 51 88,Pública local,45,,"36,906875","-5,175885",16/05/2019
Centro Residencial Miramar,Avenida,Agustín Bálsamo,2,11203,Algeciras,956 65 66 00,Privada,57,habitatgeriatrico.com/centro-de-mayores/gerontogar-miramar-geriatrico,"36,127406","-5,448291",11/04/2019
Centro Residencial de Mayores,Avenida,Venecia,2,11205,Algeciras,956 00 73 60,Pública autonómica,164,,"36,144955","-5,451773",08/04/2019
Residencia hogar San José - Hermanitas de los Ancianos Desamparados,Calle,Santa Teresa de Jornet,s/n,11207,Algeciras,956 60 09 90,Privada sin fin de lucro,154,,"36,110000","-5,446540",28/02/2018
Vitalia Algeciras,Calle,Santa Teresa de Jornet,2,11207,Algeciras,956 58 14 65,Pública autonómica,120,www.vitaliahome.es/project/algeciras/,"36,109424","-5,445489",11/05/2015
Centro sociosanitario Sor Lidia,Calle,Los Manchoncillos,s/n,11680,Algodonales,956 13 85 50,Privada,126,,"36,878471","-5,402933",10/07/2017
Hospital residencial San Juan de Dios,Calle,Corredera,1,11630,Arcos de la Frontera,956 70 18 80 / 956 70 04 04,Privada,29,,"36,749100","-5,808534",19/07/2017
Residencia Nuestra Señora de la Caridad,Plaza,de la Caridad,1,11630,Arcos de la Frontera,956 70 05 03,Privada sin fin de lucro,70,,"36,741885","-5,796460",12/07/2017
Residencial Lago de Arcos,Calle,Finca El Mayordomo,s/n,11630,Arcos de la Frontera,956 70 83 92 / 956 70 83 93 / 956 70 83 94,Privada,142,www.auracuidados.es,"36,752213","-5,789419",10/04/2019
Residencia Nuestra Señora del Rosario,Avenida,El Quijote,s/n,11370,Barrios (Los),956 62 81 40,Privada,195,www.residenciansr.com,"36,177900","-5,483780",10/07/2013
Residencia de ancianos San Ramón,Calle,Huertas,21,11370,Barrios (Los),956 62 00 56 / 956 62 17 77,Privada,32,,"36,183806","-5,494815",09/04/2019
Residencia de mayores La Bahía,Calle,Pedro Terol,14,11379,Barrios (Los),956 67 84 27 / 956 67 60 17,Privada,47,,"36,174025","-5,430313",07/05/2015
Aura Benalup,Calle,Girasoles,20,11190,Benalup-Casas Viejas,615 21 18 51,Pública local,46,,"36,350595","-5,815111",17/04/2019
Viviendas tuteladas para personas mayores,Calle,Cánovas del Castillo,28,11001,Cádiz,956 22 22 17,Privada,33,,"36,533638","-6,296759",07/05/2015
Residencia de mayores José Matía Calvo,Calle,Doctor Marañón,5,11002,Cádiz,956 22 60 00,Pública provincial,99,,"36,532471","-6,303541",05/04/2019
Residencia Sor Ángela de la Cruz,Calle,Benjumeda,29,11003,Cádiz,956 22 71 08,Privada sin fin de lucro,16,,"36,533667","-6,300370",20/07/2017
Residencia geriátrica Gades II,Plaza,de San Antonio,4,11003,Cádiz,629 38 14 64 / 956 21 15 50,Privada,53,,"36,535025","-6,298662",14/05/2015
Fundación Fragela,Plaza,Fragela,1,11003,Cádiz,856 17 43 63,Privada sin fin de lucro,70,fundacionfragela.com,"36,534545","-6,301980",11/02/2013
Residencia geriátrica ADEMA,Plaza,Tres Carabelas,5,11004,Cádiz,856 17 40 01,Privada,29,,"36,535944","-6,290677",11/07/2013
Asilo Dulce Nombre de María,Plaza,Candelaria,15,11005,Cádiz,956 21 17 45,Privada sin fin de lucro,47,,"36,531436","-6,295370",05/04/2019
Residencia San Juan de Dios,Calle,San Juan de Dios,1,11005,Cádiz,956 29 01 10,Privada,125,www.geron.es/residencia/residencia-de-mayores-en-cadiz,"36,529261","-6,292725",05/04/2019
Residencia geriátrica Gades I,Calle,Jacintos,1,11007,Cádiz,956 25 59 09 / 629 38 14 64,Privada,42,,"36,525361","-6,286571",14/05/2015
DomusVi Micaela Aramburu,Avenida,Lacave,12,11012,Cádiz,956 29 09 76,Pública local,120,www.domusvi.es/residencia-mayores-cadiz-micaela-aramburu,"36,507670","-6,271337",08/04/2019
Residencia de mayores Nuestra Señora de la Paz,Calle,Ánsar,4,11130,Chiclana de la Frontera,956 53 15 80,Privada sin fin de lucro,69,www.afanas.com,"36,401102","-6,171668",01/08/2017
Centro Residencial Reifs Chiclana,Calle,Caraza,6,11130,Chiclana de la Frontera,956 40 86 79,Privada,120,www.gruporeifs.com/nuestros-centros/item/14-residencia-para-mayores-reifs-chiclana,"36,420524","-6,151544",29/08/2017
Centro residencial para personas mayores Mart&Gall,Calle,Zarapito,13 - Urb. Cortijo Los Gallos,11130,Chiclana de la Frontera,956 40 03 77,Privada,34,www.residenciamartgall.com,"36,400171","-6,173660",08/04/2019
Centro residencial para mayores Novo Sancti Petri,Calle,Octavio Augusto,s/n - Urb. Novo Sancti Petri,11139,Chiclana de la Frontera,956 49 22 22 / 956 49 22 23,Privada,120,,"36,355642","-6,158582",05/04/2019
Residencia de mayores Conil Solidario,Calle,Dulce Chacón,s/n,11140,Conil de la Frontera,956 45 65 06,Pública local,90,www.geron.es/residencia/residencia-de-mayores-conil-cadiz,"36,284866","-6,079888",02/08/2017
Residencia Sor Ángela de la Cruz,Calle,Sor Ángela de la Cruz,1,11403,Jerez de la Frontera,956 34 20 26,Privada sin fin de lucro,30,,"36,685747","-6,140686",06/04/2019
Residencia de personas mayores de Jerez de la Frontera,Avenida,Fernando Portillo,s/n,11405,Jerez de la Frontera,956 03 53 00,Pública autonómica,197,,"36,693524","-6,103680",07/07/2017
Centro Residencial San José,Calle,Francisco Riba,4,11405,Jerez de la Frontera,956 14 90 61,Privada,120,,"36,692719","-6,107614",12/07/2017
Vitalia Jerez,Calle,Torre Alhaquime,2,11405,Jerez de la Frontera,956 15 94 02,Privada,240,www.vitaliahome.es/project/jerez/,"36,694993","-6,099765",04/04/2019
DomusVi Monte Alto,Calle,Guatemala,s/n,11407,Jerez de la Frontera,956 18 38 80,Privada,137,www.domusvi.es/residencia-mayores-cadiz-jerez-de-la-frontera-monte-alto,"36,706300","-6,125420",16/05/2019
Residencia geriátrica San Juan Grande,Glorieta,Félix Rodríguez de la Fuente,1,11408,Jerez de la Frontera,956 03 51 50,Privada sin fin de lucro,76,www.sanjuandedios-oh.es,"36,691289","-6,148465",10/04/2019
Viviendas tuteladas para la 3ª edad,Avenida,20 de abril,"blq. 2 y 3, bajos C y D",11300,Línea de la Concepción (La),956 76 36 02 / 956 17 28 78,Pública local,22,,"36,158552","-5,348472",02/03/2018
Centro Residencial María Luisa Escribano Toledo,Calle,Carboneros,24,11300,Línea de la Concepción (La),956 64 35 35,Privada,,,"36,161078","-5,350362",14/11/2018
Residencia de mayores Virgen del Carmen,Calle,Corbeta,1 - Urb. Venta Melchor,11300,Línea de la Concepción (La),956 64 50 16,Privada,44,www.rvirgendelcarmen.com,"36,202320","-5,333283",18/05/2015
Centro residencial El Palmeral,Camino,Sobrevela,s/n,11300,Línea de la Concepción (La),956 64 38 40 / 956 64 45 00,Privada,47,asansull.org/elPalmeral.php,"36,199956","-5,331032",02/05/2019
Residencia de Mayores Amor de Dios,Calle,Amor de Dios,4,11170,Medina-Sidonia,956 41 02 54,Privada,40,www.residenciaamordedios.com,"36,459293","-5,926755",22/04/2019
Residencia Edad Dorada,Carretera,de Arcos a Vejer,s/n,11170,Medina-Sidonia,956 41 07 46,Privada sin fin de lucro,168,www.residenciamedina.es,"36,465672","-5,926994",24/04/2019
Residencia de mayores Nuestra Señora del Socorro,Calle,Vereda de Pino,2,11690,Olvera,956 13 04 75,Pública local,26,,"36,931599","-5,249930",23/06/2017
Residencial para mayores La Torre,Carretera,Fuentebravía,Km. 2.2,11500,Puerto de Santa María (El),956 05 97 32,Privada,135,gruposantaclaraquality.es/centro-la-torre,"36,602248","-6,256184",09/04/2019
Asilo de Ancianos - Hermanitas de los Pobres,Calle,Juana Jugán,1 - Las Banderas,11500,Puerto de Santa María (El),956 85 25 37,Privada sin fin de lucro,85,,"36,614115","-6,239152",13/05/2015
Centro Guadalete para enfermos de Alzheimer,Calle,La Línea,19,11500,Puerto de Santa María (El),956 86 46 96,Privada sin fin de lucro,59,,"36,624769","-6,222559",27/05/2019
Puertoluz Resort,Avenida,Río San Pedro,14,11500,Puerto de Santa María (El),956 56 13 32,Privada,202,gruposantaclaraquality.es/centro-puerto-luz,"36,573412","-6,220978",27/05/2019
Residencia provincial de mayores El Madrugador,Calle,Zarza,3,11500,Puerto de Santa María (El),956 87 47 73 / 956 85 77 60,Pública provincial,71,,"36,603665","-6,225073",28/02/2018
Residencia Vedruna para Mayores,Calle,Concepción,6,11510,Puerto Real,956 80 43 63,Privada sin fin de lucro,40,,"36,526925","-6,186608",08/04/2019
Residencia para personas con Alzheimer Las Canteras,Calle,León Felipe,s/n,11510,Puerto Real,956 47 46 01 / 956 56 40 49,Privada sin fin de lucro,59,www.afanaselpuertoybahia.es/?page_id=3100,"36,537872","-6,173998",02/08/2017
Residencia de 3ª edad Magdalena,Calle,Magdalena,27,11659,Puerto Serrano,956 12 74 11 / 610 70 14 98,Pública local,27,,"36,923987","-5,545894",07/07/2017
Residencia municipal de ancianos,Calle,Goya,s/n,11520,Rota,956 81 65 82 / 690 60 03 62,Pública local,25,,"36,624014","-6,363800",05/04/2019
Centro residencial Dolores Castañeda,Calle,Argentina,19,11100,San Fernando,956 59 46 49,Privada sin fin de lucro,102,www.afavitae.org,"36,449613","-6,216624",23/04/2019
Residencia Francisco Jiménez Ponce,Calle,Campanilleros,30,11100,San Fernando,956 80 31 37,Privada,12,,"36,444286","-6,210238",14/05/2015
Residencia Virgen del Carmen,Calle,Doctor Erostarbe,14,11100,San Fernando,856 10 50 60,Privada,23,www.residenciademayorescadiz.com,"36,473481","-6,195305",04/04/2019
Vitalia San Fernando,Calle,Escritor Luis Berenguer,5,11100,San Fernando,956 80 32 20,Privada,196,www.vitaliahome.es/project/san-fernando/,"36,449425","-6,209514",01/08/2011
Residencia de mayores Cruz Roja Española,Calle,Salina La Magdalena,s/n,11100,San Fernando,956 88 57 48 / 956 88 57 49,Privada sin fin de lucro,165,www.rmcruzrojasanfernando.com,"36,463300","-6,192170",10/04/2019
Residencia para personas mayores San José,Calle,Tomás del Valle,5,11100,San Fernando,956 88 22 14,Privada,67,www.geron.es/residencia/residencia-mayores-san-fernando,"36,463069","-6,197244",27/02/2018
Residencia para personas mayores Fundación La Milagrosa,,San Enrique de Guadairo,s/n,11312,San Roque,956 61 62 76 / 646 37 85 67,Privada,40,www.residenciasanenrique.es,"36,307325","-5,292221",05/04/2019
Residencia de ancianos Pergomar,Calle,Real,82,11314,San Roque,956 69 93 04 / 956 69 70 71 / 619 93 51 08,Privada,21,www.residenciapergomar.com,"36,306323","-5,290969",10/04/2019
Residencia municipal para mayores de San Roque,Calle,Conde de Lomas,14,11360,San Roque,956 78 01 36,Pública local,50,www.rsanroque.es,"36,211947","-5,382858",09/04/2019
Residencia Nuestra Señora de la Caridad,,Parque de la Dehesilla,s/n,11540,Sanlúcar de Barrameda,956 38 37 37 / 956 38 37 57,Pública local,80,,"36,770595","-6,353339",12/04/2019
Residencia de ancianos San Isidro Labrador,Avenida,del Carmen,39,11692,Setenil de las Bodegas,956 12 40 32,Pública local,40,,"36,862611","-5,180063",17/07/2017
Residencia de ancianos San José,Calle,Sancho IV el Bravo,29,11380,Tarifa,956 68 49 24,Privada sin fin de lucro,69,www.geron.es/residencia/residencia-mayores-san-jose-tarifa,"36,012123","-5,603314",11/04/2019
Seniors Tarifa,Calle,Vía Arteaga,s/n,11391,Tarifa,956 23 67 17,Privada,115,www.seniorsresidencias.es/es/seniors-residencia-mayores-tarifa,"36,155622","-5,695266",15/10/2019
Residencia Nuestra Señora de los Remedios,Calle,Alameda del Cura,s/n,11600,Ubrique,956 46 70 30 / 956 46 00 95,Privada,70,,"36,680200","-5,449370",18/07/2017
Residencia de ancianos Los Remedios,Avenida,de Andalucía,2,11150,Vejer de la Frontera,956 45 04 74,Pública local,49,,"36,251597","-5,968955",04/04/2019
Residencia de 3ª edad San Lázaro,Calle,La Barca,s/n,11150,Vejer de la Frontera,956 45 15 79,Privada,49,www.residenciasanlazaro.com,"36,253156","-5,956412",06/07/2017
Residencia de ancianos Santa Isabel,Calle,Virgen de los Reyes,10,11650,Villamartín,956 73 00 79 / 956 73 00 11,Pública local,22,,"36,859031","-5,643801",08/06/2015
Residencia de mayores Virgen de los Dolores,Calle,Nueva,41,11688,Zahara,956 12 32 28 / 956 12 32 98,Privada,49,www.residenciazahara.com,"36,837439","-5,390584",25/05/2019
