"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Cantabria, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
La Casa de Tagle Bracho,Barrio,Cigüenza,6,39526,Alfoz de Lloredo,942 72 60 91,Privada,16,,"43,387443","-4,180397",20/09/2017
Residencia de 3ª edad El Pilar,Calle,La Farola,20,39850,Ampuero,942 67 68 88,Privada,21,www.residenciageriatricaelpilar.es,"43,316633","-3,449697",05/04/2019
Residencia María da Luz,Calle,Las Clavelinas,s/n,39197,Argoños,942 13 25 43,Privada,54,www.residenciamariadaluz.com,"43,458997","-3,490875",04/05/2017
Residencia de la Hoz,Avenida,Juan Hormaechea,7,39195,Arnuero,942 67 94 56 / 659 83 98 53,Privada,43,www.geriatricodelahoz.com,"43,491077","-3,551241",10/07/2017
Fundación Residencia San Pedro,Calle,Convento,3,39610,Astillero (El),942 55 86 61,Privada,80,,"43,399525","-3,829680",05/04/2019
Vitalitas San José,,Parque Empresarial de Morero,DT-3,39611,Astillero (El),942 56 53 49,Privada,208,residencias.vitalitas.es/residencia-san-jose,"43,396479","-3,835854",04/04/2019
Residencia geriátrica Los Remedios,Calle,Tomás Maza Solano,24,39611,Astillero (El),942 54 16 32,Privada,22,www.residencialosremedios.es,"43,401195","-3,831584",21/02/2014
Residencia Las Magnolias,Carretera,General Santander a Bilbao,49 - km 180,39790,Bárcena de Cicero,942 64 29 11,Privada,26,,"43,423455","-3,520395",08/04/2019
Residencia Villa Cicero,Urbanización,Ría Gama,1,39790,Bárcena de Cicero,942 64 29 35,Privada,57,www.gsr.coop/residencias-de-personas-mayores/residencia-de-personas-mayores-en-cicero,"43,422175","-3,513732",03/04/2019
Residencia Sagrada Familia,Avenida,de la Constitución,83,39592,Cabezón de la Sal,942 70 03 40,Privada,148,,"43,296961","-4,239580",03/04/2019
Residencia Santa Ana,Calle,Arzobispo,25,39510,Cabuérniga,942 70 60 04,Privada,67,www.residenciateran.com,"43,217662","-4,303000",04/04/2019
Residencia Las Alondras,Avenida,de Bilbao,22 D,39600,Camargo,942 26 99 55,Privada,25,www.residencialasalondras.net,"43,420611","-3,848763",21/02/2014
Ecoplar Cantabria,Calle,Guiterrez Solana,27,39600,Camargo,942 33 06 00,Privada,,www.ecoplar.com,"43,424086","-3,845130",20/01/2015
Apartamentos supervisados de Camargo,Calle,Marqués de Villapuente,s/n,39600,Camargo,942 25 10 67,Pública local,24,,"43,419600","-3,849770",10/04/2019
Residencia de 3ª edad Hijos de Mar,Barrio,La Vega,s/n,39608,Camargo,942 26 08 47,Privada,50,,"43,426400","-3,886310",05/04/2019
Residencia Geriátrica La Encina,Calle,San Roque,12,39608,Camargo,942 26 24 64,Privada,19,www.residencialaencinacantabria.es,"43,423446","-3,861997",08/04/2019
Residencia municipal de Castro-Urdiales,Calle,Silvestre Ochoa,27,39700,Castro-Urdiales,942 86 01 96,Pública local,94,,"43,387605","-3,229378",09/04/2019
Centro Asistencial La Loma,,Alto de la Loma,s/n,39709,Castro-Urdiales,942 87 05 77,Privada,180,centroasistenciallaloma.es,"43,358636","-3,213448",08/04/2019
Residencia Nuestra Señora del Carmen,Calle,Claudio López,1,39520,Comillas,942 72 01 34,Privada sin fin de lucro,88,,"43,384096","-4,289032",07/07/2017
Las Anjanas,Barrio,de Piebandera,6,39400,Corrales de Buelna (Los),942 84 20 38,Pública local,50,www.clecemayores.com/es/residencia/68/residencia-de-personas-mayores-las-anjanas/,"43,253646","-4,066763",16/05/2019
Centro Residencial Valle de Toranzo,Carretera,Nacional 623,s/n,39699,Corvera de Toranzo,942 59 41 23,Pública local,32,,"43,210880","-3,938598",13/07/2017
CAD Laredo,Avenida,Derechos Humanos,15 A,39770,Laredo,942 60 71 50,Pública autonómica,130,,"43,408494","-3,434363",07/03/2018
Residencia de mayores Liérganes,Paseo,del Hombre Pez,10,39722,Liérganes,942 52 80 46,Privada,32,,"43,345049","-3,743668",05/04/2019
Residencia para personas mayores de Limpias,Calle,El Rivero,3,39820,Limpias,942 62 23 12,Pública autonómica,53,www.promaiorem.com/nuestros-centros/centro-residencial-de-limpias,"43,362113","-3,426290",05/04/2019
Residencia Las Cumbres,Barrio,San Andrés,165,39619,Medio Cudeyo,942 54 43 37,Privada,31,www.residenciacumbres.com,"43,385797","-3,807303",03/05/2017
Residencia para personas mayores Madernia,Carretera,General de Helguera,1,39430,Molledo,942 82 89 17 / 638 66 37 48,Privada sin fin de lucro,92,mensajerosdelapazasturiasycantabria.org/madernia,"43,157439","-4,039789",15/04/2019
Residencia geriátrica Los Robles,Calle,La Atalaya,24,39120,Piélagos,942 58 05 94,Privada,122,www.residencialosrobles.es,"43,445885","-3,928144",16/04/2019
Residencia San Roque,Barrio,La Puntania,6 - A,39120,Piélagos,942 58 17 20,Privada,31,,"43,444059","-3,927934",19/07/2017
DomusVi Liencres,Barrio,La Sierra,1-A,39120,Piélagos,942 58 81 14,Privada,146,www.domusvi.es/residencia-de-mayores-santander-liencres,"43,462352","-3,929664",03/04/2019
Residencia Virgen de Valencia,Barrio,Monseñor,19,39478,Piélagos,942 58 92 41,Privada,101,,"43,406820","-3,947660",08/05/2015
Residencia La Arboleda,Barrio,San Pedro,19,39312,Polanco,942 82 45 05,Privada,14,www.residencialaarboleda.com,"43,384943","-4,016116",21/02/2014
Asilo Félix de las Cuevas,Calle,San Roque,13,39570,Potes,942 73 02 18,Privada,90,,"43,154812","-4,620718",27/04/2018
Residencia Geriátrica Puente Viesgo,Barrio,de la Estación,s/n,39670,Puente Viesgo,942 59 90 68,Privada,147,www.residenciapuenteviesgo.es,"43,298135","-3,964187",17/07/2017
Residencia de ancianos San Francisco,Calle,Doctor Jiménez Díaz,5,39200,Reinosa,942 75 04 00,Privada,145,www.fundacionsanfrancsicoreinosa.com,"43,000179","-4,145456",13/07/2017
Residencia de ancianos San Francisco II,Calle,Peligros,4,39200,Reinosa,942 77 40 71,Privada,72,,"43,000002","-4,140026",03/04/2019
Residencia El Estanque,Calle,Villapresente,144,39539,Reocín,942 82 12 43,Privada,18,www.residenciaelestanque.com,"43,363829","-4,112568",10/04/2019
Residencial de 3ª edad Quijas,Calle,Vinueva,86,39590,Reocín,942 83 83 43,Privada,63,residenciaquijas.wordpress.com,"43,360034","-4,086131",10/04/2019
Residencia Virgen de la Salud,Barrio,Puentenansa,9,39554,Rionansa,942 72 81 01,Privada,55,www.promaiorem.com/nuestros-centros/centro-res-virgen-de-la-salud,"43,253615","-4,403767",03/04/2019
Ballesol San Felices,Barrio,Tarriba,11 - A,39409,San Felices de Buelna,942 81 52 90,Privada,82,ballesol.es/residencias-para-mayores-en-cantabria/residencias-ancianos-cantabria,"43,271721","-4,047242",12/04/2019
Residencia geriátrica Virgen de la Barquera,Calle,Río Saja,1,39540,San Vicente de la Barquera,942 71 50 13,Pública local,58,www.promaiorem.com/nuestros-centros/centro-residencia-virgen-de-la-barquera,"43,388821","-4,398664",07/07/2017
Residencia Bimbiles,Barrio,Bergoneo,12,39110,Santa Cruz de Bezana,942 57 81 87,Privada,65,www.bimbiles.com,"43,458292","-3,895782",20/01/2015
Residencia San Cipriano,Calle,Navajeda,6,39110,Santa Cruz de Bezana,942 57 91 03 / 942 57 82 32,Privada,83,www.residenciasancipriano.com,"43,462643","-3,887007",23/07/2013
Residencia Virgen del Pilar,Barrio,Alameda,136 - A,39694,Santa María de Cayón,942 14 18 30,Privada,126,,"43,307079","-3,857078",08/04/2019
