"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Castellón/Castelló, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Vivienda tutelada Infanta Elena,Calle,San Mateo,33,12570,Alcalà de Xivert,964 41 11 64,Privada,10,,"40,305887","0,222166",27/06/2006
Hogar Madre Rosa Ojeda,Calle,Venerable Cura Bertrán,28,12110,Alcora (l'),964 36 02 16,Privada sin fin de lucro,70,www.residenciahogarmadrerosaojeda.org,"40,076157","-0,211670",25/04/2019
Residencia Santa María Rosa Molas,Calle,Darremur Hermanas Consolación,39,12550,Almazora/Almassora,964 04 32 97,Privada sin fin de lucro,58,,"39,941457","-0,063893",22/04/2019
Residencia municipal de la 3ª edad de Almassora,Avenida,Generalitat,20,12550,Almazora/Almassora,964 50 30 99,Pública local,56,,"39,946309","-0,059972",05/04/2019
Centro Residencial Savia Benicarló,Camino,Artola,s/n - Partida Cervellona,12580,Benicarló,964 46 28 95,Privada,124,saviaresidencias.es/centro-residencial-savia-benicarlo,"40,404293","0,407906",25/04/2019
Centro geriátrico Sant Bertomeu,Calle,Peñíscola,19,12580,Benicarló,964 47 18 67,Pública local,64,www.oacse.org,"40,414609","0,423804",09/04/2019
"Residencia geriátrica Benicasim, S. L.",Camino,de Vilarroig,3,12560,Benicasim/Benicàssim,964 30 05 66,Privada,49,www.residenciascastellon.com/benicassim.html,"40,057467","0,076276",14/09/2017
"Residencia Tercera Edad Oasis Palace, S. L.",Urbanización,La Parreta,s/n,12560,Benicasim/Benicàssim,964 39 82 83 / 964 39 88 69,Privada,99,www.residencialoasis.com,"40,044468","0,022958",04/04/2019
Residencia de 3ª edad de Burriana,Calle,Albert Einstein,1,12530,Borriana/Burriana,964 51 69 62 / 964 35 73 00,Pública autonómica,225,,"39,894557","-0,088889",11/07/2013
Residencia de ancianos de Cáritas Interparroquial de Burriana,Calle,San Blas,60,12530,Borriana/Burriana,964 51 01 36 / 964 51 01 16,Privada sin fin de lucro,58,www.larescvalenciana.org/datos-residencia?res=168&nom=residencia-de-ancianos-caritas-interparroquial-de-burriana,"39,890094","-0,079292",16/04/2019
