"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Córdoba, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Vivienda tutelada municipal para mayores,Calle,Carrera,48,14920,Aguilar de la Frontera,957 66 13 93,Pública local,4,,"37,516654","-4,655657",10/11/2017
DomusVi Remedios,Avenida,de Córdoba,98,14920,Aguilar de la Frontera,957 66 21 80,Privada,120,www.domusvi.es/residencia-mayores-cordoba-remedios,"37,526044","-4,654273",06/07/2017
Residencia municipal de mayores Antonio Mansilla,Calle,Maestro Miguel López,9,14480,Alcaracejos,957 15 62 71,Pública local,54,,"38,386986","-4,968583",01/08/2017
Centro Andaluz de Alzheimer,Calle,Pozoblanco,16 - 18,14480,Alcaracejos,957 15 60 68 / 957 15 60 70,Pública local,63,www.centroandaluzdealzheimer.com,"38,389828","-4,966165",09/04/2019
Residencia Alcalde Antonio Pulido,Calle,Médico Almagro,1,14812,Almedinilla,957 70 21 62,Pública local,30,,"37,438981","-4,090269",08/04/2019
Centro residencial El Mirador,Urbanización,La Cigarra Baja,32,14720,Almodóvar del Río,957 33 81 33 / 629 34 24 82 / 690 63 71 87,Privada,46,www.residenciaelmirador.com,"37,855100","-4,969190",26/07/2017
Residencia municipal de mayores Fernando Santos,Calle,Fernando Santos,2,14450,Añora,957 15 12 78,Pública local,42,,"38,410551","-4,894154",04/04/2019
Residencia de ancianos Divino Maestro,Calle,Cardenal Herranz Casado,1,14850,Baena,957 67 03 86,Privada sin fin de lucro,37,,"37,614294","-4,325280",10/04/2019
Residencia Ilunion Sociosanitario Baena,Calle,Córdoba,14 - Urb. El Zambudio,14850,Baena,957 02 10 00,Privada,140,sociosanitario.ilunion.com/servicios/centros-residenciales/andalucia-cordoba/baena-residencia-para-mayores-y-unidad-de,"37,594149","-4,322217",04/04/2019
Centro residencial La Casa Grande,Calle,Rafael Onieva Ariza,18,14850,Baena,957 66 52 81,Privada,107,,"37,615563","-4,319656",19/07/2017
Hogar San Francisco,Calle,San Francisco,9,14850,Baena,957 67 01 42,Privada sin fin de lucro,58,,"37,613644","-4,334928",11/02/2013
Residencia Nuestra Señora de Gracia de Alcantarilla,Carretera,Comarcal 420,3,14280,Belalcázar,957 14 65 34,Pública local,48,,"38,577698","-5,162882",04/06/2015
Residencia de mayores Virgen de los Remedios,Calle,Córdoba,6,14240,Belmez,957 57 33 00,Privada,39,,"38,272079","-5,208365",04/04/2019
Residencia municipal Santa Teresa de Jesús,Calle,José Marrón,99,14910,Benamejí,957 53 08 40,Pública local,70,,"37,270674","-4,541489",08/04/2019
Residencia Fundación Hospital San Juan de Dios,Calle,Eduardo Sotomayor,2,14650,Bujalance,957 17 15 64,Privada,33,,"37,895963","-4,382144",04/04/2019
Residencia Nuestra Señora de la Sierra,Avenida,de Andalucía,43,14940,Cabra,957 52 01 55,Privada sin fin de lucro,100,,"37,475575","-4,437228",28/02/2018
C. R. M. Margarita Marín Pérez,Avenida,Fuente de las Piedras,s/n,14940,Cabra,957 52 27 68,Privada,58,www.fundacionpromi.es/c-r-m-margarita-marin-perez,"37,485883","-4,455055",08/04/2019
Residencia municipal para personas mayores San Miguel,Ronda,Porcuna,2,14660,Cañete de las Torres,957 18 37 73,Pública local,20,,"37,868530","-4,313674",14/07/2017
Centro residencial Virgen del Castillo,Calle,Prolongación C/ Carnicería,s/n,14810,Carcabuey,957 55 34 69,Pública local,27,,"37,443408","-4,270480",09/04/2019
Centro Residencial José Lázaro Civill,Calle,Chile,25,14100,Carlota (La),957 30 21 27,Pública local,52,,"37,670272","-4,939669",10/04/2019
Residencia de ancianos Jesús Nazareno,Plaza,Madre Isabel,8,14840,Castro del Río,957 37 00 12,Privada sin fin de lucro,83,,"37,691859","-4,482315",06/05/2019
Residencia Municipal de Mayores Santa Ana,Calle,Juego de Bolos,7,14448,Conquista,957 15 94 86,Pública local,20,,"38,408277","-4,499693",09/04/2019
Residencia de ancianos Jesús Nazareno,Calle,Buen Suceso,1,14001,Córdoba,957 48 43 75,Privada sin fin de lucro,109,,"37,887919","-4,771518",03/04/2019
Residencia Nuestra Señora de los Dolores,Plaza,de Capuchinos,6 - 7,14001,Córdoba,957 47 60 57,Privada,72,,"37,887961","-4,777034",22/04/2019
Fundación Residencia Santa María,Plaza,de la Compañía,5,14002,Córdoba,957 47 85 25,Privada,41,,"37,883412","-4,778175",04/04/2019
Residencia de San Andrés,Calle,Frailes,18,14002,Córdoba,957 49 19 81,Privada,34,fasanjuandedios.es/centros/residencia-mayores-san-andres/,"37,890659","-4,766694",31/08/2015
Hogar San Rafael,Calle,Buen Pastor,1,14003,Córdoba,957 47 70 17,Privada sin fin de lucro,150,,"37,881354","-4,781777",11/02/2013
Centro residencial San Juan de la Cruz,Calle,Buen Pastor,22,14003,Córdoba,957 76 09 50,Privada,92,,"37,880611","-4,781590",11/07/2013
Residencia de mayores Santísima Trinidad,Calle,Lope de Hoces,12,14003,Córdoba,957 29 30 04,Privada,64,,"37,882807","-4,784059",23/03/2018
Centro Residencial Además,Calle,Escritora Gloria Fuertes,(esq C/ Francisco Ortega),14004,Córdoba,957 76 45 33,Privada,23,www.alzheimercordoba.es,"37,875614","-4,794384",03/04/2019
Residencia de personas mayores María Auxiliadora,Calle,Julio Arteche,3,14005,Córdoba,957 46 02 59,Privada,38,www.residenciamariaauxiliadora.es,"37,880236","-4,810353",25/04/2019
Residencia Córdoba Centro,Calle,Cronista Rey Díaz,2,14006,Córdoba,957 22 22 00,Privada,106,orpea.es/centros-residencias/residencia-ancianos-cordoba-centro,"37,894115","-4,781552",20/07/2017
Residencia San Pablo,Calle,Escritora Rocío Moragas,1,14009,Córdoba,957 76 07 72,Privada sin fin de lucro,40,,"37,867278","-4,769504",05/04/2019
Residencia Séneca,Calle,Conquistador Ordoño Álvarez,4,14010,Córdoba,957 75 33 15,Pública autonómica,64,grupoelyate.es/residencia-seneca/,"37,879765","-4,764089",04/04/2019
Vitalia San Rafael,Avenida,Arroyo del Moro,32,14011,Córdoba,957 76 84 71,Privada,135,www.vitaliahome.es/project/san-rafael/,"37,892977","-4,798703",09/04/2019
Centro residencial para personas mayores Parque Figueroa,Avenida,del Mediterráneo,s/n,14011,Córdoba,957 00 42 00,Pública autonómica,124,,"37,893008","-4,802100",08/04/2019
Vivienda tutelada San José,Carretera,Trassiera,Km. 7,14011,Córdoba,957 27 29 41,Privada sin fin de lucro,,,,,02/02/2017
Orpea Córdoba Sierra,Calle,Alcalde Guzmán Reina,s/n,14012,Córdoba,957 40 17 40,Privada,150,orpea.es/centros-residencias/centro-dia-residencia-ancianos-cordoba-sierra,"37,901400","-4,785210",13/07/2017
Residencia Castilla,Avenida,Brillante,62,14012,Córdoba,957 40 15 07,Privada,27,,"37,902035","-4,788784",04/04/2019
Residencia de mayores Nuestra Señora del Valle,Avenida,Brillante,95,14012,Córdoba,957 40 17 72,Privada,47,,"37,903950","-4,790221",28/02/2018
Residencia La Fraternidad,Avenida,Brillante,135,14012,Córdoba,957 28 13 56,Privada,24,www.residenciadeancianoslafraternidad.com,"37,909110","-4,793788",04/04/2019
Residencia y vivienda tutelada para la 3ª edad Princesa,Avenida,Brillante,156,14012,Córdoba,957 27 23 73,Privada,33,www.residenciaprincesa.com,"37,916683","-4,801709",11/07/2017
Residencia para personas mayores El Tilo,Calle,Cardenal Portocarrero,45,14012,Córdoba,957 27 15 15,Privada,,residenciaeltilo.com.es/,"37,909452","-4,789997",11/02/2013
Residencia Mirasierra,Carretera,de Villaviciosa,22,14012,Córdoba,957 28 19 01 / 957 76 73 00,Privada,27,www.residenciamirasierra.es,"37,915430","-4,798728",06/07/2017
Residencia municipal Guadalquivir,Calle,Libertador Simón Bolívar,s/n (esq. C/ Libertador H. y Costilla),14013,Córdoba,957 76 04 62,Pública local,99,www.vitaliahome.es/project/cordoba/,"37,859900","-4,781250",26/07/2017
El Yate - Nueva Luna,Carretera,Nacional IV,Km. 393 - A,14610,Córdoba,957 32 08 08,Privada,121,grupoelyate.es/residencia-el-yate/,"37,921927","-4,694232",06/07/2017
Residencia Nuestra Señora de las Mercedes ARTECLINI,Calle,Guadiana,10,14710,Córdoba,957 94 87 28,Privada,32,arteclini.es,"37,848784","-4,915213",28/02/2018
Residencia La Magdalena,Calle,Magdalena,16,14460,Dos Torres,957 13 41 28,Privada,29,fasanjuandedios.es/centros/residencia-mayores-la-magdalena/,"38,445968","-4,894106",04/04/2019
Centro sociosanitario Vitalia Espiel,Camino,Rosario Altolaguirre,s/n,14220,Espiel,957 36 33 00,Privada,181,www.vitaliahome.es/project/espiel/,"38,189058","-5,028328",09/04/2019
Residencia de ancianos Los Ángeles,Calle,Córdoba,5,14290,Fuente Obejuna,957 58 42 45,Privada,39,,"38,266969","-5,418036",10/04/2019
Residencia de personas mayores Santa Magdalena,Carretera,de Posadas,Km. 2,14120,Fuente Palmera,955 90 27 00,Privada sin fin de lucro,38,www.aproni.org/site/index.php/conoce-santa-magdalena,"37,711687","-5,104961",04/04/2019
Residencia municipal para personas mayores de Fuente-Tójar,Calle,Antonio Machado,14,14815,Fuente-Tójar,957 55 64 33,Pública local,19,www.gruporeifs.com/nuestros-centros/residencia-para-mayores-reifs-fuente-tojar,"37,511108","-4,144910",17/04/2019
Centro residencial municipal Santa Ana,Avenida,de Andalucía,62,14413,Guijo (El),957 15 91 11,Pública local,26,,"38,492724","-4,782753",11/07/2017
Residencia de personas mayores La Bella,Calle,Camino Ancho,s/n,14270,Hinojosa del Duque,957 33 30 36,Privada,41,www.residenciademayoresdelabella.com,"38,490545","-5,124050",11/04/2019
Fundación Residencia Hospital de Jesús Nazareno,Calle,Caridad,8,14270,Hinojosa del Duque,957 14 07 62,Privada sin fin de lucro,53,www.residenciajesusnazareno.es,"38,501166","-5,146772",05/04/2019
Residencia municipal El Calvario,Calle,Calvario,1,14970,Iznájar,957 53 47 35,Pública local,49,,"37,256627","-4,311662",08/04/2019
Residencia San Juan de Dios,Calle,Calzada,1,14900,Lucena,957 50 01 23,Privada,79,fasanjuandedios.es/centros/residencia-mayores-san-juan-de-dios/,"37,405759","-4,487184",05/04/2019
Residencia municipal de personas mayores,Plaza,de España,9,14880,Luque,957 66 77 91,Pública local,25,,"37,559786","-4,276514",09/04/2019
Residencia San Juan de Dios,Plaza,del Obispo Pérez Muñoz,s/n,14550,Montilla,957 02 29 79,Pública local,44,www.monsecor.net,"37,584200","-4,637540",04/04/2019
Hogar Residencia San Rafael,Calle,Santa Teresa Jornet,14,14550,Montilla,957 65 03 03,Privada sin fin de lucro,99,,"37,576754","-4,641383",04/04/2019
Hospital Residencia Jesús Nazareno,Calle,Salazar,8,14600,Montoro,957 16 00 72,Privada,79,,"38,024558","-4,382229",07/05/2015
Residencia Hospital San Sebastián,Plaza,Nuestro Padre Jesús Nazareno,s/n,14700,Palma del Río,957 64 31 61,Privada,102,rhsansebastian.wixsite.com/2016,"37,699394","-5,282498",17/04/2019
Vitalia Palma,Calle,Panamá,2,14700,Palma del Río,957 71 00 33,Privada,120,www.vitaliahome.es/project/palma/,"37,697562","-5,274118",04/04/2019
Residencia de ancianos El Salvador,Calle,Fuente de la Cava,1,14412,Pedroche,957 13 70 50 / 957 13 72 07,Privada,147,,"38,429879","-4,765251",28/02/2018
Residencia para mayores Virgen del Rosario,Plaza,de la Dirección,1,14200,Peñarroya-Pueblonuevo,957 56 70 34,Privada,112,www.shispania.es/virgen_del_rosario.html,"38,299533","-5,270783",04/04/2019
Residencia de mayores Santa Bárbara,Avenida,José Simón de Lillo,s/n,14200,Peñarroya-Pueblonuevo,957 56 15 07,Privada,98,,"38,299700","-5,266440",06/07/2017
Vitalia Posadas,Calle,Médicos Sin Fronteras,s/n,14730,Posadas,957 63 20 24,Privada,103,www.vitaliahome.es/project/posadas,"37,805235","-5,100192",04/08/2011
Fundación Benéfica Particular Hospital de Jesús Nazareno,Calle,Benedicto XV,1,14400,Pozoblanco,957 77 02 32,Privada,70,,"38,378668","-4,850157",12/04/2019
Residencia Hermanos Muñoz Cabrera,Ronda,Los Muñoces,62,14400,Pozoblanco,957 77 04 46,Privada,95,residenciahermanosmunozcabrera.com,"38,376993","-4,852960",28/02/2018
Residencia San José,Avenida,de España,30,14800,Priego de Córdoba,957 54 06 38,Privada,75,www.fundacionarjonavalera.es/servicios/residencia-de-mayores/,"37,439846","-4,205711",13/07/2017
Centro Residencial San Juan de Dios,Plaza,de la Constitución,4,14800,Priego de Córdoba,957 54 15 02,Privada,40,,"37,438831","-4,194881",31/01/2017
Fundación Mármol,Plaza,de San Francisco,7 - 9,14800,Priego de Córdoba,957 54 06 43,Privada sin fin de lucro,36,,"37,437262","-4,191791",10/04/2019
Residencia de mayores de Priego de Córdoba,Plaza,Juan Pablo II,s/n,14800,Priego de Córdoba,957 54 29 68,Pública autonómica,68,www.geiss96.es,"37,435716","-4,194347",11/07/2017
DomusVi Inmaculada Concepción,Calle,Elio Antonio Nebrija,4,14500,Puente Genil,957 60 26 58,Privada,110,www.domusvi.es/residencia-para-mayores-sarquavitae-inmaculada-concepcion,"37,390076","-4,759835",10/04/2019
Residencia hogar Santa Susana,Calle,Susana Benítez,9,14500,Puente Genil,957 60 02 98,Privada sin fin de lucro,50,,"37,390639","-4,769408",09/05/2019
Residencia Santísimo Cristo de los Remedios,Calle,La Iglesia,1,14540,Rambla (La),957 68 40 13,Privada,64,,"37,608391","-4,740374",04/04/2019
Residencia Juan Crisóstomo Mangas,Calle,Juan Crisóstomo Mangas,1,14960,Rute,957 53 82 45 / 957 53 82 24,Privada sin fin de lucro,88,www.juancrisostomomangas.com,"37,324321","-4,371019",09/04/2019
Residencia Nuestra Señora de África,Calle,Muralla,1,14491,Santa Eufemia,957 15 81 66,Pública local,42,www.santaeufemia.es/ayuntamiento/residencia_municipal_de_mayores,"38,594962","-4,903203",08/04/2019
Residencia de mayores,Calle,Ejido,s/n,14410,Torrecampo,957 15 54 54,Pública local,44,,"38,472079","-4,681419",11/07/2017
Residencia municipal de mayores,Calle,Camino de la Mimbre,4,14210,Villaharta,957 36 21 69 / 957 36 70 92,Pública local,39,www.geron.es/residencia/esidencia-mayores-villaharta-cordoba,"38,138562","-4,900405",12/07/2017
Centro residencial Virgen de Luna,Avenida,de Cardeña,22,14440,Villanueva de Córdoba,957 12 14 87,Privada,32,residenciavirgendeluna.com,"38,321870","-4,619020",08/04/2019
Centro Residencial para personas mayores Jesús Nazareno,Calle,Moreno de Pedrajas,s/n,14440,Villanueva de Córdoba,957 12 00 47,Privada,67,,"38,318600","-4,630460",10/07/2017
Residencia Sagrada Familia,Plaza,María Josefa Fernández Benítez,1,14250,Villanueva del Duque,957 12 63 94,Privada sin fin de lucro,70,residenciavillanuevadelduque.blogspot.com/,"38,394280","-5,000885",08/04/2019
Residencia Hogar Parroquial Jesús Nazareno,Calle,Doctor Collantes,28,14230,Villanueva del Rey,957 58 91 25,Privada,,,"38,201168","-5,150510",31/01/2017
Residencia Isidoro Fernández,Carretera,de Villaralto a Villanueva del Duque,s/n,14490,Villaralto,957 15 02 98,Pública local,50,,"38,450371","-4,983839",11/07/2017
Casa Nuestra Señora del Carmen,Calle,El Carmen,19,14470,Viso (El),957 12 71 08,Privada sin fin de lucro,48,www.casaresidencialelcarmen.com,"38,484470","-4,955412",06/07/2017
