"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Granada, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia de mayores Virgen de los Remedios,Pasaje,de Santo Cristo,s/n,18280,Algarinejo,958 31 25 99,Pública local,44,residenciademayoresalgarinejo.es,"37,325331","-4,153495",06/07/2017
Hogar residencia San Jerónimo,Carretera,de Granada,18,18120,Alhama de Granada,958 35 00 08,Pública local,56,,"37,004569","-3,989912",08/04/2019
Residencia Nueva del Milenio Camino de Santiago,Calle,Vereda de la Acequia,72,18620,Alhendín,958 55 82 47 / 958 55 89 08,Privada,28,residenciacaminodesantiago.com,"37,106748","-3,642156",26/04/2019
Centro residencial Santo Cristo de la Salud,Calle,Eras,s/n,18438,Almegíjar,958 34 37 00,Pública local,23,residenciademayoresalmegijar.es,"36,902804","-3,302763",08/04/2019
Residencia de ancianos La Milagrosa,Avenida,de Barcelona,s/n,18100,Armilla,958 24 74 00,Pública provincial,120,www.dipgra.es/contenidos/residenciaMilagrosa/,"37,136774","-3,622724",10/04/2019
Centro Residencial para personas mayores de Armilla,Calle,San Miguel,112,18100,Armilla,958 00 16 00,Pública autonómica,134,,"37,139445","-3,616475",07/07/2017
Centro Residencial Entreálamos,Camino,de Caparacena,s/n,18230,Atarfe,958 53 73 00,Privada,250,www.entrealamos.com,"37,269229","-3,684143",04/04/2019
Residencia municipal Braulia Ramos Alarcón,Calle,Bulevar Dama de Baza,5,18800,Baza,958 07 13 77,Pública local,103,www.avita.es/residenciabaza.html,"37,496118","-2,761285",12/04/2019
Hogar San José,Plaza,de Andalucía,4,18800,Baza,958 70 02 05,Privada sin fin de lucro,106,,"37,487910","-2,775785",31/01/2017
Residencia Fardes,Carretera,de Bejarín,s/n,18510,Benalúa,958 69 60 37,Privada,36,residencialfardes.com,"37,347897","-3,169675",10/07/2017
Centro de Mayores Cáxar de la Vega,Camino,de Pescaderos,2,18199,Cájar,958 30 82 92,Privada sin fin de lucro,98,www.caxardelavega.es,"37,133356","-3,575916",04/04/2019
Residencia La Encarnación y San José,Calle,Rosal,2,18199,Cájar,958 50 19 61,Privada,35,,"37,133951","-3,573458",25/07/2017
Residencia Virgen de los Remedios,Camino,de la Yesera,s/n,18565,Campotéjar,958 38 54 08,Pública local,53,,"37,480900","-3,612717",07/05/2015
Centro residencial La Torre,Carretera,de Baza a Caniles,Km. 8,18810,Caniles,958 70 48 48,Privada,30,www.residenciageriatricalatorre.com,"37,458480","-2,742510",05/04/2019
Centro residencial Regina,Calle,Calvo Sotelo,10,18194,Churriana de la Vega,958 57 82 81,Privada,46,,"37,145576","-3,647187",10/07/2017
Residencia geriátrica Santa Bárbara,Calle,Santa Bárbara,34,18194,Churriana de la Vega,958 55 11 46 / 657 84 50 47,Privada,32,www.sbarbararesidencia.com,"37,142930","-3,648678",25/04/2019
Residencia de 3ª edad Los Sifones,,Los Sifones,1,18211,Cogollos de la Vega,958 40 90 29,Privada,29,,"37,281261","-3,570946",04/05/2018
Residencia de ancianos Casa de Caridad La Encarnación,Calle,San Sebastián,11,18850,Cúllar,958 73 26 41,Privada sin fin de lucro,28,,"37,583686","-2,578857",15/04/2019
Centro residencial El Balcón de Cúllar,Camino,Viejo de Santa Fe,1,18194,Cúllar Vega,958 58 91 14,Privada,105,www.geriatricxxi.com,"37,159471","-3,690325",31/01/2017
Viviendas tuteladas municipales,Calle,Núñez Blanca,1,18650,Dúrcal,958 78 10 64,Pública local,10,,"36,987732","-3,569577",03/04/2019
Residencia de mayores Divina Pastora,Avenida,de Andalucía,130,18340,Fuente Vaqueros,958 51 63 79,Privada,80,www.fundacionlospastoreros.es,"37,218702","-3,778313",04/04/2019
Residencia Geroinnova Granada,Calle,Fuente Salinas,2,18340,Fuente Vaqueros,958 10 05 10,Privada,145,www.geroinnovagranada.es,"37,222353","-3,750185",14/04/2019
Centro Residencial Senior Sur Granada,Calle,Fuente Salinas,40,18340,Fuente Vaqueros,958 14 15 83 / 660 21 87 32,Privada,160,www.seniorsurgranada.es,"37,219678","-3,751150",03/04/2019
Residencia de mayores San Cristóbal,Calle,San Cristóbal,4,18110,Gabias (Las),958 58 11 84,Privada,85,macrosad.es/centrosparamayores,"37,135901","-3,672622",15/04/2019
Residencia de personas mayores San Cayetano,Calle,Cuesta Matuete,s/n,18870,Gor,958 68 22 95,Pública local,85,www.shispania.es,"37,371380","-2,972531",03/04/2019
Asilo de Ancianos - Hermanitas de los Pobres,Calle,Doctor Félix Rodríguez de la Fuente,8,18006,Granada,958 12 32 11,Privada sin fin de lucro,110,,"37,156288","-3,604794",17/04/2019
Residencia El Refugio,Calle,Callejón del Pretorio,4,18008,Granada,958 12 31 67,Privada,63,residenciaelrefugio.es,"37,167132","-3,593010",23/08/2017
Hogar Beato Fray Leopoldo,Calle,Ojos del Salado,5,18008,Granada,958 27 06 66,Privada,100,www.residenciabeatofrayleopoldo.com,"37,160474","-3,575871",03/04/2019
DomusVi El Serrallo,Calle,Padre Ferrer,1,18008,Granada,958 71 50 90,Privada,138,www.domusvi.es/residencia-mayores-granada-el-serrallo,"37,157744","-3,579112",03/04/2019
Residencia y viviendas tuteladas San Juan de Dios,Calle,Convalecencia,2 y 3,18010,Granada,958 22 74 49,Privada sin fin de lucro,82,www.sjdgranada.es/residencia-san-juan-de-dios,"37,178002","-3,595377",09/04/2019
Residencia de personas mayores Claret Granada,Calle,Pedro Machuca,21,18011,Granada,958 17 31 34,Privada sin fin de lucro,180,www.micla.es/es/servicios/residencias-de-mayores/residencia-de-mayores-en-granada/presentacion-residencia-de-mayores-en-granada.html,"37,203952","-3,607342",15/05/2019
Centro residencial Ecoplar Granada,Camino,San Antonio,5,18011,Granada,958 20 09 11,Privada,94,www.ecoplar.com,"37,186508","-3,594807",07/07/2017
Centro residencial Oasis,Calle,Gloria Mas,19,18013,Granada,958 16 35 29,Privada sin fin de lucro,78,,"37,196780","-3,617101",04/04/2019
Vivienda tutelada San Vicente de Paúl,Calle,Molino Nuevo,7 - Apdo. de Correos: 4048,18013,Granada,958 18 53 35,Privada sin fin de lucro,24,,"37,210048","-3,607384",09/04/2019
Ballesol Granada,Calle,Jimena,4,18014,Granada,958 17 28 76,Privada,106,ballesol.es/residencias-para-mayores-en-andalucia/ballesol-granada,"37,201408","-3,616167",03/04/2019
Hogar de ancianos Santa Teresa Jornet,Avenida,Buenos Aires,105,18500,Guadix,958 66 01 56,Privada sin fin de lucro,110,,"37,314030","-3,129217",03/04/2019
Residencia municipal de asistidos,Calle,Rosa Chacel,13,18500,Guadix,958 66 65 00,Pública local,76,www.foam.es,"37,300400","-3,134581",03/04/2019
Centro Residencial Virgen del Carmen,Calle,Barranquillo del Romeral,s/n,18614,Gualchos,958 65 64 69 / 958 65 60 69,Privada sin fin de lucro,95,,"36,727667","-3,366167",04/04/2019
Residencial Visierra,Calle,Ramón y Cajal,29,18160,Güéjar Sierra,958 48 49 20,Privada,30,,"37,159843","-3,438992",18/07/2017
Casa Familiar Nuestra Señora de la Presentación,Plaza,Ermita,s/n,18512,Huéneja,958 68 36 97,Privada sin fin de lucro,26,www.cruzblanca.org,"37,176171","-2,953605",08/04/2019
Residencia de mayores Rodríguez Penalva,Carretera,de Santiago de la Espada,km. 12 - Finca Los Morales,18830,Huéscar,958 72 80 00 / 958 72 80 01,Pública provincial,99,www.dipgra.es/contenidos/residenciaRPenalva/,"37,889041","-2,596406",07/07/2011
Residencia para mayores San Jaime,Calle,Manuel de Falla,9,18830,Huéscar,958 74 02 03,Privada,92,,"37,806969","-2,546167",10/04/2019
Centro polivalente de mayores Santa Isabel,Calle,Nueva,4,18360,Huétor Tájar,958 33 35 58,Privada sin fin de lucro,35,www.caritasgranada.org/mayores-2/,"37,194489","-4,047827",05/04/2019
Residencia geriátrica San Rogelio,Carretera,Puerto Lope,32,18260,Illora,958 46 32 22,Privada,37,residenciasanrogelio.com,"37,289437","-3,868001",12/04/2019
Residencia de ancianos de la Fundación San Carlos y Santa Margarita,Plaza,de la Constitución,8,18380,Illora,958 44 88 88,Privada,19,,"37,237695","-3,966362",13/05/2019
Centro Residencial Trinidad y Montes Orientales,Calle,Magnolia,30,18550,Iznalloz,958 38 45 83,Privada,88,trinidad-mo.com,"37,389588","-3,518569",05/04/2019
Centro Residencial Virgen del Pincho,Calle,Simón Bolívar,1,18327,Láchar,958 51 89 01,Privada,48,www.virgendelpincho.com,"37,191531","-3,834052",03/04/2019
Vivienda tutelada El Buen Samaritano,Calle,Las Parras,31,18300,Loja,958 32 40 01,Privada sin fin de lucro,7,,"37,168651","-4,152908",08/04/2019
Residencia Santa Clara,Avenida,Pérez del Álamo,21,18300,Loja,958 32 24 03,Privada,30,www.doceteomnes.com/obra-social-padre-villoslada/atencion-a-personas-mayores/residencias-ancianos-granada/santa-clara-loja-.html,"37,166257","-4,145902",31/01/2017
Residencia de mayores Nuestra Señora de la Misericordia,Avenida,San Francisco,20,18300,Loja,958 32 00 63,Pública local,111,www.facebook.com/residenciamisericordialoja/,"37,172572","-4,151779",11/02/2013
Residencia Santiago Carrillo,Calle,Montevideo,s/n,18200,Maracena,958 41 26 19,Pública local,116,www.residenciamaracena.com/,"37,212078","-3,638018",20/07/2017
Centro Residencial San Antonio,Calle,Fuente y Prado,7,18270,Montefrío,958 33 60 62,Pública local,57,,"37,323047","-4,003804",03/04/2019
Residencia San Sebastián,Calle,Zanjón,s/n,18270,Montefrío,958 31 10 15 / 958 31 10 20,Privada,42,resiedenciasansebastian.es,"37,322000","-4,009990",10/07/2017
Residencia geriátrica Nueva Vida,Calle,Cyca,1,18600,Motril,958 60 88 66,Privada,59,www.residencianuevavida.es,"36,752500","-3,523400",06/04/2019
Centro Residencial Costa Nevada,Avenida,Enrique Martín Cuevas,31,18600,Motril,958 60 63 38 / 676 93 89 37,Privada,75,www.costanevada.es,"36,752053","-3,521286",03/04/2019
Residencia San Luis,Avenida,Pío XII,5,18600,Motril,958 60 13 13,Pública local,48,,"36,746237","-3,513419",09/04/2019
Centro residencial Pilar Pérez,Calle,Miguel Hernández,1,18494,Nevada,958 76 00 85,Pública local,50,www.residenciapilarperez.com,"37,010030","-3,013016",05/04/2019
"Residencia para la 3ª edad Vista Nevada, S. L.",Calle,Hervidero,2,18151,Ogíjares,958 50 79 04,Privada,70,www.vistanevada.es,"37,111861","-3,616399",10/04/2019
Residencia de mayores Virgen de los Remedios,Calle,Profesor Julio Rodríguez,6,18400,Órgiva,958 78 48 40,Pública local,56,www.residenciademayoresorgiva.es/,"36,901593","-3,419996",04/04/2019
Residencia de mayores Fuente de la Salud,Calle,Colegios,6,18640,Padul,958 19 34 60,Pública local,41,www.fundacionzayas.es,"37,024708","-3,628425",04/04/2019
Residencia de mayores Manuel Alfaro,Calle,Carmen,21,18530,Pedro Martínez,958 68 73 03,Pública local,59,,"37,498319","-3,230779",08/04/2019
Residencia municipal de mayores FOAM,Plaza,de la Candelaria,s/n,18210,Peligros,958 40 57 09 / 958 40 54 12,Pública local,32,www.foam.es/servicios/residencia-de-mayores-de-peligros-granada,"37,232020","-3,630982",08/04/2019
Centro Residencial Fonseca,Avenida,Fonseca,s/n,18210,Peligros,958 40 01 47,Privada,154,www.residenciafonseca.com,"37,234368","-3,640312",03/04/2019
Centro Residencial Alicante,Avenida,Reina Sofía,s/n,18210,Peligros,958 40 18 94,Privada,45,,"37,229870","-3,635879",03/05/2019
Residencia Socio Asistencial de Pinos Puente,Calle,Huertos,25,18240,Pinos Puente,958 45 08 87,Pública local,41,,"37,249877","-3,749911",03/04/2019
Residencia de personas mayores de Salar,Plaza,Tierno Galván,s/n,18310,Salar,958 31 66 15,Pública local,40,laalfaguara.com/residencia-unidad-estancia-diurna-la-afaguara-salar,"37,148053","-4,066520",07/05/2019
Residencia Perpetuo Socorro,Avenida,de América,2,18320,Santa Fe,958 51 05 28,Privada sin fin de lucro,146,www.crperpetuosocorro.org,"37,188932","-3,724302",09/04/2019
Residencia de ancianos Virgen de la Paz,Calle,Pintor Juan Ruiz,9,18320,Santa Fe,958 44 06 13,Privada sin fin de lucro,50,,"37,187016","-3,715008",07/05/2019
Centro residencial Virgen del Martirio,Calle,Sánchez Velayos,6,18480,Ugíjar,958 76 72 11,Privada sin fin de lucro,26,,"36,963446","-3,050285",14/07/2017
Centro Residencial María Zayas,Camino,de Purchilejo,s/n,18101,Vegas del Genil,958 43 28 60,Privada,111,www.geron.es/residencia/residencia-ancianos-maria-zayas-belicena-granada,"37,172136","-3,684515",07/10/2013
Residencia de mayores Corazón de Jesús,Calle,Reina Sofía,17,18630,Villa de Otura,958 55 57 59,Privada,13,,"37,089857","-3,633793",04/04/2019
Centro residencial El Balcón de La Zubia,Calle,Elena Martín Vivaldi,1,18140,Zubia (La),958 59 39 27 / 958 59 39 42,Privada,104,www.residenciafbz.com,"37,113637","-3,590171",20/07/2017
Residencia El Pinar,Calle,Julián Besteiro,24,18140,Zubia (La),958 89 01 90,Privada,18,www.elpinarresidencia.es,"37,112968","-3,583000",04/04/2019
Residencia de ancianos Sagrada Familia,Calle,Real,39,18140,Zubia (La),958 89 03 29,Privada sin fin de lucro,42,,"37,119352","-3,584521",08/04/2019
