"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Guadalajara, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Vivienda Tutelada de Mayores,Calle,Mayor,34,19117,Albalate de Zorita,949 37 50 18,Pública local,19,,"40,308180","-2,842367",06/05/2019
Residencia de Mayores San Antonio,Avenida,Almoguera,10,19112,Albares,949 38 06 37,Privada,102,www.residenciasanantonio.com,"40,306972","-3,011365",26/04/2019
Residencia El Palazuelo,Carretera,Nacional 320,Km. 209.3,19125,Alcocer,949 35 51 50,Pública local,40,,"40,472068","-2,616182",04/04/2019
Vivienda tutelada de Alcolea del Pinar,Calle,Real,24,19260,Alcolea del Pinar,949 30 02 83 / 949 30 00 18,Pública local,10,www.aytoalcoleadelpinar.org,"41,036598","-2,472117",04/04/2019
Vivienda Tutelada de Mayores de Alcoroches,Carretera,de Checa,s/n,19310,Alcoroches,949 83 60 19,Pública local,8,,"40,626403","-1,747031",08/03/2018
Vivienda Tutelada de Mayores de Almoguera,Calle,Zurbarán,32,19115,Almoguera,949 38 01 64,Pública local,10,,"40,297335","-2,978444",19/04/2018
Residencia de Mayores Virgen de la Luz,Calle,Estajadero,10,19118,Almonacid de Zorita,949 37 50 37,Pública local,105,www.almonaciddezorita.es/atencion-a-los-mayores,"40,325911","-2,849022",03/04/2019
Residencia de mayores Juan Pablo II,Calle,Juan Pablo II,s/n,19208,Alovera,,Privada sin fin de lucro,122,,"40,601545","-3,249805",10/02/2011
Vivienda tutelada municipal,Calle,Alto Rey,3,19237,Arbancón,949 85 53 24,Pública local,8,www.arbancon.es/web/guest/vivienda-de-mayores,"40,964020","-3,113728",20/09/2017
Residencia Las Palmeras,Camino,de la Barca,16,19200,Azuqueca de Henares,949 26 37 50 / 949 26 34 77,Privada,100,www.albertia.es/residencias/albertia-las-palmeras,"40,568555","-3,260623",11/09/2017
