"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Huesca, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia de 3ª edad La Solana,Calle,La Solana,2,22330,Aínsa-Sobrarbe,974 50 08 13 / 974 50 00 02,Pública local,57,,"42,417143","0,135726",03/12/2014
Residencia La Sabina,Calle,La Sabina,s/n,22558,Albelda,974 42 06 69 / 646 98 65 74,Privada,50,www.residencialasabina.es,"41,859734","0,456800",25/07/2013
Residencia Virgen de Astón,Calle,Joaquín Costa,s/n,22282,Alcalá de Gurrea,,Pública local,16,,"42,064937","-0,683223",17/05/2017
Residencia Sierra de Alcubierre,Calle,Santa Ana,s/n,22251,Alcubierre,974 57 72 34,Privada,44,,"41,806825","-0,449270",03/05/2017
Residencia para personas mayores Jaime Dena,Calle,Pedro Saputo,8,22270,Almudévar,974 25 09 13,Pública local,37,residenciasreyardid.es/residencias-mayores/huesca/almudevar,"42,042653","-0,582488",08/04/2019
Residencia Santo Domingo,Carretera,Zaragoza,18,22270,Almudévar,974 25 02 98,Privada,33,www.residenciasantodomingoalmudevar.es,"42,038251","-0,576638",03/05/2017
Residencia municipal,Calle,Francisco de Goya,3,22540,Altorricón,974 42 56 53 / 690 70 02 57,Pública local,16,,"41,802714","0,413700",05/04/2019
Residencia Brusau Santolaria,Urbanización,Guara,s/n,22123,Angüés,974 26 05 27,Privada,60,,"42,112441","-0,153609",01/07/2019
Fundación Cocorro,Calle,Estanes,1,22728,Ansó,974 37 01 73,Privada,40,,"42,757498","-0,828929",08/05/2015
Residencia de 3ª edad Nuestra Señora de Casbas,Calle,Ramona Cinto,16,22800,Ayerbe,974 38 06 37,Privada sin fin de lucro,54,,"42,277087","-0,687804",08/05/2015
Hogar Padre Saturnino López Novoa - Hermanitas de los Ancianos Desamparados,Plaza,de la Constitución,s/n,22300,Barbastro,974 31 12 97,Privada sin fin de lucro,98,,"42,036571","0,123065",03/12/2014
Residencia municipal de personas mayores Las Huertas,Calle,Federico García Lorca,2,22300,Barbastro,974 30 86 00,Pública local,97,www.albertia.es/residencias/las-huertas-barbastro/,"42,039959","0,127437",08/04/2019
Residencia Somontano,Camino,Real de Zaragoza,s/n,22300,Barbastro,974 30 85 62,Privada,35,www.residenciasomontano.com,"42,035000","0,114647",10/07/2013
Fundación Casa de Amparo de Barbastro,Avenida,San Josemaría Escrivá,1,22300,Barbastro,974 31 02 98,Privada,88,,"42,035600","0,129555",06/07/2017
Residencia Nuestra Señora del Pilar,Avenida,de los Deportes,23,22533,Belver de Cinca,974 46 98 71,Privada,118,,"41,689732","0,178438",15/04/2019
Residencia de 3ª edad IMSARTE,Avenida,Marquesa de Comillas,19,22580,Benabarre,974 54 33 35,Pública local,63,,"42,108868","0,482764",04/04/2019
Residencia de 3ª edad La Conchada,Camino,de la Conchada,s/n,22630,Biescas,974 48 54 79,Pública local,52,www.biescas.es/tierra-de-biescas/residencia-3o-edad-la-conchada.html,"42,627796","-0,321618",05/04/2019
Vivienda tutelada de mayores Alcort,Calle,La Iglesia,12 - 2º,22500,Binéfar,974 43 15 92,Privada sin fin de lucro,9,,"41,852840","0,293641",08/04/2019
Residencia comarcal de personas mayores,Calle,Mariano de Pano,s/n,22500,Binéfar,974 43 12 05,Pública local,82,www.lalitera.org/portal_localweb/p_20_contenedor1.jsp?seccion=s_fdes_d4_v2.jsp&codbusqueda=237&language=es&codResi=1&codMenuPN=2&codMenuSN=97&codMenu=243&level=1,"41,841175","0,302624",11/04/2019
Residencia María Llevot,Calle,Velázquez,20,22500,Binéfar,974 42 97 66,Privada,29,,"41,846431","0,297449",10/12/2014
Residencia de mayores Valle del Ésera,Camino,de la Paúl,s/n,22450,Campo,974 55 05 20,Pública local,61,www.residenciadecampo.es,"42,412809","0,404592",06/07/2017
Fundación municipal Centro de Tercera Edad,Plaza,de la Constitución,2,22466,Castejón de Sos,974 55 30 92 / 974 55 33 53,Pública local,30,,"42,512476","0,484877",25/07/2017
Vitalia Huesca,Calle,La Alberca,s/n,22194,Chimillas,974 21 88 38,Privada,123,www.vitaliahome.es/project/huesca/,"42,169482","-0,447476",03/04/2019
Residencia Estadilla - Fundación SANESVAL,Calle,San Luis,s/n,22423,Estadilla,974 30 55 85,Pública local,52,www.sanesval.com,"42,058049","-0,245626",03/04/2019
Residencia del Cinca,Calle,Lleida,3,22520,Fraga,974 47 05 61,Privada,38,www.residenciadelcinca.com,"41,525765","0,347072",05/12/2018
Residencia Sagrado Corazón de Jesús,Calle,Pío Baroja,2,22520,Fraga,974 47 00 99,Privada,78,,"41,523818","0,338045",04/04/2019
Residencia Monegros,Ronda,de Aragón,s/n,22260,Grañén,974 39 00 33,Privada,97,www.residenciamonegros.com,"41,939453","-0,365298",21/03/2018
Residencia Parque San Julián,Calle,San Julián,17,22260,Grañén,974 39 07 60,Privada,56,,"41,942601","-0,368368",04/04/2019
Residencia de mayores Doctor José Luis Cudós,Calle,Gaiteros de Caserras,4,22430,Graus,974 54 08 26,Pública local,62,,"42,190302","0,335009",03/04/2019
Residencia de ancianos municipal,Plaza,Miguel de Gurrea,6,22280,Gurrea de Gállego,976 68 82 88,Pública local,36,residenciasreyardid.es/residencias-mayores/huesca/gurrea-gallego,"42,012389","-0,761785",17/07/2017
Hostal residencia Avenida - Cosculluela,Paseo,Ramón y Cajal,36,22001,Huesca,974 22 92 92,Privada,40,www.residenciaavenida.es,"42,139336","-0,401233",04/04/2019
Residencia Raessa,Calle,Ramón y Cajal,29 - 1º,22001,Huesca,974 23 11 41 / 615 07 37 94,Privada,21,,"42,139657","-0,401610",07/05/2015
Parque Botánico Virgen de Loreto,Calle,Tenerías,11 - bajos,22001,Huesca,974 22 30 16,Privada,34,,"42,140279","-0,403972",01/08/2011
Residencia de 3ª edad Parque,Calle,del Parque,22,22002,Huesca,974 22 95 41,Privada,14,,"42,137725","-0,411383",04/04/2019
Residencia Nuestra Señora de la Merced,Calle,Desengaño,112,22002,Huesca,974 22 11 32,Privada,68,,"42,143548","-0,409506",10/07/2017
Residencia de ancianos Misioneras de Nuestra Señora del Pilar,Avenida,Doctor Artero,66,22004,Huesca,974 22 00 12,Privada sin fin de lucro,66,,"42,146296","-0,420070",11/07/2017
Residencia de 3ª edad Felipe Coscolla,Calle,Felipe Coscolla,2 - entlo. 570,22004,Huesca,974 22 60 93,Privada,13,www.residenciafelipecoscolla.es,"42,138079","-0,415713",19/05/2015
Residencia Cavia,Calle,Mariano Cavia,8 - portal 8 - 1º,22005,Huesca,974 24 43 59,Privada,16,,"42,134596","-0,409272",19/11/2018
Residencia Los Olivos,Calle,Mateo Estaún Llanas,10 - local,22005,Huesca,974 35 39 32 / 637 59 49 58,Privada,45,,"42,127889","-0,408827",05/04/2019
Residencia Saturnino López Novoa,Calle,Teruel,1,22005,Huesca,974 24 46 20,Privada sin fin de lucro,173,,"42,131574","-0,409097",03/12/2014
Residencia de personas mayores Sagrada Familia,Paseo,Lucas Mallada,22,22006,Huesca,974 22 22 54,Pública autonómica,105,www.aragon.es/estaticos/GobiernoAragon/Organismos/InstitutoAragonesServiciosSociales/IASS_new/Documentos/IASS/FICHAS-centros/Ficha-huesca-res-sagradafamilia.pdf,"42,141970","-0,402625",03/04/2019
Residencia de personas mayores Ciudad de Huesca,Carretera,de Grañén,s/n,22196,Huesca,974 23 84 51,Pública autonómica,128,www.aragon.es/estaticos/GobiernoAragon/Organismos/InstitutoAragonesServiciosSociales/IASS_new/Documentos/IASS/FICHAS-centros/Ficha-huesca-res-ciudad-hu.pdf,"42,121427","-0,410386",14/07/2017
Residencia El Carmen,Calle,Las Cañas,s/n,22193,Igriés,974 27 12 68 / 667 48 34 87,Privada,52,www.residenciadeancianoselcarmen.com,"42,213416","-0,431338",04/04/2019
Residencia Vitalia Jaca,Calle,Doctor Marañón,1,22700,Jaca,974 36 26 25,Privada,120,www.vitaliahome.es/project/jaca,"42,582212","-0,537129",03/04/2019
Residencia de 3ª edad Hogar Santa Orosia,Avenida,Nuestra Señora de la Victoria,s/n,22700,Jaca,974 36 03 95 / 974 35 59 63,Privada sin fin de lucro,150,,"42,564800","-0,563616",03/12/2014
Residencia de ancianos Riosol,Paseo,de San Juan Bosco,17,22400,Monzón,974 40 08 00,Pública local,149,,"41,913781","0,189958",03/04/2019
Residencial Torrefuentes,Calle,Juan de Lastanosa,s/n,22400,Monzón,974 41 60 96,Privada,70,,"41,912600","0,199921",03/04/2019
Residencia Virgen de Fátima,Camino,del Antiguo Manicomio,s/n,22191,Quicena,974 22 45 80,Privada,20,,"42,145452","-0,374335",03/05/2017
Residencia Valles Altos,Calle,Coli Escalona Leonardo,52,22600,Sabiñánigo,974 48 32 56,Privada,68,www.residenciasvallesaltos.es/valles_altos_sabinanigo/index.php,"42,519193","-0,367357",03/05/2017
Residencia Alto Gállego,Calle,San Juan de la Peña,18,22600,Sabiñánigo,974 48 37 77,Pública local,96,www.vitaliahome.es/project/sabinanigo/,"42,523167","-0,373097",10/04/2019
Residencia municipal de 3ª edad,Calle,Luis Buñuel,17,22200,Sariñena,974 57 10 20,Pública local,61,,"41,789273","-0,155624",03/04/2019
"Tamarite Residencial, S. L.",Carretera,de Tamarite a Altorricón,Km. 1.4,22550,Tamarite de Litera,974 42 05 05,Privada,51,,"41,859875","0,425039",22/05/2015
Residencia comarcal de personas mayores de Tamarite,Calle,Litera,1,22550,Tamarite de Litera,974 42 06 35,Pública local,69,,"41,866339","0,420708",12/04/2019
Residencia María Antonia Brussau,Calle,Prolongación Paseo Arboleda,s/n,22240,Tardienta,974 25 35 29 / 680 55 96 67,Pública local,56,www.clecemayores.com/es/residencia/43/maria-antonia-brusau/,"41,974561","-0,531278",06/07/2017
Residencia L'Ausín,Paseo,San Antón,16,22720,Valle de Hecho,974 37 55 12 / 679 13 26 96,Privada sin fin de lucro,41,www.residencialausin.es,"42,736279","-0,751730",17/07/2017
