"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Jaén, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia para personas mayores Nuestra Señora de las Mercedes,Calle,Doctor Sanz Torres,10,23680,Alcalá la Real,953 58 70 90 / 953 58 23 54,Pública local,55,,"37,457724","-3,917652",16/04/2019
Residencia Ángeles Cobo López,Camino,Viejo de la Fuensanta,s/n,23660,Alcaudete,,Pública local,88,,"37,586462","-4,075388",03/04/2019
Residencia Andújar,Camino,del Quemadero,s/n,23740,Andújar,953 51 59 36,Pública local,120,orpea.es/centros-residencias/centro-dia-residencia-ancianos-jaen-andujar,"38,048228","-4,048603",12/05/2015
Residencia de mayores San Juan de Dios,Calle,Ollerías,20,23740,Andújar,953 50 03 43,Privada sin fin de lucro,83,www.laresandalucia.com/centros-provincias.shtml?id=193&ida=4,"38,038367","-4,053522",12/04/2019
Vivienda tutelada de Cáritas Andrés Cristino,Calle,Ollerías,13,23740,Andújar,953 50 69 18,Privada sin fin de lucro,10,,"38,037841","-4,052947",07/05/2015
Residencia de mayores Hospital San Miguel,Plaza,de Santa María,6,23760,Arjona,953 52 38 56,Privada,56,www.residencisanmiguel.org,"37,935464","-4,054686",08/07/2017
Residencia municipal Sagrada Familia,Calle,Teniente Rueda,2,23750,Arjonilla,953 33 63 34,Pública local,49,,"37,974031","-4,109082",15/04/2019
Residencia para personas mayores municipal,Calle,Patio Herreros,s/n,23340,Arroyo del Ojanco,953 42 01 63,Pública local,15,residenciamayoresarroyodelojanco.blogspot.com.es/,"38,322245","-2,894009",11/04/2019
Residencia Purísima Concepción,Calle,Sor Felisa Ancín,1,23440,Baeza,953 74 01 58,Pública local,56,,"37,995086","-3,460688",02/03/2018
Residencia de mayores Los Olivos,Calle,San Francisco,64,23280,Beas de Segura,953 42 47 18 / 695 22 19 85,Pública local,32,www.geron.es/residencia/residencia-de-mayores-en-beas-de-segura-los-olivos,"38,253306","-2,892342",04/04/2019
Residencia Sierra Mágina,Urbanización,Peñon de San José,s/n,23537,Bedmar y Garcíez,953 76 03 49,Privada,58,www.gruporeifs.com/nuestros-centros/item/11-residencia-para-mayores-reifs-bedmar-sierra-magina,"37,816503","-3,413460",12/04/2019
Centro Residencial Luz de Mágina,Calle,Aceite Virgen Picual,s/n,23120,Cambil,953 30 06 63,Pública local,59,,"37,681579","-3,567628",05/04/2019
Residencia de mayores Concepción González Osorio,Calle,Agua,15,23130,Campillo de Arenas,953 30 92 87,Pública local,28,,"37,555197","-3,634253",05/04/2019
Residencia de mayores Los Olivares,Plaza,de Sor Primitiva,s/n,23200,Carolina (La),953 00 99 00,Pública autonómica,73,,"38,276627","-3,619345",05/04/2019
Residencia de ancianos Viña del Rey,Calle,Descubrimiento,1,23200,Carolina (La),953 68 59 36,Privada,88,www.residenciavdelrey.com,"38,266678","-3,617605",11/07/2017
Residencia municipal Nuestro Padre Jesús,Avenida,Andalucía,1,23670,Castillo de Locubín,953 59 13 64,Pública local,39,,"37,526916","-3,941249",10/12/2010
Centro sociosanitario Juan Zarrías,Camino,Pilar Viejo,15,23628,Cazalilla,953 53 77 12,Privada,120,www.gruporeifs.com/nuestros-centros/item/364-residencia-para-mayores-reifs-cazalilla,"37,981726","-3,884289",26/04/2018
Fundación Asilo Marín García,Calle,del Carmen,12,23470,Cazorla,953 72 02 50,Privada,52,www.residenciamaringarcia.com,"37,911373","-3,001559",12/04/2019
Residencia para mayores Sierra de Cazorla,Avenida,Guadalquivir,8,23470,Cazorla,953 72 00 25,Privada,83,www.residenciasierracazorla.com,"37,920858","-2,994143",07/05/2015
Centro Residencial para mayores Nazaret,Calle,Rueda,s/n,23264,Chiclana de Segura,983 46 64 01,Privada sin fin de lucro,37,www.fundacionnazaret.com,"38,311526","-3,047092",04/04/2019
Residencia Buenos Aires,Calle,Buenos Aires,s/n,23180,Fuerte del Rey,953 37 51 11,Privada,111,www.buenosairesresidencia.com,"37,871575","-3,888606",31/01/2017
Residencia Pozo de la Nieve,Carretera,Torres de Albenchez,s/n,23392,Génave,953 49 30 53,Pública local,26,,"38,430312","-2,730655",29/05/2015
Residencia de ancianos Virgen de la Capilla,Plaza,de la Entrada,s/n - Urb. Entre Caminos,23170,Guardia de Jaén (La),953 00 20 60,Privada,102,www.residenciavcapilla.es,"37,762978","-3,737157",03/04/2019
Residencia de personas mayores Serranilla de Mágina,Calle,Federico García Lorca,27,23560,Huelma,953 39 21 27,Pública local,61,,"37,645500","-3,456090",04/04/2019
Residencia Clínica Geriátrica La Inmaculada,Plaza,Dean Mazas,1,23001,Jaén,953 24 07 71,Privada,56,www.clinicalainmaculada.es,"37,766887","-3,788383",22/04/2019
Centro Residencial Altos del Jontoya,Carretera,J-2225,Km. 4.49 - Puente Jontoya,23001,Jaén,953 31 61 31,Privada,176,,"37,755739","-3,748427",10/07/2017
DomusVi Condes de Corbull,Calle,Carrera de Jesús,13,23002,Jaén,953 24 78 52,Privada,87,www.domusvi.es/residencia-jaen-condes-de-corbull,"37,764188","-3,790957",06/04/2018
Residencia Fuente de la Peña,Calle,Dean de la Fuente González,2,23002,Jaén,953 29 79 90,Privada,190,www.mayoresdejaen.com,"37,755791","-3,795413",08/04/2019
Residencia de mayores Hermanitas de los Pobres,Paseo,de la Estación,7,23007,Jaén,953 27 53 28,Privada sin fin de lucro,90,,"37,770078","-3,788638",06/07/2017
Residencia para personas mayores La Estrella,Avenida,de Madrid,s/n,23009,Jaén,953 28 09 23,Privada sin fin de lucro,44,alzheimerlaestrella.multiespaciosweb.com/residencia-la-estrella/,"37,796602","-3,778840",26/04/2019
Residencia de mayores Santa Teresa,Carretera,de Torrequebradilla,s/n,23009,Jaén,953 27 05 02,Pública provincial,141,www.dipujaen.es,"37,790173","-3,768413",07/07/2017
Residencia geriátrica Montesol,Carretera,de Villar de Cuevas,Km. 2 - Apdo. de Correos: 442,23009,Jaén,619 04 76 03 / 953 25 00 01,Privada,49,www.residenciamontesol.galeon.com,"37,792500","-3,799410",23/04/2019
Residencia María Santísima de la Caridad y Consolación,Calle,Juan Pablo II,1,23009,Jaén,953 10 06 99,Privada sin fin de lucro,134,www.caridadyconsolacion.es/residencia.html,"37,785365","-3,793047",08/04/2019
Residencia de mayores Sebastián Estepa Llaurens,Calle,Manuel Caballero Venzalá,11,23009,Jaén,953 29 56 50,Privada sin fin de lucro,49,www.foam.es,"37,780173","-3,785878",15/04/2019
Centro Residencial Torrebermeja,Calle,Plaza,11,23530,Jimena,953 35 74 72,Pública local,38,,"37,841727","-3,477131",03/04/2019
Residencia San Antonio,Avenida,Sebastián Fuentes,30,23746,Lahiguera,953 53 00 33,Privada sin fin de lucro,28,,"37,973086","-3,991507",10/04/2019
Centro Cristiano Evangélico La Granja,Carretera,de Arrayanes,Km. 2,23700,Linares,953 69 06 15,Privada,28,hlagranja.weebly.com,"38,112400","-3,634970",03/04/2019
Residencia Asilo de Ancianos Nuestra Señora de las Mercedes,Paseo,Marqueses de Linares,28,23700,Linares,953 69 25 05,Privada,68,,"38,087614","-3,627038",27/07/2013
Sanitas Residencial Marqueses de Linares,Paseo,Marqueses de Linares,s/n,23700,Linares,953 60 63 80,Privada,122,www.sanitas.es/sanitasresidencial/residencias-mayores/residencia-marqueses-linares,"38,088200","-3,628510",21/07/2017
Centro residencial Santa Teresa de Jesús,Urbanización,San Roque,2 - Apdo. de Correos: 111,23700,Linares,953 12 55 01 / 669 37 65 07,Privada,63,,"38,136275","-3,649071",14/05/2015
Residencia para personas mayores Linares I,Avenida,Torrito,s/n,23700,Linares,953 02 48 00,Pública autonómica,264,,"38,085263","-3,615331",05/04/2019
Residencia Jesús Nazareno y San Juan de Dios,Calle,Doctor Marañón,4,23780,Lopera,953 51 65 40,Privada,27,,"37,944439","-4,215064",25/04/2019
Centro Residencial Aura Los Leones,Calle,Palacio Valdés,15,23770,Marmolejo,953 54 03 25 / 672 12 92 27,Privada,139,www.auraandalucia.es/ficha-centro/17/aura-los-leones/,"38,043780","-4,169881",12/07/2017
Residencia de mayores Nuestra Señora de los Desamparados,Calle,Rita Nicolau,1,23600,Martos,953 55 14 39,Privada sin fin de lucro,66,,"37,725278","-3,972393",08/04/2019
Centro Residencial de Mengíbar,Calle,García Morato,s/n,23620,Mengíbar,953 04 70 18,Privada sin fin de lucro,38,www.foam.es/servicios/residencia-de-mayores-de-mengíbar-jaén,"37,966840","-3,806409",03/04/2019
Centro Residencial La Inmaculada,Calle,Real,15,23140,Noalejo,953 24 24 74,Privada,40,www.residencialainmaculada.com,"37,529815","-3,654925",21/08/2013
Residencia municipal Peñalta,Calle,Doctor Palanca,45,23370,Orcera,953 48 20 08,Pública local,59,residenciaorcera.com,"38,318737","-2,655988",23/05/2018
Residencia de Peal de Becerro,Calle,Unicef,2,23460,Peal de Becerro,953 73 15 07,Pública local,57,,"37,915217","-3,114805",07/07/2017
Residencia municipal Virgen de Alharilla,Calle,Cabeza,11,23790,Porcuna,953 54 42 87,Pública local,41,,"37,869300","-4,181070",11/04/2019
Centro Residencial Escoriza,Calle,Escoriza,s/n,23485,Pozo Alcón,953 73 90 38,Privada sin fin de lucro,78,,"37,702942","-2,929221",08/04/2019
Residencia de personas mayores Virgen del Carmen,Calle,Lope de Vega,2,23360,Puerta de Segura (La),620 01 18 80,Pública local,22,,"38,348285","-2,736755",06/05/2015
Residencia Venta de San José,Carretera,N-322,Km. 229,23360,Puerta de Segura (La),953 01 18 10,Privada,10,www.actiweb.es/ventasanjose/,"38,391785","-2,783625",14/02/2014
Residencia de mayores Francisco Ortiz,Calle,El Greco,4,23480,Quesada,953 71 40 55,Privada,36,residencia-para-mayores-francisco-ortiz.000.webhostapp.com,"37,839947","-3,064728",09/04/2019
Residencia municipal de 3ª edad,Calle,Rafael Alberti,s/n,23430,Rus,953 77 07 38,Pública local,15,www.residenciarus.es,"38,045498","-3,461130",12/07/2017
Residencia Villa de Sabiote,Calle,Corregidora,38,23410,Sabiote,953 77 37 05,Pública local,37,www.residenciademayoresciudaddeubeda.com/,"38,063938","-3,312231",19/07/2013
Residencia para personas mayores Santiago-Pontones,Calle,San Antonio,46,23290,Santiago-Pontones,953 43 85 74,Pública local,33,residenciasantiagopontones.com,"38,109115","-2,553015",04/04/2019
Residencia de personas mayores Ilugo,Calle,Escultor Higueras,5,23250,Santisteban del Puerto,953 40 27 21,Pública local,29,,"38,246909","-3,206636",08/04/2019
Residencia de Mayores La Casa Grande,Plaza,Montemar,3,23311,Santo Tomé,953 73 66 62,Privada sin fin de lucro,55,www.residenciasantotome.es,"38,028561","-3,101932",04/04/2019
Fundación Nuestra Señora de los Dolores,Calle,Doctor Vigueras,77,23380,Siles,953 49 01 28 / 625 33 91 03,Privada sin fin de lucro,67,www.residenciasiles.org,"38,390408","-2,582120",10/04/2019
Centro Residencial Aura Sorihuela,Avenida,de Andalucía,s/n,23270,Sorihuela del Guadalimar,953 06 99 47 / 953 06 99 48,Privada,161,,"38,241139","-3,050828",27/10/2017
Nuestra Señora de los Desamparados,Avenida,Paz,12,23650,Torredonjimeno,953 57 10 14 / 953 34 00 66,Privada sin fin de lucro,33,,"37,765462","-3,953908",10/04/2019
Residencia de La Misericordia,Calle,Calzada de la Virgen,52,23320,Torreperogil,953 77 60 54,Privada sin fin de lucro,80,,"38,034495","-3,287600",11/02/2013
Residencia de mayores San Gregorio de Torreperogil,Carretera,de Córdoba a Valencia,1,23320,Torreperogil,953 77 73 95,Privada,40,www.residenciasangregorio.es,"38,039883","-3,282546",03/04/2019
Residencia El Carmen,Calle,Arjona,3,23400,Úbeda,953 79 36 73,Privada,26,residenciademayoreselcarmen.com,"38,011982","-3,370200",04/04/2019
Residencia para personas mayores,Calle,Blas Infante,18,23400,Úbeda,953 77 93 32,Pública autonómica,91,,"38,010403","-3,367028",10/04/2019
Residencia de personas mayores Ciudad de Úbeda,Calle,Jurado Gómez,8,23400,Úbeda,953 75 18 82 / 953 75 84 92,Privada,20,www.residenciademayoresciudaddeubeda.com/,"38,008477","-3,371667",18/08/2009
Residencia de 3ª edad Mercedes Fernández Olivares,Avenida,Molera,s/n,23220,Vilches,953 63 11 81,Pública local,18,www.geron.es/residencia/sidencia-de-mayores-en-vilches-mercedes-fernandez,"38,210110","-3,511497",06/05/2015
Residencia Padre Zegri,Carretera,de Mogón,3,23300,Villacarrillo,953 44 24 81 / 953 44 25 85,Pública local,66,www.villacarrillo.es/areas-tematicas/servicios-sociales/residencia-padre-zegri/,"38,114650","-3,079143",04/04/2019
Centro Residencial San José,Calle,Ramón García del Valle,3,23300,Villacarrillo,953 44 03 03,Privada sin fin de lucro,,,"38,117100","-3,083500",29/07/2013
Residencia de Mayores Reina Sofía,Calle,Santa Ana,18,23730,Villanueva de la Reina,953 53 75 24,Pública local,53,,"38,003769","-3,920081",06/07/2017
Hogar Nuestra Señora de la Fuensanta,Carretera,del Tranco,25,23330,Villanueva del Arzobispo,953 41 00 75,Privada sin fin de lucro,98,,"38,163375","-2,997767",11/02/2013
Residencia Edades de Los Villares,Calle,Carolina,s/n,23160,Villares (Los),953 32 09 27,Privada,96,residenciaedades.es,"37,683070","-3,822456",03/04/2019
