"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en León, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
U. de habitación para la 3ª edad Villa de Alija,Calle,Benavente,s/n,24761,Alija del Infantado,987 66 75 27,Pública local,48,,"42,131056","-5,830533",04/04/2019
Residencia San Juan Bautista,Plaza,de la Catedral,7,24700,Astorga,987 61 69 00,Privada,140,hijascaridad.org,"42,457388","-6,057133",09/04/2019
Residencia San Francisco de Asís,Carretera,de Santa Columba,Km. 1,24700,Astorga,987 61 55 00 / 987 60 41 85,Privada sin fin de lucro,49,,"42,459000","-6,072250",04/04/2019
Residencia para mayores Virgen de los Desamparados,Calle,Sol,3,24700,Astorga,987 61 53 18,Privada sin fin de lucro,260,,"42,461339","-6,079726",08/03/2018
Complejo residencial Mensajeros de la Paz,Calle,Doctor Mérida Pérez,3,24750,Bañeza (La),987 65 61 71 / 987 65 62 71,Privada sin fin de lucro,240,,"42,296670","-5,908309",06/07/2017
Residencia Vega del Órbigo,Calle,Don Pedro El Oculista,99,24750,Bañeza (La),987 64 15 08 / 987 65 52 50,Privada,28,,"42,292709","-5,889328",11/06/2019
Residencia Nuestra Señora de Castrotierra,Calle,Fueros Leoneses,s/n,24750,Bañeza (La),987 65 60 84,Privada,104,www.mensajerosdelapaz.com,"42,294800","-5,914780",09/08/2013
Residencia de personas mayores Santiago Apóstol,Calle,Tejedores,16,24750,Bañeza (La),987 65 60 88,Privada,49,,"42,300178","-5,895760",03/04/2019
Centro Residencial Campolar Bierzo I,Travesía,Campomurieles,s/n,24300,Bembibre,987 51 22 27,Privada,59,www.grupocampolar.com/bierzoinicio,"42,618703","-6,428237",17/07/2017
Residencia de 3ª edad El Santo,Calle,Siro Alonso de Las Huertas,24,24300,Bembibre,987 51 18 34,Pública local,113,www.clecemayores.com/es/residencia/7/el-santo/,"42,614400","-6,411088",11/05/2015
Residencia Santa Bárbara,Calle,Reino de León,55 - Bº Vista Alegre,24318,Bembibre,987 51 37 12,Privada,32,www.residenciasantabarbara.com,"42,620729","-6,428142",04/04/2019
Residencia para personas mayores Los Ángeles,Calle,La Vega,3,24280,Benavides,987 37 14 38,Pública local,43,,"42,505034","-5,893114",15/04/2019
Centro Geriátrico Santa María II,Carretera,de Fabero,s/n,24412,Cabañas Raras,987 45 33 64,Privada,31,,"42,624452","-6,641273",26/01/2015
Residencia de ancianos El Humeral,Carretera,de Villabuena,Km. 1.5,24540,Cacabelos,987 54 95 37 / 630 80 59 05,Privada,31,www.residenciaelhumeral.com,"42,606563","-6,731793",07/05/2019
Residencia El Camino,Plaza,del Santuario,s/n,24540,Cacabelos,987 54 64 50,Pública local,46,www.lasencinassg.com/indexcamino.php,"42,600100","-6,731260",14/09/2015
Residencial Mirador del Cúa,Camino,Real,s/n,24540,Cacabelos,686 95 94 06 / 987 54 80 21,Privada,100,,"42,601274","-6,714433",15/07/2017
Residencia de mayores Novavida Carracedelo,Calle,Tras las Airas,6,24549,Carracedelo,987 54 03 68,Privada,59,www.residencianovavida.com/index.php/instalaciones-carracedelo,"42,555750","-6,727820",08/04/2019
Residencia de 3ª edad Alto Órbigo,Calle,Doctor González Álvarez,14,24270,Carrizo,987 35 78 84,Pública local,40,,"42,580040","-5,826668",03/05/2019
Residencia de personas mayores,Calle,El Puente,65,24734,Castrocontrigo,987 10 02 60,Pública local,24,www.araliaservicios.es/centro/león-castrocontrigo,"42,183533","-6,185851",03/04/2019
Residencia La Luz,Avenida,Victoria,s/n,24734,Castrocontrigo,987 66 03 96,Pública local,32,es-es.facebook.com/pages/Centro-de-Mayores-La-LUZ/628978267150915,"42,190698","-6,139634",13/07/2017
Residencia El Robledal,Calle,Arroyo Jalón,s/n,24314,Castropodame,987 51 60 60,Privada,39,www.residenciarobledal.com,"42,602176","-6,442903",04/04/2019
Residencia Oasis,Calle,Paraje de Santa Catalina,s/n,24195,Chozas de Abajo,987 30 38 92 / 690 02 30 02,Privada,16,,"42,506721","-5,686675",26/04/2019
Residencia Edad de Oro,Calle,San Juan,s/n,24392,Chozas de Abajo,987 30 60 48,Privada,103,www.edaddeoro.es,"42,489008","-5,730990",14/05/2019
Residencia San Guillermo I y II,Calle,San Guillermo,65 y Parque Infantil,24800,Cistierna,987 70 06 17,Pública local,69,www.cistierna.es/areas-municipales/residencia-san-guillermo/,"42,806253","-5,120694",26/01/2015
Residencia Novavida,Calle,Mirador,1,24514,Corullón,987 54 03 68,Privada,64,www.residencianovavida.com,"42,580486","-6,818827",07/07/2017
Residencia Lorenzana I,Avenida,Caboalles,91,24122,Cuadros,987 58 00 23,Privada,43,www.residencialorenzana.com,"42,670698","-5,635565",08/03/2018
Residencia El Carmen,Avenida,La Robla,61,24122,Cuadros,987 57 70 33,Privada,22,www.residenciaelcarmenlorenzana.es,"42,672104","-5,633312",14/07/2017
Centro Residencial Geriátrico Virgen del Avellano,Calle,Prado Rey,8,24122,Cuadros,987 57 74 52 / 609 21 24 13,Privada,24,www.virgendelavellano.es,"42,666477","-5,629481",19/08/2017
Residencial Lorenzana II,Avenida,Robla,48,24122,Cuadros,987 58 01 70,Privada,64,www.residencialorenzana.com,"42,673566","-5,632391",08/03/2018
Residencia de personas mayores La Solana,Calle,La Vallina,s/n,24746,Encinedo,987 66 41 79,Pública local,31,www.clecemayores.com/es/residencia/17/la-solana/,"42,269761","-6,670493",17/04/2019
Centro Residencial San Nicolás,Camino,del Río,s/n,24420,Fabero,987 55 13 75,Privada sin fin de lucro,74,www.fundacionayalde.com,"42,772175","-6,627249",07/04/2019
Residencia geriátrica San Blas,Calle,Los Ancares,1,24420,Fabero,987 55 09 77,Pública local,86,,"42,768274","-6,631742",07/05/2015
Centro Residencial Río Boeza,Paraje,La Cortina,s/n,24310,Folgoso de la Ribera,987 51 76 34,Privada,75,www.rioboeza.es,"42,618925","-6,352653",08/04/2019
Residencia Arroyo de Valdearcos,Camino,de Cabañas,18,24223,Fresno de la Vega,987 77 03 12,Privada,72,www.geriacyl.es,"42,342061","-5,536755",11/07/2017
Residencia de personas mayores Santo Martino,Calle,Álvaro López Núñez,26,24002,León,987 08 03 50,Pública autonómica,90,www.araliaservicios.es/centro/leon-santo-martino,"42,603863","-5,573795",05/04/2019
Centro Residencial Otazu,Avenida,Lancia,4,24004,León,987 88 00 01,Privada,84,,"42,593994","-5,573135",09/01/2019
Residencia San José,Calle,Octavio Álvarez Carballo,1,24004,León,987 20 43 52 / 987 21 69 15,Privada sin fin de lucro,280,,"42,591113","-5,570552",08/03/2018
Residencia Juan Pablo II,Calle,Víctor de los Ríos,23,24006,León,987 21 83 25,Privada,40,,"42,596946","-5,562150",10/04/2019
Residencia de mayores Virgen de la Guía,Calle,Cayo Jesús Fernández Espino,1,24007,León,987 27 61 70,Privada,68,www.virgendelaguia.com,"42,601520","-5,561407",13/09/2017
Residencia Virgen de la Guía II,Calle,Ciudad de Puebla,4,24007,León,987 27 61 70,Privada,19,,"42,601697","-5,560450",09/01/2019
Residencia Virgen del Camino,Avenida,San Mamés,8,24007,León,987 22 55 82,Pública local,81,,"42,604241","-5,570507",06/05/2015
Residencia Santa Luisa,Avenida,de Asturias,23,24008,León,987 22 68 50 / 987 22 68 54,Pública provincial,100,ssespecificos.dipuleon.es/centros/santa_luisa,"42,606557","-5,575573",07/07/2017
Residencia León,Avenida,de los Peregrinos,40 - 42,24008,León,987 84 02 64,Privada,120,orpea.es/centros-residencias/centro-dia-residencia-ancianos-jaen-andujar,"42,612043","-5,591056",05/05/2015
Residencia La Familia,Calle,La Cepeda,12 - bajo izda.,24008,León,987 00 19 34,Privada,24,residencialafamilia.com,"42,599874","-5,571756",04/04/2019
Residencia Piedras Blancas San Isidro,Calle,Maestros Hermanos Alavarado,2,24008,León,671 64 18 72,Privada,116,,"42,630103","-5,598649",09/01/2019
Orpea León I,Calle,Primero de Mayo,3,24008,León,987 80 46 31,Privada,87,orpea.es/centros-residencias/residencia-ancianos-leon-i,"42,611407","-5,588374",11/04/2019
Residencia mixta de personas mayores,Avenida,Portugal,10,24009,León,987 20 20 11,Pública autonómica,153,,"42,585682","-5,588462",14/07/2017
Residencia de ancianos El Salvador,Plaza,del Salvador,s/n,24717,Luyego,987 60 16 96,Pública local,16,,"42,373864","-6,257255",06/04/2019
Residencia de mayores El Pinar,,El Pinar,s/n,24721,Luyego,987 60 08 20,Pública local,37,www.labedolina.es,"42,315600","-6,208600",05/05/2015
Residencia Virgen de Gracia,Avenida,Constitución,74,24210,Mansilla de las Mulas,987 31 01 48,Privada,27,www.residenciavirgendegracia.com,"42,492585","-5,412642",11/07/2017
Residencia Mansilla de las Mulas,Avenida,de Villa de Lil,s/n,24210,Mansilla de las Mulas,987 31 18 24,Pública local,91,,"42,495526","-5,420721",03/04/2019
Residencia Virgen de la Era,Calle,Madre Aurora Rueda Gómez,s/n,24291,Matadeón de los Oteros,987 69 60 83 / 987 69 66 91,Privada sin fin de lucro,42,,"42,361900","-5,386440",03/04/2019
Residencia de personas mayores Flor y Felisa,Calle,La Iglesia,s/n,24319,Noceda del Bierzo,987 05 50 18,Pública local,33,,"42,713465","-6,397792",20/07/2017
Residencia San Froilán,Calle,Los Molinos,20,24192,Onzonilla,987 28 95 16,Privada,36,www.residenciasanfroilan.es,"42,546668","-5,561463",05/04/2019
Centro Gerontológico Valle del Duerna,Calle,La Granja,s/n,24764,Palacios de la Valduerna,987 66 56 00,Privada,36,,"42,326506","-5,943268",03/04/2019
Centro Residencial Las Nieves,Calle,de la Vega,64,24470,Páramo del Sil,987 52 65 77,Privada,49,centroresidenciallasnieves.com,"42,819265","-6,497312",08/04/2019
Residencia Nuestra Señora del Buen Suceso,Calle,Poeta Manuel García Burgos,22,24600,Pola de Gordón (La),987 58 83 87,Privada,149,www.araliaservicios.es/centro/león-la-pola-de-gordón,"42,855676","-5,668729",05/04/2019
Residencia mixta para personas mayores,Calle,Ramón González Alegre,10,24403,Ponferrada,987 42 96 73,Pública autonómica,204,,"42,547923","-6,612119",03/04/2019
Centro Residencial Conde de Aldama,Calle,Andrés Viloria,3,24404,Ponferrada,987 45 65 37,Privada,49,www.condedealdama.es,"42,549046","-6,607416",05/04/2019
Residencia La Rosaleda,Avenida,Constitución,5,24404,Ponferrada,987 41 12 58,Privada,131,,"42,555306","-6,603750",05/04/2019
Hogar 70 - Residencia de mayores,Calle,Deportes,25,24411,Ponferrada,987 45 53 66 / 987 45 52 34,Privada sin fin de lucro,70,,"42,568428","-6,640185",03/04/2019
Residencia de ancianos Nuestra Señora de la Encina,Calle,Josefina Gavilanes González,89,24414,Ponferrada,987 40 33 15,Privada,80,,"42,537827","-6,561259",04/04/2019
Centro geriátrico San Roque,Calle,Brindis Morán,s/n,24380,Puente de Domingo Flórez,987 46 08 06,Pública local,64,www.araliaservicios.es/centro/león-puente-dflórez,"42,413648","-6,828685",08/03/2018
Virgen del Castro Residencial de mayores,Calle,La Calzada,s/n,24765,Riego de la Vega,987 60 60 22,Privada,40,www.virgendelcastro.com,"42,330442","-5,991555",06/05/2015
Residencia de ancianos Riello,Carretera,de La Urz,s/n,24127,Riello,987 58 07 30,Pública local,26,www.clecemayores.com/es/residencia/37/centro-residencial-de-riello/,"42,774548","-5,943359",29/04/2019
Residencia municipal de Rioseco de Tapia,Calle,Parque,7,24275,Rioseco de Tapia,987 59 00 34,Pública local,30,,"42,729297","-5,792645",09/04/2019
Residencia San José,Calle,Antonio Nicolás,45,24320,Sahagún,987 78 00 85,Privada,90,,"42,370514","-5,031580",12/07/2017
Residencia de ancianos Virgen de la Peregrina,Avenida,Fernando de Castro,53,24320,Sahagún,987 78 07 90,Pública local,60,www.clecemayores.com/es/residencia/22/virgen-peregrina/,"42,368868","-5,031948",24/07/2017
Orpea León II,Calle,Cofradía de Ciento,2,24009,San Andrés del Rabanedo,987 80 78 05,Privada,63,orpea.es/centros-residencias/residencia-para-mayores-leon-ii,"42,597382","-5,588136",08/04/2019
Caser Residencial León,Calle,Burbia,2 - 6,24010,San Andrés del Rabanedo,987 87 56 08,Privada,120,www.caseresidencial.es/leon,"42,603507","-5,595609",06/07/2017
Casa de mayores Prazadiel,Carretera,de León a Astorga,s/n,24710,San Justo de la Vega,987 60 41 30,Privada,42,www.prazadiel.com,"42,453595","-6,008085",03/04/2019
Centro Residencial Santa Colomba de Somoza,Calle,Antonio Pérez Crespo,23,24722,Santa Colomba de Somoza,987 63 17 04,Pública local,49,www.lasencinassg.com/residencias/sta-colomba-sta-colomba-de-somoza/,"42,445572","-6,246663",05/04/2019
Residencia Nuestra Señora del Olmo,Avenida,León,3,24290,Santa Cristina de Valmadrigal,987 33 51 12,Privada,24,www.confiadependencia.com/residencia-virgen-del-olmo.html,"42,358012","-5,328509",05/04/2019
Residencia Geriátrica Ordás,Carretera,Garandilla,s/n,24277,Santa María de Ordás,987 59 00 01,Privada,44,www.residenciaordas.com,"42,726139","-5,836227",26/01/2015
Residencia Los Ángeles del Páramo,Carretera,Circunvalación,s/n,24240,Santa María del Páramo,987 35 10 20,Privada,49,,"42,352927","-5,763830",15/04/2019
Residencia de personas mayores Santa Marina del Rey,Calle,"Beatos Francisco Alfredo, Juan Antonio y Marcelino",2 - 4,24393,Santa Marina del Rey,987 37 75 09,Privada,51,www.afasantamarina.es,"42,515039","-5,860915",09/04/2019
Residencia de ancianos San Antonio,Avenida,de León,91,24196,Sariegos,987 28 83 18,Privada,15,confiadependencia.com/sanantonio.html,"42,653100","-5,605532",26/01/2015
Residencia para mayores Los Rosales,Avenida,de León,236,24196,Sariegos,696 30 46 83,Privada,50,www.centroresidenciallosrosales.com,"42,645975","-5,604352",05/04/2019
Casa de 3ª edad Virgen de Villaverde,Calle,del Artesiano,7,24768,Soto de la Vega,987 64 41 64,Privada,24,,"42,341949","-5,913040",03/05/2019
Residencia Virgen de Covadonga,Calle,Praguilla,13,24768,Soto de la Vega,987 64 24 26,Privada,24,,"42,337871","-5,898935",07/06/2019
Residencia San Antonio Abad,Calle,Campo de la Feria,4,24560,Toral de los Vados,987 54 48 16,Pública local,46,,"42,542266","-6,775340",06/07/2017
Centro residencial Las Candelas,Travesía,de la Chana,9,24450,Toreno,987 53 33 88,Pública local,48,www.clecemayores.com/es/residencia/41/las-candelas/,"42,696891","-6,512239",25/07/2017
Residencia de mayores Conde de Toreno,Carretera,de Ponferrada a La Espina,Km. 21.3,24450,Toreno,987 52 78 30,Privada,88,www.araliaservicios.es/centro/león-toreno,"42,697567","-6,529346",27/03/2018
Residencia 3ª edad La Paz - Sanfelismo,Carretera,de León a Valladolid,Km. 7,24227,Valdefresno,987 26 98 44,Privada,92,www.lapaz.es,"42,560156","-5,482258",10/04/2019
Residencia de mayores El Portillo,Camino,Santa Olaja,24,24227,Valdefresno,987 26 90 19 / 987 26 90 07 / 987 26 90 21,Privada,105,www.residenciaelportillo.es,"42,568378","-5,528650",10/04/2019
Residencia de 3ª edad,Carretera,de Valdefresno,s/n,24228,Valdefresno,987 26 90 58,Privada,30,,"42,585698","-5,512916",08/03/2018
Residencia de ancianos Edad Dorada Santa María del Azogue,Calle,Calvo Sotelo,19,24220,Valderas,987 76 25 10,Pública local,26,,"42,078479","-5,442981",04/04/2019
Residencia Geriátrica La Regenta,Calle,Santa Teresa,2,24220,Valderas,987 76 31 00,Privada,27,,"42,076802","-5,443925",26/01/2015
Residencia Virgen de Loreto,Calle,León,57,24200,Valencia de Don Juan,987 75 08 49,Privada,70,,"42,299162","-5,520101",07/07/2017
DomusVi Nuestra Señora del Camino,Calle,Monseñor Ramón Zubieta,10,24198,Valverde de la Virgen,987 30 23 47 / 987 30 23 48,Privada,341,www.domusvi.es/residencia-de-mayores-virgen-del-camino,"42,577827","-5,642041",19/07/2017
Residencia de 3ª edad Montejos del Camino,Avenida,San Martín,2,24282,Valverde de la Virgen,987 30 30 10,Privada,22,www.residenciamontejos.es,"42,594764","-5,680667",05/04/2019
Residencia de mayores Reto a la Esperanza,Calle,Los Perales,3,24391,Valverde de la Virgen,987 30 09 95,Privada,29,residenciasreto.com,"42,556661","-5,671792",05/04/2019
Residencia La Piñera,Camino,La Baragaña,101,24430,Vega de Espinareda,987 13 48 47,Privada,65,www.lasencinassg.com/residencias/pinera-vega-de-espinareda/,"42,731877","-6,660279",20/07/2017
Residencia municipal para mayores,,Teso de la Forca,s/n,24520,Vega de Valcarce,987 54 30 94,Pública local,24,www.residencianovavida.com/index.php/instalaciones-vega-de-valcarce,"42,663646","-6,944908",08/04/2019
Residencia de personas mayores Nuestra Señora de las Nieves,Calle,Marcelino González,59,24836,Vegacervera,987 59 15 24,Pública local,26,,"42,888842","-5,534622",21/11/2013
