"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Lugo, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Vivienda comunitaria de Alfoz,Alameda,A Seada,4 B,27776,Alfoz,982 10 99 53,Pública autonómica,10,,"43,526800","-7,421068",03/03/2015
Apartamentos Tutelados,Camino,de Vilaboa,s/n,27570,Antas de Ulla,982 37 95 12,Pública autonómica,16,,"42,785172","-7,885420",03/04/2019
Fogar Residencial de Baleira,Travesía,de Lugo,2,27130,Baleira,,Pública autonómica,24,,"43,015412","-7,244821",18/01/2019
Residencia y apartamentos tutelados San Vitorio,,Lugar Senra,s/n,27680,Baralla,982 36 37 16,Privada sin fin de lucro,104,www.fundacionsanrosendo.es/residencia-san-vitorio,"42,895500","-7,260653",12/04/2019
Vivienda comunitaria Fogar do Cereixal,Calle,Cerezal,4,27695,Becerreá,982 36 04 93,Privada,11,,"42,870712","-7,176558",10/04/2019
Residencia de maiores de Burela,Calle,Rosalía de Castro,34 - 36,27880,Burela,982 58 18 06,Pública autonómica,88,,"43,662815","-7,361613",05/04/2019
Residencia para maiores de Castro de Rei,Calle,Alcalde Emilio Sinde Nieto,s/n,27250,Castro de Rei,982 10 80 29,Privada sin fin de lucro,34,,"43,205712","-7,395412",05/04/2019
Residencia asistida de personas mayores de Castro Ribeiras do Lea,Avenida,Terra Cha,s/n,27260,Castro de Rei,982 31 01 75 / 982 31 01 77 / 982 31 04 11,Pública autonómica,172,www.domusvi.es/residencia-mayores-lugo-castro-de-rey-castro-ribeiras-do-lea,"43,149700","-7,490160",15/04/2019
Residencia San Cibrao,Avenida,da Veiga,s/n,27890,Cervo,982 06 27 31,Pública local,54,www.concellodecervo.com/web/publico/centro-de-dia-residencia,"43,692097","-7,439345",12/04/2019
DomusVi Chantada,Avenida,de Lugo,52,27500,Chantada,982 44 00 51,Privada,201,www.domusvi.es/residencia-de-mayores-chantada,"42,615966","-7,768038",03/04/2019
Vivienda comunitaria Santa Lucía,Calle,Rosalía de Castro,36,27500,Chantada,982 46 22 21,Privada,8,,"42,610426","-7,776619",08/05/2019
Vivienda comunitaria As Rodas I y II,Calle,As Rodas,s/n,27100,Fonsagrada (A),982 34 05 43,Privada,12,,"43,121086","-7,070605",20/03/2018
Fogar Residencial Santa María da Fonsagrada,Avenida,Galicia,90,27100,Fonsagrada (A),982 35 01 26,Privada,13,,"43,123172","-7,069210",12/07/2017
Vivienda comunitaria O Remanso de Paz,Calle,Penela,4 - 6 - 8,27100,Fonsagrada (A),982 34 05 49,Privada,10,,"43,127028","-7,067036",23/04/2019
Vivienda comunitaria Burón I y II,,Puebla de Burón,23 y 27,27112,Fonsagrada (A),982 34 02 22,Privada,23,,"43,140107","-7,084702",23/04/2019
O Teu Fogar Residencia,Calle,do Cemiteri,s/n,27780,Foz,982 14 51 20,Pública local,40,,"43,571597","-7,261781",10/10/2019
Residencia da 3ª idade San Salvador,Carretera,de Santiago,s/n,27211,Guntín,982 32 09 16,Privada,85,,"42,888604","-7,700209",20/02/2015
Residencia y apartamentos tutelados da 3ª idade O Incio,Rúa,Foilebar,23,27346,Incio (O),982 42 72 49,Privada sin fin de lucro,126,www.fundacionsanrosendo.es/residencia-inicio,"42,657971","-7,357803",12/05/2015
Complexo terapéutico xerontolóxico A Veiga,Calle,Río Neira,16,27360,Láncara,982 54 39 43,Privada,178,www.serge.es/a-veiga,"42,868545","-7,443626",09/04/2019
Residencia San Roque,Calle,San Roque,54,27002,Lugo,982 22 09 50 / 982 22 09 54,Privada sin fin de lucro,150,,"43,007933","-7,551634",21/03/2018
Residencia de maiores As Gándaras,Calle,Calzada Gándaras,s/n,27003,Lugo,982 22 83 91,Pública autonómica,218,,"43,030950","-7,549926",08/04/2019
Residencia Abeiro Gold,Avenida,Infanta Elena,s/n,27003,Lugo,982 20 70 62,Privada,191,www.abeirogold.com,"43,039302","-7,568658",21/05/2015
Viviendas comunitarias Sor Ángela de la Cruz,Calle,Miguel de Cervantes,53 - 55,27003,Lugo,982 22 62 21,Privada sin fin de lucro,18,,"43,014729","-7,553834",10/07/2017
Orpea Lugo,Calle,Otero Besteiro,s/n,27003,Lugo,982 26 44 74,Privada,200,orpea.es/centros-residencias/residencia-ancianos-lugo,"43,022219","-7,567074",15/08/2017
Residencia de maiores A Milagrosa,Calle,Curros Enríquez,s/n,27004,Lugo,982 82 90 20,Pública autonómica,54,,"43,019500","-7,565780",08/04/2019
Vivienda Comunitaria Agarimo,Calle,do Coutado,22,27192,Lugo,982 30 33 17,Privada,12,viviendacomunitariaagarimo.com,"43,012086","-7,555856",10/04/2019
Residencia Miradoiro do Aledar,Calle,Pena da Mula,3,27294,Lugo,982 25 10 10,Privada,24,www.aledar.es,"42,991299","-7,564302",20/02/2015
Casa de maiores Penarrubia,,Penarrubia,14,27297,Lugo,982 15 83 55 / 630 53 94 68,Privada,12,,"43,010437","-7,622166",15/04/2019
Residencia San Rafael,Calle,José María Pardo,26,27740,Mondoñedo,982 52 18 33,Privada sin fin de lucro,15,,"43,428881","-7,367253",03/04/2019
Residencia da 3ª idade de Monforte,Paseo,del Malecón,s/n,27400,Monforte de Lemos,982 41 02 11,Pública autonómica,42,,"42,525600","-7,514370",08/04/2019
Fogar San José,Calle,Doctor Casares,111,27400,Monforte de Lemos,982 40 22 47,Privada sin fin de lucro,120,,"42,526011","-7,510679",06/04/2019
Residencia de mayores de Monforte,Calle,Morín,s/n,27400,Monforte de Lemos,982 41 65 85,Privada,180,www.domusvi.es/residencia-para-mayores-monforte/,"42,542221","-7,500695",20/03/2018
Residencia Virgen de la Luz,Calle,Ourense,85,27400,Monforte de Lemos,982 40 15 50,Privada,41,,"42,522629","-7,515800",05/04/2019
Vivienda comunitaria de Monterroso,Calle,Asociación Cultural Falcatrueiros,s/n,27560,Monterroso,982 37 19 95,Pública local,12,,"42,792852","-7,834743",12/04/2019
DomusVi Lugo,Carretera,Nacional VI,Km. 513.5,27150,Outeiro de Rei,982 39 25 02,Privada,192,www.domusvi.es/residencia-para-mayores-lugo,"43,101356","-7,611189",03/04/2019
Residencia y apartamentos tutelados A Pastoriza,Carretera,Mourelle,s/n,27286,Pastoriza (A),982 34 91 42,Privada sin fin de lucro,75,www.fundacionsanrosendo.es/residencia-pastoriza,"43,333011","-7,313168",12/04/2019
Residencia para maiores,Carretera,760,"km. 8,5",27270,Pol,,Pública provincial,36,,"43,127756","-7,351705",21/01/2019
Vivienda comunitaria de Vilaoudriz,,Lugar de Vilaoudriz,7,27720,Pontenova (A),982 33 60 65,Privada,12,www.viviendacomunitariavillaoudrid.com,"43,339781","-7,188518",03/04/2019
Vivienda comunitaria da Pontenova I y II,Avenida,Taramundi,9 - 10,27720,Pontenova (A),982 34 20 17,Pública autonómica,24,www.igualdadebenestar.org,"43,349469","-7,190828",01/08/2011
Residencia de maiores de Quiroga,Calle,Quiroga de Argentina,s/n,27320,Quiroga,982 42 87 62 / 982 42 87 73,Pública autonómica,88,www.fundacionvaldegodos.com,"42,475474","-7,274326",15/04/2019
Vivienda comunitaria El Mirador del Eo 1 y 2,,Cargadoiro,17,27710,Ribadeo,982 12 00 75,Privada,18,,"43,537354","-7,043025",04/04/2019
Vivienda comunitaria de Riotorto I y II,Calle,Alcalde Castrín,11,27744,Riotorto,982 34 65 71,Pública autonómica,20,www.igualdadebenestar.org,"43,345440","-7,262570",03/08/2011
Viviendas comunitarias de Samos I y II,Avenida,Compostela,s/n,27620,Samos,982 54 70 20,Pública local,18,,"42,728959","-7,329148",04/04/2019
