"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Madrid, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia de 3ª edad San Juan de Dios,Carretera,de Navalcarnero - Chinchón,Km. 5,28607,Álamo (El),91 812 14 14,Privada,303,www.residenciasanjuandedios.es,"40,237400","-3,993840",06/05/2015
Residencia de la 3ª edad Benja,Avenida,de Toledo,23,28607,Álamo (El),91 810 41 50,Privada,188,www.residenciasdoctorlopezmalla.com,"40,230334","-3,985376",07/05/2015
Residencia Santa Gema Galgani,Calle,Pensamientos,20,28607,Álamo (El),91 812 09 40,Privada,14,www.residencia-santa-gema-galgani.com,"40,224957","-3,996695",18/09/2017
Residencia La Edad de Oro,Avenida,Príncipe de Asturias,1,28607,Álamo (El),91 812 22 85,Privada,111,www.residenciaedaddeoro.com,"40,236131","-3,991305",03/04/2019
Residencia Cervantes,Calle,José Caballero,1 - 3,28805,Alcalá de Henares,91 883 06 05,Privada,46,www.residenciacervantes.com,"40,488965","-3,349827",05/05/2015
Residencia de personas mayores Francisco de Vitoria,Calle,Villamalea,1,28805,Alcalá de Henares,91 889 30 50,Pública autonómica,513,,"40,508024","-3,357504",08/07/2011
Residencia de personas mayores Cisneros,Avenida,de Ajalvir,1,28806,Alcalá de Henares,91 880 00 15,Pública autonómica,129,,"40,489541","-3,376695",04/04/2019
Alcalá Centro Geriátrico,Calle,Gustavo Adolfo Bécquer,27,28806,Alcalá de Henares,91 884 20 27,Privada,140,,"40,511397","-3,374137",10/12/2010
DomusVi Alcalá de Henares,Avenida,Miguel de Unamuno,5,28806,Alcalá de Henares,91 830 35 52,Privada,180,www.domusvi.es/residencia-de-mayores-alcala-de-henares,"40,497000","-3,373850",04/04/2019
Sanitas Residencial Henares,Calle,Miguel Delibes,2,28806,Alcalá de Henares,91 830 35 11,Privada,136,www.sanitas.es/sanitasresidencial/residencias-mayores/residencia-henares,"40,494390","-3,371467",03/04/2019
