"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Málaga, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia de ancianos Nuestra Señora de las Mercedes,Calle,Granada,13,29530,Alameda,952 71 00 29,Privada sin fin de lucro,24,,"37,207588","-4,657316",03/04/2019
Centro Residencial Fuente Ariza,Calle,Los Llanos,39,29750,Algarrobo,952 55 25 30,Privada,29,www.residenciafuenteariza.com,"36,770716","-4,047478",12/05/2015
Centro Residencial para mayores El Romeral,Calle,Carril de Zamorrilla,31 - Bª El Romeral,29130,Alhaurín de la Torre,952 41 44 50,Privada,,,"36,682017","-4,568444",11/02/2013
Centro Residencial Manuel Dovado,Camino,del Comendador,141,29130,Alhaurín de la Torre,952 96 31 14 / 618 49 16 05,Privada sin fin de lucro,60,,"36,663816","-4,614346",22/04/2019
Residencia Moncasol II,Calle,El Borge,187,29130,Alhaurín de la Torre,951 90 02 76,Privada,,www.residenciasmoncasol.com/moncasol-ii,"36,645953","-4,587549",07/05/2018
Residencia de mayores Altos de Viñagrande,Calle,El Chopo,1 - Urb. Altos de Viñagrande,29130,Alhaurín de la Torre,952 41 02 73,Privada,23,www.residenciavinagrande.com,"36,657786","-4,574275",08/04/2019
DomusVi Fuentesol,Calle,Mejorana,100,29130,Alhaurín de la Torre,952 41 42 00,Privada,146,www.domusvi.es/residencia-mayores-malaga-fuentesol,"36,691700","-4,551870",04/04/2019
Residencia Moncasol I,Calle,Torrox,428,29130,Alhaurín de la Torre,952 96 31 59,Privada,,www.residenciasmoncasol.com/moncasol-i,"36,652908","-4,582918",07/05/2018
Centro residencial Virgen de las Flores,Avenida,Ruíz Picasso,20,29500,Álora,952 49 70 01 / 952 49 64 95,Privada,40,,"36,832300","-4,703870",15/04/2019
Residencia de Personas Mayores Santa Ana,,P. Arroyo Bujías,4,29510,Álora,952 49 76 26,Privada,45,,"36,809319","-4,693111",08/04/2019
Residencia de mayores La Vega,Carretera,de Córdoba,s/n,29200,Antequera,952 06 98 41,Pública provincial,60,www.malaga.es/socialasistencial/798/residencia-vega-antequera,"37,073100","-4,566960",26/04/2018
Residencia San Juan de Dios,Carretera,de Granada,s/n,29200,Antequera,952 84 16 76,Privada sin fin de lucro,75,,"37,023176","-4,546273",09/04/2019
Centro residencial Hotel Casa Conde Pinofiel,Calle,La Tercia,10,29200,Antequera,952 84 24 64,Privada,34,,"37,019472","-4,562222",08/04/2019
Residencia de mayores San Carlos,Calle,Carrera,104,29300,Archidona,952 06 99 12,Pública provincial,60,www.malaga.es/socialasistencial/804/residencia-carlos-archidona,"37,097718","-4,391881",26/04/2018
Residencia de asistidos de Archidona,Calle,Fresca,s/n,29300,Archidona,952 71 66 98,Pública local,90,www.geron.es/residencia/residencia-de-mayores-de-archidona,"37,094300","-4,392360",14/08/2017
Residencia de mayores Glorieta de San José,Calle,San José,45,29350,Arriate,952 16 51 23,Privada sin fin de lucro,69,,"36,799174","-5,142918",12/05/2015
Centro Residencial para mayores BENALSOL,Calle,Cantueso,"2 - Urb. Montealto, 2ª fase",29630,Benalmádena,952 56 74 46,Privada,23,www.residenciabenalsol.es,"36,600166","-4,552470",05/04/2019
Seniors Torrequebrada,Calle,Carabela,s/n,29630,Benalmádena,952 44 99 90,Privada,170,www.seniorsresidencias.es/es/seniors-residencia-mayores-torrequebrada,"36,585294","-4,556865",15/10/2019
Vivienda tutelada Bay Tree Care Home,Calle,Cristóbal Colón,4,29630,Benalmádena,952 44 12 16,Privada,7,baytreecarehome.com,"36,596322","-4,521854",30/04/2019
Centro Residencial Oasis,Calle,Las Jacarandas,16,29630,Benalmádena,952 96 18 21,Privada,19,www.centroresidencialoasis.es,"36,600255","-4,518196",10/07/2017
Seniors Benalmádena,Calle,Cerro del Viento,s/n - Urb. Miramar,29631,Benalmádena,952 57 64 25,Privada,119,www.seniorsresidencias.es/es/seniors-residencia-mayores-benalmadena,"36,606074","-4,540565",12/04/2019
Residencia Río Holanda,Calle,Montilla,18,29631,Benalmádena,952 56 20 68,Privada,24,www.residenciarioholanda.com,"36,606533","-4,535917",04/04/2019
Residencia Benalmádena,Calle,Zodiaco,4,29631,Benalmádena,952 56 27 27,Privada,134,orpea.es/centros-residencias/residencia-ancianos-benalmadena,"36,598600","-4,528460",04/04/2019
Residencia Blas Infante,Calle,Vicente Aleixandre,s/n,29340,Cañete la Real,951 46 40 95,Pública local,42,,"36,955067","-5,026096",17/07/2017
Residencia de personas mayores Villa de Aranjuez,Calle,Dehesa Baja,66,29570,Cártama,687 51 84 30,Privada,21,www.residenciavilladearanjuez.es,"36,719708","-4,608953",16/04/2019
Centro Residencial La Besana,Calle,Las Repisas,24,29160,Casabermeja,952 75 87 39,Privada,33,,"36,896466","-4,437296",11/10/2011
Residencia El Buifarán,,Partida Martina,"Políg. 27, parcela 1",29566,Casarabonela,951 26 44 42,Privada,49,www.residenciaelbuifaran.com,"36,793109","-4,827284",12/04/2019
Centro Residencial Coín Novocare,Plaza,Los Olivos,s/n,29100,Coín,952 45 50 43,Privada,100,www.novocare.es,"36,649292","-4,749881",22/04/2019
Residencia municipal de Cuevas de San Marcos,Calle,Almería,s/n,29210,Cuevas de San Marcos,952 72 86 76,Pública local,18,www.clecemayores.com/es/residencia/53/residencia-de-mayores-y-ued-cuevas-de-san-marcos/,"37,266985","-4,415833",11/04/2019
Centro Residencial TILODISA,Carretera,de Cuevas Bajas,s/n,29210,Cuevas de San Marcos,952 72 74 06,Privada,99,www.tilodisa.es,"37,266900","-4,420701",05/04/2019
Residencia para personas válidas de Estepona,Carretera,de Cádiz a Málaga,Km. 168.3 - Urb. Isdabe,29680,Estepona,951 05 80 00,Pública autonómica,166,,"36,462662","-5,014851",04/04/2019
Vitalia Espinosa de los Monteros,Avenida,del Norte,12,29680,Estepona,952 88 57 99,Pública autonómica,180,www.vitaliahome.es/project/estepona/,"36,466906","-5,014958",22/04/2019
Fundación Residencia Virgen del Carmen,Calle,Pérez Galdós,1,29680,Estepona,952 79 58 16,Privada sin fin de lucro,153,www.residenciavirgencarmen.es,"36,424645","-5,154165",03/04/2019
DomusVi Isdabe,Avenida,del Norte,19,29688,Estepona,952 88 30 43 / 952 88 30 20,Pública autonómica,114,www.domusvi.es/residencia-mayores-malaga-isdabe,"36,465150","-5,014959",09/04/2019
Centro residencial Valle del Genal,Calle,Juan Márquez Téllez,13,29461,Faraján,952 18 06 19,Pública local,29,www.clecemayores.com/es/residencia/44/valle-del-genal/,"36,615839","-5,188257",03/04/2019
