"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Navarra, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia de ancianos Aita Barandiaran,Calle,Idertzagain,2,31800,Altsasu/Alsasua,948 46 81 07,Pública autonómica,42,,"42,894109","-2,175378",04/04/2019
Residencia San Sebastián,Calle,Bárdenas Reales,2,31261,Andosilla,948 67 48 50,Pública local,46,www.gsr.coop/residencias-de-personas-mayores/residencias-de-personas-mayores-en-andosilla,"42,374040","-1,944794",05/04/2019
Residencia San José,Calle,Domingo Elizondo,9,31430,Aoiz/Agoitz,948 33 60 16,Privada sin fin de lucro,56,www.laresnavarra.org/residencias/residencia.php?id=52,"42,784053","-1,372648",04/04/2019
AMAVIR Mutilva,Calle,Anaitasuna,29,31192,Aranguren,948 29 16 06,Privada,200,www.amavir.es/residencia-de-ancianos-navarra-amavir-mutilva,"42,795127","-1,619795",21/07/2017
Residencia de ancianos Santa María,Calle,Hospital,s/n,31210,Arcos (Los),948 64 01 77,Pública local,24,www.losarcos.es/residencia-de-ancianos-santa-maria/,"42,569096","-2,191931",10/07/2013
Vivienda comunitaria Los Arcos,Calle,Ramón y Cajal,5 - 2º D,31210,Arcos (Los),,Pública local,4,www.losarcos.es/residencia-de-ancianos-santa-maria/,"42,568998","-2,191501",10/07/2013
Residencia Virgen de Jerusalén,Calle,Juan Lascarro,1,31140,Artajona,948 36 40 84,Pública local,44,www.laresnavarra.org/residencias/residencia.php?id=51,"42,588186","-1,764282",10/04/2019
Hogar Santa Elena,Calle,San Bartolomé,1,31395,Barásoain,948 72 00 25,Privada,25,fundacionhogarsantaelena.blogspot.com.es,"42,603590","-1,647088",10/07/2013
Centro Hospitalario Benito Menni,Calle,Mendinueta,s/n,31700,Baztan,948 45 21 62,Privada sin fin de lucro,154,www.hospitalariasnavarra.org,"43,146000","-1,525890",09/04/2019
Residencia de ancianos y jubilados Francisco Joaquín Iriarte,Calle,Santiago,2,31700,Baztan,948 58 07 30,Pública local,155,www.ideainnovacion.com/residencia-francisco-joaquin-iriarte-elizondo,"43,147639","-1,514723",03/04/2019
Residencia Asilo San José,Calle,Kanttonberri,14,31780,Bera,948 63 01 04,Privada,40,www.laresnavarra.org/residencias/residencia.php?id=48,"43,281128","-1,683166",04/04/2019
AMAVIR Betelu,Calle,Irigoien,2,31890,Betelu,948 51 33 22,Privada,45,www.amavir.es/residencia-de-ancianos-navarra-amavir-betelu,"43,022241","-1,976246",26/07/2017
Residencia de ancianos San Gregorio,Calle,Mayor,1,31540,Buñuel,948 83 33 12,Pública local,46,www.laresnavarra.org/residencias/residencia.php?id=5,"41,981431","-1,446748",03/04/2019
Residencia Landazábal,Calle,Landazábal,2,31600,Burlada/Burlata,948 13 67 00,Privada,177,www.landazabal.es,"42,828081","-1,615301",14/03/2018
Residencia Salus Infirmorun,Calle,Mayor,51,31600,Burlada/Burlata,948 14 21 00,Privada sin fin de lucro,42,www.laresnavarra.org/residencias/residencia.php?id=53,"42,827330","-1,614210",04/04/2019
Apartamentos Tutelados de Burlada,Calle,San Miguel,13 - bajo,31600,Burlada/Burlata,948 13 66 36,Pública local,18,www.pamplona.es/VerPagina.asp?IdPag=12177EN&Idioma=1,"42,826750","-1,618116",11/05/2015
Residencia José Ramón Zalduendo,Calle,Los Vales,50,31380,Caparroso,948 71 07 79,Pública local,22,www.ideainnovacion.com/residencia-jose-ramon-zalduendo-caparroso/,"42,337046","-1,655462",17/04/2017
Residencia de ancianos Virgen de Gracia,Paseo,Paulino,3,31579,Cárcar,948 69 04 55,Privada,45,www.laresnavarra.org/residencias/residencia.php?id=6,"42,394409","-1,977219",25/04/2019
Residencia de ancianos Nuestra Señora del Rosario,Avenida,de Aragón,4,31310,Carcastillo,948 72 58 06 / 697 56 44 52,Pública local,31,,"42,377924","-1,444360",03/04/2019
Hogar Nuestra Señora del Rosario,Avenida,de la Caridad,4,31520,Cascante,948 85 17 00 / 948 85 00 47,Privada sin fin de lucro,88,,"42,002435","-1,680668",10/05/2018
"Residencia Tomás, Lydia y Javiera Recari",Calle,San Pedro,4,31490,Cáseda,948 43 43 38,Pública local,52,www.residenciacaseda.es,"42,523107","-1,369706",07/05/2019
Residencia Solidaridad,Calle,Julián Gayarre,s/n,31590,Castejón,948 81 41 90,Pública local,34,residenciasolidari.wix.com/castejon,"42,170811","-1,694025",12/07/2017
Patronato municipal San Francisco de Asís,Avenida,de Pablo Rubio,13,31592,Cintruénigo,948 81 10 31,Pública local,85,www.laresnavarra.org/residencias/residencia.php?id=47,"42,079791","-1,804509",04/04/2019
Residencia Hogar de San José,Calle,Pascual Pérez Oñate,45,31591,Corella,948 78 02 89,Pública local,57,www.corella.es/residencia-hogar-san-jose,"42,116499","-1,781083",15/04/2019
Fundación Carmen Bellido - Residencia de ancianos,Calle,Salamanca,19,31530,Cortes,948 80 00 24 / 948 80 03 86,Privada,49,www.laresnavarra.org/residencias/residencia.php?id=46,"41,923725","-1,423341",04/04/2019
AMAVIR Ibañeta,Calle,Zelaia,6,31697,Erro,948 76 80 62,Privada,50,www.amavir.es/residencia-de-ancianos-navarra-amavir-ibaneta,"42,943397","-1,444258",04/04/2019
Residencia de ancianos San Jerónimo,Calle,Andía,1,31200,Estella-Lizarra,948 55 01 98,Privada sin fin de lucro,62,www.residenciasanjeronimo.com,"42,672827","-2,038116",03/04/2019
Residencia Santo Domingo de Estella,Calle,Elgacena,2,31200,Estella-Lizarra,948 55 23 11 / 948 55 24 00,Pública autonómica,100,,"42,669064","-2,026768",18/05/2015
Sanitas Residencial Luz de Estella,Calle,Santa Soria,20,31200,Estella-Lizarra,948 54 69 00,Privada,161,www.sanitas.es/sanitasresidencial/residencias-mayores/residencia-luz-de-estella,"42,680907","-2,039337",15/03/2018
Residencia Las Amescoas,Calle,Gonea,6,31271,Eulate,948 54 37 92,Pública local,32,www.ideainnovacion.com/residencia-las-amescoas-eulate-navarra/,"42,777021","-2,209131",05/04/2019
Residencia San Francisco Javier,Avenida,Doña Fausta Elorz,8,31370,Falces,948 73 41 16,Privada sin fin de lucro,44,,"42,387510","-1,792091",04/04/2019
Residencia San Raimundo,Paseo,San Raimundo,11,31593,Fitero,948 40 46 26,Pública local,43,www.laresnavarra.org/residencias/residencia.php?id=39,"42,055761","-1,857761",04/04/2019
Residencia San Miguel,Calle,Florida,14,31360,Funes,948 75 41 45 / 948 71 61 18,Privada sin fin de lucro,42,residenciasanmiguelfunes.com,"42,313297","-1,798355",05/04/2019
