"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Ourense, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia Nuestra Señora de Villanueva,Plaza,de Eiro,1,32660,Allariz,988 44 01 40,Privada sin fin de lucro,26,www.fundacionsanrosendo.es/residencia-nuestra-senora-villanueva,"42,188537","-7,801321",08/04/2019
Vivienda Comunitaria Agarimo Allariz,Camino,Outeiro de Orraca,80,32660,Allariz,988 44 20 81 / 655 93 90 09,Privada,12,agarimoallariz.es,"42,201931","-7,823931",11/05/2015
Santa Mariña de Augas Santas,Carretera,de Santa Mariña,Km. 3,32668,Allariz,988 44 00 10,Privada sin fin de lucro,21,www.fundacionsanrosendo.es/residencia-santa-marina-aguas-santas,"42,216700","-7,792310",20/02/2015
Vivienda comunitaria San Martín de Amoeiro,Calle,Cornoces,,32170,Amoeiro,988 28 10 29,Privada sin fin de lucro,12,www.fundacionsanrosendo.es/residencia-san-martin-amoreiro,"42,420497","-7,947865",09/09/2011
Vivienda comunitaria Amoeiro,,As Quintas,12,32172,Amoeiro,988 27 90 66 / 615 08 65 36,Privada,12,www.casacomunitariaamoeiro.com,"42,406201","-7,929802",22/03/2018
Vivienda comunitaria Cerval,,Cerval,17,32172,Amoeiro,988 27 99 72,Privada,12,,"42,388467","-7,936771",13/07/2017
Residencia Arnoia - Nuestra Señora del Socorro,,Vila Termal,s/n,32224,Arnoia (A),988 49 24 11 / 988 49 29 66,Privada sin fin de lucro,99,www.fundacionsanrosendo.es/residencia-nuestra-senora-perpetuo-socorro,"42,267602","-8,151983",12/04/2019
Residencia y Vivienda comunitaria Alvetus,Carretera,de O Sifón,15,32435,Avión,988 48 65 28,Pública local,32,,"42,377056","-8,259385",03/04/2019
Residencia de personas mayores de Bande,Calle,Outeiro do Rei,s/n,32840,Bande,988 44 32 61,Pública autonómica,50,www.residencialcarlosiv.com/geriatria/residencias/residencia-de-mayores-de-bande,"42,033781","-7,978384",20/07/2017
Residencia Ansuiña,Calle,Samuel González Movilla,37,32701,Baños de Molgas,988 43 76 09,Privada,18,ansuinamolgas.wixsite.com/contacto,"42,242637","-7,671410",25/05/2019
Residencia da 3ª idade Nosa Señora dos Milagres,Carretera,de Piñor,25,32890,Barbadás,988 78 87 71,Pública autonómica,130,,"42,324307","-7,885486",03/04/2019
