"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Palencia, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia Santísima Trinidad,Calle,Marqués de Aguilar,10,34800,Aguilar de Campoo,979 12 21 30,Privada sin fin de lucro,109,,"42,790628","-4,257080",05/04/2019
Residencia Tercera Actividad,Calle,Peña Aguilón,s/n,34800,Aguilar de Campoo,979 12 60 61,Privada,96,www.santamarialareal.org,"42,786800","-4,252410",05/04/2019
Centro Multiservicios Residencia Domingo Gómez Lesmes,Calle,Don Hueso,4,34191,Ampudia,979 12 00 26,Privada,55,,"41,915004","-4,781007",05/02/2015
Residencia de ancianos Nuestra Señora de la Providencia,Calle,Mayor,18 - 20,34248,Antigüedad,979 79 79 26,Privada sin fin de lucro,25,,"41,944421","-4,114590",05/05/2015
Residencia - Fundación Residencia San José,Calle,Hijas de la Caridad,20,34450,Astudillo,979 82 21 27,Privada,48,,"42,192093","-4,296695",03/05/2019
Residencia de mayores de Autilla del Pino,Calle,Extramuros,16,34191,Autilla del Pino,979 11 04 52,Pública local,24,www.residenciaautilla.es,"41,992731","-4,629825",26/01/2015
Residencia de 3ª edad La Milagrosa,Avenida,Juan José Lucas,1,34240,Baltanás,979 79 01 71,Privada,32,,"41,936986","-4,249229",12/07/2013
Residencia de mayores Villa María,Carretera,de Itero,s/n,34477,Bárcena de Campos,979 88 75 04,Privada,89,,"42,482767","-4,499693",26/01/2015
Santa Bárbara,Calle,Hermano Bernardo,s/n,34820,Barruelo de Santullán,979 60 64 80,Pública local,24,,"42,908508","-4,288789",05/04/2019
Fundación benéfico social Cristo de San Felices - Residencia de ancianos,Carretera,de Villada,1,34310,Becerril de Campos,979 83 32 21 / 979 83 40 10,Privada,39,,"42,111204","-4,637094",04/04/2019
