"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en La Rioja, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia de personas mayores Montesclaros,Calle,La Nava,6,26120,Albelda de Iregua,941 44 44 30,Privada,130,www.gsr.coop/residencias-de-personas-mayores/residencias-de-personas-mayores-en-logrono-montesclaros,"42,357912","-2,474037",05/04/2019
Residencia de personas mayores La Rioja,Carretera,Nacional 111,Km. 8,26120,Albelda de Iregua,941 44 35 16,Pública autonómica,220,,"42,393331","-2,471569",03/04/2019
Residencia de mayores Nuestra Señora del Pilar y San Jorge,Paseo,Florida,29,26540,Alfaro,941 18 30 00,Privada,72,residenciasreyardid.es/residencias-mayores/la-rioja/alfaro,"42,181145","-1,750470",12/04/2019
Residencia de Anguiano,Travesía,Carrera,s/n,26322,Anguiano,941 37 70 27,Privada,66,www.fundacionanguiano.es,"42,263884","-2,764655",04/04/2019
Residencia de ancianos Ciudad de Arnedo,Avenida,Deportiva,18,26580,Arnedo,941 38 38 00,Pública autonómica,119,www.larioja.org/servicios-sociales/es/entidades-centros-servicios/residencias-comunidad-autonoma/residencias/ciudad-arnedo,"42,222036","-2,102359",14/03/2018
Residencia Nuestra Señora de Yerga,Calle,Doctor Remón,7,26560,Autol,941 39 00 43,Pública local,39,,"42,214300","-2,004919",14/03/2018
Residencia de personas mayores de Calahorra,Carretera,de Logroño,s/n,26500,Calahorra,941 13 16 50,Pública autonómica,111,,"42,313500","-1,980790",24/07/2013
Residencia La Concepción,Carretera,de Murillo,17,26500,Calahorra,941 13 02 39,Privada sin fin de lucro,142,,"42,310160","-1,967930",10/07/2013
Centro municipal asistencial,Avenida,de Numancia,37,26500,Calahorra,941 13 01 88,Pública local,40,,"42,303092","-1,969278",13/07/2017
Residencia Nuestra Señora del Valle,Calle,Gregorio Artacho,3,26350,Cenicero,941 45 41 35,Privada,74,www.gerontovalle.com,"42,481499","-2,645268",17/04/2019
Residencia Hospital Purísima Concepción,Calle,Andrés Martínez,37,26520,Cervera del Río Alhama,941 19 80 39,Privada,40,,"42,003386","-1,956602",01/08/2017
Residencia de ancianos Jesús Nazareno,Calle,Jesús Nazareno,1,26280,Ezcaray,941 35 40 49,Privada,38,,"42,325096","-3,016422",07/05/2019
Fundación Madre de Dios - Centros Benéficos Reunidos,Avenida,San Millán de la Cogolla,3,26200,Haro,941 31 02 02,Privada sin fin de lucro,91,,"42,571960","-2,853763",09/04/2019
Residencia Los Jazmines,Calle,Severo Ochoa,5,26200,Haro,941 30 36 50,Pública autonómica,140,www.viamedlosjazmines.com,"42,569750","-2,846420",10/07/2013
Residencia Ruíz,Carretera,de Ribafrecha,s/n,26131,Lagunilla del Jubera,941 48 22 04,Privada,80,www.residenciaruiz.es,"42,351516","-2,304190",03/04/2019
Residencia de personas mayores de Lardero,Camino,Hermanos Maristas,s/n,26140,Lardero,941 29 47 50,Pública autonómica,200,www.larioja.org/servicios-sociales/es/entidades-centros-servicios/centros-participacion-activa-gobierno-rioja/hogares/lardero,"42,393600","-2,471820",04/04/2019
Residencia Santa Teresa de Jornet,Avenida,de la Constitución,3,26001,Logroño,941 23 59 96 / 941 24 07 44,Privada sin fin de lucro,148,,"42,467332","-2,439267",19/07/2011
Residencia Madre María Josefa - Siervas de Jesús,Calle,Padre Claret,14,26004,Logroño,941 27 09 90,Privada sin fin de lucro,64,,"42,462470","-2,434021",09/04/2019
Residencia 3ª edad Monte Rincón,Carretera,El Cortijo,Km. 2.5,26005,Logroño,941 22 50 50,Privada,62,www.monterincon.es,"42,484594","-2,480909",04/04/2019
Orpea Logroño,Calle,Clavijo,1,26006,Logroño,902 20 00 65 / 941 21 13 33,Privada,232,orpea.es/centros-residencias/residencia-ancianos-logrono,"42,451509","-2,449742",09/07/2017
Residencia Santa Justa,Avenida,de la Paz,111,26006,Logroño,941 24 16 11,Privada,140,www.residenciasantajusta.org,"42,462476","-2,426664",16/04/2019
Residencia La Estrella,Calle,Ramón y Cajal,1,26006,Logroño,941 12 47 27,Privada,148,www.clecemayores.com/es/residencia/59/la-estrella/,"42,452021","-2,423869",04/04/2019
Residencia San Agustín,Camino,Viejo de Alberite,104 - 122,26006,Logroño,941 20 40 40,Privada,258,www.residenciasanagustin.es,"42,445251","-2,444034",12/05/2015
Residencia Santa Cruz,Avenida,de Madrid,182,26007,Logroño,941 21 08 35,Privada sin fin de lucro,63,www.residenciasantacruz.org,"42,442735","-2,451884",05/04/2019
Caser Residencial Montesoria,Calle,Montesoria,14,26007,Logroño,941 49 90 52,Privada,119,www.caseresidencial.es/montesoria,"42,441806","-2,457390",15/05/2015
Residencia de personas mayores El Sol,Calle,Serradero,25,26008,Logroño,941 51 93 10,Pública autonómica,96,,"42,450496","-2,460450",10/07/2017
Residencia de Mayores de Nájera,Calle,Peñaescalera,6,26300,Nájera,941 41 05 03,Pública autonómica,100,www.residencialcarlosiv.com/geriatria/residencias/residencia-de-mayores-de-najera,"42,421468","-2,733143",07/07/2017
Piso tutelado San Prudencio,Calle,San Prudencio,6,26300,Nájera,941 36 28 77,Privada sin fin de lucro,10,,"42,417237","-2,734400",08/04/2019
Residencia Nuestra Señora del Pilar,Plaza,de la Tela,s/n,26190,Nalda,941 44 72 46,Privada sin fin de lucro,24,,"42,334764","-2,486762",03/04/2019
DomusVi Quel,Carretera,de Arnedo,33,26570,Quel,941 40 33 30,Privada,39,www.domusvi.es/residencia-de-mayores-la-rioja-quel,"42,231785","-2,054134",06/04/2018
Residencia Virgen de los Remedios,Paseo,de las Vistillas,6 bis,26338,San Vicente de la Sonsierra,941 30 81 65,Privada,38,www.fundacioncarmenbarbera.es,"42,565033","-2,761149",04/04/2019
Fundación Hospital del Santo,Plaza,de San Francisco,2,26250,Santo Domingo de la Calzada,941 34 00 67 / 630 18 67 26,Privada,66,www.hospitaldelsanto.com,"42,440377","-2,957784",07/07/2017
