"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Salamanca, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia de ancianos de Agallas,Calle,de los Guindos,26,37510,Agallas,923 49 03 35,Pública local,19,,"40,449550","-6,440453",10/04/2019
Residencia de personas mayores Alaraz,Calle,Calzada de Peñaranda,9,37312,Alaraz,923 55 01 71,Privada,63,www.residencia-alaraz.es,"40,749991","-5,285059",01/06/2015
Residencia Santo Cristo del Monte,Calle,Las Heras,s/n,37312,Alaraz,923 55 01 35,Privada,35,grupolimcasa.es/residencial-montevideo,"40,746129","-5,292305",05/05/2015
Residencia de 3ª edad Santa Teresa,Carretera,de Valdemierque,s/n,37800,Alba de Tormes,923 37 00 24,Privada,79,www.santateresaresidencia.com,"40,826300","-5,520760",05/04/2019
Residencia GERIALBA,Camino,del Cornezuelo,7,37800,Alba de Tormes,923 37 06 31,Privada,49,gerialba.com,"40,829723","-5,512968",29/04/2011
Residencia de 3ª edad Santiago y San Marcos,Calle,Nueva del Reloj,s/n,37800,Alba de Tormes,923 30 09 74,Privada,44,,"40,826900","-5,511970",07/05/2015
Residencia municipal Virgen de la Peña de Francia,Avenida,Peña de Francia,20,37624,Alberca (La),923 42 31 22,Pública local,58,residenciaazvase.com,"40,488806","-6,113638",08/04/2019
Residencia de mayores La Llanada,Calle,La Llanada,29,37250,Aldeadávila de la Ribera,923 50 54 11,Pública local,60,,"41,216466","-6,619661",12/04/2019
Residencia La Llanada II,Calle,Río Duero,11,37250,Aldeadávila de la Ribera,923 50 50 05 / 923 50 50 71,Pública local,65,,"41,215612","-6,611468",12/04/2019
San Miguel Arcángel,Calle,Ejido,46,37176,Almendra,923 14 15 42,Pública local,12,,"41,228140","-6,342484",11/04/2019
Residencia Bellavista,Calle,Palomar,1 D,37330,Babilafuente,923 08 08 76,Privada,99,,"40,979882","-5,423513",11/07/2017
Casa asistida Santo Cristo de la Salud,Calle,Humilladero,s/n,37271,Bañobárez,923 50 60 00,Pública local,10,,"40,846498","-6,612488",04/04/2019
Residencia de mayores María Auxiliadora,Calle,Alejandro Rebollo,s/n,37255,Barruecopardo,923 50 73 19,Pública local,19,,"41,070270","-6,661061",08/04/2019
Hogar Residencia San José,Avenida,del Ejército,2,37700,Béjar,923 40 02 57,Privada sin fin de lucro,98,,"40,384962","-5,763250",11/04/2019
Hogar Residencia El Buen Pastor,Calle,Flamencos,12,37700,Béjar,923 40 27 02,Privada,118,,"40,387181","-5,765675",03/04/2019
Residencia de mayores Mamá Margarita,Plaza,San Juan Bosco,6,37700,Béjar,923 40 80 33,Privada,126,mamamargarita.com,"40,388014","-5,775339",03/04/2019
Residencia municipal San Miguel,Calle,Tomás Bretón,7,37700,Béjar,923 41 08 18,Pública local,48,www.sergesa.com/residencia-geriatrica-en-salamanca-bejar,"40,386940","-5,766403",03/04/2019
Residencia La Atalaya II,Calle,La Encina,15,37789,Beleña,923 38 13 56 / 923 38 13 94,Privada,18,,"40,749313","-5,628698",05/04/2019
La Atalaya III,Calle,La Encina,15,37789,Beleña,923 38 13 56 / 923 38 14 36,Privada,42,,"40,749313","-5,628698",05/04/2019
Residencial Beleña,Calle,La Encina,30,37789,Beleña,923 38 10 23,Privada,184,www.amanecerduero.com,"40,747675","-5,629796",05/04/2019
Residencia Nuestra Señora de la Asunción,Calle,Mayor,s/n,37290,Boada,923 44 08 65 / 923 44 03 91,Pública local,19,,"40,814975","-6,308469",06/04/2019
Centro de mayores Teso de Cabrerizos,Calle,Parque de la Armuña,40,37193,Cabrerizos,923 20 99 90,Privada,99,www.tesodecabrerizos.com,"40,982826","-5,608745",09/04/2019
Residencia Las Azucenas II,Carretera,Santa Marta - Huerta,Km. 7,37181,Calvarrasa de Abajo,923 10 05 00,Privada,62,,"40,962003","-5,545709",09/02/2015
Residencia Virgen de la Peña,Calle,Naciente,40 - bajo,37191,Calvarrasa de Arriba,923 37 34 25,Privada,32,,"40,907544","-5,590225",08/03/2018
Residencia de personas mayores Calzada de Valdunciel,Calle,Pozo Campo,14,37797,Calzada de Valdunciel,923 31 02 74,Pública local,18,,"41,085593","-5,699197",03/04/2019
Casa asistida para personas mayores,Camino,Horcajo,s/n,37400,Cantalapiedra,923 53 03 84,Pública local,10,,"41,124574","-5,182653",26/01/2015
Residencial La Casa del Abuelo,Calle,El Sol,1,37405,Cantalpino,923 53 22 81,Privada,53,www.residenciacantalpino.com,"41,052810","-5,323817",07/07/2017
Casa asistida Nuestra Señora de la Asunción,Calle,Peñaranda,2,37405,Cantalpino,923 53 21 35,Pública local,10,,"41,048521","-5,330987",13/07/2017
Residencia de ancianos La Divina Pastora,Avenida,de Portugal,3,37541,Casillas de Flores,923 48 88 52,Privada,30,,"40,381078","-6,754912",17/04/2019
Residencia Bellavista Castellanos,Calle,Vitigudino,1,37439,Castellanos de Moriscos,923 35 56 95,Privada,176,bellavistasalamanca.es/index_sannarciso.htm,"41,011196","-5,606671",08/04/2019
Residencia JESAN,Carretera,de Salamanca a Zamora,Km. 330,37797,Castellanos de Villiquera,923 32 03 94 / 618 70 43 45 / 618 76 11 05,Privada,84,www.residenciajesan.com,"41,050904","-5,680699",03/04/2019
Vivienda comunitaria,Calle,Carretera Nueva,17,37720,Cerro (El),923 43 12 47 / 626 28 10 98,Pública local,12,,"40,330696","-5,912952",10/05/2019
Vivienda de personas mayores Virgen del Carrascal,Calle,Extrarradio,6,37750,Cespedosa de Tormes,923 15 26 95 / 638 79 32 60,Pública local,10,,"40,543906","-5,580284",11/05/2015
Residencia San José,Calle,Campo del Pozo,1,37500,Ciudad Rodrigo,923 46 06 04,Privada sin fin de lucro,124,,"40,596886","-6,531920",15/04/2019
"Centro Residencial Caracillo, S. L.",Carretera,de Béjar a Ciudad Rodrigo,Km. 94.700,37500,Ciudad Rodrigo,923 49 80 19,Privada,83,,"40,600700","-6,510420",03/04/2019
Residencia mixta de Ciudad Rodrigo,Calle,Hospicio,2,37500,Ciudad Rodrigo,923 46 01 87,Pública provincial,129,www.dipsanet.es/bienestarsocial/mayoresdiscapacidad/centrosresidenciales/residenciamixta/,"40,603788","-6,531192",05/04/2019
Residencia Obispo Téllez,Plaza,Poeta Cristóbal de Castillejo,14,37500,Ciudad Rodrigo,923 49 80 34,Privada,94,www.obispotellez.com,"40,596297","-6,532495",04/04/2019
Hospital de la Pasión,Calle,Sinagoga,1 - 3,37500,Ciudad Rodrigo,923 46 00 46,Privada,144,,"40,595953","-6,533991",27/08/2009
