"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Segovia, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Centro Residencial Claros Abades,Calle,Miguel Martín,2,40141,Abades,921 10 90 11,Privada,81,www.clarosabades.es,"40,917571","-4,264821",03/04/2019
Residencia Aguilafuente,Carretera,de Fuentepelayo,s/n,40340,Aguilafuente,921 57 21 99,Privada,50,www.residenciamasluz.com,"41,226723","-4,122924",12/07/2017
Residencia Sancti Spiritu,Plaza,del Hospital,5,40520,Ayllón,921 55 39 09 / 921 55 35 63,Pública local,47,www.ayllon.es/residencia-de-ancianos,"41,419139","-3,378424",03/04/2019
Residencia de ancianos Virgen del Pinar,Calle,El Sol,4,40320,Cantalejo,921 52 20 51,Pública local,56,,"41,254522","-3,925755",06/07/2017
Residencia Himerol Los Sauces,Calle,Nueva,4,40360,Cantimpalos,677 42 06 57,Privada,63,,"41,074521","-4,159074",26/01/2015
Residencia María Inmaculada,Calle,Colegio,1,40270,Carbonero el Mayor,921 56 19 50,Privada,66,www.geroconfor.com/maria-inmaculada/,"41,122429","-4,265828",12/07/2017
Residencia Virgen del Bustar,Paseo,de la Cañada,s/n,40270,Carbonero el Mayor,921 56 19 40,Pública local,90,www.clecemayores.com/es/residencia/39/virgen-del-bustar/,"41,112676","-4,261303",04/04/2019
Residencia El Mirador,Avenida,José Antonio,48,40480,Coca,921 58 64 07,Pública local,39,,"41,219482","-4,519858",11/07/2017
Residencia de ancianos El Alamillo,Campus,El Alamillo,50,40200,Cuéllar,921 14 18 61,Privada sin fin de lucro,49,,"41,398100","-4,313910",04/04/2019
Centro de Mayores Valdihuertos,Calle,Fotógrafo Rafael,s/n,40200,Cuéllar,921 14 49 10,Privada,124,www.valdihuertos.com,"41,405335","-4,310263",17/04/2019
Centro Sociosanitario El Espinar,Calle,Marigarcía,5,40440,Espinar (El),921 18 24 70,Privada,128,www.csselespinar.es,"40,723607","-4,245217",05/05/2015
Residencia de mayores Virgen de Veladiez,Carretera,de Espirdo,Km. 1.8,40191,Espirdo,921 46 72 60,Privada,59,,"40,986959","-4,079658",04/04/2019
Residencia San Miguel,Calle,Segovia,4,40260,Fuentepelayo,921 57 43 97,Pública local,21,,"41,220257","-4,176658",30/04/2019
Residencia de ancianos El Sotillo,Avenida,El Sotillo,25,40196,Lastrilla (La),921 43 49 61,Privada sin fin de lucro,108,,"40,962337","-4,093901",05/04/2019
Residencia de mayores San Antonio,Calle,Fuentepía,12,40142,Marugán,921 19 65 30,Privada,27,www.residenciasanantonio.org,"40,893762","-4,387654",14/05/2019
Centro Residencial Las Eras Nuestra Señora de Rodelga,Calle,Escobar,28,40250,Mozoncillo,921 57 70 98,Privada,44,,"41,144111","-4,184764",04/04/2019
Centro Geriátrico Nava de la Asunción,Calle,Miguel Ángel,9,40450,Nava de la Asunción,921 58 02 39 / 615 60 63 71,Pública local,62,,"41,154996","-4,491167",06/04/2019
Residencia de mayores La Alameda,Calle,Ramón y Cajal,1,40450,Nava de la Asunción,921 58 09 45 / 921 58 09 44,Pública provincial,67,www.dipsegovia.es/index.php/contenidos/index/id_contenido/1212,"41,154637","-4,489318",03/04/2019
Nuestra Casa La Grande,Calle,Larga,3,40532,Navares de Enmedio,921 53 20 51,Privada,37,www.nuestracasalagrande.es,"41,380954","-3,721233",04/04/2019
Residencia San Antonio de Padua,Calle,Abrojal,8,40470,Navas de Oro,921 59 13 04,Privada,40,,"41,199344","-4,442438",12/07/2017
Centro Residencial Doctor Barrios,Carretera,Ortigosa del Monte a La Losa,s/n,40421,Ortigosa del Monte,921 48 92 01,Privada,122,www.centrodoctorbarrios.es,"40,848663","-4,171757",04/04/2019
Módulo psicogeriátrico del Centro Nuestra Señora de la Fuencisla,Carretera,de San Ildefonso,Km. 7,40194,Palazuelos de Eresma,921 42 18 00,Pública provincial,71,www.dipsegovia.es/servicios-sociales/centros-residenciales/-/publicador/centro-de-servicios-sociales-la-fuencisla/ek8I,"40,917300","-4,060540",12/04/2019
Residencia de personas mayores Nuestra Señora de la Fuencisla,Carretera,de San Ildefonso,Km. 7,40194,Palazuelos de Eresma,921 42 18 00,Pública provincial,67,www.dipsegovia.es/servicios-sociales/centros-residenciales/-/publicador/centro-de-servicios-sociales-la-fuencisla/ek8I,"40,929664","-4,055590",12/04/2019
Residencia para la 3ª edad Prádena Salud,Calle,Ferial,14,40165,Prádena,921 50 73 85,Privada,99,www.pradenasalud.com,"41,135932","-3,690624",05/04/2019
Residencia La Vega,Calle,Convento,s/n,40465,Rapariegos,661 94 85 46,Privada,22,,"41,096246","-4,654226",26/01/2015
Residencia geriátrica Las Viñas,Carretera,de Cuéllar a Arévalo,s/n,40466,Rapariegos,920 30 97 20,Privada,37,www.residencialasvinas.es,"41,094814","-4,649796",09/04/2019
Residencia San Fernando,Paseo,de Bolonia,2,40100,Real Sitio de San Ildefonso,921 47 39 04,Pública local,118,www.residenciasanfernando.com,"40,904800","-4,010800",03/04/2019
Vivienda tutelada para ancianos,Travesía,del Horno,3,40100,Real Sitio de San Ildefonso,921 47 01 76,Pública local,9,,"40,903727","-4,007106",26/01/2015
Residencia Madrid,Paseo,del Molinillo,5,40100,Real Sitio de San Ildefonso,921 47 00 69,Privada,77,,"40,902493","-4,002532",04/04/2019
Fundación Residencia de Ancianos de Riaza,Calle,Val Bajo,55,40500,Riaza,921 55 03 89,Privada,96,residenciariaza.org,"41,274509","-3,479860",13/07/2017
Residencia municipal de Sacramenia,Carretera,de Laguna de Contreras,s/n,40237,Sacramenia,921 52 75 82,Pública local,46,excellence-innova.com,"41,490637","-3,966052",06/07/2017
Residencia de ancianos Los San Pedros,Camino,de la Garnacha,4,40389,San Pedro de Gaíllos,921 53 10 36,Privada,48,,"41,227104","-3,810881",08/07/2011
Residencia Nuestra Señora Virgen del Rosario,Avenida,del Polideportivo,s/n,40297,Sanchonuño,921 16 00 93,Privada,40,,"41,327888","-4,302850",05/05/2015
Residencia Santa María,Calle,Mayor,30,40440,Santa María la Real de Nieva,921 59 40 29,Privada,77,www.residencia-santamaria.com,"41,070741","-4,410213",05/05/2015
Residencia asistida de personas mayores,Calle,Tres de abril,9,40002,Segovia,921 43 16 52,Pública autonómica,300,,"40,942933","-4,136568",21/07/2017
Residencia mixta de la 3ª edad,Carretera,de Valladolid,10,40003,Segovia,921 43 60 61,Pública autonómica,84,,"40,959422","-4,106918",10/07/2017
Residencia de ancianos - Hermanitas de los Pobres,Avenida,Padre Claret,5,40003,Segovia,921 43 85 24,Privada sin fin de lucro,87,www.hermanitasdelospobres.es/wp/index.php/segovia/,"40,945957","-4,111634",05/04/2019
Residencia Cáritas Parroquial,Camino,Nuevo,20,40300,Sepúlveda,921 54 05 39,Privada sin fin de lucro,25,,"41,296661","-3,753700",09/05/2015
Fundación Santa Eulalia,Calle,Otones,3,40192,Torreiglesias,921 50 95 11,Privada,48,www.residenciasantaeulalia.es,"41,104756","-4,032074",11/04/2019
Residencial para mayores El Jardín de Segovia,Calle,Sitio,20,40194,Trescasas,902 12 36 26,Privada,160,www.eljardindesegovia.com,"40,955901","-4,036213",04/04/2019
Residencia San Juan Bautista,Calle,Reverendo Padre Juan de Frutos,32,40317,Urueñas,921 53 41 67 / 921 12 77 95 / 699 70 01 42,Privada sin fin de lucro,24,,"41,356169","-3,773990",03/04/2019
Centro Residencial Oteruelo,Calle,Oteruelo,s/n,40140,Valverde del Majano,921 49 09 60,Pública local,53,www.centroresidencialoteruelo.es,"40,952037","-4,230446",03/04/2019
