"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Sevilla, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia para personas mayores Virgen de Fátima,Calle,Bergantín,28 - Urb. La Juncosa,41500,Alcalá de Guadaíra,955 68 17 02,Privada,18,,"37,320763","-5,859445",04/04/2019
DomusVi Alcalá de Guadaíra,Calle,Cáñamo,44,41500,Alcalá de Guadaíra,955 69 89 04,Privada,178,www.domusvi.es/residencia-para-mayores-alcala-de-guadaira,"37,330965","-5,857324",12/04/2019
Centro Residencial de mayores Cristo de la Salud,Calle,Claudio Guerín,11,41500,Alcalá de Guadaíra,955 68 29 77,Privada,49,www.residenciademayorescristodelasalud.com,"37,334097","-5,835818",15/04/2019
Centro Residencial Nuevo Paraíso,Carretera,de las Canteras,s/n - Apdo. de Correos: 108,41500,Alcalá de Guadaíra,955 61 04 30 / 627 43 01 93,Privada,37,www.residencianuevoparaiso.es,"37,339163","-5,804158",04/05/2019
Centro residencial Siglo XXI,Carretera,de Llerena a Utrera,Km. 160,41500,Alcalá de Guadaíra,955 68 46 67,Privada,92,www.residencialsigloxxi.es,"37,291091","-5,862801",08/04/2019
Residencia Santa Ángela,Calle,Escribano,9,41500,Alcalá de Guadaíra,955 69 98 19,Privada,20,,"37,307464","-5,882260",13/07/2017
Centro de Mayores Guadaíra,Calle,Escultor Martín de Gainza,12,41500,Alcalá de Guadaíra,955 62 05 49,Privada,192,www.gruporeifs.com/nuestros-centros/residencia-para-mayores-grupo-reifs-alcala-de-guadaira,"37,341094","-5,824364",17/04/2019
Centro residencial La Milagrosa,Calle,Nuestra Señora del Águila,63,41500,Alcalá de Guadaíra,955 69 90 38,Privada sin fin de lucro,49,,"37,334641","-5,848460",03/04/2019
Vivienda tutelada Los Pinares,Calle,Pino Tea,51,41500,Alcalá de Guadaíra,699 98 30 50,Privada,,www.lospinares.es,"37,322413","-5,854033",03/02/2017
Centro Residencial San Lorenzo,Barrio,San Rafael,10,41500,Alcalá de Guadaíra,667 52 30 96,Privada,25,,"37,386313","-5,874954",09/04/2019
Residencia Virgen de las Angustias,Calle,San Fernando,8,41200,Alcalá del Río,954 78 06 04,Privada sin fin de lucro,44,www.residencia-v-angustias.com,"37,517970","-5,980843",15/04/2019
Centro Residencial Tristán,Calle,Albahaca,1,41980,Algaba (La),954 11 99 12 / 954 11 99 13,Privada,58,www.residenciadeancianostristan.com,"37,458402","-6,016526",07/04/2019
Residencia Municipal de Algámitas,Calle,Nueva,18,41661,Algámitas,955 85 76 01 / 955 85 78 62,Pública local,27,fonserrana.com/residencia-algamitas/,"37,016677","-5,148068",08/04/2019
Residencia de 3ª edad Madre Encarnacion,Calle,Parada,22,41600,Arahal,954 84 01 35,Privada sin fin de lucro,64,www.rmaria.org,"37,267590","-5,541491",04/04/2019
Residencia Nuestra Señora del Aljarafe,Calle,Pizarro,19,41849,Aznalcázar,955 75 05 65,Privada,27,,"37,304724","-6,245253",04/04/2019
Centro residencial de mayores Cruz Blanca,Calle,Cruz,111,41870,Aznalcóllar,954 13 40 20,Privada,49,,"37,519302","-6,279468",08/04/2019
Centro Residencial Montetabor Bollullos,Avenida,de Montetabor,1,41110,Bollullos de la Mitación,955 69 50 58,Privada,70,residmontetaborbollu.wixsite.com/montetaborbollullos,"37,338737","-6,144858",04/04/2019
Orpea Aljarafe,Avenida,del Barrerillo,13,41930,Bormujos,955 72 67 38,Privada sin fin de lucro,88,orpea.es/centros-residencias/centro-dia-residencia-ancianos-sevilla-aljarafe,"37,379681","-6,065186",04/04/2019
Centro residencial para personas mayores La Fontana,Paseo,del Agua,13,41310,Brenes,954 79 76 55,Pública local,17,,"37,554513","-5,871028",07/07/2017
Centro residencial DAHIMAR,Calle,Zarzagorda,s/n,41220,Burguillos,955 73 89 50,Privada,59,www.dahimar.es,"37,590189","-5,971528",17/07/2017
Residencia Nuestra Señora de las Marismas,Plaza,del Cine,5,41729,Cabezas de San Juan (Las),,Privada,,,"37,030505","-5,905323",21/02/2013
Centro Residencial San Juan Bautista,Calle,Puerta del Verano,2,41729,Cabezas de San Juan (Las),955 87 08 78,Privada,29,residenciasanjuanbautista.es,"37,031847","-5,903804",09/04/2019
Residencia para Mayores Alkama,Calle,Poetisa Mariquita Fuentes,2,41900,Camas,955 98 24 21,Privada,59,www.residenciaalkama.es,"37,392332","-6,027594",08/04/2019
Vitalia La Campana,Calle,Cataluña,s/n,41429,Campana (La),954 19 92 19,Privada,105,www.vitaliahome.es/project/la-campana,"37,565241","-5,430831",10/07/2017
Residencia San Nicolás,Avenida,del Guadalquivir,87,41320,Cantillana,955 73 08 05,Privada,82,residencialdemayoressannicolascantillana.com,"37,613072","-5,827245",11/07/2013
Centro residencial San Joaquín y Santa Ana,Calle,Sevilla,15,41439,Cañada Rosal,954 83 95 02,Pública local,31,www.geron.es/residencia/residencia-mayores-canada-rosal,"37,593651","-5,210109",12/07/2017
Centro residencial La Alegría,Calle,Alegría,97,41410,Carmona,955 13 25 96 / 630 96 07 74,Privada,,www.residenciaalegria.es,"37,449730","-5,790773",18/02/2013
Residencia Venta El Recreo,Carretera,de Carmona a El Viso,Km. 1.5 - Apdo. de Correos: 87,41410,Carmona,954 19 01 72,Privada,39,www.residenciaelrecreo.com,"37,451700","-5,665030",12/05/2015
Residencia Nuestra Señora de Setefilla,Urbanización,El Socorro,137,41410,Carmona,954 14 84 79,Privada,,,"37,437809","-5,798669",07/11/2014
Centro Residencial La Alameda,Calle,Jara,51,41410,Carmona,954 14 12 20,Privada,49,,"37,473488","-5,653126",05/04/2019
Centro Residencial El Pilar,Carretera,Mairena-Brenes,"Urb. El Pilar, parc. 18",41410,Carmona,954 14 81 16,Privada,90,www.hogardemayoreselpilar.es,"37,459183","-5,790469",08/04/2019
Hogar de mayores Pino Grande,Calle,Pino Santo,132,41410,Carmona,954 68 76 27,Privada,21,www.hmpinogrande.com,"37,435442","-5,818909",26/04/2019
Residencia asistida municipal San Pedro,Calle,San Pedro,1,41410,Carmona,954 14 22 52,Pública local,50,,"37,471086","-5,643073",11/02/2013
Residencia municipal de mayores José Mª Rivera de Paz,Calle,Doctor José Mª Osuna,s/n,41820,Carrión de los Céspedes,954 49 13 64,Pública local,22,,"37,371448","-6,325287",16/09/2019
Residencia municipal Vicente Ferrer,Calle,La Residencia,12 - 18,41230,Castilblanco de los Arroyos,955 73 51 05,Pública local,58,www.residenciadeancianosvferrer.es,"37,671814","-5,989813",04/04/2019
Centro Residencial Habitare Castilleja,Avenida,Plácido Fernández Viagas,s/n,41950,Castilleja de la Cuesta,954 46 41 00,Privada,139,www.residenciacastilleja.es,"37,391553","-6,061698",04/04/2019
Residencia San Juan de Dios,Calle,La Vinagra,3,41450,Constantina,955 88 10 38,Privada,36,,"37,874049","-5,619591",09/04/2019
Centro residencial Nuestra Señora de la Soledad y San José,Carretera,de Coria a Almensilla,s/n,41100,Coria del Río,954 77 40 63,Privada,43,residenciadelasoledadhijasdelacaridad.es,"37,290020","-6,072408",12/04/2019
Residencia de 3ª edad Sor Ángela de la Cruz,Calle,Lagar,2,41100,Coria del Río,954 77 03 59,Privada sin fin de lucro,24,,"37,286606","-6,055022",13/07/2011
Residencia María Milagrosa,Calle,Hijas de la Caridad,s/n,41760,Coronil (El),955 83 03 84,Privada,39,,"37,083300","-5,629750",03/04/2019
Residencia municipal de mayores Nuestra Señora del Rosario,Calle,Rincón,2,41749,Cuervo de Sevilla (El),955 97 83 12,Pública local,38,www.geron.es/residencia/residencia-de-mayores-el-cuervo-sevilla,"36,853306","-6,042344",12/05/2015
Residencia La Merced,Calle,Moctezuma,3,41089,Dos Hermanas,954 12 70 99,Privada,17,residencialamerced.com,"37,346095","-5,930339",07/07/2017
Centro Residencial Nuestra Señora del Amor y Sacrificio,Calle,Gustavo Bacarisas,10,41700,Dos Hermanas,954 72 56 09,Privada,19,,"37,289205","-5,913311",21/07/2017
Residencia municipal San Fernando,Calle,Alcalde Tierno Galván,9,41701,Dos Hermanas,954 72 01 56,Pública local,40,,"37,284750","-5,921465",30/11/2018
Centro residencial Huerta Palacios,Plaza,Huerta Palacios,s/n,41701,Dos Hermanas,955 00 61 00,Pública autonómica,134,,"37,285124","-5,921418",05/04/2019
Residencia de ancianos San Rafael,Calle,Juan de Mena,2,41701,Dos Hermanas,955 66 42 24,Privada sin fin de lucro,,,"37,281811","-5,934163",19/07/2013
Centro Residencial de Mayores Los Jardines,Calle,Cura Diamantino,2,41702,Dos Hermanas,955 67 53 65,Privada,141,www.residencialosjardines.com,"37,282730","-5,906315",04/04/2019
Centro Residencial Los Arcos,Avenida,de la Libertad,22,41703,Dos Hermanas,954 72 79 31 / 618 91 81 29,Privada,42,,"37,290746","-5,935862",30/04/2010
Residencia La Paz,Avenida,de la Libertad,50,41703,Dos Hermanas,954 72 12 85 / 662 09 01 12,Privada,31,www.residencialapaz.es,"37,303539","-5,952259",03/04/2019
"Residencia de ancianos El Gran Poder, S. L.",Avenida,de la Libertad,14,41703,Dos Hermanas,954 72 60 65,Privada,20,,"37,290334","-5,933858",01/08/2011
Residencia de 3ª edad La Rosaleda,Avenida,de la Libertad,58 - casa 8,41703,Dos Hermanas,954 68 07 65,Privada,15,,"37,291501","-5,939867",28/05/2015
Residencia Los Tulipanes,Calle,Jaime Gil de Biedma,2,41704,Dos Hermanas,955 67 42 31,Privada,,hmlostulipanes.com,"37,296418","-5,926884",14/02/2017
Vitalia Écija,Calle,Alfonso Aragón Fofó,12,41400,Écija,955 90 54 60,Privada,172,www.vitaliahome.es/project/ecija/,"37,532114","-5,074641",22/04/2019
Residencia de mayores Madre,Calle,Ancha,19,41400,Écija,955 90 29 50 / 955 90 29 97,Privada,30,www.residenciamadre.es,"37,539237","-5,081853",07/07/2017
Espartinas Geriátrico,Camino,de Umbrete,14,41807,Espartinas,954 11 40 93,Privada,95,www.espartinasgeriatrico.com,"37,379333","-6,135098",26/04/2018
Centro residencial Doctor Gregorio Medina Blanco,Calle,Jardines de la Alhambra,s/n,41807,Espartinas,954 48 94 20,Privada,,www.cer-espartinas.es,"37,379094","-6,116387",17/08/2009
