"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Soria, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia Nuestra Señora de los Milagros,Carretera,de Soria,s/n,42100,Ágreda,975 64 70 11,Pública provincial,106,,"41,852151","-1,930887",26/01/2015
Residencia para mayores El Lago de Tera,Calle,Marqués de Vadillo,32,42160,Almarza,975 25 04 06,Privada,49,www.residenciaellagodeteraalmarza.com,"41,946197","-2,468772",30/08/2017
Residencia Campos de Castilla,Avenida,de Madrid,s/n,42200,Almazán,678 74 71 51 / 975 31 80 52,Privada,49,www.camposdecastilla.net,"41,479618","-2,528331",08/04/2019
Residencia municipal Nuestra Señora de Guadalupe de Almazán,Calle,Guadalupe,9,42200,Almazán,975 30 00 11,Pública local,96,,"41,485563","-2,532189",03/04/2019
Residencia Sagrada Familia,Paseo,de Isabel la Católica,6,42250,Arcos de Jalón,975 32 01 11,Privada,145,www.clecemayores.com/es/residencia/38/sagrada-familia/,"41,215123","-2,274194",05/04/2019
Nuestra Señora del Mercado,Paseo,de la Dehesa,s/n,42360,Berlanga de Duero,975 34 35 49 / 975 34 32 52,Pública local,46,,"41,463632","-2,858505",15/04/2019
Residencia San José,Calle,Obispo Acosta,25,42300,Burgo de Osma-Ciudad de Osma,975 34 00 14,Pública provincial,44,,"41,589714","-3,063821",05/04/2019
Residencia para personas mayores Benilde,Calle,San José Obrero,10,42300,Burgo de Osma-Ciudad de Osma,975 36 80 03,Privada,100,,"41,584480","-3,076944",06/07/2017
Residencia Santa Cristina,Calle,Santa Teresa de Jornet,47,42300,Burgo de Osma-Ciudad de Osma,975 34 01 16,Privada sin fin de lucro,140,,"41,588864","-3,075571",26/01/2015
Residencia de mayores Virgen del Carmen,Calle,Seminario,2,42300,Burgo de Osma-Ciudad de Osma,975 36 04 86,Pública local,40,,"41,585303","-3,070055",06/07/2017
Residencia Cuna del Duero,Calle,Oporto,s/n,42158,Duruelo de la Sierra,975 37 14 95,Pública local,50,www.residenciacunadelduero.com,"41,951816","-2,925036",10/04/2019
Centro Gerontológico Integral GEROSORIA,Urbanización,de la Toba,58,42190,Golmayo,975 27 20 55 / 975 27 20 67,Privada,34,www.geroconfor.com/gero-soria/,"41,780991","-2,566528",24/06/2015
Residencia Virgen de la Fuente,Calle,Ferial,s/n,42120,Gómara,975 38 01 02,Pública local,19,,"41,623182","-2,223662",17/07/2017
Residencia de mayores de Matamala de Almazán,Calle,Mayor,21 - 23,42211,Matamala de Almazán,975 31 25 59,Pública local,49,www.residenciadematamala.es,"41,506803","-2,640564",03/04/2019
Residencia Nuestra Señora de la Luz,Carretera,de Sigüenza,s/n,42240,Medinaceli,975 32 35 44,Privada,71,,"41,135348","-2,497616",23/07/2019
Residencia de ancianos de Medinaceli,Calle,Santa Isabel,6,42240,Medinaceli,975 32 63 39,Pública local,27,,"41,172382","-2,433913",09/04/2019
Residencia Nuestra Señora de la Bienvenida,Calle,La Hoya,1,42269,Monteagudo de las Vicarías,975 32 59 87 / 651 04 87 60,Privada,48,www.residenciabienvenida.com,"41,362260","-2,168153",08/04/2019
Residencia de mayores La Solana,Camino,de la Estación,s/n,42223,Morón de Almazán,975 30 60 59,Privada,67,www.residenciademayoreslasolana.es,"41,414768","-2,413303",16/07/2017
Residencia de ancianos Virgen de Olmacedo,Calle,Trovadores de la Paz,s/n,42110,Ólvega,976 64 52 45,Pública local,38,www.clecemayores.com/es/residencia/64/residencia-virgen-de-olmacedo/,"41,781422","-1,983283",03/10/2019
Residencia mixta de mayores Fray Pedro Pastor,Calle,Tejera,27,42291,Quintana Redonda,975 30 84 05 / 975 30 84 06,Privada,52,www.residenciafraypedropastor.com,"41,638097","-2,612431",06/04/2019
Residencia Virgen del Prado,Calle,La Muralla,s/n,42315,Retortillo de Soria,975 34 54 06,Pública local,51,,"41,311247","-2,980165",04/04/2019
Residencia Nuestra Señora de las Mercedes,Calle,Cantarranas,45,42153,Royo (El),975 27 10 61 / 975 27 10 36,Pública provincial,84,www.clecemayores.com/es/residencia/5/nuestra-senora-de-las-mercedes/,"41,904789","-2,643751",08/04/2019
