"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Tarragona, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Centre de Serveis L'Onada Alcanar,Calle,Càlig,75,43530,Alcanar,977 73 11 34,Privada,76,www.lonada.com/centros/informacion/alcanar/,"40,542482","0,477772",11/05/2015
Llar d'avis La Mimosa,Camino,de Milà,Km. 1.8 - Apdo. de Correos: 82,43460,Alcover,977 26 92 31,Privada,29,,"41,262600","1,176040",17/06/2015
Residencia Casal dels Avis d'Alforja,Plaça,de Dalt,1,43365,Alforja,977 81 60 21,Privada,41,,"41,210165","0,974726",12/04/2019
Residencia assistida de l'Ametlla de Mar,Avenida,del Ensenyament,s/n,43860,Ametlla de Mar (L'),977 45 78 33,Pública local,120,,"40,880601","0,796654",24/03/2017
Llar residència per a gent gran d'Amposta,Calle,Cervantes,43 - 45,43870,Amposta,977 70 00 50,Pública local,80,,"40,708437","0,577345",25/05/2015
Residència hospital Sant Antoni Abat,Calle,Hospital,52,43720,Arboç (L'),977 67 03 07,Pública local,25,www.xarxatecla.cat/portal/index.php?option=com_content&task=view&id=206&Itemid=79,"41,267401","1,599612",24/07/2017
Residència de la gent gran d'Ascó,Calle,Residència,2,43791,Ascó,977 40 65 05,Privada,40,www.grupsagessa.cat/residencia-davis-dasco,"41,182651","0,564950",18/04/2019
Residència d'avis de Batea,Calle,del Cos,10,43786,Batea,977 43 09 13,Privada,60,www.grupsagessa.cat/residencia-davis-de-batea,"41,091523","0,314779",27/05/2015
Residencial El Colomé,Calle,Lleida,7,43717,Bisbal del Penedès (La),977 68 84 28,Privada,28,,"41,279270","1,484805",03/05/2019
Residència Mare de Déu de la Riera,Calle,Jacint Verdaguer,13 bis,43350,Borges del Camp (Les),977 81 74 83 / 977 56 00 54,Pública local,33,,"41,171309","1,019435",05/04/2019
Centre Residencial Com a Casa,Avenida,Central,7,43820,Calafell,610 43 53 75,Privada,11,www.residenciacomacasa.es,"41,226232","1,593072",16/01/2019
Residencia La Palmera de los Ángeles,Calle,Garona,5,43882,Calafell,977 16 39 74,Privada,32,,"41,191127","1,611102",11/04/2019
Calafell Park Residencial,Calle,Lluís Companys,49 - 50,43882,Calafell,977 15 91 10,Privada,88,www.calafellpark.com,"41,192117","1,605164",30/08/2017
Residència assistida Baix Camp,Calle,Bertran de Cambrils,2,43850,Cambrils,977 36 47 15,Pública autonómica,52,,"41,069725","1,057807",12/07/2017
Residència Cambrils - Suite,Carretera,de Cambrils a Montbrió,Km. 3 - Apdo. de Correos: 254,43850,Cambrils,977 79 32 50,Privada sin fin de lucro,123,www.cambrils-suite.cat,"41,091762","1,031796",15/01/2019
Residència STS Cambrils,Camino,del Corralet,21,43850,Cambrils,977 79 24 51,Privada,109,www.stsgrup.org/es/portfolio/sts-cambrils-es,"41,069731","1,087124",15/10/2019
Residència Mar i Sol,Calle,Egara,3,43839,Creixell,977 80 07 03,Privada,61,,"41,167207","1,439236",13/07/2017
Residència La Ermita,Calle,Joaquim Sunyer,33,43839,Creixell,977 80 11 13,Privada,35,,"41,174985","1,440156",05/04/2019
