"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Santa Cruz de Tenerife, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia Santa Catalina,Calle,Lisboa,23 - Urb. Paraíso Fañabé,38670,Adeje,922 72 48 58,Privada,5,,"28,090336","-16,724895",20/07/2017
Residencia de personas mayores José Almeida González,Avenida,Rosa de los Vientos,16,38670,Adeje,922 77 57 83,Pública local,18,,"28,118136","-16,733044",04/04/2017
Residencia sociosanitaria María Auxiliadora,Calle,Rafael Clavijo García,19,38550,Arafo,922 51 16 98,Pública local,34,,"28,341591","-16,417954",13/07/2017
Residencia de mayores Los Cristianos,Avenida,Juan Carlos I,22,38650,Arona,922 78 80 67,Pública local,25,www.arona.org/Guia-Empresarial/ctl/Ver/mid/439?id=681,"28,052279","-16,713368",12/04/2019
Centro Residencial Nina Jaubert,Camino,El Brezal,s/n,38710,Breña Alta,922 43 54 14,Pública local,26,,"28,644989","-17,787815",17/07/2017
Casa de mayores de Buenavista del Norte,Calle,El Horno,4,38480,Buenavista del Norte,922 12 90 03,Pública local,20,casamayoresbuenavist.wixsite.com/casa-mayores-bta,"28,374385","-16,851770",06/05/2019
Centro de acogida Virgen de Candelaria,Calle,Francisco Garabote García,3,38520,Candelaria,922 50 18 83,Privada,94,www.geron.es/residencia/residencia-mayores-virgen-de-candelaria-tenerife,"28,381911","-16,365369",05/04/2019
Centro sociosanitario Fasnia,Calle,Emiliano Díaz Castro,s/n,38570,Fasnia,922 53 03 54,Pública local,75,,"28,235588","-16,439505",01/08/2017
Centro de acogida Las Indias,Carretera,General,61,38740,Fuencaliente de la Palma,663 89 80 12,Pública local,17,,,,08/04/2019
Centro Geriátrico Nuestra Señora de la Concepción,Plaza,de Santo Domingo,1,38450,Garachico,922 13 33 15,Pública local,68,,"28,373756","-16,759356",04/04/2019
Centro asistencial de mayores Sor Josefa Argote,Calle,Machines,15,38787,Garafía,922 40 04 58,Pública local,20,,"28,828081","-17,859346",26/05/2015
Hogar Rodolfo Delgado Campos,Calle,Ángel Arocha,42 - 44,38595,Granadilla de Abona,922 75 99 00,Pública local,12,,"28,131325","-16,529285",04/04/2017
Asociación Centro Evangélico de Ancianos Cedar,Calle,Saltadero,28,38611,Granadilla de Abona,922 39 15 94,Privada,35,,"28,120181","-16,576908",24/04/2019
Residencia geriátrica Santo Domingo,Avenida,8 de agosto,s/n,38440,Guancha (La),922 36 10 06,Privada,60,www.residenciasantodomingo.com,"28,389700","-16,673730",13/09/2013
Centro Sociosanitario Gerovitae La Guancha,Calle,Solítica,s/n,38440,Guancha (La),922 82 98 36,Pública local,75,www.gerovitaelaguancha.com,"28,374435","-16,652562",11/04/2019
Piso tutelado de la 3ª edad,Calle,Seguidillas,26 - Urb. El Pinillo,38680,Guía de Isora,922 85 01 00,Pública local,2,,"28,208851","-16,774529",27/05/2015
Centro sociosanitario Güímar,Calle,Hernán Cortés,6,38508,Güímar,922 52 82 32,Privada,75,www.aeromedica.com/servicios-sociales/centros-geriatricos/tenerife/centro-socio-sanitario-guimar/el-centro.html,"28,295165","-16,377653",20/07/2017
Residencia de personas mayores de Hermigua,Calle,El Curato,s/n,38820,Hermigua,922 88 08 41,Pública local,18,,"28,166049","-17,196997",17/07/2013
Casa de acogida Jesús de Nazaret,Camino,El Cardonal,s/n - Pol. Ind. Las Almenas,38430,Icod de los Vinos,922 81 65 89,Privada,36,www.madredelredentor.com/jesus-de-nazaret/,"28,381994","-16,697639",08/04/2019
Centro Sociosaniario del Norte,Calle,Las Gaviotas,22,38434,Icod de los Vinos,922 81 48 38,Pública local,100,www.aeromedica.com/servicios-sociales/centros-geriatricos/tenerife/centro-socio-sanitario-del-norte-de-tenerife/162.html,"28,384006","-16,684644",09/01/2015
Centro Sociosanitario Casa de los mayores,Calle,Real,232,38370,Matanza de Acentejo (La),922 57 90 50,Pública local,32,,"28,447334","-16,455312",09/04/2019
Residencia Geriátrica San Sebastián,Plaza,San Sebastián,1,38300,Orotava (La),922 32 58 36,Pública local,40,,"28,393862","-16,521672",07/07/2017
Privilegium San Fernando,Calle,Alemania,11 - Urb. San Fernando,38400,Puerto de la Cruz,922 37 61 13,Privada,23,www.privilegium.es,"38,407190","-16,544010",17/07/2017
Centro residencial Davida,Calle,Brezo,19 - Urb. La Paz,38400,Puerto de la Cruz,922 38 99 55,Privada,62,www.residenciadavida.com,"28,469809","-16,254853",08/07/2017
