"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Toledo, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia Nuestra Señora de Gracia,Camino,de Sonseca,s/n,45110,Ajofrín,925 39 07 47,Privada,100,www.nsgracia.com,"39,706504","-3,981764",03/04/2019
Residencia de mayores Los Gavilanes,Camino,Miralto,1,45110,Ajofrín,925 39 08 03,Pública local,84,www.tercerhogar.com,"39,713508","-3,978316",08/05/2015
Residencia Memoria Bonilla,Calle,Monjas,16,45662,Alcaudete de la Jara,925 85 30 17,Pública local,40,,"39,786333","-4,868568",25/04/2019
"Residencia de Mayores Sequera Espegel, S. L.",Calle,San Blas,22,45662,Alcaudete de la Jara,925 85 36 00,Privada,80,,"39,789719","-4,868499",03/04/2019
Vivienda municipal de mayores,Plaza,del Cura,5,45571,Alcolea de Tajo,925 43 63 25,Pública local,8,,"39,807352","-5,148876",29/10/2008
Residencia municipal Aldeanovita,Carretera,de Campillo,s/n,45575,Aldeanueva de San Bartolomé,925 44 16 45,Pública local,23,,"39,637199","-5,108482",09/04/2019
Residencia San Roque,Plaza,de la Ermita,s/n,45900,Almorox,91 862 34 83,Pública local,48,www.geron.es/residencia/residencia-de-ancianos-en-almorox-san-roque,"40,236368","-4,390143",24/04/2018
Residencia de 3ª Edad Virgen de la Vega,Travesía,Desvío,41,45250,Añover de Tajo,925 55 51 58,Privada,111,,"39,993738","-3,761808",24/04/2018
Residencia municipal Virgen de la Visitación,Calle,General Dávalos,8,45182,Arcicóllar,925 35 07 47,Pública local,30,,"40,054193","-4,113864",04/04/2019
Residencia municipal de mayores,Calle,Argentina,18,45122,Argés,925 37 62 72,Pública local,29,www.araliaservicios.es/centro/toledo-argés,"39,808571","-4,056569",04/04/2019
Residencia Cabello,Calle,de los Pajares,s/n,45571,Azután,925 43 65 58 / 638 09 81 95,Privada,40,,"39,782254","-5,126888",03/04/2019
DomusVi Valdeolivas,Calle,Arroyada,11,45593,Bargas,925 49 10 35,Pública autonómica,120,www.domusvi.es/residencia-mayores-toledo-bargas-valdeolivas,"39,941776","-4,022928",05/05/2015
Centro Geriátrico Tamujoso,Calle,Las Parteras,32,45660,Belvís de la Jara,925 85 85 46,Pública local,38,,"39,763851","-4,948056",29/07/2011
Residencia de Ancianos Jardín de Gredos,Carretera,de San Esteban del Valle,Km. 23.400,45634,Buenaventura,687 42 81 61 / 925 59 71 37,Privada,48,jardindegredos.es,"40,200898","-4,861564",24/04/2018
Residencia hotel para mayores Virgen del Socorro,Paseo,Teniente Alejandro García Velasco,s/n,45312,Cabañas de Yepes,925 12 23 95,Privada,25,www.residenciahotelmayores.es,"39,892534","-3,533794",09/09/2017
Residencia Calera y Chozas,Avenida,Virgen de la Vega,s/n,45686,Calera y Chozas,925 84 65 87,Pública local,16,,"39,882858","-4,983947",11/07/2013
Residencia municipal Concepción Rodríguez Núñez,Calle,Real,9,45589,Caleruela,925 43 50 81,Pública local,16,,"39,874719","-5,257223",08/11/2017
Residencia Nuestra Señora de la Asunción,Avenida,de Toledo,s/n,45580,Calzada de Oropesa,925 43 53 85,Privada,35,,"39,899549","-5,272909",08/04/2019
Residencia de 3ª Edad Virgen de la Caridad,Calle,Guardia Civil,4,45180,Camarena,91 817 42 88,Pública local,25,,"40,091183","-4,117186",04/04/2019
Residencia de Mayores DomusVi Conde de Orgaz,Calle,Real,s/n,45181,Camarenilla,925 35 95 00,Privada,89,www.domusvi.es/residencia-de-tercera-edad-conde-de-orgaz,"40,017477","-4,071915",11/05/2015
Residencia Navarredonda,Calle,Carretera,s/n,45578,Campillo de la Jara (El),925 45 55 96,Pública local,27,,"39,585976","-5,055962",27/05/2019
Vivienda Municipal de Mayores,Calle,Las Viñas,8,45720,Camuñas,925 46 91 71,Pública local,10,,"39,433579","-3,456129",05/04/2019
Residencia de 3ª Edad Nuestra Señora de la Asunción,Calle,General Mola,30,45531,Carmena,925 74 22 96 / 925 74 22 64,Pública local,20,,"39,958915","-4,405347",09/03/2018
Residencia de Ancianos Exaltación de la Santa Cruz,Calle,Avapiés,18,45533,Carpio de Tajo (El),925 75 76 74,Pública local,72,,"39,887606","-4,455541",03/04/2019
Vivienda Municipal de Mayores San Pedro Cátedra,Calle,Puente Chico,1,45532,Carriches,925 88 03 17,Pública local,10,,"39,963222","-4,459195",05/04/2019
Vivienda Tutelada de Mayores,Calle,Campillo,s/n,45950,Casarrubios del Monte,91 817 20 07,Pública local,10,,"40,182903","-4,035150",08/03/2018
Nuevo Centro Geriátrico Amanecer,Avenida,San Juan de Dios,23,45950,Casarrubios del Monte,91 817 26 49,Privada,22,,"40,192951","-4,035878",13/07/2011
El Olivar del Castillo,Calle,Navalamuela,9,45641,Castillo de Bayuela,925 86 29 64 / 646 95 15 02,Privada,12,www.olivardelcastillo.com,"40,097421","-4,685831",29/07/2011
Residencia Cazalegas,Calle,Talavera,65,45683,Cazalegas,925 87 26 88,Privada,107,,"40,008017","-4,679613",11/07/2013
Vivienda de mayores San Isidro,Calle,Lavadero,2,45214,Cedillo del Condado,925 50 80 11,Pública local,10,,"40,115854","-3,922027",21/05/2015
Residencia de Mayores San Francisco de Asís,Calle,Fray Fortunato Romeral,3,45700,Consuegra,925 48 23 20,Pública local,35,www.nexusintegral.com/consuegra.html,"39,459202","-3,608436",13/04/2019
Residencia de Ancianos Virgen de la Muela,Calle,Campanas,2,45880,Corral de Almaguer,925 19 01 60,Privada,35,,"39,759683","-3,164630",04/04/2019
Residencia de mayores Martín Lozano Tello,Calle,Emperador Carlos V,1,45880,Corral de Almaguer,925 56 16 77,Pública autonómica,120,,"39,757070","-3,176893",04/04/2019
Residencia municipal de mayores de Dosbarrios,Carretera,de Cabañas,s/n,45311,Dosbarrios,925 12 23 77,Pública local,25,,"39,883831","-3,489346",02/05/2019
Residencia El Hogar,Avenida,Castilla-La Mancha,s/n,45540,Erustes,925 88 00 82,Privada,48,www.residenciaelhogar.com,"39,957853","-4,497896",11/09/2017
Residencia Los Llanos,Carretera,de Nombela,Km. 1,45910,Escalona,925 78 02 92,Privada,78,,"40,167141","-4,414192",03/04/2019
Residencia de mayores ASISPA II,Calle,Armas,7,45517,Escalonilla,925 75 81 62,Privada,56,www.asispa.org/servicios/residencias-asistidas/titularidad-de-asispa/residencia-asispa-ii-_toledo,"39,925309","-4,351104",11/10/2017
Asociación Residencia de 3ª Edad Nueva Esperanza,Carretera,de Torrijos,6,45510,Fuensalida,925 73 12 57,Privada,77,,"40,046274","-4,211898",11/09/2017
Residencia Municipal Huerta Nica,Camino,San Martín de Montalbán,s/n,45164,Gálvez,925 40 01 97,Pública local,26,www.ayto-galvez.es/ayuntamiento/areas-y-servicios/bienestar-social/residencia-tercera-edad-huerta-nica,"39,698292","-4,277791",10/10/2019
Residencia municipal de mayores,Calle,Albaladilla,s/n,45518,Gerindote,925 77 09 39,Pública local,27,,"39,962895","-4,305173",11/04/2019
Residencia Nuestra Señora de la Natividad,Calle,Huerta del Cura,11,45160,Guadamur,925 29 15 62,Privada,57,nsnatividad.es,"39,806993","-4,146803",17/04/2019
Centro Geriátrico Santo Niño,Carretera,de Andalucía,Km. 80,45760,Guardia (La),925 12 32 82,Privada,80,,"39,803133","-3,478553",06/05/2015
Residencia Municipal de Mayores,Calle,Villeta,5,45760,Guardia (La),925 13 82 15,Pública local,32,www.geron.es/residencia/residedencia-mayores-la-guardia-toledo,"39,788697","-3,478827",11/09/2017
Vivienda de mayores Madre Soledad Torres Acosta,Calle,Olivas,2 D,45664,Herencias (Las),925 70 91 50 / 925 70 91 53,Privada,,,"39,866416","-4,920354",15/07/2013
Residencia Geriátrica Herreruela,Calle,San Ildefonso,2,45588,Herreruela de Oropesa,925 43 51 10,Privada,85,www.residencia-geriatrica.com,"39,887149","-5,246727",10/04/2019
Vivienda municipal de mayores,Calle,San Roque,3,45645,Hinojosa de San Vicente,925 87 81 12,Pública local,6,,"40,105224","-4,722344",11/02/2011
Residencia de Mayores San Bartolomé,Camino,Fuente Romero,10,45919,Hormigos,925 74 00 37,Privada,46,residenciasanbartolome.es,"40,097283","-4,450940",03/04/2019
Residencia de Mayores La Casa Grande,Camino,de Villamiel,s/n,45511,Huecas,925 73 21 83 / 686 05 38 00,Privada,44,www.residenciamayores.es,"40,010511","-4,192188",06/05/2019
Residencia Municipal de Mayores,Calle,Federico Martín Bahamontes,s/n,45750,Huerta de Valdecarábanos,925 12 95 57,Pública local,27,,"39,866201","-3,615843",29/07/2011
DomusVi San Ildefonso,Calle,Fuente,82,45200,Illescas,925 54 25 00,Pública autonómica,120,www.domusvi.es/residencia-para-personas-mayores-sanildefonso,"40,125839","-3,856325",05/04/2019
Residencia de 3ª Edad Nuestra Señora de la Caridad,Calle,Practicante José Ignacio,2,45200,Illescas,925 51 19 13,Privada,100,,"40,132589","-3,854742",03/04/2019
