"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Valencia/València, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia de Ademuz,Calle,San Vicente,56,46140,Ademuz,978 78 24 47,Pública autonómica,42,,"40,058987","-1,285605",21/09/2017
Centro Residencial Canalejas,Calle,Canalejas,15,46970,Alaquàs,961 95 12 88,Privada,48,www.residenciacanalejas.es,"39,458455","-0,462632",05/04/2019
La Saleta Alaquàs,Camino,del Dijous,2,46970,Alaquàs,961 08 05 05,Privada,140,www.lasaleta.com/residencia-personas-mayores-valencia-alaquas.php,"39,456748","-0,451414",09/04/2019
Residencia Nuestra Señora del Remedio,Calle,Pòsit,4,46860,Albaida,962 90 18 12,Privada,36,www.residenciadelremedio.org,"38,840383","-0,519038",06/05/2015
Residencia de Ancianos Antonio y Julio Muñoz Genovés,Calle,San Carlos,103,46470,Albal,961 26 61 69,Pública local,50,,"39,398188","-0,409764",14/02/2018
Residencia La Milagrosa,Calle,Hospital,4,46260,Alberic,962 44 50 52,Privada sin fin de lucro,29,www.residencialamilagrosa.org,"39,117556","-0,518283",11/09/2017
Centro Residencial Savia Alborache,Calle,San Jaime,50,46369,Alborache,962 50 91 40,Privada,124,saviaresidencias.es/centro-residencial-savia-alborache,"39,390323","-0,770452",25/04/2019
Ballesol Playa Patacona,Calle,Mar Menor,1,46120,Alboraia/Alboraya,963 56 77 12,Privada,180,ballesol.es/residencias-para-mayores-en-la-comunidad-valenciana/ballesol-playa-patacona,"39,492167","-0,326069",08/04/2019
Centro Gerontológico Dos Palmeras,Calle,Colón,22,46550,Albuixech,961 40 04 83,Privada,36,www.dospalmeras.com,"39,542764","-0,322558",04/04/2019
Centro Residencial Savia Albuixech,Calle,La Font,78,46550,Albuixech,961 41 73 61,Privada,124,saviaresidencias.es/centro-residencial-savia-albuixech,"39,541252","-0,325015",25/04/2019
Centro Residencial Savia Alcàsser,Avenida,Maestro Serrano,41,46290,Alcàsser,961 22 20 39,Privada,124,saviaresidencias.es/centro-residencial-savia-alcasser,"39,367233","-0,441062",25/04/2019
Residencia de 3ª edad de l'Alcúdia de Crespins,Camino,de la Ermita,s/n,46690,Alcúdia de Crespins (l'),962 24 46 48,Pública autonómica,72,,"38,974571","-0,594118",12/07/2013
Residencia Inmaculada Concepción,Calle,Alaquàs,6,46960,Aldaia,961 50 10 53,Privada sin fin de lucro,14,,"39,463496","-0,461959",18/09/2017
Residencia de Aldaia,Calle,Las Eras,24,46960,Aldaia,961 51 10 81,Pública autonómica,48,,"39,463775","-0,461168",04/04/2019
Residencia San Vicente Ferrer,Calle,Nou del Convet,75,46680,Algemesí,962 42 11 30,Privada,49,,"39,191261","-0,440453",04/04/2019
Residencia de mayores Els Tarongers D'Algimia,Calle,Ausias March,2,46148,Algimia de Alfara,962 62 70 45,Privada,50,,"39,751288","-0,364927",14/09/2017
Residencia municipal La Vila,Calle,Romaní,10,46440,Almussafes,960 61 94 64,Pública local,49,www.residenciaalmussafes.com,"39,296018","-0,409343",22/09/2017
Residencia Solimar Alzira,Avenida,del Mediterrani,31,46600,Alzira,962 41 03 28,Privada,122,,"39,160472","-0,421871",17/06/2019
Residencia municipal de 3ª edad de Alzira,Calle,Guerrillero Romeu,21,46600,Alzira,962 40 06 11,Pública local,50,,"39,147871","-0,439150",11/09/2017
Residencia Santa Teresa Jornet,Avenida,Luis Suñer,25,46600,Alzira,962 41 02 78 / 962 40 34 23,Privada sin fin de lucro,125,,"39,151257","-0,442600",31/12/2011
Residencia de tercera edad La Saleta Anna,Calle,Médico Don Rafael Sanz Sols,1,46820,Anna,962 21 02 21,Privada,133,,"39,016745","-0,645953",03/04/2019
Residencia Municipal,Calle,Miguel Molsos,3,46620,Ayora,961 89 05 78,Pública local,49,,"39,059542","-1,059185",03/04/2019
Residencia Mondúber-Barx,Calle,Tossal,10,46758,Barx,962 80 72 04,Privada,88,www.grupoelcastillo.com/barx,"39,009297","-0,288280",03/04/2019
Residencia de 3ª edad y centro de día Camp del Turia,Avenida,de Montiel,52,46180,Benaguasil,962 73 70 17,Pública autonómica,48,,"39,594501","-0,589591",05/04/2019
Residencia de 3ª edad Balica de Benicolet,Camino,Enchilagar,s/n,46833,Benicolet,962 83 01 01,Privada,76,www.residenciabalica.es,"38,918357","-0,352444",05/04/2019
Residencia Mediterránea,Calle,Llidoner,5,46700,Benirredrà,962 95 10 08 / 962 96 55 11,Privada,137,www.grupoelcastillo.com/gandia,"38,962007","-0,193364",25/04/2018
Residencia Santos Reyes,Calle,Doctor José Lizandra,15,46181,Benissanó,962 78 08 01,Privada,32,www.residenciasantosreyes.com,"39,614813","-0,575268",04/04/2019
Selegna Residencial para Mayores,Calle,Cruixidell,2 - Urb. Torre en Conill,46117,Bétera,961 60 85 11,Privada,139,www.selegna.es,"39,571561","-0,483359",05/04/2019
La Saleta Bétera,Calle,Les Masses,21,46117,Bétera,961 69 80 59,Privada,140,www.lasaleta.com/residencia-personas-mayores-valencia-betera.php,"39,594033","-0,465495",06/05/2015
Complejo Residencial Mas Camarena,Urbanización,Mas Camarena,parcela 53 y 68,46117,Bétera,960 50 20 40,Privada,98,www.residenciamascamarena.com,"39,552382","-0,456181",04/10/2018
Vista Calderona Residencial,Calle,Mercurio,36,46117,Bétera,961 69 80 49,Privada,50,www.vistacalderona.es,"39,583434","-0,446086",15/07/2013
Sanitas Residencial Mas Camarena,Camino,Viejo de Paterna,s/n,46117,Bétera,961 68 61 30,Privada,94,www.sanitas.es/sanitasresidencial/residencias-mayores/residencia-mascamarena,"39,550594","-0,458256",15/07/2013
Centro para personas mayores dependientes Sagrado Corazón de Jesús,Calle,Juan Beneyto Bernacer,2,46880,Bocairent,962 35 00 37,Pública local,40,,"38,764162","-0,611458",05/04/2019
Residencia 3ª edad de Buñol,Avenida,Blasco Ibáñez,32,46360,Buñol,962 50 36 09,Pública autonómica,100,,"39,426303","-0,786448",04/04/2019
Ballesol Burjasot,Calle,Comandante Moreno,1,46100,Burjassot,963 90 22 30,Privada,105,ballesol.es/residencias-para-mayores-en-la-comunidad-valenciana/ballesol-burjasot,"39,505023","-0,404100",03/04/2019
Hogar de ancianos Sequera,Plaza,de Sequera,10,46100,Burjassot,963 63 80 90 / 963 90 20 15,Privada sin fin de lucro,98,,"39,507649","-0,410126",31/12/2011
Residencia para personas mayores dependientes San José,Calle,Valencia,34,46100,Burjassot,963 64 58 02,Privada sin fin de lucro,115,www.residencialsanjose.org,"39,544125","-0,401303",12/04/2019
Residencia 3ª edad Nova Canet,Calle,Ausias March,1,46529,Canet d'En Berenguer,962 60 81 15,Privada,63,www.residencianovacanet.es,"39,677349","-0,211140",17/09/2017
Asiger Playa Canet,Calle,Guillén de Castro,2,46529,Canet d'En Berenguer,962 60 95 30,Privada,120,www.asiger.es/residencias/playacanet,"39,680949","-0,209248",04/10/2018
Residencia 3ª edad Virgen de Aguas Vivas,,Partida Calsiners,144,46740,Carcaixent,962 43 18 12,Pública local,110,,"39,122783","-0,442079",08/04/2019
Residencia para personas mayores dependientes,Camino,de los Depósitos,32,46240,Carlet,962 53 12 12,Pública autonómica,420,,"39,229084","-0,534316",06/05/2015
Residencia Tercera Edad Parqueluz Catarroja,Calle,Charco,23 - 25,46470,Catarroja,961 27 40 50,Privada,140,www.parqueluz.com,"39,405547","-0,399739",05/04/2019
Residencia Francisco Ramón Pastor,Camino,Real,26,46470,Catarroja,961 26 54 01,Pública local,33,,"39,403037","-0,403469",22/07/2013
Residencia de 3ª edad de Chelva,Avenida,de los Madereros,75,46176,Chelva,962 10 05 61,Pública autonómica,50,,"39,750793","-0,999793",10/04/2019
Centro Residencial Savia Cheste,Carretera,de Lliria a Villamarchante,Partida Pajarido Aliaga,46380,Cheste,962 51 42 19,Privada,124,saviaresidencias.es/centro-residencial-savia-cheste,"39,491594","-0,693538",25/04/2019
Residencia de 3ª edad Chiva,Calle,Alcalde Urbino Blay Mañez,6,46370,Chiva,962 52 41 49,Pública autonómica,96,www.gesmed.es/index.php?p=red_servicios&idResidencia=6,"39,469270","-0,711765",18/09/2017
La Saleta Calicanto,Avenida,Buenos Aires,393 - Urb. Santo Domingo,46370,Chiva,961 98 06 76,Privada,41,www.lasaleta.com/residencia-personas-mayores-valencia-calicanto.php,"39,431699","-0,556518",14/09/2017
Residencia de mayores Virgen de Cortes,Avenida,Buenos Aires,367 - Urb. Santo Domingo,46370,Chiva,961 98 00 76,Privada,43,virgendecortes.com,"39,433486","-0,550919",06/11/2017
Residencia San José,Plaza,de España,8,46625,Cofrentes,961 89 43 83,Pública local,13,,"39,230284","-1,062314",06/11/2017
Residencia San Lorenzo,Calle,Cervantes,18,46400,Cullera,961 72 02 31 / 961 73 23 78,Privada,13,,"39,165643","-0,257502",05/08/2011
Residencia Sociosanitaria Cap Blanc,Calle,Pare Quinto,17,46400,Cullera,961 74 66 66,Privada,98,www.residenciacapblanc.com,"39,184311","-0,228868",12/09/2017
Residencia municipal de 3ª edad de Cullera,Calle,Valencia,35,46400,Cullera,961 72 10 93,Pública local,40,,"39,168147","-0,258607",25/04/2018
Residencia Tercera Edad Solimar Daimús,Avenida,de la Mediterránea,16,46710,Daimús,962 80 32 35,Privada,136,www.solimar.es,"38,971370","-0,140830",14/06/2019
Residencia Tercera Edad Sant Carles,Calle,Francisco Pons,14,46710,Daimús,962 81 90 31,Privada,28,residenciasantcarles.com,"38,974005","-0,143971",25/04/2018
Residencia La Paloma,Calle,Aldaia,1 - Urb. Monte Pilar,46183,Eliana (l'),962 74 30 39,Privada,68,www.residencialapaloma.es,"39,561530","-0,541334",12/05/2015
Residencia Montesol,Calle,Badajoz,7,46183,Eliana (l'),962 74 19 01,Privada,40,www.residenciamontesol.com,"39,556704","-0,516819",04/04/2019
Residencia San Blas,Paseo,Constanza,10,46183,Eliana (l'),962 74 20 00,Privada sin fin de lucro,35,,"39,565236","-0,515130",10/04/2019
Residencia Eliasol,Paseo,Lemán,36,46183,Eliana (l'),962 75 09 56,Privada,40,,"39,563254","-0,512264",11/05/2015
Residencial para personas mayores Masía del Pilar,Calle,Marquesos del Tremolar,10,46183,Eliana (l'),962 72 58 22,Privada,78,www.lasaleta.com/residencia-personas-mayores-la-eliana-masia-pilar.php,"39,560165","-0,536861",06/11/2017
Centro de personas mayores dependientes Cuidamont,Calle,Ramón Navarrete,1,46183,Eliana (l'),962 74 33 15,Privada,55,cuidamont.es,"39,553830","-0,526389",08/05/2019
Residencia San Rafael,Paseo,Hermanas Mercedarias,s/n,46810,Enguera,962 22 40 32,Privada,54,www.residencisanrafaelenguera.com,"38,979800","-0,684641",08/04/2019
Residencia Tercera Edad La Verge de l'Enova,Calle,Mayor,122,46669,Ènova (l'),962 26 83 62,Privada,24,,"39,049511","-0,486481",01/07/2019
Residencia Tercera Edad Novaedat Estivella,Calle,Camí Reial,52,46590,Estivella,962 62 92 53,Privada,74,www.novaedat.es/es/centros/novaedat-estivella?loc=centro,"39,716755","-0,349439",13/09/2017
Casa de los Obreros San Vicente Ferrer,Calle,del Pont,1,46590,Estivella,962 62 90 09 / 609 81 14 10,Privada,30,casadelosobreros.es,"39,709673","-0,348450",23/04/2019
Vitalia Gerisán,Avenida,Joan Fuster,3,46614,Favara,961 76 93 91,Privada,168,www.vitaliahome.es/project/gerisan/,"39,127399","-0,287666",03/04/2019
Residencia María Inmaculada,Calle,San Juan de Ribera,2,46701,Gandia,962 87 67 43,Privada,37,residenciamariainmaculada.org,"38,971463","-0,177552",05/04/2019
Residencia La Safor,Calle,Pintor Sorolla,13,46702,Gandia,962 87 86 86,Pública autonómica,52,,"38,967410","-0,184819",22/05/2019
La Saleta Campolivar,Calle,Montgó,15 - Urb. Campolivar,46110,Godella,963 63 89 20,Privada,130,www.lasaleta.com/residencia-personas-mayores-valencia-campolivar.php,"39,532897","-0,435713",03/04/2019
Residencia Solimar Guadassuar,Camino,Benimuslem,13,46610,Guadassuar,962 57 31 43,Privada,136,www.solimar.es/project/guadassuar-2/,"39,187716","-0,471919",18/04/2019
Residencia San Blas de Jalance,Calle,Regajo,4,46624,Jalance,962 19 64 25,Pública local,96,,"39,189493","-1,074866",19/09/2017
Residencia de personas mayores dependientes de Jarafuel,Calle,Juan XXIII,3,46623,Jarafuel,961 89 90 97,Pública local,20,,"39,140938","-1,073756",27/04/2019
Llar de Sant Vicent,Camino,de Mas del Capella,9,46160,Llíria,962 79 07 27,Privada,32,llardesantvicent.es,"39,626262","-0,594505",08/05/2019
Residencia Jardín de Llíria,,Partida Casa Carreres,s/n,46160,Llíria,962 78 21 72,Privada,151,www.jardindelliria.com,"39,642253","-0,586120",01/07/2015
Centro Residencial Savia Llíria,,Partida Chercol,s/n,46160,Llíria,962 79 85 29,Privada,124,saviaresidencias.es/centro-residencial-savia-lliria,"39,637043","-0,590109",25/04/2019
Residencia de ancianos Santa Teresa Jornet,Calle,Santa Teresa de Jornet,3,46160,Llíria,962 78 01 17,Privada sin fin de lucro,70,,"39,627582","-0,594083",22/09/2017
Residencia para personas mayores dependientes de Manises,Calle,Buñol,1,46940,Manises,963 18 98 05,Pública autonómica,96,,"39,495239","-0,473379",03/04/2019
Residencia San Francisco y San Vicente,Calle,Francisco Valldecabres,4,46940,Manises,961 54 52 40,Privada sin fin de lucro,46,www.sanfranciscoysanvicente.org,"39,493856","-0,461303",08/04/2019
Centro Residencial Savia Manises,,Partida La Cova,"Políg. 5, parcela 71",46940,Manises,963 16 11 44,Privada,124,saviaresidencias.es/centro-residencial-savia-manises,"39,501741","-0,483015",25/04/2019
Residencia de personas mayores dependientes de Massamagrell,Calle,Doctor Fleming,1 - 3,46130,Massamagrell,961 45 14 47,Pública autonómica,101,,"39,581367","-0,345514",03/04/2019
San Lorenzo de Brindis,Calle,Libertad,1,46130,Massamagrell,961 45 20 99,Privada,120,,"39,576707","-0,346229",22/07/2013
Residencia de la tercera edad Cantallops,Avenida,Vía Augusta,2,46130,Massamagrell,961 45 28 71,Privada,120,www.residenciacantallops.es,"39,566902","-0,329463",12/04/2019
Residencia Solimar Massanassa,Calle,San Juan,22,46470,Massanassa,961 25 52 95,Privada,140,www.solimar.es/centros-tercera-edad/residencia-de-ancianos-massanassa,"39,413417","-0,395646",15/05/2019
Residencial Jardí Miramar Geriátric,Calle,Oliveretes,52,46711,Miramar,962 80 38 12,Privada,120,www.residencialjardimiramar.com,"38,951982","-0,142827",15/05/2015
Residencia La Milagrosa,Calle,Don Antonio Gonzálbez,10,46640,Mogente/Moixent,962 26 07 18,Privada sin fin de lucro,59,www.resimoixent.es,"38,875916","-0,752159",03/04/2019
Residencia de personas mayores de Moncada,Calle,Mayor,76,46113,Moncada,961 30 12 60,Pública autonómica,100,,"39,542315","-0,392923",04/04/2019
Residencia Masíes de Sant Isidre I - II,Calle,Moreras,30,46113,Moncada,961 30 02 91,Privada,29,,"39,568337","-0,397954",04/10/2018
Residencia San Luis,Calle,Sevilla,27,46113,Moncada,961 39 13 00,Privada,77,obrerasdelacruz.org/services/residencias-2,"39,553888","-0,394251",12/09/2017
Residencia Masies de Sant Isidre,Calle,Alquible,8,46119,Náquera,605 86 90 91,Privada,46,www.residenciamasies.org,"39,658194","-0,425462",16/07/2013
Centro de atención integral para personas mayores Gumersinda Martínez,Calle,de la Iglesia,55,46823,Navarrés,962 26 61 64,Pública local,65,,"39,098632","-0,696863",04/04/2019
Centro de tercera edad de Oliva,Camino,Carrasca,4 - B,46780,Oliva,962 85 80 81,Privada,84,www.residencialcarrasca.es,"38,912183","-0,117455",04/04/2019
Residencia Sant Françesc,Carretera,Dénia,21,46780,Oliva,962 96 36 36,Privada,78,www.residenciasantfrancesc.com,"38,915625","-0,114643",12/04/2019
Residencia Nuestra Señora del Rebollet,Calle,Santa Teresa de Jornet,s/n,46780,Oliva,962 85 00 52,Privada sin fin de lucro,109,,"38,919000","-0,127590",31/12/2011
Residencia Tercera Edad Solimar L'Ollería,Camino,Beniganim,s/n,46850,Olleria (l'),962 20 20 95,Privada,136,www.solimar.es,"38,918457","-0,542289",30/09/2013
