"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Valladolid, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia JIREYSA Aldeamayor Golf Senior,Calle,Fuentona de Muriel,s/n,47162,Aldeamayor de San Martín,983 50 70 22 / 673 65 04 58,Privada,45,www.jireysa.es,"41,510466","-4,660687",05/04/2019
Residencia para personas mayores El Compasco,Calle,Soto,6,47162,Aldeamayor de San Martín,983 55 83 79,Privada,24,www.ancyni.es/residencia.html,"41,514365","-4,636299",08/03/2018
Gerovida Arroyo,Calle,Francisco de Vitoria,24,47195,Arroyo de la Encomienda,983 38 89 10,Privada,244,www.domusvi.es/residencia-de-mayores-en-valladolid-domusvi-arroyo,"41,621260","-4,775472",03/04/2019
Residencia 3ª edad Pilar,Calle,Bodegas,63 - 65 - 67 - 69,47151,Boecillo,983 55 23 10 / 615 60 10 29,Privada,29,www.residenciapilar.com,"41,543391","-4,703918",13/05/2015
Residencia geriátrica El Castillo,Calle,Carretas,s/n,47260,Cabezón de Pisuerga,983 50 07 04,Privada,103,www.vitaliahome.es/project/castillo/,"41,735100","-4,645190",11/07/2013
Residencia Virgen del Amor Hermoso,Calle,Hermandad de Donantes de Sangre,1,47310,Campaspero,983 69 85 75 / 615 16 66 13,Pública local,41,,"41,490292","-4,200497",07/05/2015
Residencia de 3ª edad Virgen del Olmar,Carretera,de Peñafiel,s/n,47311,Canalejas de Peñafiel,983 89 21 69,Privada,58,,"41,525489","-4,113206",02/08/2011
Residencia Condes del Carpio,Paseo,Estación,s/n,47470,Carpio,983 86 33 34,Privada,41,,"41,215872","-5,113568",10/04/2019
Residencia para mayores El Mirador de Cigales,Calle,El Mirador,4,47270,Cigales,983 58 07 10 / 983 58 01 23,Pública local,60,www.elmiradordecigales.es,"41,762226","-4,703574",19/07/2017
Residencia Santa Teresita,Avenida,Diego de Velázquez,s/n,47193,Cistérniga,983 40 34 28,Privada,45,www.rsantateresita.com,"41,607200","-4,686080",05/04/2019
Residencia San Antonio,Calle,Henar,9,47313,Cogeces del Monte,983 48 51 47,Pública local,24,www.asfa21valladolid.com,"41,508879","-4,317962",03/04/2019
