"Envejecimiento en Red, Centro de Ciencias Humanas y Sociales, CSIC. Contacto: enred@cchs.csic.es. Más información: http://envejecimiento.csic.es/documentos/documentos/enred-estadisticasresidencias2019.pdf ",,,,,,,,,,,,
"Residencias en Zaragoza, 2019",,,,,,,,,,,,
,,,,,,,,,,,,
Denominación,Dirección,,,C. Postal,Municipio,Teléfono,Titularidad,Plazas,URL,Latitud,Longitud,Última actualización:
Residencia San Cristóbal,,Paraje El Santo,s/n,50408,Aguarón,976 62 03 89,Pública local,58,,"41,333661","-1,314150",12/06/2008
Residencia de ancianos Nuestra Señora de Piedad,Carretera,de Borja a Rueda,s/n,50570,Ainzón,976 86 85 11 / 976 86 85 12,Privada,40,www.residenciantrasradepiedad.es,"41,816990","-1,520115",06/05/2015
Residencia de mayores de Alagón,Calle,Alameda de Aragón,41,50630,Alagón,976 61 26 40,Pública autonómica,66,www.aragon.es/estaticos/GobiernoAragon/Organismos/InstitutoAragonesServiciosSociales/IASS_new/Documentos/IASS/FICHAS-centros/Ficha-zgza-res-alagon.pdf,"41,770365","-1,121951",04/04/2019
Casa de Amparo de la Inmaculada Concepción de Alagón,Plaza,de Alhóndiga,18,50630,Alagón,976 61 08 86,Privada sin fin de lucro,81,www.residencia-alagon.com,"41,769101","-1,122086",03/04/2019
Residencia de ancianos Nuestra Señora de la Peña,Avenida,de Zaragoza,s/n,50172,Alfajarín,976 10 05 12,Pública local,65,,"41,615343","-0,708059",30/05/2019
Residencia Beata María Pilar Izquierdo,Carretera,Calatorao,81,50461,Alfamén,976 62 85 78,Pública local,32,fundaciondesarrollosocial.blogspot.com.es/p/residencia-municipal-de-alfamen.html,"41,436586","-1,239546",03/04/2019
Residencia Nuestra Señora del Carmen,Calle,Carmen,21,50108,Almonacid de la Sierra,976 62 74 08,Privada,31,www.residenciadelcarmen.com,"41,398629","-1,322886",03/04/2019
Residencia para personas mayores Hayardén,Camino,Cantalobos,s/n,50100,Almunia de Doña Godina (La),976 81 22 23,Privada,94,hayarden.com,"41,470500","-1,381490",03/04/2019
Residencia Santa María de Cabañas,Plaza,del Jardín,3,50100,Almunia de Doña Godina (La),976 81 21 68,Pública local,119,www.laalmunia.es/residencia-de-ancianos/,"41,476456","-1,374342",03/04/2019
Residencia de 3ª edad Virgen del Rosario,Calle,Beratón,s/n,50590,Añón de Moncayo,976 64 92 74,Pública local,30,,"41,777950","-1,720147",09/04/2019
Fundación Ariza,Paseo,del Molino,s/n,50220,Ariza,976 87 90 09,Pública local,44,www.ariza.es,"41,307326","-2,056272",03/04/2019
Residencia para personas mayores Virgen del Campo,Calle,La Iglesia,1,50619,Asín,976 66 66 89,Pública local,15,,"42,283536","-1,046610",04/04/2019
Residencia de mayores de Belchite,Avenida,Portal de la Villa,s/n,50130,Belchite,976 83 91 12 / 638 81 04 81 / 976 83 08 86,Pública local,104,residenciasreyardid.es/residencias-mayores/zaragoza/belchite,"41,303835","-0,753992",05/04/2019
Residencia de 3ª edad Hospital Sancti Spiritus de Borja,Calle,Capuchinos,20,50540,Borja,976 86 70 04,Privada,70,,"41,832642","-1,529031",04/04/2019
Residencia de mayores de Borja,Calle,Pilar Lorengar,4,50540,Borja,976 86 73 11,Pública autonómica,98,www.aragon.es/estaticos/GobiernoAragon/Organismos/InstitutoAragonesServiciosSociales/IASS_new/Documentos/IASS/FICHAS-centros/Ficha-zgza-res-borja.pdf,"41,833674","-1,526876",05/04/2019
Residencia Barataria,Camino,de Alcalá de Ebro,1,50638,Cabañas de Ebro,976 61 18 43,Privada,20,,"41,794908","-1,163040",20/05/2019
Vitalia Santa Fe,Calle,Osera,6 - Urb. Murallas de Santa Fe,50420,Cadrete,976 45 26 11,Privada,104,www.vitaliahome.es/project/santa-fe/,"41,571713","-0,950258",22/02/2018
Residencia Puerta de Zaragoza,Ronda,de Campieles,2 - 4 bajo,50300,Calatayud,976 88 25 42,Privada,26,,"41,356001","-1,640647",12/12/2014
Residencia Reyes Calatayud,Plaza,de Santa María,3,50300,Calatayud,976 89 16 11,Privada,106,,"41,353842","-1,645229",03/04/2019
Hogar Bilbilitano,Paseo,de Sixto Celorrio,37,50300,Calatayud,976 88 68 48,Privada,58,www.hogarbilbilitano.com,"41,347743","-1,641321",22/04/2019
Centro Asistencial de Calatayud,Carretera,de Valencia,13 A,50300,Calatayud,976 88 17 57,Pública autonómica,54,www.aragon.es/estaticos/GobiernoAragon/Organismos/InstitutoAragonesServiciosSociales/IASS_new/Documentos/IASS/FICHAS-centros/Ficha-zgza-calatayud-centro-asis.pdf,"41,341774","-1,640837",16/04/2019
Residencia municipal San Íñigo,Avenida,Diputación,s/n - Urb. Azucarera,50300,Calatayud,976 88 19 14,Pública local,86,,"41,345412","-1,641466",07/07/2017
