,Plazas residenciales privadas según tamaño del centro (plazas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,,,,,,2017,,,,,,2015,,,,,,2013,,,,,,2012,,,,,,2011,,,,,,2010,,,,,,2009,,,,,,2008,,,,,,2007,,,,,,2006,,,,
,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,
,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL
,TOTAL,12377,38419,78458,142442,271696,,12566,38636,77154,138884,267240,,12764,38179,74299,135324,260566,,14107,37914,72944,130129,255094,,14969,39098,72005,130306,256378,,15705,38943,67721,124957,247326,,16537,38135,64471,115723,234866,,16218,37218,63473,112150,229059,,16821,36813,63126,105317,222077,,16242,36887,58603,95642,207374,,,,,,196713
,Andalucía,1328,5856,8859,17041,33084,,1298,5937,8585,16600,32420,,1193,5904,8236,15247,30580,,1182,5821,7692,14680,29375,,1122,5965,7257,13791,28135,,1386,6229,7586,11978,27179,,1365,6067,7401,11149,25982,,1335,5867,7332,9214,23748,,1274,5491,7581,8412,22758,,1294,5426,7229,7750,21699,,,,,,18878
,Almería,20,320,599,1288,2227,,20,320,597,1317,2254,,20,320,597,1320,2257,,20,309,615,1015,1959,,42,351,452,1001,1846,,85,386,441,860,1772,,85,347,441,710,1583,,85,347,441,710,1583,,103,298,447,705,1553,,103,298,435,725,1561,,,,,,
,Cádiz,87,632,804,2562,4085,,87,658,745,2569,4059,,89,658,805,2489,4041,,77,785,652,2500,4014,,54,817,645,2522,4038,,89,777,735,2267,3868,,88,763,735,2163,3749,,88,763,735,1707,3293,,100,789,620,1581,3090,,130,794,677,1486,3087,,,,,,
,Córdoba,47,777,1414,2113,4351,,47,783,1315,2216,4361,,45,824,1276,2104,4249,,21,789,1196,2098,4104,,0,746,1422,1871,4039,,40,904,1472,1843,4259,,40,904,1487,1736,4167,,40,894,1476,1495,3905,,16,850,1454,1495,3815,,40,831,1375,1412,3658,,,,,,
