"Week";"2016";"2017";"2018";"2019";"2020";"2020 (of which COVID-19)"
1;18467;20918;19342;18686;18899;
2;18439;22070;18770;19170;19423;
3;18627;21236;19187;19163;19171;
4;18707;22083;19171;19505;18930;
5;18493;23640;19558;19812;19781;
6;18541;22744;20086;19981;19017;
7;18483;22683;21254;20150;19628;
8;18475;22266;22888;20349;18930;
9;18926;20930;25535;20790;19472;
10;18888;19102;26777;20453;19623;
11;18971;18665;24385;19795;19869;17
12;18826;17640;22777;19016;19721;162
13;18617;17731;20906;18562;19689;601
14;18244;17028;20038;18671;20631;1367
15;17712;16901;19165;17852;20490;1738
16;16775;16637;17992;18089;19260;1594
17;17053;17634;17093;17894;18533;1168
18;16901;17129;16789;17090;17882;782
19;17629;17343;17226;17118;17609;511
20;16601;17079;16488;17315;16964;349
21;16286;16451;16513;17080;17137;270
22;16346;16902;17039;16921;16739;150
23;15799;15846;16714;17491;17243;113
24;15717;16087;15582;16484;16566;72
25;16910;16819;15843;16639;16363;47
26;15699;16076;16569;17918;17246;51
27;16229;16424;16622;16552;16403;45
28;16172;15603;16070;16319;16110;25
29;16985;16589;16702;16856;16477;24
30;16157;16058;18340;19630;16860;31
31;15439;16494;20371;17034;17350;29
32;15487;15784;18478;16540;17407;30
33;16258;16148;16890;15934;19587;27
34;17147;15880;16612;16263;17455;37
35;16101;16064;16000;17637;16536;36
36;16116;15706;16390;15988;16600;18
37;16372;16146;16292;16303;16941;29
38;15606;16505;16651;16500;17329;50
39;16336;16747;15969;17402;17161;65
40;16352;16664;16622;16899;17241;76
41;17427;17470;16993;17666;16925;106
42;17599;17139;16552;17713;;
43;17586;17059;16608;17327;;
44;17580;16762;16895;17488;;
45;17782;17371;17604;17859;;
46;18591;17594;16842;18242;;
47;17911;17676;17785;18535;;
48;18146;17877;18091;18581;;
49;18793;18295;18342;19143;;
50;18885;18504;17943;19101;;
51;19376;18500;18990;19062;;
52;19744;18652;17954;18204;;
