    Número de defunciones incorporadas al Indice Nacional de Defunciones
                                        28 de abril de 2020

                            AÑO                    Nº DEFUNCIONES
                            1987                              304.044
                            1988                              314.664
                            1989                              323.066
                            1990                              330.594
                            1991                              334.583
                            1992                              325.319
                            1993                              334.693
                            1994                              331.269
                            1995                              338.457
                            1996                              329.881
                            1997                              349.532
                            1998                              360.485
                            1999                              371.623
                            2000                              360.367
                            2001                              333.640
                            2002                              327.638
                            2003                              384.186
                            2004                              372.564
                            2005                              373.387
                            2006                              372.626
                            2007                              386.887
                            2008                              385.492
                            2009                              383.009
                            2010                              383.414
                            2011                              388.802
                            2012                              403.942
                            2013                              388.463
                            2014                              395.656
                            2015                              423.011
                            2016                              409.355
                            2017                              422.128
                            2018                              427.910
                            2019                              411.600
                            2020                               31.914

 Nota: La incorporación de fallecidos al Indice de defunciones tiene un decalaje temporal. Aunque los
datos se actualizan cada mes, no todas las defunciones que se producen en un mes dado pueden ser
                     incorporadas al mes siguiente; algunas lo hacen más tarde.

