  Número de defunciones incorporadas al Indice Nacional de Defunciones (*)
                      Ultima actualización: 22 de septiembre de 2021 (**)

                                 AÑO                    Nº DEFUNCIONES
                                 1987                                304.044
                                 1988                                314.664
                                 1989                                323.066
                                 1990                                330.595
                                 1991                                334.583
                                 1992                                325.321
                                 1993                                334.693
                                 1994                                331.269
                                 1995                                338.459
                                 1996                                329.881
                                 1997                                349.533
                                 1998                                360.485
                                 1999                                371.624
                                 2000                                360.369
                                 2001                                333.641
                                 2002                                327.640
                                 2003                                384.188
                                 2004                                372.569
                                 2005                                373.393
                                 2006                                372.634
                                 2007                                386.892
                                 2008                                385.493
                                 2009                                383.010
                                 2010                                383.426
                                 2011                                388.815
                                 2012                                403.944
                                 2013                                388.469
                                 2014                                395.663
                                 2015                                423.019
                                 2016                                409.374
                                 2017                                422.158
                                 2018                                428.007
                                 2019                                418.672
                                 2020                               493.142
                                 2021                               252.201
 * La tabla resume el contenido de la base de datos INDEF y no tiene carácter de informe estadístico
                                               oficial.
** La incorporación de fallecidos al Indice de defunciones tiene un decalaje temporal. Aunque los datos
 se actualizan mensualmente, no todas las defunciones que se producen en un mes dado pueden ser
                      incorporadas al mes siguiente; algunas lo hacen más tarde.

