Comunidades Autónomas y Provincias;Tipo de establecimiento colectivo (agrupado);Sexo;Total
TOTAL NACIONAL;Total;Ambos sexos;444.101
TOTAL NACIONAL;Total;Hombre;204.435
TOTAL NACIONAL;Total;Mujer;239.666
TOTAL NACIONAL;Instituciones sanitarias;Ambos sexos;14.915
TOTAL NACIONAL;Instituciones sanitarias;Hombre;8.359
TOTAL NACIONAL;Instituciones sanitarias;Mujer;6.556
TOTAL NACIONAL;Residencias de personas mayores;Ambos sexos;270.286
TOTAL NACIONAL;Residencias de personas mayores;Hombre;84.913
TOTAL NACIONAL;Residencias de personas mayores;Mujer;185.373
TOTAL NACIONAL;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;36.906
TOTAL NACIONAL;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;20.791
TOTAL NACIONAL;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;16.115
TOTAL NACIONAL;Instituciones religiosas o militares;Ambos sexos;40.173
TOTAL NACIONAL;Instituciones religiosas o militares;Hombre;21.490
TOTAL NACIONAL;Instituciones religiosas o militares;Mujer;18.682
TOTAL NACIONAL;Otros tipos de establecimientos colectivos;Ambos sexos;81.821
TOTAL NACIONAL;Otros tipos de establecimientos colectivos;Hombre;68.882
TOTAL NACIONAL;Otros tipos de establecimientos colectivos;Mujer;12.939
ANDALUCÍA;Total;Ambos sexos;56.052
ANDALUCÍA;Total;Hombre;29.791
ANDALUCÍA;Total;Mujer;26.261
ANDALUCÍA;Instituciones sanitarias;Ambos sexos;750
ANDALUCÍA;Instituciones sanitarias;Hombre;637
ANDALUCÍA;Instituciones sanitarias;Mujer;113
ANDALUCÍA;Residencias de personas mayores;Ambos sexos;28.162
ANDALUCÍA;Residencias de personas mayores;Hombre;9.461
ANDALUCÍA;Residencias de personas mayores;Mujer;18.701
ANDALUCÍA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;5.165
