Sexo;Edad (grupos quinquenales);Tipo de establecimiento colectivo;Total
Ambos sexos;Total;Total;444.101
Ambos sexos;Total;Instituciones sanitarias;14.915
Ambos sexos;Total;Residencias de personas mayores;270.286
Ambos sexos;Total;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;36.906
Ambos sexos;Total;Instituciones religiosas;18.487
Ambos sexos;Total;Instituciones militares;21.686
Ambos sexos;Total;Instituciones penitenciarias;64.109
Ambos sexos;Total;Otros tipos de establecimientos colectivos;17.712
Ambos sexos;0-4;Total;534
Ambos sexos;0-4;Instituciones sanitarias;..
Ambos sexos;0-4;Residencias de personas mayores;..
Ambos sexos;0-4;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;395
Ambos sexos;0-4;Instituciones religiosas;..
Ambos sexos;0-4;Instituciones militares;..
Ambos sexos;0-4;Instituciones penitenciarias;..
Ambos sexos;0-4;Otros tipos de establecimientos colectivos;139
Ambos sexos;5-9;Total;700
Ambos sexos;5-9;Instituciones sanitarias;..
Ambos sexos;5-9;Residencias de personas mayores;..
Ambos sexos;5-9;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;561
Ambos sexos;5-9;Instituciones religiosas;..
Ambos sexos;5-9;Instituciones militares;..
Ambos sexos;5-9;Instituciones penitenciarias;..
Ambos sexos;5-9;Otros tipos de establecimientos colectivos;139
Ambos sexos;10-14;Total;1.273
Ambos sexos;10-14;Instituciones sanitarias;..
Ambos sexos;10-14;Residencias de personas mayores;..
Ambos sexos;10-14;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.120
Ambos sexos;10-14;Instituciones religiosas;..
Ambos sexos;10-14;Instituciones militares;..
Ambos sexos;10-14;Instituciones penitenciarias;..
Ambos sexos;10-14;Otros tipos de establecimientos colectivos;153
Ambos sexos;15-19;Total;3.527
Ambos sexos;15-19;Instituciones sanitarias;8
Ambos sexos;15-19;Residencias de personas mayores;..
Ambos sexos;15-19;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.685
Ambos sexos;15-19;Instituciones religiosas;133
Ambos sexos;15-19;Instituciones militares;66
Ambos sexos;15-19;Instituciones penitenciarias;980
Ambos sexos;15-19;Otros tipos de establecimientos colectivos;655
Ambos sexos;20-24;Total;15.154
Ambos sexos;20-24;Instituciones sanitarias;136
Ambos sexos;20-24;Residencias de personas mayores;..
Ambos sexos;20-24;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.069
Ambos sexos;20-24;Instituciones religiosas;558
Ambos sexos;20-24;Instituciones militares;5.916
Ambos sexos;20-24;Instituciones penitenciarias;6.486
Ambos sexos;20-24;Otros tipos de establecimientos colectivos;988
Ambos sexos;25-29;Total;19.894
Ambos sexos;25-29;Instituciones sanitarias;278
Ambos sexos;25-29;Residencias de personas mayores;..
Ambos sexos;25-29;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.822
Ambos sexos;25-29;Instituciones religiosas;638
Ambos sexos;25-29;Instituciones militares;6.809
Ambos sexos;25-29;Instituciones penitenciarias;9.283
Ambos sexos;25-29;Otros tipos de establecimientos colectivos;1.065
Ambos sexos;30-34;Total;21.750
Ambos sexos;30-34;Instituciones sanitarias;396
Ambos sexos;30-34;Residencias de personas mayores;..
Ambos sexos;30-34;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;2.770
Ambos sexos;30-34;Instituciones religiosas;840
Ambos sexos;30-34;Instituciones militares;4.520
Ambos sexos;30-34;Instituciones penitenciarias;12.295
Ambos sexos;30-34;Otros tipos de establecimientos colectivos;928
Ambos sexos;35-39;Total;20.045
Ambos sexos;35-39;Instituciones sanitarias;525
Ambos sexos;35-39;Residencias de personas mayores;..
Ambos sexos;35-39;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;3.712
Ambos sexos;35-39;Instituciones religiosas;1.063
Ambos sexos;35-39;Instituciones militares;2.291
Ambos sexos;35-39;Instituciones penitenciarias;11.533
Ambos sexos;35-39;Otros tipos de establecimientos colectivos;920
Ambos sexos;40-44;Total;17.481
Ambos sexos;40-44;Instituciones sanitarias;1.086
Ambos sexos;40-44;Residencias de personas mayores;..
Ambos sexos;40-44;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;4.536
Ambos sexos;40-44;Instituciones religiosas;895
Ambos sexos;40-44;Instituciones militares;652
Ambos sexos;40-44;Instituciones penitenciarias;9.171
Ambos sexos;40-44;Otros tipos de establecimientos colectivos;1.140
Ambos sexos;45-49;Total;15.376
Ambos sexos;45-49;Instituciones sanitarias;1.071
Ambos sexos;45-49;Residencias de personas mayores;..
Ambos sexos;45-49;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;4.654
Ambos sexos;45-49;Instituciones religiosas;848
Ambos sexos;45-49;Instituciones militares;614
Ambos sexos;45-49;Instituciones penitenciarias;6.744
Ambos sexos;45-49;Otros tipos de establecimientos colectivos;1.446
Ambos sexos;50-54;Total;13.151
Ambos sexos;50-54;Instituciones sanitarias;1.228
Ambos sexos;50-54;Residencias de personas mayores;1.350
Ambos sexos;50-54;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;4.256
Ambos sexos;50-54;Instituciones religiosas;704
Ambos sexos;50-54;Instituciones militares;574
Ambos sexos;50-54;Instituciones penitenciarias;3.593
Ambos sexos;50-54;Otros tipos de establecimientos colectivos;1.446
Ambos sexos;55-59;Total;11.844
Ambos sexos;55-59;Instituciones sanitarias;1.140
Ambos sexos;55-59;Residencias de personas mayores;3.058
Ambos sexos;55-59;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;3.656
Ambos sexos;55-59;Instituciones religiosas;654
Ambos sexos;55-59;Instituciones militares;152
Ambos sexos;55-59;Instituciones penitenciarias;1.927
Ambos sexos;55-59;Otros tipos de establecimientos colectivos;1.257
Ambos sexos;60-64;Total;13.352
Ambos sexos;60-64;Instituciones sanitarias;1.386
Ambos sexos;60-64;Residencias de personas mayores;5.652
Ambos sexos;60-64;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;2.638
Ambos sexos;60-64;Instituciones religiosas;925
Ambos sexos;60-64;Instituciones militares;61
Ambos sexos;60-64;Instituciones penitenciarias;1.316
Ambos sexos;60-64;Otros tipos de establecimientos colectivos;1.374
Ambos sexos;65-69;Total;15.829
Ambos sexos;65-69;Instituciones sanitarias;917
Ambos sexos;65-69;Residencias de personas mayores;10.376
Ambos sexos;65-69;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.382
Ambos sexos;65-69;Instituciones religiosas;1.392
Ambos sexos;65-69;Instituciones militares;7
Ambos sexos;65-69;Instituciones penitenciarias;427
Ambos sexos;65-69;Otros tipos de establecimientos colectivos;1.328
Ambos sexos;70-74;Total;21.458
Ambos sexos;70-74;Instituciones sanitarias;1.089
Ambos sexos;70-74;Residencias de personas mayores;16.623
Ambos sexos;70-74;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;790
Ambos sexos;70-74;Instituciones religiosas;1.938
Ambos sexos;70-74;Instituciones militares;4
Ambos sexos;70-74;Instituciones penitenciarias;189
Ambos sexos;70-74;Otros tipos de establecimientos colectivos;826
Ambos sexos;75-79;Total;42.455
Ambos sexos;75-79;Instituciones sanitarias;1.721
Ambos sexos;75-79;Residencias de personas mayores;36.349
Ambos sexos;75-79;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;612
Ambos sexos;75-79;Instituciones religiosas;2.649
Ambos sexos;75-79;Instituciones militares;16
Ambos sexos;75-79;Instituciones penitenciarias;68
Ambos sexos;75-79;Otros tipos de establecimientos colectivos;1.041
Ambos sexos;80-84;Total;68.118
Ambos sexos;80-84;Instituciones sanitarias;1.459
Ambos sexos;80-84;Residencias de personas mayores;62.200
Ambos sexos;80-84;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;630
Ambos sexos;80-84;Instituciones religiosas;2.638
Ambos sexos;80-84;Instituciones militares;..
Ambos sexos;80-84;Instituciones penitenciarias;67
