Sexo;Comunidades y ciudades autónomas;Edad (año a año);Total
Ambos sexos;TOTAL NACIONAL;Total;444.101
Ambos sexos;TOTAL NACIONAL;0 años;97
Ambos sexos;TOTAL NACIONAL;1 año;126
Ambos sexos;TOTAL NACIONAL;2 años;93
Ambos sexos;TOTAL NACIONAL;3 años;116
Ambos sexos;TOTAL NACIONAL;4 años;102
Ambos sexos;TOTAL NACIONAL;5 años;105
Ambos sexos;TOTAL NACIONAL;6 años;131
Ambos sexos;TOTAL NACIONAL;7 años;120
Ambos sexos;TOTAL NACIONAL;8 años;173
Ambos sexos;TOTAL NACIONAL;9 años;171
Ambos sexos;TOTAL NACIONAL;10 años;203
Ambos sexos;TOTAL NACIONAL;11 años;217
Ambos sexos;TOTAL NACIONAL;12 años;216
Ambos sexos;TOTAL NACIONAL;13 años;298
Ambos sexos;TOTAL NACIONAL;14 años;339
Ambos sexos;TOTAL NACIONAL;15 años;438
Ambos sexos;TOTAL NACIONAL;16 años;450
Ambos sexos;TOTAL NACIONAL;17 años;531
Ambos sexos;TOTAL NACIONAL;18 años;869
Ambos sexos;TOTAL NACIONAL;19 años;1.240
Ambos sexos;TOTAL NACIONAL;20 años;1.902
Ambos sexos;TOTAL NACIONAL;21 años;2.212
Ambos sexos;TOTAL NACIONAL;22 años;3.301
Ambos sexos;TOTAL NACIONAL;23 años;3.855
Ambos sexos;TOTAL NACIONAL;24 años;3.884
Ambos sexos;TOTAL NACIONAL;25 años;3.522
Ambos sexos;TOTAL NACIONAL;26 años;3.906
Ambos sexos;TOTAL NACIONAL;27 años;4.386
Ambos sexos;TOTAL NACIONAL;28 años;4.077
Ambos sexos;TOTAL NACIONAL;29 años;4.002
Ambos sexos;TOTAL NACIONAL;30 años;4.726
Ambos sexos;TOTAL NACIONAL;31 años;4.065
Ambos sexos;TOTAL NACIONAL;32 años;4.185
Ambos sexos;TOTAL NACIONAL;33 años;4.814
Ambos sexos;TOTAL NACIONAL;34 años;3.960
Ambos sexos;TOTAL NACIONAL;35 años;4.234
Ambos sexos;TOTAL NACIONAL;36 años;3.321
Ambos sexos;TOTAL NACIONAL;37 años;4.367
Ambos sexos;TOTAL NACIONAL;38 años;3.845
Ambos sexos;TOTAL NACIONAL;39 años;4.277
Ambos sexos;TOTAL NACIONAL;40 años;3.642
Ambos sexos;TOTAL NACIONAL;41 años;3.660
Ambos sexos;TOTAL NACIONAL;42 años;3.091
Ambos sexos;TOTAL NACIONAL;43 años;3.278
Ambos sexos;TOTAL NACIONAL;44 años;3.810
Ambos sexos;TOTAL NACIONAL;45 años;3.346
Ambos sexos;TOTAL NACIONAL;46 años;2.827
Ambos sexos;TOTAL NACIONAL;47 años;3.351
Ambos sexos;TOTAL NACIONAL;48 años;3.010
Ambos sexos;TOTAL NACIONAL;49 años;2.842
Ambos sexos;TOTAL NACIONAL;50 años;2.916
Ambos sexos;TOTAL NACIONAL;51 años;2.374
Ambos sexos;TOTAL NACIONAL;52 años;2.501
Ambos sexos;TOTAL NACIONAL;53 años;2.810
Ambos sexos;TOTAL NACIONAL;54 años;2.551
Ambos sexos;TOTAL NACIONAL;55 años;2.667
Ambos sexos;TOTAL NACIONAL;56 años;2.201
Ambos sexos;TOTAL NACIONAL;57 años;2.356
Ambos sexos;TOTAL NACIONAL;58 años;2.196
Ambos sexos;TOTAL NACIONAL;59 años;2.423
Ambos sexos;TOTAL NACIONAL;60 años;2.403
Ambos sexos;TOTAL NACIONAL;61 años;2.290
Ambos sexos;TOTAL NACIONAL;62 años;2.950
Ambos sexos;TOTAL NACIONAL;63 años;2.999
Ambos sexos;TOTAL NACIONAL;64 años;2.711
Ambos sexos;TOTAL NACIONAL;65 años;2.879
Ambos sexos;TOTAL NACIONAL;66 años;3.137
Ambos sexos;TOTAL NACIONAL;67 años;3.402
Ambos sexos;TOTAL NACIONAL;68 años;3.320
Ambos sexos;TOTAL NACIONAL;69 años;3.092
Ambos sexos;TOTAL NACIONAL;70 años;3.599
Ambos sexos;TOTAL NACIONAL;71 años;4.803
Ambos sexos;TOTAL NACIONAL;72 años;3.458
Ambos sexos;TOTAL NACIONAL;73 años;4.418
Ambos sexos;TOTAL NACIONAL;74 años;5.181
Ambos sexos;TOTAL NACIONAL;75 años;6.818
Ambos sexos;TOTAL NACIONAL;76 años;7.409
Ambos sexos;TOTAL NACIONAL;77 años;8.582
Ambos sexos;TOTAL NACIONAL;78 años;9.437
Ambos sexos;TOTAL NACIONAL;79 años;10.211
Ambos sexos;TOTAL NACIONAL;80 años;11.285
Ambos sexos;TOTAL NACIONAL;81 años;12.347
Ambos sexos;TOTAL NACIONAL;82 años;14.231
Ambos sexos;TOTAL NACIONAL;83 años;14.499
Ambos sexos;TOTAL NACIONAL;84 años;15.757
Ambos sexos;TOTAL NACIONAL;85 años;16.338
Ambos sexos;TOTAL NACIONAL;86 años;16.049
Ambos sexos;TOTAL NACIONAL;87 años;15.977
Ambos sexos;TOTAL NACIONAL;88 años;16.173
Ambos sexos;TOTAL NACIONAL;89 años;15.232
Ambos sexos;TOTAL NACIONAL;90 años;12.676
Ambos sexos;TOTAL NACIONAL;91 años;11.298
Ambos sexos;TOTAL NACIONAL;92 años;8.133
Ambos sexos;TOTAL NACIONAL;93 años;7.308
Ambos sexos;TOTAL NACIONAL;94 años;5.656
Ambos sexos;TOTAL NACIONAL;95 años;4.598
Ambos sexos;TOTAL NACIONAL;96 años;3.834
Ambos sexos;TOTAL NACIONAL;97 años;2.782
Ambos sexos;TOTAL NACIONAL;98 años;2.040
Ambos sexos;TOTAL NACIONAL;99 años;1.498
Ambos sexos;TOTAL NACIONAL;100 y más años;2.567
Ambos sexos;Andalucía;Total;56.052
Ambos sexos;Andalucía;0 años;5
Ambos sexos;Andalucía;1 año;10
Ambos sexos;Andalucía;2 años;6
Ambos sexos;Andalucía;3 años;16
Ambos sexos;Andalucía;4 años;7
Ambos sexos;Andalucía;5 años;7
Ambos sexos;Andalucía;6 años;19
Ambos sexos;Andalucía;7 años;16
Ambos sexos;Andalucía;8 años;12
Ambos sexos;Andalucía;9 años;17
Ambos sexos;Andalucía;10 años;17
Ambos sexos;Andalucía;11 años;20
Ambos sexos;Andalucía;12 años;32
Ambos sexos;Andalucía;13 años;21
Ambos sexos;Andalucía;14 años;32
Ambos sexos;Andalucía;15 años;35
Ambos sexos;Andalucía;16 años;30
Ambos sexos;Andalucía;17 años;28
Ambos sexos;Andalucía;18 años;183
Ambos sexos;Andalucía;19 años;388
Ambos sexos;Andalucía;20 años;533
Ambos sexos;Andalucía;21 años;304
Ambos sexos;Andalucía;22 años;842
Ambos sexos;Andalucía;23 años;671
Ambos sexos;Andalucía;24 años;715
Ambos sexos;Andalucía;25 años;776
Ambos sexos;Andalucía;26 años;813
Ambos sexos;Andalucía;27 años;551
Ambos sexos;Andalucía;28 años;816
Ambos sexos;Andalucía;29 años;664
Ambos sexos;Andalucía;30 años;949
Ambos sexos;Andalucía;31 años;594
Ambos sexos;Andalucía;32 años;741
Ambos sexos;Andalucía;33 años;1.029
Ambos sexos;Andalucía;34 años;690
Ambos sexos;Andalucía;35 años;710
Ambos sexos;Andalucía;36 años;502
Ambos sexos;Andalucía;37 años;848
Ambos sexos;Andalucía;38 años;730
Ambos sexos;Andalucía;39 años;629
Ambos sexos;Andalucía;40 años;599
Ambos sexos;Andalucía;41 años;825
Ambos sexos;Andalucía;42 años;594
Ambos sexos;Andalucía;43 años;516
Ambos sexos;Andalucía;44 años;650
Ambos sexos;Andalucía;45 años;666
Ambos sexos;Andalucía;46 años;483
Ambos sexos;Andalucía;47 años;517
Ambos sexos;Andalucía;48 años;594
Ambos sexos;Andalucía;49 años;424
Ambos sexos;Andalucía;50 años;449
Ambos sexos;Andalucía;51 años;333
Ambos sexos;Andalucía;52 años;304
Ambos sexos;Andalucía;53 años;516
Ambos sexos;Andalucía;54 años;340
Ambos sexos;Andalucía;55 años;303
Ambos sexos;Andalucía;56 años;315
Ambos sexos;Andalucía;57 años;308
Ambos sexos;Andalucía;58 años;319
Ambos sexos;Andalucía;59 años;348
Ambos sexos;Andalucía;60 años;311
Ambos sexos;Andalucía;61 años;289
Ambos sexos;Andalucía;62 años;465
Ambos sexos;Andalucía;63 años;415
Ambos sexos;Andalucía;64 años;330
Ambos sexos;Andalucía;65 años;454
Ambos sexos;Andalucía;66 años;478
Ambos sexos;Andalucía;67 años;402
Ambos sexos;Andalucía;68 años;420
Ambos sexos;Andalucía;69 años;368
Ambos sexos;Andalucía;70 años;361
Ambos sexos;Andalucía;71 años;654
Ambos sexos;Andalucía;72 años;493
Ambos sexos;Andalucía;73 años;573
Ambos sexos;Andalucía;74 años;611
Ambos sexos;Andalucía;75 años;894
Ambos sexos;Andalucía;76 años;1.008
Ambos sexos;Andalucía;77 años;997
Ambos sexos;Andalucía;78 años;1.158
Ambos sexos;Andalucía;79 años;1.347
Ambos sexos;Andalucía;80 años;1.358
Ambos sexos;Andalucía;81 años;1.328
Ambos sexos;Andalucía;82 años;1.713
