Sexo;Comunidades y provincias;Edad (hasta 100 y más);Total
Ambos sexos;TOTAL ESPAÑA;Total;47.431.256
Ambos sexos;TOTAL ESPAÑA;0-4;1.974.809
Ambos sexos;TOTAL ESPAÑA;5-9;2.324.559
Ambos sexos;TOTAL ESPAÑA;10-14;2.522.754
Ambos sexos;TOTAL ESPAÑA;15-19;2.387.556
Ambos sexos;TOTAL ESPAÑA;20-24;2.359.591
Ambos sexos;TOTAL ESPAÑA;25-29;2.582.946
Ambos sexos;TOTAL ESPAÑA;30-34;2.838.372
Ambos sexos;TOTAL ESPAÑA;35-39;3.389.813
Ambos sexos;TOTAL ESPAÑA;40-44;3.995.052
Ambos sexos;TOTAL ESPAÑA;45-49;3.894.528
Ambos sexos;TOTAL ESPAÑA;50-54;3.667.554
Ambos sexos;TOTAL ESPAÑA;55-59;3.364.192
Ambos sexos;TOTAL ESPAÑA;60-64;2.912.066
Ambos sexos;TOTAL ESPAÑA;65-69;2.423.865
Ambos sexos;TOTAL ESPAÑA;70-74;2.211.826
Ambos sexos;TOTAL ESPAÑA;75-79;1.747.640
Ambos sexos;TOTAL ESPAÑA;80-84;1.272.972
Ambos sexos;TOTAL ESPAÑA;85-89;996.429
Ambos sexos;TOTAL ESPAÑA;90-94;435.973
Ambos sexos;TOTAL ESPAÑA;95-99;111.333
Ambos sexos;TOTAL ESPAÑA;100 y más;17.426
Ambos sexos;ANDALUCÍA;Total;8.460.261
Ambos sexos;ANDALUCÍA;0-4;371.790
Ambos sexos;ANDALUCÍA;5-9;440.148
Ambos sexos;ANDALUCÍA;10-14;493.050
Ambos sexos;ANDALUCÍA;15-19;457.534
Ambos sexos;ANDALUCÍA;20-24;444.505
Ambos sexos;ANDALUCÍA;25-29;483.913
Ambos sexos;ANDALUCÍA;30-34;521.791
Ambos sexos;ANDALUCÍA;35-39;618.104
Ambos sexos;ANDALUCÍA;40-44;703.084
Ambos sexos;ANDALUCÍA;45-49;681.751
Ambos sexos;ANDALUCÍA;50-54;661.935
Ambos sexos;ANDALUCÍA;55-59;602.848
Ambos sexos;ANDALUCÍA;60-64;509.130
Ambos sexos;ANDALUCÍA;65-69;406.823
Ambos sexos;ANDALUCÍA;70-74;365.478
Ambos sexos;ANDALUCÍA;75-79;284.792
Ambos sexos;ANDALUCÍA;80-84;202.468
Ambos sexos;ANDALUCÍA;85-89;141.631
Ambos sexos;ANDALUCÍA;90-94;54.578
Ambos sexos;ANDALUCÍA;95-99;12.297
Ambos sexos;ANDALUCÍA;100 y más;2.611
Ambos sexos;Almería;Total;727.241
Ambos sexos;Almería;0-4;38.164
Ambos sexos;Almería;5-9;41.268
Ambos sexos;Almería;10-14;42.807
Ambos sexos;Almería;15-19;38.826
Ambos sexos;Almería;20-24;40.565
Ambos sexos;Almería;25-29;45.389
Ambos sexos;Almería;30-34;50.597
Ambos sexos;Almería;35-39;58.507
Ambos sexos;Almería;40-44;64.113
Ambos sexos;Almería;45-49;57.588
Ambos sexos;Almería;50-54;53.416
Ambos sexos;Almería;55-59;47.273
Ambos sexos;Almería;60-64;40.147
Ambos sexos;Almería;65-69;32.351
Ambos sexos;Almería;70-74;27.721
Ambos sexos;Almería;75-79;19.755
Ambos sexos;Almería;80-84;13.968
Ambos sexos;Almería;85-89;9.816
Ambos sexos;Almería;90-94;3.925
Ambos sexos;Almería;95-99;852
Ambos sexos;Almería;100 y más;193
Ambos sexos;Cádiz;Total;1.243.927
Ambos sexos;Cádiz;0-4;54.115
Ambos sexos;Cádiz;5-9;64.699
Ambos sexos;Cádiz;10-14;75.159
Ambos sexos;Cádiz;15-19;69.404
Ambos sexos;Cádiz;20-24;63.864
Ambos sexos;Cádiz;25-29;68.330
Ambos sexos;Cádiz;30-34;75.638
Ambos sexos;Cádiz;35-39;90.337
Ambos sexos;Cádiz;40-44;104.018
Ambos sexos;Cádiz;45-49;102.628
Ambos sexos;Cádiz;50-54;99.389
Ambos sexos;Cádiz;55-59;89.386
Ambos sexos;Cádiz;60-64;77.573
Ambos sexos;Cádiz;65-69;61.462
Ambos sexos;Cádiz;70-74;53.602
Ambos sexos;Cádiz;75-79;40.541
Ambos sexos;Cádiz;80-84;27.482
Ambos sexos;Cádiz;85-89;18.226
Ambos sexos;Cádiz;90-94;6.391
Ambos sexos;Cádiz;95-99;1.435
Ambos sexos;Cádiz;100 y más;248
Ambos sexos;Córdoba;Total;781.029
Ambos sexos;Córdoba;0-4;32.072
Ambos sexos;Córdoba;5-9;37.533
Ambos sexos;Córdoba;10-14;42.497
Ambos sexos;Córdoba;15-19;41.625
Ambos sexos;Córdoba;20-24;41.617
Ambos sexos;Córdoba;25-29;45.569
Ambos sexos;Córdoba;30-34;46.577
Ambos sexos;Córdoba;35-39;52.150
Ambos sexos;Córdoba;40-44;58.749
Ambos sexos;Córdoba;45-49;58.680
Ambos sexos;Córdoba;50-54;61.694
Ambos sexos;Córdoba;55-59;59.494
Ambos sexos;Córdoba;60-64;50.271
Ambos sexos;Córdoba;65-69;38.537
Ambos sexos;Córdoba;70-74;34.971
Ambos sexos;Córdoba;75-79;29.309
Ambos sexos;Córdoba;80-84;22.570
Ambos sexos;Córdoba;85-89;17.545
Ambos sexos;Córdoba;90-94;7.577
Ambos sexos;Córdoba;95-99;1.716
Ambos sexos;Córdoba;100 y más;276
Ambos sexos;Granada;Total;918.973
Ambos sexos;Granada;0-4;39.155
Ambos sexos;Granada;5-9;44.838
Ambos sexos;Granada;10-14;51.691
Ambos sexos;Granada;15-19;49.536
Ambos sexos;Granada;20-24;50.213
Ambos sexos;Granada;25-29;54.143
Ambos sexos;Granada;30-34;56.864
Ambos sexos;Granada;35-39;65.510
Ambos sexos;Granada;40-44;72.978
Ambos sexos;Granada;45-49;71.101
Ambos sexos;Granada;50-54;72.191
Ambos sexos;Granada;55-59;67.137
Ambos sexos;Granada;60-64;57.109
Ambos sexos;Granada;65-69;44.687
Ambos sexos;Granada;70-74;39.845
Ambos sexos;Granada;75-79;31.753
Ambos sexos;Granada;80-84;23.760
Ambos sexos;Granada;85-89;17.835
Ambos sexos;Granada;90-94;6.846
Ambos sexos;Granada;95-99;1.514
Ambos sexos;Granada;100 y más;267
Ambos sexos;Huelva;Total;523.678
Ambos sexos;Huelva;0-4;22.271
Ambos sexos;Huelva;5-9;27.115
Ambos sexos;Huelva;10-14;30.071
Ambos sexos;Huelva;15-19;27.645
Ambos sexos;Huelva;20-24;27.313
Ambos sexos;Huelva;25-29;30.291
Ambos sexos;Huelva;30-34;33.352
Ambos sexos;Huelva;35-39;39.850
