Comunidades autónomas;Tipo de dato;Periodo;Total
Total Nacional;Dato base;2020SM41;8.271
Total Nacional;Dato base;2020SM40;8.219
Total Nacional;Dato base;2020SM39;8.240
Total Nacional;Dato base;2020SM38;8.303
Total Nacional;Dato base;2020SM37;8.161
Total Nacional;Dato base;2020SM36;7.882
Total Nacional;Dato base;2020SM35;8.041
Total Nacional;Dato base;2020SM34;7.989
Total Nacional;Dato base;2020SM33;8.283
Total Nacional;Dato base;2020SM32;8.526
Total Nacional;Dato base;2020SM31;8.621
Total Nacional;Dato base;2020SM30;7.924
Total Nacional;Dato base;2020SM29;7.712
Total Nacional;Dato base;2020SM28;7.847
Total Nacional;Dato base;2020SM27;7.749
Total Nacional;Dato base;2020SM26;7.643
Total Nacional;Dato base;2020SM25;7.161
Total Nacional;Dato base;2020SM24;6.948
Total Nacional;Dato base;2020SM23;7.215
Total Nacional;Dato base;2020SM22;7.220
Total Nacional;Dato base;2020SM21;7.661
Total Nacional;Dato base;2020SM20;7.587
Total Nacional;Dato base;2020SM19;8.594
Total Nacional;Dato base;2020SM18;8.834
Total Nacional;Dato base;2020SM17;10.343
Total Nacional;Dato base;2020SM16;13.132
Total Nacional;Dato base;2020SM15;17.231
Total Nacional;Dato base;2020SM14;20.658
Total Nacional;Dato base;2020SM13;19.221
Total Nacional;Dato base;2020SM12;12.678
Total Nacional;Dato base;2020SM11;9.285
Total Nacional;Dato base;2020SM10;8.654
Total Nacional;Dato base;2020SM09;8.000
Total Nacional;Dato base;2020SM08;8.510
Total Nacional;Dato base;2020SM07;8.986
Total Nacional;Dato base;2020SM06;9.400
Total Nacional;Dato base;2020SM05;9.649
Total Nacional;Dato base;2020SM04;9.608
Total Nacional;Dato base;2020SM03;10.111
Total Nacional;Dato base;2020SM02;9.615
Total Nacional;Dato base;2020SM01;8.904
Total Nacional;Dato base;2019SM52;8.113
Total Nacional;Dato base;2019SM51;8.269
Total Nacional;Dato base;2019SM50;8.239
Total Nacional;Dato base;2019SM49;7.942
Total Nacional;Dato base;2019SM48;8.287
Total Nacional;Dato base;2019SM47;8.213
Total Nacional;Dato base;2019SM46;8.016
Total Nacional;Dato base;2019SM45;7.661
Total Nacional;Dato base;2019SM44;7.668
Total Nacional;Dato base;2019SM43;7.516
Total Nacional;Dato base;2019SM42;7.292
Total Nacional;Dato base;2019SM41;7.297
Total Nacional;Dato base;2019SM40;6.963
Total Nacional;Dato base;2019SM39;7.019
Total Nacional;Dato base;2019SM38;6.994
Total Nacional;Dato base;2019SM37;6.928
Total Nacional;Dato base;2019SM36;6.890
Total Nacional;Dato base;2019SM35;6.894
Total Nacional;Dato base;2019SM34;6.908
Total Nacional;Dato base;2019SM33;7.117
Total Nacional;Dato base;2019SM32;7.313
Total Nacional;Dato base;2019SM31;7.128
Total Nacional;Dato base;2019SM30;7.461
Total Nacional;Dato base;2019SM29;7.293
Total Nacional;Dato base;2019SM28;7.457
Total Nacional;Dato base;2019SM27;8.048
Total Nacional;Dato base;2019SM26;7.566
Total Nacional;Dato base;2019SM25;7.399
Total Nacional;Dato base;2019SM24;7.010
Total Nacional;Dato base;2019SM23;7.512
Total Nacional;Dato base;2019SM22;7.619
Total Nacional;Dato base;2019SM21;7.429
Total Nacional;Dato base;2019SM20;7.535
Total Nacional;Dato base;2019SM19;7.726
Total Nacional;Dato base;2019SM18;7.742
Total Nacional;Dato base;2019SM17;7.754
Total Nacional;Dato base;2019SM16;7.802
Total Nacional;Dato base;2019SM15;8.049
Total Nacional;Dato base;2019SM14;8.081
Total Nacional;Dato base;2019SM13;8.169
Total Nacional;Dato base;2019SM12;8.022
Total Nacional;Dato base;2019SM11;8.202
Total Nacional;Dato base;2019SM10;8.588
Total Nacional;Dato base;2019SM09;8.919
Total Nacional;Dato base;2019SM08;9.210
Total Nacional;Dato base;2019SM07;9.357
Total Nacional;Dato base;2019SM06;9.676
Total Nacional;Dato base;2019SM05;9.964
Total Nacional;Dato base;2019SM04;10.141
Total Nacional;Dato base;2019SM03;10.473
Total Nacional;Dato base;2019SM02;10.019
Total Nacional;Dato base;2019SM01;9.127
Total Nacional;Dato base;2018SM52;8.650
Total Nacional;Dato base;2018SM51;8.427
Total Nacional;Dato base;2018SM50;8.312
Total Nacional;Dato base;2018SM49;8.051
Total Nacional;Dato base;2018SM48;7.929
Total Nacional;Dato base;2018SM47;7.932
Total Nacional;Dato base;2018SM46;7.999
Total Nacional;Dato base;2018SM45;8.012
Total Nacional;Dato base;2018SM44;7.794
Total Nacional;Dato base;2018SM43;7.327
Total Nacional;Dato base;2018SM42;7.350
Total Nacional;Dato base;2018SM41;7.437
Total Nacional;Dato base;2018SM40;7.210
Total Nacional;Dato base;2018SM39;7.230
Total Nacional;Dato base;2018SM38;7.153
Total Nacional;Dato base;2018SM37;6.834
Total Nacional;Dato base;2018SM36;6.906
Total Nacional;Dato base;2018SM35;6.927
Total Nacional;Dato base;2018SM34;7.015
Total Nacional;Dato base;2018SM33;7.194
Total Nacional;Dato base;2018SM32;8.003
Total Nacional;Dato base;2018SM31;7.731
Total Nacional;Dato base;2018SM30;7.155
Total Nacional;Dato base;2018SM29;7.186
Total Nacional;Dato base;2018SM28;7.366
Total Nacional;Dato base;2018SM27;7.305
Total Nacional;Dato base;2018SM26;7.698
Total Nacional;Dato base;2018SM25;7.713
Total Nacional;Dato base;2018SM24;7.154
Total Nacional;Dato base;2018SM23;7.109
Total Nacional;Dato base;2018SM22;7.306
Total Nacional;Dato base;2018SM21;7.527
Total Nacional;Dato base;2018SM20;7.511
Total Nacional;Dato base;2018SM19;7.595
Total Nacional;Dato base;2018SM18;7.359
Total Nacional;Dato base;2018SM17;7.735
Total Nacional;Dato base;2018SM16;8.112
Total Nacional;Dato base;2018SM15;8.335
Total Nacional;Dato base;2018SM14;8.414
Total Nacional;Dato base;2018SM13;8.628
Total Nacional;Dato base;2018SM12;8.616
Total Nacional;Dato base;2018SM11;8.862
Total Nacional;Dato base;2018SM10;9.203
Total Nacional;Dato base;2018SM09;9.599
Total Nacional;Dato base;2018SM08;9.656
Total Nacional;Dato base;2018SM07;10.105
Total Nacional;Dato base;2018SM06;10.015
Total Nacional;Dato base;2018SM05;9.893
Total Nacional;Dato base;2018SM04;10.324
Total Nacional;Dato base;2018SM03;10.981
Total Nacional;Dato base;2018SM02;10.905
Total Nacional;Dato base;2018SM01;11.204
Total Nacional;Dato base;2017SM52;10.412
Total Nacional;Dato base;2017SM51;9.628
Total Nacional;Dato base;2017SM50;9.262
Total Nacional;Dato base;2017SM49;8.620
Total Nacional;Dato base;2017SM48;8.257
Total Nacional;Dato base;2017SM47;8.169
Total Nacional;Dato base;2017SM46;8.063
Total Nacional;Dato base;2017SM45;7.632
Total Nacional;Dato base;2017SM44;7.511
Total Nacional;Dato base;2017SM43;7.308
Total Nacional;Dato base;2017SM42;7.392
Total Nacional;Dato base;2017SM41;7.234
Total Nacional;Dato base;2017SM40;7.388
Total Nacional;Dato base;2017SM39;7.367
Total Nacional;Dato base;2017SM38;7.091
Total Nacional;Dato base;2017SM37;6.730
Total Nacional;Dato base;2017SM36;6.680
Total Nacional;Dato base;2017SM35;7.013
Total Nacional;Dato base;2017SM34;7.219
Total Nacional;Dato base;2017SM33;7.118
Total Nacional;Dato base;2017SM32;7.186
Total Nacional;Dato base;2017SM31;7.596
Total Nacional;Dato base;2017SM30;7.110
Total Nacional;Dato base;2017SM29;7.259
Total Nacional;Dato base;2017SM28;7.214
Total Nacional;Dato base;2017SM27;7.156
Total Nacional;Dato base;2017SM26;7.137
Total Nacional;Dato base;2017SM25;7.991
Total Nacional;Dato base;2017SM24;7.819
Total Nacional;Dato base;2017SM23;7.067
