Provincias;Sexo;Periodo;Total
Total;Total;2018;427.721
Total;Total;2017;424.523
Total;Total;2016;410.611
Total;Total;2015;422.568
Total;Total;2014;395.830
Total;Total;2013;390.419
Total;Total;2012;402.950
Total;Total;2011;387.911
Total;Total;2010;382.047
Total;Total;2009;384.933
Total;Total;2008;386.324
Total;Total;2007;385.361
Total;Total;2006;371.478
Total;Total;2005;387.355
Total;Total;2004;371.934
Total;Total;2003;384.828
Total;Total;2002;368.618
Total;Total;2001;360.131
Total;Total;2000;360.391
Total;Total;1999;371.102
Total;Total;1998;360.511
Total;Total;1997;349.521
Total;Total;1996;351.449
Total;Total;1995;346.227
Total;Total;1994;338.242
Total;Total;1993;339.661
Total;Total;1992;331.515
Total;Total;1991;337.691
Total;Total;1990;333.142
Total;Total;1989;324.796
Total;Total;1988;319.437
Total;Total;1987;310.073
Total;Total;1986;310.413
Total;Total;1985;312.532
Total;Total;1984;299.409
Total;Total;1983;302.569
Total;Total;1982;286.655
Total;Total;1981;293.386
Total;Total;1980;289.344
Total;Total;1979;291.213
Total;Total;1978;296.781
Total;Total;1977;294.324
Total;Total;1976;299.007
Total;Total;1975;298.192
Total;Hombres;2018;216.442
Total;Hombres;2017;214.236
Total;Hombres;2016;208.993
Total;Hombres;2015;213.309
Total;Hombres;2014;201.571
Total;Hombres;2013;199.834
Total;Hombres;2012;205.920
Total;Hombres;2011;199.854
Total;Hombres;2010;198.121
Total;Hombres;2009;199.095
Total;Hombres;2008;199.647
Total;Hombres;2007;201.136
Total;Hombres;2006;194.154
Total;Hombres;2005;201.769
Total;Hombres;2004;194.928
Total;Hombres;2003;199.897
Total;Hombres;2002;193.269
Total;Hombres;2001;189.714
Total;Hombres;2000;189.468
Total;Hombres;1999;195.255
Total;Hombres;1998;190.218
Total;Hombres;1997;185.095
Total;Hombres;1996;186.901
Total;Hombres;1995;184.488
Total;Hombres;1994;179.924
Total;Hombres;1993;180.512
Total;Hombres;1992;177.087
Total;Hombres;1991;179.344
Total;Hombres;1990;176.779
Total;Hombres;1989;172.364
Total;Hombres;1988;168.734
Total;Hombres;1987;163.891
Total;Hombres;1986;162.961
Total;Hombres;1985;164.834
Total;Hombres;1984;158.515
Total;Hombres;1983;158.375
Total;Hombres;1982;151.048
Total;Hombres;1981;154.437
Total;Hombres;1980;152.225
Total;Hombres;1979;153.573
Total;Hombres;1978;155.541
Total;Hombres;1977;153.870
Total;Hombres;1976;155.979
Total;Hombres;1975;155.471
Total;Mujeres;2018;211.279
Total;Mujeres;2017;210.287
Total;Mujeres;2016;201.618
Total;Mujeres;2015;209.259
Total;Mujeres;2014;194.259
Total;Mujeres;2013;190.585
Total;Mujeres;2012;197.030
Total;Mujeres;2011;188.057
Total;Mujeres;2010;183.926
Total;Mujeres;2009;185.838
Total;Mujeres;2008;186.677
Total;Mujeres;2007;184.225
Total;Mujeres;2006;177.324
Total;Mujeres;2005;185.586
Total;Mujeres;2004;177.006
Total;Mujeres;2003;184.931
Total;Mujeres;2002;175.349
Total;Mujeres;2001;170.417
Total;Mujeres;2000;170.923
Total;Mujeres;1999;175.847
Total;Mujeres;1998;170.293
Total;Mujeres;1997;164.426
Total;Mujeres;1996;164.548
Total;Mujeres;1995;161.739
Total;Mujeres;1994;158.318
Total;Mujeres;1993;159.149
Total;Mujeres;1992;154.428
Total;Mujeres;1991;158.347
Total;Mujeres;1990;156.363
Total;Mujeres;1989;152.432
Total;Mujeres;1988;150.703
Total;Mujeres;1987;146.182
Total;Mujeres;1986;147.452
Total;Mujeres;1985;147.698
Total;Mujeres;1984;140.894
Total;Mujeres;1983;144.194
Total;Mujeres;1982;135.607
Total;Mujeres;1981;138.949
Total;Mujeres;1980;137.119
Total;Mujeres;1979;137.640
Total;Mujeres;1978;141.240
Total;Mujeres;1977;140.454
Total;Mujeres;1976;143.028
Total;Mujeres;1975;142.721
02 Albacete;Total;2018;3.727
02 Albacete;Total;2017;3.736
02 Albacete;Total;2016;3.670
02 Albacete;Total;2015;3.700
02 Albacete;Total;2014;3.720
02 Albacete;Total;2013;3.508
02 Albacete;Total;2012;3.663
02 Albacete;Total;2011;3.454
02 Albacete;Total;2010;3.303
02 Albacete;Total;2009;3.424
02 Albacete;Total;2008;3.413
02 Albacete;Total;2007;3.364
02 Albacete;Total;2006;3.253
02 Albacete;Total;2005;3.344
02 Albacete;Total;2004;3.248
02 Albacete;Total;2003;3.336
02 Albacete;Total;2002;3.152
02 Albacete;Total;2001;3.063
02 Albacete;Total;2000;3.141
02 Albacete;Total;1999;3.069
02 Albacete;Total;1998;3.239
02 Albacete;Total;1997;2.969
02 Albacete;Total;1996;3.124
02 Albacete;Total;1995;2.965
02 Albacete;Total;1994;3.029
02 Albacete;Total;1993;3.163
02 Albacete;Total;1992;3.048
02 Albacete;Total;1991;3.039
02 Albacete;Total;1990;2.666
02 Albacete;Total;1989;2.860
02 Albacete;Total;1988;2.871
02 Albacete;Total;1987;2.860
02 Albacete;Total;1986;2.938
02 Albacete;Total;1985;3.060
02 Albacete;Total;1984;2.903
02 Albacete;Total;1983;2.970
02 Albacete;Total;1982;2.772
02 Albacete;Total;1981;2.976
02 Albacete;Total;1980;3.042
02 Albacete;Total;1979;2.990
02 Albacete;Total;1978;3.064
02 Albacete;Total;1977;3.081
02 Albacete;Total;1976;3.058
02 Albacete;Total;1975;3.154
02 Albacete;Hombres;2018;1.905
02 Albacete;Hombres;2017;1.891
02 Albacete;Hombres;2016;1.863
02 Albacete;Hombres;2015;1.874
02 Albacete;Hombres;2014;1.963
02 Albacete;Hombres;2013;1.810
02 Albacete;Hombres;2012;1.874
02 Albacete;Hombres;2011;1.776
02 Albacete;Hombres;2010;1.687
02 Albacete;Hombres;2009;1.816
02 Albacete;Hombres;2008;1.789
02 Albacete;Hombres;2007;1.775
02 Albacete;Hombres;2006;1.704
02 Albacete;Hombres;2005;1.735
02 Albacete;Hombres;2004;1.667
02 Albacete;Hombres;2003;1.741
02 Albacete;Hombres;2002;1.674
02 Albacete;Hombres;2001;1.665
02 Albacete;Hombres;2000;1.645
02 Albacete;Hombres;1999;1.617
02 Albacete;Hombres;1998;1.733
02 Albacete;Hombres;1997;1.553
02 Albacete;Hombres;1996;1.698
02 Albacete;Hombres;1995;1.589
02 Albacete;Hombres;1994;1.583
02 Albacete;Hombres;1993;1.683
02 Albacete;Hombres;1992;1.587
02 Albacete;Hombres;1991;1.591
02 Albacete;Hombres;1990;1.416
02 Albacete;Hombres;1989;1.506
02 Albacete;Hombres;1988;1.496
02 Albacete;Hombres;1987;1.456
02 Albacete;Hombres;1986;1.545
02 Albacete;Hombres;1985;1.582
02 Albacete;Hombres;1984;1.542
02 Albacete;Hombres;1983;1.563
02 Albacete;Hombres;1982;1.446
02 Albacete;Hombres;1981;1.592
02 Albacete;Hombres;1980;1.584
02 Albacete;Hombres;1979;1.493
02 Albacete;Hombres;1978;1.573
02 Albacete;Hombres;1977;1.637
02 Albacete;Hombres;1976;1.578
02 Albacete;Hombres;1975;1.635
02 Albacete;Mujeres;2018;1.822
02 Albacete;Mujeres;2017;1.845
02 Albacete;Mujeres;2016;1.807
02 Albacete;Mujeres;2015;1.826
02 Albacete;Mujeres;2014;1.757
02 Albacete;Mujeres;2013;1.698
02 Albacete;Mujeres;2012;1.789
02 Albacete;Mujeres;2011;1.678
02 Albacete;Mujeres;2010;1.616
02 Albacete;Mujeres;2009;1.608
02 Albacete;Mujeres;2008;1.624
02 Albacete;Mujeres;2007;1.589
02 Albacete;Mujeres;2006;1.549
02 Albacete;Mujeres;2005;1.609
02 Albacete;Mujeres;2004;1.581
02 Albacete;Mujeres;2003;1.595
02 Albacete;Mujeres;2002;1.478
02 Albacete;Mujeres;2001;1.398
02 Albacete;Mujeres;2000;1.496
02 Albacete;Mujeres;1999;1.452
02 Albacete;Mujeres;1998;1.506
02 Albacete;Mujeres;1997;1.416
02 Albacete;Mujeres;1996;1.426
02 Albacete;Mujeres;1995;1.376
02 Albacete;Mujeres;1994;1.446
02 Albacete;Mujeres;1993;1.480
02 Albacete;Mujeres;1992;1.461
02 Albacete;Mujeres;1991;1.448
02 Albacete;Mujeres;1990;1.250
02 Albacete;Mujeres;1989;1.354
02 Albacete;Mujeres;1988;1.375
02 Albacete;Mujeres;1987;1.404
02 Albacete;Mujeres;1986;1.393
02 Albacete;Mujeres;1985;1.478
02 Albacete;Mujeres;1984;1.361
02 Albacete;Mujeres;1983;1.407
02 Albacete;Mujeres;1982;1.326
02 Albacete;Mujeres;1981;1.384
02 Albacete;Mujeres;1980;1.458
02 Albacete;Mujeres;1979;1.497
02 Albacete;Mujeres;1978;1.491
02 Albacete;Mujeres;1977;1.444
02 Albacete;Mujeres;1976;1.480
02 Albacete;Mujeres;1975;1.519
03 Alicante/Alacant;Total;2018;16.270
03 Alicante/Alacant;Total;2017;15.974
03 Alicante/Alacant;Total;2016;15.155
03 Alicante/Alacant;Total;2015;15.853
03 Alicante/Alacant;Total;2014;14.877
03 Alicante/Alacant;Total;2013;14.541
03 Alicante/Alacant;Total;2012;15.206
03 Alicante/Alacant;Total;2011;14.248
03 Alicante/Alacant;Total;2010;13.993
03 Alicante/Alacant;Total;2009;13.682
03 Alicante/Alacant;Total;2008;13.866
03 Alicante/Alacant;Total;2007;13.739
03 Alicante/Alacant;Total;2006;13.175
03 Alicante/Alacant;Total;2005;13.527
03 Alicante/Alacant;Total;2004;13.004
03 Alicante/Alacant;Total;2003;13.380
03 Alicante/Alacant;Total;2002;12.552
03 Alicante/Alacant;Total;2001;12.466
03 Alicante/Alacant;Total;2000;11.963
03 Alicante/Alacant;Total;1999;12.231
03 Alicante/Alacant;Total;1998;11.584
03 Alicante/Alacant;Total;1997;11.457
03 Alicante/Alacant;Total;1996;11.151
03 Alicante/Alacant;Total;1995;10.924
03 Alicante/Alacant;Total;1994;10.788
03 Alicante/Alacant;Total;1993;10.765
03 Alicante/Alacant;Total;1992;10.337
03 Alicante/Alacant;Total;1991;10.461
03 Alicante/Alacant;Total;1990;10.520
03 Alicante/Alacant;Total;1989;10.378
03 Alicante/Alacant;Total;1988;10.227
03 Alicante/Alacant;Total;1987;9.547
03 Alicante/Alacant;Total;1986;9.584
03 Alicante/Alacant;Total;1985;9.388
03 Alicante/Alacant;Total;1984;8.843
03 Alicante/Alacant;Total;1983;9.217
03 Alicante/Alacant;Total;1982;9.120
03 Alicante/Alacant;Total;1981;9.055
03 Alicante/Alacant;Total;1980;9.028
03 Alicante/Alacant;Total;1979;9.157
03 Alicante/Alacant;Total;1978;9.253
03 Alicante/Alacant;Total;1977;8.994
03 Alicante/Alacant;Total;1976;9.066
03 Alicante/Alacant;Total;1975;9.037
03 Alicante/Alacant;Hombres;2018;8.500
03 Alicante/Alacant;Hombres;2017;8.370
03 Alicante/Alacant;Hombres;2016;7.910
03 Alicante/Alacant;Hombres;2015;8.311
03 Alicante/Alacant;Hombres;2014;7.754
03 Alicante/Alacant;Hombres;2013;7.610
03 Alicante/Alacant;Hombres;2012;8.098
03 Alicante/Alacant;Hombres;2011;7.534
03 Alicante/Alacant;Hombres;2010;7.409
03 Alicante/Alacant;Hombres;2009;7.287
03 Alicante/Alacant;Hombres;2008;7.552
03 Alicante/Alacant;Hombres;2007;7.444
03 Alicante/Alacant;Hombres;2006;7.068
03 Alicante/Alacant;Hombres;2005;7.201
03 Alicante/Alacant;Hombres;2004;6.971
03 Alicante/Alacant;Hombres;2003;7.083
03 Alicante/Alacant;Hombres;2002;6.818
03 Alicante/Alacant;Hombres;2001;6.751
03 Alicante/Alacant;Hombres;2000;6.469
03 Alicante/Alacant;Hombres;1999;6.640
03 Alicante/Alacant;Hombres;1998;6.148
03 Alicante/Alacant;Hombres;1997;6.224
03 Alicante/Alacant;Hombres;1996;6.042
03 Alicante/Alacant;Hombres;1995;5.890
03 Alicante/Alacant;Hombres;1994;5.775
03 Alicante/Alacant;Hombres;1993;5.723
03 Alicante/Alacant;Hombres;1992;5.633
03 Alicante/Alacant;Hombres;1991;5.665
03 Alicante/Alacant;Hombres;1990;5.593
03 Alicante/Alacant;Hombres;1989;5.464
03 Alicante/Alacant;Hombres;1988;5.434
03 Alicante/Alacant;Hombres;1987;5.084
03 Alicante/Alacant;Hombres;1986;5.033
03 Alicante/Alacant;Hombres;1985;5.087
03 Alicante/Alacant;Hombres;1984;4.771
03 Alicante/Alacant;Hombres;1983;4.807
03 Alicante/Alacant;Hombres;1982;4.801
03 Alicante/Alacant;Hombres;1981;4.761
03 Alicante/Alacant;Hombres;1980;4.760
03 Alicante/Alacant;Hombres;1979;4.852
03 Alicante/Alacant;Hombres;1978;4.773
03 Alicante/Alacant;Hombres;1977;4.763
03 Alicante/Alacant;Hombres;1976;4.785
03 Alicante/Alacant;Hombres;1975;4.769
03 Alicante/Alacant;Mujeres;2018;7.770
03 Alicante/Alacant;Mujeres;2017;7.604
03 Alicante/Alacant;Mujeres;2016;7.245
03 Alicante/Alacant;Mujeres;2015;7.542
03 Alicante/Alacant;Mujeres;2014;7.123
03 Alicante/Alacant;Mujeres;2013;6.931
03 Alicante/Alacant;Mujeres;2012;7.108
03 Alicante/Alacant;Mujeres;2011;6.714
03 Alicante/Alacant;Mujeres;2010;6.584
03 Alicante/Alacant;Mujeres;2009;6.395
03 Alicante/Alacant;Mujeres;2008;6.314
03 Alicante/Alacant;Mujeres;2007;6.295
03 Alicante/Alacant;Mujeres;2006;6.107
03 Alicante/Alacant;Mujeres;2005;6.326
03 Alicante/Alacant;Mujeres;2004;6.033
03 Alicante/Alacant;Mujeres;2003;6.297
03 Alicante/Alacant;Mujeres;2002;5.734
03 Alicante/Alacant;Mujeres;2001;5.715
03 Alicante/Alacant;Mujeres;2000;5.494
03 Alicante/Alacant;Mujeres;1999;5.591
03 Alicante/Alacant;Mujeres;1998;5.436
03 Alicante/Alacant;Mujeres;1997;5.233
03 Alicante/Alacant;Mujeres;1996;5.109
03 Alicante/Alacant;Mujeres;1995;5.034
03 Alicante/Alacant;Mujeres;1994;5.013
03 Alicante/Alacant;Mujeres;1993;5.042
03 Alicante/Alacant;Mujeres;1992;4.704
03 Alicante/Alacant;Mujeres;1991;4.796
03 Alicante/Alacant;Mujeres;1990;4.927
