"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","AUS","Australia","2010","2010",143473,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","AUS","Australia","2011","2011",146932,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","AUS","Australia","2012","2012",147098,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","AUS","Australia","2013","2013",147678,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","AUS","Australia","2014","2014",153580,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","AUS","Australia","2015","2015",159052,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","AUS","Australia","2016","2016",158504,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","AUT","Austria","2010","2010",77199,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","AUT","Austria","2011","2011",76479,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","AUT","Austria","2012","2012",79436,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","AUT","Austria","2013","2013",79526,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","AUT","Austria","2014","2014",78252,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","AUT","Austria","2015","2015",83073,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","AUT","Austria","2016","2016",80669,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","AUT","Austria","2017","2017",83270,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","BEL","Belgium","2010","2010",105152,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","BEL","Belgium","2011","2011",104292,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","BEL","Belgium","2012","2012",109076,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","BEL","Belgium","2013","2013",109334,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","BEL","Belgium","2014","2014",104755,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","BEL","Belgium","2015","2015",110541,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","BEL","Belgium","2016","2016",108097,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","CAN","Canada","2010","2010",240075,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","CAN","Canada","2011","2011",242074,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","CAN","Canada","2012","2012",246596,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","CAN","Canada","2013","2013",252338,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","CAN","Canada","2014","2014",258821,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","CAN","Canada","2015","2015",264333,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","CZE","Czech Republic","2010","2010",106844,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","CZE","Czech Republic","2011","2011",106848,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","CZE","Czech Republic","2012","2012",108189,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","CZE","Czech Republic","2013","2013",109160,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","CZE","Czech Republic","2014","2014",105665,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","CZE","Czech Republic","2015","2015",111173,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","CZE","Czech Republic","2016","2016",107750,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","CZE","Czech Republic","2017","2017",111443,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","DNK","Denmark","2010","2010",54027,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","DNK","Denmark","2011","2011",52205,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","DNK","Denmark","2012","2012",52011,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","DNK","Denmark","2013","2013",52182,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","DNK","Denmark","2014","2014",50993,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","DNK","Denmark","2015","2015",52224,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","FIN","Finland","2010","2010",50910,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","FIN","Finland","2011","2011",50568,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","FIN","Finland","2012","2012",51737,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","FIN","Finland","2013","2013",51478,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","FIN","Finland","2014","2014",52409,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","FIN","Finland","2015","2015",52302,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","FIN","Finland","2016","2016",53964,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","FRA","France","2010","2010",541576,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","FRA","France","2011","2011",536628,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","FRA","France","2012","2012",558452,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","FRA","France","2013","2013",556031,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","FRA","France","2014","2014",544618,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","FRA","France","2015","2015",579891,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","DEU","Germany","2010","2010",858768,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","DEU","Germany","2011","2011",852328,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","DEU","Germany","2012","2012",869582,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","DEU","Germany","2013","2013",893825,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","DEU","Germany","2014","2014",868356,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","DEU","Germany","2015","2015",925200,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","DEU","Germany","2016","2016",910899,,
"CICDALLC","All causes of death","NBPOPUPC","Number of total deaths","GRC","Greece","2010","2010",109084,,
