,,,,,,,,
"Statistical table extracted on July 26, 2020 (01:08:57)",,,,,,,,
http://www.ine.pt,,,,,,,,
,,,,,,,,
,,,,,,,,
Data reference period,Place of residence (NUTS - 2013),,"Deaths (No.) by Place of residence (NUTS - 2013), Sex and Age group; Weekly",,,,,
,,,Sex,,,,,
,,,MF,,M,,F,
,,,Age group,,,,,
,,,Total,,,,,
,,,No. ,,No. ,,No. ,
27th Week 2020,Total,T,1980,//,987,//,993,//
,Portugal,PT,1976,//,985,//,991,//
,Foreigner,YY,4,//,2,//,2,//
26th Week 2020,Total,T,2089,//,1049,//,1040,//
,Portugal,PT,2082,//,1043,//,1039,//
,Foreigner,YY,7,//,6,//,1,//
25th Week 2020,Total,T,1925,//,987,//,938,//
,Portugal,PT,1919,//,981,//,938,//
,Foreigner,YY,6,//,6,//,0,//
24th Week 2020,Total,T,1851,//,910,//,941,//
,Portugal,PT,1847,//,908,//,939,//
,Foreigner,YY,4,//,2,//,2,//
23th Week 2020,Total,T,2008,//,985,//,1023,//
,Portugal,PT,2001,//,979,//,1022,//
,Foreigner,YY,7,//,6,//,1,//
22th Week 2020,Total,T,2315,//,1125,//,1190,//
,Portugal,PT,2309,//,1121,//,1188,//
,Foreigner,YY,6,//,4,//,2,//
21th Week 2020,Total,T,2060,//,1071,//,989,//
,Portugal,PT,2056,//,1068,//,988,//
,Foreigner,YY,4,//,3,//,1,//
20th Week 2020,Total,T,2055,//,1019,//,1036,//
,Portugal,PT,2051,//,1017,//,1034,//
,Foreigner,YY,4,//,2,//,2,//
19th Week 2020,Total,T,2168,//,1063,//,1105,//
,Portugal,PT,2160,//,1056,//,1104,//
,Foreigner,YY,8,//,7,//,1,//
18th Week 2020,Total,T,2169,//,1068,//,1101,//
,Portugal,PT,2164,//,1063,//,1101,//
,Foreigner,YY,5,//,5,//,0,//
17th Week 2020,Total,T,2308,//,1096,//,1212,//
,Portugal,PT,2306,//,1094,//,1212,//
,Foreigner,YY,2,//,2,//,0,//
16th Week 2020,Total,T,2386,//,1152,//,1234,//
,Portugal,PT,2383,//,1150,//,1233,//
,Foreigner,YY,3,//,2,//,1,//
15th Week 2020,Total,T,2610,//,1305,//,1305,//
,Portugal,PT,2605,//,1302,//,1303,//
,Foreigner,YY,5,//,3,//,2,//
