Any,CCAA,Total
2019,01 Andalucía,8414240
2018,01 Andalucía,8384408
2017,01 Andalucía,8379820
2016,01 Andalucía,8388107
2015,01 Andalucía,8399043
2014,01 Andalucía,8402305
2013,01 Andalucía,8440300
2012,01 Andalucía,8449985
2011,01 Andalucía,8424102
2010,01 Andalucía,8370975
2009,01 Andalucía,8302923
2008,01 Andalucía,8202220
2007,01 Andalucía,8059461
2006,01 Andalucía,7975672
2005,01 Andalucía,7849799
2004,01 Andalucía,7687518
2003,01 Andalucía,7606848
2002,01 Andalucía,7478432
2001,01 Andalucía,7403968
2000,01 Andalucía,7340052
1999,01 Andalucía,7305117
1998,01 Andalucía,7236459
2019,02 Aragón,1319291
2018,02 Aragón,1308728
2017,02 Aragón,1308750
2016,02 Aragón,1308563
2015,02 Aragón,1317847
2014,02 Aragón,1325385
2013,02 Aragón,1347150
2012,02 Aragón,1349467
2011,02 Aragón,1346293
2010,02 Aragón,1347095
2009,02 Aragón,1345473
2008,02 Aragón,1326918
2007,02 Aragón,1296655
2006,02 Aragón,1277471
2005,02 Aragón,1269027
2004,02 Aragón,1249584
2003,02 Aragón,1230090
2002,02 Aragón,1217514
2001,02 Aragón,1199753
2000,02 Aragón,1189909
1999,02 Aragón,1186849
1998,02 Aragón,1183234
2019,03 Principado de Asturias,1022800
2018,03 Principado de Asturias,1028244
2017,03 Principado de Asturias,1034960
2016,03 Principado de Asturias,1042608
2015,03 Principado de Asturias,1051229
2014,03 Principado de Asturias,1061756
2013,03 Principado de Asturias,1068165
2012,03 Principado de Asturias,1077360
2011,03 Principado de Asturias,1081487
2010,03 Principado de Asturias,1084341
2009,03 Principado de Asturias,1085289
2008,03 Principado de Asturias,1080138
2007,03 Principado de Asturias,1074862
2006,03 Principado de Asturias,1076896
2005,03 Principado de Asturias,1076635
2004,03 Principado de Asturias,1073761
2003,03 Principado de Asturias,1075381
2002,03 Principado de Asturias,1073971
2001,03 Principado de Asturias,1075329
2000,03 Principado de Asturias,1076567
1999,03 Principado de Asturias,1084314
1998,03 Principado de Asturias,1081834
2019,04 Illes Balears,1149460
2018,04 Illes Balears,1128908
2017,04 Illes Balears,1115999
2016,04 Illes Balears,1107220
2015,04 Illes Balears,1104479
2014,04 Illes Balears,1103442
2013,04 Illes Balears,1111674
2012,04 Illes Balears,1119439
2011,04 Illes Balears,1113114
2010,04 Illes Balears,1106049
2009,04 Illes Balears,1095426
2008,04 Illes Balears,1072844
2007,04 Illes Balears,1030650
2006,04 Illes Balears,1001062
2005,04 Illes Balears,983131
2004,04 Illes Balears,955045
2003,04 Illes Balears,947361
2002,04 Illes Balears,916968
2001,04 Illes Balears,878627
2000,04 Illes Balears,845630
1999,04 Illes Balears,821820
1998,04 Illes Balears,796483
2019,05 Canarias,2153389
2018,05 Canarias,2127685
2017,05 Canarias,2108121
2016,05 Canarias,2101924
2015,05 Canarias,2100306
2014,05 Canarias,2104815
2013,05 Canarias,2118679
2012,05 Canarias,2118344
2011,05 Canarias,2126769
2010,05 Canarias,2118519
2009,05 Canarias,2103992
2008,05 Canarias,2075968
2007,05 Canarias,2025951
2006,05 Canarias,1995833
2005,05 Canarias,1968280
2004,05 Canarias,1915540
2003,05 Canarias,1894868
2002,05 Canarias,1843755
2001,05 Canarias,1781366
2000,05 Canarias,1716276
1999,05 Canarias,1672689
1998,05 Canarias,1630015
2019,06 Cantabria,581078
2018,06 Cantabria,580229
2017,06 Cantabria,580295
2016,06 Cantabria,582206
2015,06 Cantabria,585179
2014,06 Cantabria,588656
2013,06 Cantabria,591888
