Fecha;2020-02-19;2020-03-24;2020-04-28;2020-06-02;2020-07-29;2020-08-20;2020-09-21;2020-10-23;2020-11-20;2020-12-17;2021-01-22
1987;304044;304044;304044;304044;304044;304044;304044;304044;304044;304044;304044
1988;314664;314664;314664;314664;314664;314664;314664;314664;314664;314664;314664
1989;323066;323066;323066;323066;323066;323066;323066;323066;323066;323066;323066
1990;330594;330594;330594;330594;330594;330594;330594;330594;330594;330594;330594
1991;334583;334583;334583;334583;334583;334583;334583;334583;334583;334583;334583
1992;325319;325319;325319;325319;325319;325319;325319;325319;325319;325321;325321
1993;334693;334693;334693;334693;334693;334693;334693;334693;334693;334693;334693
1994;331269;331269;331269;331269;331269;331269;331269;331269;331269;331269;331269
1995;338457;338457;338457;338457;338457;338457;338457;338457;338457;338459;338459
1996;329881;329881;329881;329881;329881;329881;329881;329881;329881;329881;329881
1997;349532;349532;349532;349532;349532;349533;349533;349533;349533;349533;349533
1998;360485;360485;360485;360485;360485;360485;360485;360485;360485;360485;360485
1999;371623;371623;371623;371623;371623;371623;371623;371623;371623;371624;371624
2000;360367;360367;360367;360367;360367;360368;360368;360368;360368;360369;360369
2001;333640;333640;333640;333640;333640;333640;333640;333640;333640;333640;333640
2002;327638;327638;327638;327638;327638;327639;327639;327639;327639;327639;327639
2003;384186;384186;384186;384186;384186;384186;384186;384186;384186;384188;384188
2004;372564;372564;372564;372564;372564;372564;372564;372564;372564;372564;372564
2005;373386;373386;373387;373387;373387;373387;373387;373387;373387;373387;373387
2006;372622;372623;372626;372626;372626;372626;372626;372626;372626;372626;372626
2007;386886;386886;386887;386887;386887;386887;386887;386887;386887;386887;386887
2008;385492;385492;385492;385492;385492;385492;385492;385492;385492;385493;385493
2009;383009;383009;383009;383009;383009;383009;383009;383009;383009;383010;383010
2010;383407;383410;383414;383414;383417;383419;383420;383420;383421;383421;383421
2011;388800;388802;388802;388802;388802;388802;388802;388802;388802;388804;388804
2012;403938;403941;403942;403942;403942;403942;403942;403942;403942;403943;403943
2013;388460;388462;388463;388463;388463;388465;388465;388465;388465;388467;388467
2014;395653;395656;395656;395656;395656;395657;395657;395659;395659;395659;395659
2015;423011;423011;423011;423011;423012;423012;423012;423012;423012;423014;423014
2016;409349;409353;409355;409355;409355;409357;409358;409359;409360;409363;409364
2017;422123;422126;422128;422128;422129;422130;422130;422133;422136;422142;422150
2018;427893;427909;427910;427914;427941;427942;427956;427957;427959;427967;427971
2019;394304;410932;411600;414216;416317;416434;416480;416602;416637;418556;418574
2020;77;22822;31914;51924;181777;229887;260576;305802;328499;366163;401359
