01 Andalucía;2020-02;0
02 Aragón;2020-02;0
03 Asturias, Principado de;2020-02;0
04 Balears, Illes;2020-02;0
05 Canarias;2020-02;0
06 Cantabria;2020-02;0
08 Castilla - La Mancha;2020-02;0
07 Castilla y León;2020-02;0
09 Cataluña;2020-02;0
18 Ceuta;2020-02;0
10 Comunitat Valenciana;2020-02;0
11 Extremadura;2020-02;0
12 Galicia;2020-02;0
13 Madrid, Comunidad de;2020-02;0
19 Melilla;2020-02;0
14 Murcia, Región de;2020-02;0
15 Navarra, Comunidad Foral de;2020-02;0
16 País Vasco;2020-02;0
17 Rioja, La;2020-02;0
01 Andalucía;2020-03;308
02 Aragón;2020-03;169
03 Asturias, Principado de;2020-03;75
04 Balears, Illes;2020-03;46
05 Canarias;2020-03;62
06 Cantabria;2020-03;54
08 Castilla - La Mancha;2020-03;774
07 Castilla y León;2020-03;585
09 Cataluña;2020-03;1458
18 Ceuta;2020-03;1
10 Comunitat Valenciana;2020-03;395
11 Extremadura;2020-03;152
12 Galicia;2020-03;103
13 Madrid, Comunidad de;2020-03;3865
19 Melilla;2020-03;1
14 Murcia, Región de;2020-03;37
15 Navarra, Comunidad Foral de;2020-03;130
16 País Vasco;2020-03;369
17 Rioja, La;2020-03;90
01 Andalucía;2020-04;930
02 Aragón;2020-04;580
03 Asturias, Principado de;2020-04;189
04 Balears, Illes;2020-04;147
05 Canarias;2020-04;74
06 Cantabria;2020-04;138
08 Castilla - La Mancha;2020-04;1724
07 Castilla y León;2020-04;1185
09 Cataluña;2020-04;3603
18 Ceuta;2020-04;3
10 Comunitat Valenciana;2020-04;850
11 Extremadura;2020-04;299
12 Galicia;2020-04;455
13 Madrid, Comunidad de;2020-04;4357
19 Melilla;2020-04;1
14 Murcia, Región de;2020-04;95
15 Navarra, Comunidad Foral de;2020-04;328
16 País Vasco;2020-04;943
17 Rioja, La;2020-04;243
01 Andalucía;2020-05;137
02 Aragón;2020-05;99
03 Asturias, Principado de;2020-05;43
04 Balears, Illes;2020-05;28
05 Canarias;2020-05;19
06 Cantabria;2020-05;17
08 Castilla - La Mancha;2020-05;421
07 Castilla y León;2020-05;190
09 Cataluña;2020-05;960
18 Ceuta;2020-05;0
10 Comunitat Valenciana;2020-05;138
11 Extremadura;2020-05;54
12 Galicia;2020-05;50
13 Madrid, Comunidad de;2020-05;709
19 Melilla;2020-05;0
14 Murcia, Región de;2020-05;17
15 Navarra, Comunidad Foral de;2020-05;48
16 País Vasco;2020-05;171
17 Rioja, La;2020-05;21
