Fecha,2013-02-22,2013-03-25,2013-04-25,2013-06-11,2013-09-11,2013-09-26,2013-11-04,2014-02-10,2014-02-20,2014-03-20,2014-05-05,2014-05-21,2014-07-01,2014-07-21,2014-09-26,2014-11-28,2015-01-14,2015-01-27,2015-03-25,2015-04-24,2015-05-22,2015-06-24,2015-07-30,2015-09-21,2015-10-22,2015-11-24,2015-12-16,2016-01-25,2016-02-26,2016-04-16,2016-05-26,2016-06-26,2016-08-10,2016-09-23,2016-11-18,2017-01-18,2017-03-03,2017-05-10,2017-06-30,2017-09-01,2017-11-02,2017-11-27,2017-12-14,2017-12-20,2018-01-22,2018-02-28,2018-04-12,2018-05-11,2018-06-19,2018-08-01,2018-08-16,2018-09-28,2018-10-18,2018-11-21,2018-12-20,2019-01-18,2019-02-25,2019-03-25,2019-05-05,2019-05-21,2019-06-19,2019-07-26,2019-10-09,2019-11-20,2020-01-29,2020-02-19,2020-03-24,2020-04-28,2020-06-02,2020-07-29,2020-08-20,2020-09-21,2020-10-23,2020-11-20,2020-12-17,2021-01-22,2021-02-19,2021-03-23,2021-04-23,2021-05-21,2021-06-22,2021-07-21,2021-08-27,2021-09-22,2021-10-22,2021-11-18,2021-12-21,2022-01-21,2022-02-22,2022-03-18,2022-04-20,2022-05-24,2022-06-18,2022-07-20,2022-08-18,2022-09-20
1987,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044,304044
1988,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314663,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314664,314665,314665,314665,314665,314665,314665,314665,314665,314665,314665,314665
1989,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323063,323064,323064,323064,323064,323064,323064,323064,323064,323064,323064,323064,323064,323064,323064,323064,323064,323064,323064,323064,323064,323064,323065,323065,323065,323065,323065,323065,323065,323065,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066,323066
1990,330591,330591,330591,330591,330591,330591,330591,330591,330591,330591,330591,330591,330591,330591,330591,330591,330591,330591,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330592,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330594,330595,330595,330595,330595,330595,330595,330595,330595,330595,330595,330595,330595,330595,330595,330595,330595,330595,330595
1991,334580,334580,334580,334580,334580,334580,334580,334580,334580,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334581,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583,334583
1992,325317,325317,325317,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325318,325319,325319,325319,325319,325319,325319,325319,325319,325319,325319,325319,325319,325319,325319,325319,325319,325319,325319,325319,325319,325319,325319,325321,325321,325321,325321,325321,325321,325321,325321,325321,325321,325321,325321,325321,325321,325321,325321,325321,325321,325321,325321,325321,325321
1993,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334691,334692,334692,334692,334692,334692,334692,334692,334692,334692,334692,334692,334692,334692,334692,334692,334692,334692,334692,334692,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693,334693
1994,331267,331267,331267,331267,331267,331267,331267,331267,331267,331267,331267,331268,331268,331269,331268,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269,331269
1995,338451,338451,338451,338451,338451,338451,338451,338451,338451,338451,338451,338452,338452,338452,338452,338452,338452,338452,338452,338452,338452,338452,338452,338452,338453,338453,338453,338453,338453,338453,338453,338453,338453,338454,338454,338454,338454,338454,338454,338454,338454,338454,338454,338454,338454,338454,338454,338454,338454,338455,338455,338455,338455,338456,338456,338456,338456,338456,338456,338456,338456,338456,338456,338457,338457,338457,338457,338457,338457,338457,338457,338457,338457,338457,338459,338459,338459,338459,338459,338459,338459,338459,338459,338459,338459,338459,338459,338459,338459,338459,338459,338459,338459,338459,338459,338459
1996,329869,329869,329869,329869,329869,329869,329869,329871,329871,329871,329871,329871,329872,329872,329872,329872,329872,329872,329872,329872,329872,329872,329872,329872,329874,329874,329874,329874,329874,329874,329874,329874,329874,329875,329876,329877,329877,329878,329878,329878,329878,329878,329878,329878,329878,329878,329878,329878,329878,329878,329878,329878,329878,329879,329880,329880,329880,329880,329880,329880,329880,329880,329880,329880,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881,329881
