;zscore;nbc;pnb;excess;si;hnr;lnr;Austria;Belgium;Denmark;Estonia;Finland;France;Germany (Berlin);Germany (Hesse);Hungary;Ireland;Italy;Luxembourg;Malta;Netherlands;Norway;Portugal;Spain;Sweden;Switzerland;UK (England);UK (Northern Ireland);UK (Scotland);UK (Wales)
2015-01;;;;;;;;;;3.26;;;3.61;;;0.85;0.57;3.25;0.49;2.13;;;7.86;;;2.72;;;;
2015-02;;;;;;;;;;2.9;;;4.92;;;1.4;2.52;5.43;0.75;2.85;;;9.96;;;4.04;;;;
2015-03;;;;;;;;;;2.24;;;3.81;;;1.12;2.1;4.22;0.26;2.79;;;10.96;;;4.59;;;;
2015-04;;;;;;;;;;1.2;;;2.99;;;1.39;1.15;3.26;1.29;0.61;;;10.01;;;3.76;;;;
2015-05;;;;;;;;;;1.43;;;5.11;;;1.67;2.52;3.46;2.02;1.82;;;8.3;;;5.89;;;;
2015-06;;;;;;;;;;2.8;;;7.75;;;2.44;1.88;5;1.68;1.19;;;8.02;;;7.2;;;;
2015-07;;;;;;;;;;2.55;;;9.95;;;2.29;2.03;4.89;1.43;2.68;;;9.02;;;10.06;;;;
2015-08;;;;;;;;6.65;5.87;3.42;;-0.79;9.49;;;2.53;2.77;4.82;3.26;3.37;4.23;;6.22;10.05;;9.64;;;;
2015-09;;;;;;;;5.09;4.59;4.27;;0.29;7.24;;;2.01;2.7;3.01;1.03;2.92;2.62;;6.57;8.23;;9.06;;;;
2015-10;;;;;;;;4.65;2.71;5.1;;0.7;4.84;;;1.56;2.81;2.47;3.39;0.91;2.94;;4.05;5.71;;5.86;;;;
2015-11;;;;;;;;3.47;1.87;4.53;;-0.88;3.21;;;1.13;1.71;1.63;0.94;3.03;1.76;;2.81;3.51;;5.94;;;;
2015-12;;;;;;;;2.73;2;1.83;;-1.65;2.13;;;1.11;1.61;1.48;-0.01;1.65;1.59;;2.67;1.78;;4.06;;;;
2015-13;;;;;;;;3.21;1.1;2.5;;-1.53;1.8;;;0.94;1.85;0.59;1.66;1.18;2.22;;0.66;2.09;;1.33;;;;
2015-14;;;;;;;;1.59;-0.06;0.98;;0.55;0.12;;;0.83;1.12;0.65;2.13;0.46;-0.2;;1.92;1.87;;1.75;;;;
2015-15;;;;;;;;1.26;1.33;2.09;;0.76;1.02;;;0.8;1;1.22;0.39;1.1;0.59;;-0.69;0.43;;0.38;;;;
2015-16;;;;;;;;2.33;0.77;1.55;;0.23;0.27;;;0.82;0.09;1.65;0.88;0.14;0.99;;-0.51;0.66;;1.83;;;;
2015-17;;;;;;;;1.32;-0.06;-1.44;;1.41;0.19;;;0.85;0.21;-0.24;-0.01;-0.9;0.59;;-1.83;0.68;;0.51;;;;
2015-18;;;;;;;;0;-0.86;0.52;;0.4;-0.32;;;0.51;0.44;0.52;-0.95;0.06;-0.98;;-1.43;-1.07;;2.09;;;;
2015-19;;;;;;;;0.29;0.09;-0.13;;0.61;-0.26;;;0.42;0.11;0.43;-0.21;-0.99;0.11;;0.3;-0.19;;-0.3;;;;
2015-20;;;;;;;;0.59;-0.6;-1.56;;-1.19;-1.26;;;-0.03;1.77;-0.54;-1.41;-1.57;0.15;;0.1;0.53;;-0.32;;;;
2015-21;;;;;;;;-0.25;-0.69;0.18;;-0.78;-1.19;;;-0.06;0.51;-0.84;-0.77;1.06;-1.44;;-1.12;-0.62;;-0.68;;;;
2015-22;;;;;;;;-1.96;-0.91;0.46;;-0.22;-0.58;;;-0.37;0.52;-0.87;0.74;-0.74;0;;0.98;-0.99;;-1.22;;;;
2015-23;;;;;;;;0.55;-0.12;0.03;;-0.95;1.22;;;0.49;-0.93;2.35;0.47;0.25;-0.52;;-0.03;0.61;;0.62;;;;
2015-24;;;;;;;;1.73;0.8;2.05;;-0.31;0.22;;;0.04;0.39;0.99;0.07;0.95;0.74;;-0.56;0.13;;0.7;;;;
2015-25;;;;;;;;-1.8;-0.38;-1.1;;1.04;-0.58;;;-0.77;-0.07;-0.81;0.66;-1.03;-0.54;;0.39;-0.66;;-0.82;;;;
2015-26;;;;;;;;-0.25;-0.42;-1.43;;-0.12;1.3;;;-0.46;-0.62;-0.69;-1.13;-0.95;-0.52;;-0.96;0.2;;1.53;;;;
2015-27;;;;;;;;1.71;5.33;0.11;;2.35;5.37;;;0.3;-0.27;1.36;1.14;-0.62;3.29;;-1.3;4.95;;3.8;;;;
2015-28;;;;;;;;1.62;0.24;0.36;;-0.54;1.76;;;0.64;-0.07;4.44;2.2;0.21;0.23;;0.12;6.2;;5.22;;;;
2015-29;;;;;;;;1.57;-1.07;-0.39;;-0.46;1.05;;;0.18;-0.6;4.84;-0.04;-1.06;0.06;;0.14;5.55;;3.81;;;;
2015-30;;;;;;;;4.12;-1.77;0.71;;-0.57;0.12;;;0.99;-2.02;6.18;-0.95;1.42;-0.11;;-0.36;4.09;;1.03;;;;
2015-31;;;;;;;;1.16;-1.38;0.33;;-1.04;-0.95;;;-1.06;-1.49;1.12;0.94;1.21;-0.82;;0.14;2.32;;0.19;;;;
2015-32;;;;;;;;2.09;1.57;-0.16;;-1.23;2.06;;;0.12;0.27;2.15;-0.51;0.35;-0.19;;0.45;1.48;;1.84;;;;
2015-33;;;;;;;;4.99;-0.41;0.56;;0.89;0.13;;;1.33;1.15;1.27;0.8;-0.16;-0.45;;-0.41;1.12;;1.28;;;;
2015-34;;;;;;;;-0.47;-1.7;-0.51;;0.56;-0.78;;;-1.23;0.97;-0.84;0.98;-1.11;-0.64;;0.06;-0.4;;0.16;;;;
2015-35;;;;;;;;1.22;0.23;-0.95;;0.5;-0.31;;;-0.34;-1.6;-0.99;0.18;0.98;-0.7;;-0.82;0.37;;0.47;;;;
2015-36;;;;;;;;-0.43;-1.64;-1.67;;-0.52;-1.41;;;-0.56;1.06;1.02;-0.09;0.58;-1.08;;0.25;-1.32;;-0.19;;;;
