Mes,1999,2000,2005,2009,2012,2014,2015,2017,2018,2019,2020,2021,2022,2023
Gener,40691,42568,48081,42003,40005,40362,47269,49370,47911,44241,43571.1,52284.64,47298,44041.87
Febrer,39898,32201,37467,32614,43738,34834,42464,37434,39756,36826,36905.16,40780.64,39064.2,39914.6
Març,34486,30212,37528,33445,39292,35179,38987,35779,39772,35154,58754.69,36999,38216.23,40192.41
Abril,28878,29357,30311,31139,32940,31894,33686,33208,34956,34070,60819.65,34648.31,36972.11,34729.09
Maig,28011,28493,29837,31297,32297,31540,32706,33673,33421,33734,35348.01,34205.81,38145.89,28209.68
Juny,25938,27470,28559,29381,29362,30655,31078,32236,31970,31764,30962.35,32498.06,37163.05,
Juliol,28160,27960,28647,29872,29599,30999,35628,31924,32215,33383,34970.77,35309.95,44796.56,
Agost,27995,27875,27687,30224,30683,30335,31220,32356,33177,31453,36253.17,38197.32,38582.25,
Setembre,25750,25686,26456,27716,28116,29087,28863,30049,30293,29665,35038.47,32952.07,32521.84,
Octubre,28039,28793,29144,30764,30323,32011,31898,32680,32879,31885,40245.78,34721.96,35537.18,
Novembre,29342,29113,29657,30940,31804,32466,32346,34149,34338,33523,42920.51,37078.89,35729.25,
Desembre,33914,30663,33981,35538,34791,36468,36423,41665,37033,34582,42269.11,42376.68,42574.51,
