Mes,INE,MoMo
Gener\n2015,,47855.64
Febrer\n2015,,42902.82
Març\n2015,,39409.9
Abril\n2015,,34044.12
Maig\n2015,,33041.51
Juny\n2015,,31361.12
Juliol\n2015,,35788.77
Agost\n2015,,31382.24
Setembre\n2015,,29112.43
Octubre\n2015,,32248.62
Novembre\n2015,,32753.82
Desembre\n2015,,36857.62
Gener\n2016,,38869.67
Febrer\n2016,,35965.44
Març\n2016,,38653.42
Abril\n2016,,34186.09
Maig\n2016,,33364.04
Juny\n2016,,31860.58
Juliol\n2016,,33233.41
Agost\n2016,,32309.26
Setembre\n2016,,30336.01
Octubre\n2016,,32407.93
Novembre\n2016,,34114.12
Desembre\n2016,,39698.86
Gener\n2017,,49953.38
Febrer\n2017,,37803.39
Març\n2017,,36187.23
Abril\n2017,,33574
Maig\n2017,,34173.37
Juny\n2017,,32569.49
Juliol\n2017,,32183.55
Agost\n2017,,32575.3
Setembre\n2017,,30378.1
Octubre\n2017,,33085.7
Novembre\n2017,,34604.24
Desembre\n2017,,42118.81
Gener\n2018,47911,48486.55
Febrer\n2018,39756,40242.73
Març\n2018,39772,40213.01
Abril\n2018,34956,35456.59
Maig\n2018,33421,33800.49
Juny\n2018,31970,32286.16
Juliol\n2018,32215,32488.74
Agost\n2018,33177,33405.45
Setembre\n2018,30293,30613.2
Octubre\n2018,32879,33262.57
Novembre\n2018,34338,34788.63
Desembre\n2018,37033,37533.59
Gener\n2019,44241,45216.88
Febrer\n2019,36826,38239.01
Març\n2019,35154,37609.04
Abril\n2019,34070,34771.26
Maig\n2019,33734,34385.73
Juny\n2019,31764,32211.81
Juliol\n2019,33383,33873.97
Agost\n2019,31453,31964.98
Setembre\n2019,29665,30308.37
Octubre\n2019,31885,33259.07
Novembre\n2019,33523,35259.92
Desembre\n2019,34582,37382.61
Gener\n2020,,43571.1
Febrer\n2020,,36905.16
Març\n2020,,58754.69
Abril\n2020,,60819.65
Maig\n2020,,35348.01
Juny\n2020,,30962.35
Juliol\n2020,,34970.77
Agost\n2020,,36253.17
Setembre\n2020,,35038.47
Octubre\n2020,,40245.78
Novembre\n2020,,42920.51
Desembre\n2020,,42269.11
Gener\n2021,,52284.64
Febrer\n2021,,40780.64
Març\n2021,,36999
Abril\n2021,,34648.31
Maig\n2021,,34205.81
Juny\n2021,,32498.06
Juliol\n2021,,35309.95
Agost\n2021,,38197.32
Setembre\n2021,,32952.07
Octubre\n2021,,34721.96
Novembre\n2021,,37078.89
Desembre\n2021,,42376.68
Gener\n2022,,47298
Febrer\n2022,,39064.2
Març\n2022,,38216.23
Abril\n2022,,36972.11
Maig\n2022,,38145.89
Juny\n2022,,37163.05
Juliol\n2022,,44796.56
Agost\n2022,,38582.25
Setembre\n2022,,32521.84
Octubre\n2022,,35537.18
Novembre\n2022,,35729.25
Desembre\n2022,,42574.51
Gener\n2023,,44011.07
Febrer\n2023,,39851.02
Març\n2023,,29292.36
Abril\n2023,,
Maig\n2023,,
Juny\n2023,,
Juliol\n2023,,
Agost\n2023,,
Setembre\n2023,,
Octubre\n2023,,
Novembre\n2023,,
Desembre\n2023,,
