Mes,INE,MoMo
Enero\n2015,,47855.64
Febrero\n2015,,42902.82
Marzo\n2015,,39409.9
Abril\n2015,,34044.12
Mayo\n2015,,33041.51
Junio\n2015,,31361.12
Julio\n2015,,35788.77
Agosto\n2015,,31382.24
Septiembre\n2015,,29112.43
Octubre\n2015,,32248.62
Noviembre\n2015,,32753.82
Diciembre\n2015,,36857.62
Enero\n2016,,38869.67
Febrero\n2016,,35965.44
Marzo\n2016,,38653.42
Abril\n2016,,34186.09
Mayo\n2016,,33364.04
Junio\n2016,,31860.58
Julio\n2016,,33233.41
Agosto\n2016,,32309.26
Septiembre\n2016,,30336.01
Octubre\n2016,,32407.93
Noviembre\n2016,,34114.12
Diciembre\n2016,,39698.86
Enero\n2017,,49953.38
Febrero\n2017,,37803.39
Marzo\n2017,,36187.23
Abril\n2017,,33574
Mayo\n2017,,34173.37
Junio\n2017,,32569.49
Julio\n2017,,32183.55
Agosto\n2017,,32575.3
Septiembre\n2017,,30378.1
Octubre\n2017,,33085.7
Noviembre\n2017,,34604.24
Diciembre\n2017,,42118.81
Enero\n2018,47911,48486.55
Febrero\n2018,39756,40242.73
Marzo\n2018,39772,40213.01
Abril\n2018,34956,35456.59
Mayo\n2018,33421,33800.49
Junio\n2018,31970,32286.16
Julio\n2018,32215,32488.74
Agosto\n2018,33177,33405.45
Septiembre\n2018,30293,30613.2
Octubre\n2018,32879,33262.57
Noviembre\n2018,34338,34788.63
Diciembre\n2018,37033,37533.59
Enero\n2019,44241,45216.88
Febrero\n2019,36826,38239.01
Marzo\n2019,35154,37609.04
Abril\n2019,34070,34771.26
Mayo\n2019,33734,34385.73
Junio\n2019,31764,32211.81
Julio\n2019,33383,33873.97
Agosto\n2019,31453,31964.98
Septiembre\n2019,29665,30308.37
Octubre\n2019,31885,33259.07
Noviembre\n2019,33523,35259.92
Diciembre\n2019,34582,37382.61
Enero\n2020,,43172.22
Febrero\n2020,,36676.83
Marzo\n2020,,58584.77
Abril\n2020,,60676.44
Mayo\n2020,,35278.9
Junio\n2020,,30902.14
Julio\n2020,,34871.01
Agosto\n2020,,36146.04
Septiembre\n2020,,34948.07
Octubre\n2020,,40235.85
Noviembre\n2020,,42860
Diciembre\n2020,,42173.57
Enero\n2021,,52616.62
Febrero\n2021,,41036.2
Marzo\n2021,,37235.42
Abril\n2021,,34869.5
Mayo\n2021,,34433.53
Junio\n2021,,32687.24
Julio\n2021,,35512.6
Agosto\n2021,,38407.14
Septiembre\n2021,,33128.48
Octubre\n2021,,34884.36
Noviembre\n2021,,37252.16
Diciembre\n2021,,42558.68
Enero\n2022,,47321.78
Febrero\n2022,,39082.55
Marzo\n2022,,38239.22
Abril\n2022,,36990.08
Mayo\n2022,,38161.71
Junio\n2022,,37192.67
Julio\n2022,,44813.87
Agosto\n2022,,38588.44
Septiembre\n2022,,32494.03
Octubre\n2022,,35526.42
Noviembre\n2022,,6046.27
Diciembre\n2022,,
