Fecha,2015,2016,2017,2018,2019,2020,2021,2022,INE2018
2020-01-01,1417.49,1229.54,1441.71,1550.48,1253.69,1234.57,1354.96,1391.17,1172
2020-01-02,1468,1175.75,1475.06,1576.37,1328.16,1295.89,1380.34,1407.4,1172
2020-01-03,1446.09,1196.79,1593.76,1608.3,1383.67,1297.03,1348.26,1384.59,1172
2020-01-04,1454.77,1230.74,1574.43,1712.5,1402.3,1317.14,1406.2,1515.87,1172
2020-01-05,1493.47,1287.96,1588.13,1748.86,1402.08,1270.81,1429.13,1396.69,1172
2020-01-06,1486.6,1235.98,1602.46,1645.41,1327.27,1239.68,1464.67,1361.35,1172
2020-01-07,1485.7,1288.43,1510.98,1539.63,1387.57,1255.72,1489.63,1437.97,1172
2020-01-08,1521.3,1271.59,1549.96,1647.13,1418.04,1414.44,1580.75,1491.44,1172
2020-01-09,1516.99,1273.25,1538.01,1636.68,1568.58,1352.69,1643.9,1415.98,1172
2020-01-10,1603.17,1220.5,1769.83,1650.98,1468.49,1456.1,1537.82,1533.03,1172
2020-01-11,1490.54,1285.31,1675.84,1512.16,1420.4,1424.39,1631.35,1489.89,1172
2020-01-12,1534.76,1268.63,1688.64,1675.32,1493.88,1343.85,1731.22,1526.26,1172
2020-01-13,1605.29,1235.42,1790.43,1558.03,1445.82,1338.37,1658.57,1544.92,1172
2020-01-14,1586.05,1292.67,1603.7,1464.05,1453.81,1423.13,1779.62,1612.94,1172
2020-01-15,1573.02,1298.67,1553.23,1556.3,1530.55,1431.41,1780.86,1530.09,1172
2020-01-16,1597.96,1316.78,1646.13,1550.61,1622.84,1418.44,1770.6,1530.34,1172
2020-01-17,1443.18,1152.79,1746.89,1729.28,1485.22,1567.09,1653.45,1476.6,1172
2020-01-18,1563.74,1221.84,1572.88,1589.29,1543.78,1457.98,1814.17,1506.48,1172
2020-01-19,1573.76,1301.36,1697.13,1686.21,1587.84,1368.7,1843.15,1640.42,1172
2020-01-20,1563.17,1289.06,1707.35,1542.56,1427,1306.76,1899.33,1613.53,1172
2020-01-21,1594.86,1287.01,1565.48,1471.65,1449.33,1471.61,1962.08,1636.96,1172
2020-01-22,1550.31,1327.39,1537.75,1517.44,1427.34,1468.22,1989.95,1581.09,1172
2020-01-23,1523.96,1339.07,1627.1,1593.06,1479.44,1437.71,1812.74,1465.28,1172
2020-01-24,1523.86,1224,1607.38,1540.98,1509.96,1488.51,1820.33,1599.76,1172
2020-01-25,1480.18,1226.92,1686.27,1595.35,1494.68,1416.01,1850.99,1654.27,1172
2020-01-26,1557.77,1235.62,1633.47,1540.03,1519.25,1373.03,1874.99,1626.55,1172
2020-01-27,1613.03,1241.75,1612.73,1377.62,1494.45,1418.46,1948.36,1673.15,1172
2020-01-28,1654.92,1281.08,1623.39,1312.4,1427.18,1436.66,1889.19,1608.7,1172
2020-01-29,1693.73,1210.49,1524.32,1424.09,1451.27,1480.66,1803.35,1616.84,1172
2020-01-30,1658.57,1217.86,1585.46,1480.05,1422.94,1481.33,1799.88,1526.77,1172
2020-01-31,1579.4,1205.42,1623.48,1453.73,1590.05,1485.83,1666.78,1525.45,1172
2020-02-01,1474.1,1279.5,1606.82,1508.29,1580.3,1387.55,1775.65,1613.54,1172
2020-02-02,1504.87,1192.79,1630.72,1469.81,1396.58,1350.04,1756.65,1594.2,1172
