Fecha,2018,2019,2020,2021,MoMoOld,INE2018
2020-01-01,,1166,1159,1283,1159,1172
2020-01-02,,1233,1224,1304,1224,1172
2020-01-03,,1270,1226,1275,1226,1172
2020-01-04,,1308,1240,1327,1240,1172
2020-01-05,,1305,1197,1359,1196,1172
2020-01-06,,1226,1166,1390,1166,1172
2020-01-07,,1291,1181,1409,1180,1172
2020-01-08,,1322,1333,1491,1332,1172
2020-01-09,,1450,1272,1555,1271,1172
2020-01-10,,1372,1376,1452,1375,1172
2020-01-11,,1316,1350,1544,1348,1172
2020-01-12,,1391,1259,1638,1256,1172
2020-01-13,,1343,1260,1569,1260,1172
2020-01-14,,1362,1337,1680,1337,1172
2020-01-15,,1429,1353,1681,1352,1172
2020-01-16,,1517,1332,1677,1332,1172
2020-01-17,,1376,1478,1568,1478,1172
2020-01-18,,1449,1377,1713,1376,1172
2020-01-19,,1484,1291,1747,1291,1172
2020-01-20,,1327,1231,1791,1231,1172
2020-01-21,,1357,1388,1855,1388,1172
2020-01-22,,1331,1389,1884,1388,1172
2020-01-23,,1375,1360,1716,1360,1172
2020-01-24,,1387,1403,1724,1402,1172
2020-01-25,,1385,1334,1746,1334,1172
2020-01-26,,1386,1295,1768,1295,1172
2020-01-27,,1371,1334,1837,1334,1172
2020-01-28,,1330,1354,1785,1354,1172
2020-01-29,,1364,1399,1700,1398,1172
2020-01-30,,1320,1395,1700,1394,1172
2020-01-31,,1491,1406,1569,1406,1172
2020-02-01,,1471,1314,1670,1312,1172
2020-02-02,,1307,1272,1655,1272,1172
2020-02-03,,1224,1284,1624,1284,1172
2020-02-04,,1256,1305,1596,1304,1172
2020-02-05,,1323,1303,1565,1302,1172
2020-02-06,,1391,1265,1536,1264,1172
2020-02-07,,1302,1270,1416,1270,1172
2020-02-08,,1392,1193,1400,1191,1172
2020-02-09,,1321,1151,1492,1150,1172
2020-02-10,,1188,1152,1536,1152,1172
2020-02-11,,1261,1236,1395,1235,1172
2020-02-12,,1269,1234,1503,1232,1172
2020-02-13,,1349,1285,1344,1284,1172
2020-02-14,,1297,1192,1246,1192,1172
2020-02-15,,1278,1209,1292,1208,1172
2020-02-16,,1246,1075,1340,1074,1172
2020-02-17,,1187,1121,1343,1121,1172
2020-02-18,,1228,1129,1399,1129,1172
2020-02-19,,1338,1091,1312,1089,1172
2020-02-20,,1291,1184,1224,1184,1172
2020-02-21,,1233,1158,1164,1157,1172
2020-02-22,,1215,1173,1233,1173,1172
2020-02-23,,1233,1089,1267,1088,1172
2020-02-24,,1159,1141,1269,1141,1172
2020-02-25,,1111,1125,1240,1124,1172
2020-02-26,,1213,1127,1233,1126,1172
2020-02-27,,1279,1225,1225,1219,1172
2020-02-28,,1209,1130,1150,1124,1172
2020-02-29,,,1153,,1142,1172
2020-03-01,,1283,1061,1123,1054,1172
2020-03-02,,1168,1125,1221,1111,1172
2020-03-03,,1219,1156,1239,1147,1172
2020-03-04,,1248,1151,1152,1137,1172
2020-03-05,,1229,1184,1164,1172,1172
2020-03-06,,1239,1187,1156,1172,1172
2020-03-07,,1182,1157,1068,1147,1172
2020-03-08,,1116,1132,1119,1119,1172
2020-03-09,,1118,1108,1191,1097,1172
2020-03-10,,1090,1212,1109,1200,1172
2020-03-11,,1139,1279,1150,1237,1172
2020-03-12,,1187,1279,1171,1209,1172
2020-03-13,,1112,1380,1175,1283,1172
2020-03-14,,1066,1370,1018,1250,1172
2020-03-15,,1122,1374,1162,1269,1172
2020-03-16,,1156,1403,1138,1273,1172
2020-03-17,,1015,1497,1110,1348,1172
2020-03-18,,1068,1584,1128,1416,1172
2020-03-19,,1131,1690,1107,1560,1172
2020-03-20,,1094,1905,1068,1722,1172
2020-03-21,,1137,2006,1032,1811,1172
2020-03-22,,1102,2039,1074,1711,1172
2020-03-23,,1029,2315,1136,1905,1172
2020-03-24,,1061,2546,1141,2145,1172
2020-03-25,,1057,2662,1179,2233,1172
2020-03-26,,1155,2617,1201,2256,1172
2020-03-27,,1098,2848,1092,2383,1172
2020-03-28,,1142,2807,1031,2398,1172
2020-03-29,,1110,2662,1103,2205,1172
2020-03-30,,1133,2797,1174,2317,1172
2020-03-31,,1046,2965,1191,2466,1172
2020-04-01,,1113,2893,1124,2429,1172
2020-04-02,,1080,2755,1102,2361,1172
2020-04-03,,1157,2748,1123,2378,1172
2020-04-04,,1107,2474,1006,2121,1172
2020-04-05,,1148,2528,1141,2145,1172
2020-04-06,,1176,2457,1123,2092,1172
2020-04-07,,1012,2537,1153,2211,1172
2020-04-08,,1101,2418,1068,2162,1172
2020-04-09,,1049,2234,1162,1998,1172
2020-04-10,,1155,2186,1097,1963,1172
2020-04-11,,1105,2069,991,1833,1172
2020-04-12,,1135,1978,1099,1726,1172
2020-04-13,,1105,1942,1034,1748,1172
2020-04-14,,1066,1911,1141,1690,1172
2020-04-15,,1150,1831,1117,1651,1172
2020-04-16,,1131,1715,1130,1557,1172
2020-04-17,,1092,1758,1055,1576,1172
2020-04-18,,1130,1658,1013,1515,1172
2020-04-19,1220,1013,1527,1102,1377,1172
2020-04-20,1087,998,1487,1106,1329,1172
2020-04-21,1033,1011,1594,1114,1448,1172
2020-04-22,1049,1039,1397,1129,1282,1172
2020-04-23,1023,1050,1341,1130,1228,1172
2020-04-24,1039,1041,1438,1089,1301,1172
2020-04-25,1107,1101,1341,1011,1226,1172
2020-04-26,1065,1088,1231,986,1131,1172
2020-04-27,1135,1120,1272,1114,1180,1172
2020-04-28,1036,1049,1293,1165,1170,1172
2020-04-29,933,1083,1204,1118,1117,1172
2020-04-30,943,1122,1209,1086,1125,1172
2020-05-01,1010,1073,1182,1043,1158,1172
2020-05-02,940,1050,1202,991,1178,1172
2020-05-03,1049,1071,1158,1029,1133,1172
2020-05-04,989,1102,1132,1052,1105,1172
2020-05-05,1035,946,1278,1132,1257,1172
2020-05-06,997,1008,1168,1126,1154,1172
2020-05-07,1055,1128,1175,1152,1147,1172
2020-05-08,1115,1127,1194,1157,1176,1172
2020-05-09,1007,1085,1108,1083,1100,1172
2020-05-10,1077,1061,949,1061,938,1172
2020-05-11,1043,1045,1017,1038,1000,1172
2020-05-12,1022,977,1047,1066,1048,1172
2020-05-13,939,1028,1077,1067,1080,1172
2020-05-14,1011,1067,1023,1106,1032,1172
2020-05-15,1008,1112,1052,1058,1069,1172
2020-05-16,1035,1065,949,980,974,1172
2020-05-17,1058,1024,969,1031,995,1172
2020-05-18,1058,980,942,1056,970,1172
2020-05-19,1060,941,995,1038,1046,1172
2020-05-20,970,986,1056,1066,1128,1172
2020-05-21,1000,1035,1072,1096,1135,1172
2020-05-22,1005,1067,1144,997,1020,1172
2020-05-23,1082,1063,1034,935,,1172
2020-05-24,1097,1063,1034,987,,1172
2020-05-25,1056,991,1015,934,,1172
2020-05-26,1020,998,1025,1028,,1172
2020-05-27,949,1018,1052,1036,,1172
2020-05-28,1026,1055,1039,1013,,1172
2020-05-29,1012,1075,1066,1052,,1172
2020-05-30,1028,1023,1064,1002,,1172
2020-05-31,995,1097,966,1066,,1172
2020-06-01,1070,1071,992,1042,,1172
2020-06-02,939,982,1009,1081,,1172
2020-06-03,942,1027,994,992,,1172
2020-06-04,902,1110,1011,1008,,1172
2020-06-05,1039,1056,965,941,,1172
2020-06-06,956,1078,916,914,,1172
2020-06-07,996,1009,867,985,,1172
2020-06-08,979,999,888,1006,,1172
2020-06-09,1039,916,915,1025,,1172
2020-06-10,903,930,979,1102,,1172
2020-06-11,975,979,926,1098,,1172
2020-06-12,953,955,1027,1049,,1172
2020-06-13,1007,958,921,1084,,1172
2020-06-14,984,1036,843,1071,,1172
2020-06-15,1063,1015,952,1112,,1172
2020-06-16,971,868,960,1167,,1172
2020-06-17,926,944,948,1134,,1172
2020-06-18,1006,1036,1004,1042,,1172
2020-06-19,1033,1039,918,970,,1172
2020-06-20,1030,1050,976,945,,1172
2020-06-21,1113,973,922,967,,1172
2020-06-22,1053,1002,924,963,,1172
2020-06-23,1064,1026,1088,1024,,1172
2020-06-24,1064,962,1062,1063,,1172
2020-06-25,1049,1012,1031,1058,,1172
2020-06-26,1095,1029,1070,971,,1172
2020-06-27,1076,1086,1034,942,,1172
2020-06-28,1061,1086,909,990,,1172
2020-06-29,1099,1059,971,1052,,1172
2020-06-30,1002,998,1083,1056,,1172
2020-07-01,963,1078,1065,1036,,1172
2020-07-02,972,1126,1083,1044,,1172
2020-07-03,1015,1075,1038,1069,,1172
2020-07-04,981,1106,1007,933,,1172
2020-07-05,1022,1127,998,1050,,1172
2020-07-06,1034,1122,1013,1111,,1172
2020-07-07,958,1046,1053,1021,,1172
2020-07-08,1016,1029,1035,969,,1172
2020-07-09,976,1000,1103,1041,,1172
2020-07-10,1086,999,1109,1032,,1172
2020-07-11,1034,1039,1058,977,,1172
2020-07-12,1026,1101,961,1025,,1172
2020-07-13,1059,1046,1003,947,,1172
2020-07-14,985,938,1029,1027,,1172
2020-07-15,916,969,1015,1007,,1172
2020-07-16,953,1060,1010,1126,,1172
2020-07-17,1039,993,1075,1075,,1172
2020-07-18,987,992,1094,1010,,1172
2020-07-19,1005,1005,968,1081,,1172
2020-07-20,1006,997,1040,1074,,1172
2020-07-21,970,969,1049,1181,,1172
2020-07-22,886,936,1063,1197,,1172
2020-07-23,888,1049,1038,1235,,1172
2020-07-24,1017,1050,1079,1181,,1172
2020-07-25,965,1088,1109,1071,,1172
2020-07-26,1013,1052,1019,1103,,1172
2020-07-27,1051,985,1031,1165,,1172
2020-07-28,962,948,1114,1120,,1172
2020-07-29,926,965,1186,1169,,1172
2020-07-30,917,969,1182,1265,,1172
2020-07-31,967,1004,1172,1125,,1172
2020-08-01,1021,1011,1188,1039,,1172
2020-08-02,1077,1005,1192,1111,,1172
2020-08-03,1082,950,1121,1191,,1172
2020-08-04,1131,912,1180,1201,,1172
2020-08-05,1142,912,1124,1150,,1172
2020-08-06,1175,993,1187,1307,,1172
2020-08-07,1176,1068,1096,1257,,1172
2020-08-08,1081,1075,1157,1050,,1172
2020-08-09,1057,1043,1083,1182,,1172
2020-08-10,1101,975,1166,1144,,1172
2020-08-11,1015,931,1166,1128,,1172
2020-08-12,1024,909,1164,1234,,1172
2020-08-13,987,981,1116,1268,,1172
2020-08-14,1022,963,1113,1247,,1172
2020-08-15,985,1031,1046,1193,,1172
2020-08-16,1009,912,966,1264,,1172
2020-08-17,1020,1050,1032,1230,,1172
2020-08-18,925,973,1022,1221,,1172
2020-08-19,929,943,1086,1170,,1172
2020-08-20,884,944,1080,1190,,1172
2020-08-21,1043,942,1139,1195,,1172
2020-08-22,973,943,1102,1056,,1172
2020-08-23,1023,993,1026,1053,,1172
2020-08-24,1033,941,1057,1145,,1172
2020-08-25,930,943,1071,1215,,1172
2020-08-26,847,939,1093,1126,,1172
2020-08-27,967,955,1084,1142,,1172
2020-08-28,955,931,1189,1068,,1172
2020-08-29,979,958,1076,1059,,1172
2020-08-30,908,1016,953,1153,,1172
2020-08-31,956,976,963,1106,,1172
2020-09-01,959,821,1036,1055,,1172
2020-09-02,871,940,1072,1018,,1172
2020-09-03,944,945,1070,1107,,1172
2020-09-04,998,1005,1115,1016,,1172
2020-09-05,974,995,1079,1006,,1172
2020-09-06,922,955,1033,1064,,1172
2020-09-07,960,901,989,1177,,1172
2020-09-08,949,908,1068,1104,,1172
2020-09-09,862,915,1019,1172,,1172
2020-09-10,885,981,1112,1106,,1172
2020-09-11,909,916,1192,1019,,1172
2020-09-12,1000,960,1169,990,,1172
2020-09-13,944,1015,1074,1034,,1172
2020-09-14,970,988,1152,1105,,1172
2020-09-15,975,912,1105,1062,,1172
2020-09-16,865,931,1162,1033,,1172
2020-09-17,961,1001,1146,1070,,1172
2020-09-18,1016,940,1124,1009,,1172
2020-09-19,992,1026,1068,906,,1172
2020-09-20,1020,937,1010,991,,1172
2020-09-21,1041,953,1104,1056,,1172
2020-09-22,950,928,1136,1009,,1172
2020-09-23,899,929,1117,1020,,1172
2020-09-24,982,972,1082,1063,,1172
2020-09-25,984,976,1133,1039,,1172
2020-09-26,1052,959,1055,906,,1172
2020-09-27,994,1032,1079,940,,1172
2020-09-28,1014,978,1097,1033,,1172
2020-09-29,997,920,1087,982,,1172
2020-09-30,935,926,1117,1014,,1172
2020-10-01,968,1034,1153,920,,1172
2020-10-02,983,998,1128,915,,1172
2020-10-03,1033,949,1143,917,,1172
2020-10-04,998,991,1044,,,1172
2020-10-05,1004,940,1110,,,1172
2020-10-06,1007,884,1118,,,1172
2020-10-07,931,963,1225,,,1172
2020-10-08,911,999,1180,,,1172
2020-10-09,1025,1037,1265,,,1172
2020-10-10,1070,1011,1191,,,1172
2020-10-11,1014,1073,1100,,,1172
2020-10-12,1080,1034,1062,,,1172
2020-10-13,1030,926,1157,,,1172
2020-10-14,965,991,1160,,,1172
2020-10-15,948,982,1176,,,1172
2020-10-16,1005,1076,1229,,,1172
2020-10-17,1061,1078,1209,,,1172
2020-10-18,1045,1050,1155,,,1172
2020-10-19,1024,966,1275,,,1172
2020-10-20,997,930,1314,,,1172
2020-10-21,962,984,1335,,,1172
2020-10-22,931,1123,1303,,,1172
2020-10-23,1040,1006,1306,,,1172
2020-10-24,965,1066,1266,,,1172
2020-10-25,986,1028,1242,,,1172
2020-10-26,1018,1057,1232,,,1172
2020-10-27,1044,969,1312,,,1172
2020-10-28,1063,1029,1259,,,1172
2020-10-29,1033,1074,1324,,,1172
2020-10-30,1036,1012,1371,,,1172
2020-10-31,1101,1058,1416,,,1172
2020-11-01,1067,1112,1267,,,1172
2020-11-02,1063,1103,1370,,,1172
2020-11-03,1135,1006,1432,,,1172
2020-11-04,1059,1065,1404,,,1172
2020-11-05,1030,1084,1422,,,1172
2020-11-06,1098,1021,1486,,,1172
2020-11-07,1113,1016,1372,,,1172
2020-11-08,1081,1114,1367,,,1172
2020-11-09,1152,1062,1357,,,1172
2020-11-10,1106,1031,1415,,,1172
2020-11-11,1120,1030,1383,,,1172
2020-11-12,1090,1110,1369,,,1172
2020-11-13,1139,1133,1426,,,1172
2020-11-14,1044,1168,1280,,,1172
2020-11-15,1102,1113,1328,,,1172
2020-11-16,1151,1110,1361,,,1172
2020-11-17,1119,1071,1374,,,1172
2020-11-18,997,1063,1374,,,1172
2020-11-19,1044,1169,1350,,,1172
2020-11-20,1115,1179,1367,,,1172
2020-11-21,1077,1142,1254,,,1172
2020-11-22,1104,1191,1194,,,1172
2020-11-23,1095,1166,1299,,,1172
2020-11-24,1104,1017,1289,,,1172
2020-11-25,1039,1112,1295,,,1172
2020-11-26,1078,1203,1432,,,1172
2020-11-27,1075,1157,1363,,,1172
2020-11-28,1089,1194,1246,,,1172
2020-11-29,1145,1195,1176,,,1172
2020-11-30,1119,1105,1224,,,1172
2020-12-01,1117,1062,1290,,,1172
2020-12-02,1043,1074,1374,,,1172
2020-12-03,1081,1146,1371,,,1172
2020-12-04,1114,1114,1352,,,1172
2020-12-05,1233,1117,1288,,,1172
2020-12-06,1095,1109,1247,,,1172
2020-12-07,1061,1054,1222,,,1172
2020-12-08,1100,1079,1278,,,1172
2020-12-09,985,1102,1317,,,1172
2020-12-10,1126,1100,1363,,,1172
2020-12-11,1061,1179,1389,,,1172
2020-12-12,1229,1171,1284,,,1172
2020-12-13,1189,1240,1242,,,1172
2020-12-14,1172,1127,1302,,,1172
2020-12-15,1124,1127,1323,,,1172
2020-12-16,1072,1115,1268,,,1172
2020-12-17,1088,1117,1220,,,1172
2020-12-18,1138,1191,1354,,,1172
2020-12-19,1161,1149,1238,,,1172
2020-12-20,1217,1274,1225,,,1172
2020-12-21,1156,1194,1191,,,1172
2020-12-22,1197,1093,1271,,,1172
2020-12-23,1165,1147,1316,,,1172
2020-12-24,1129,1185,1226,,,1172
2020-12-25,1112,1136,1250,,,1172
2020-12-26,1173,1110,1200,,,1172
2020-12-27,1227,1196,1194,,,1172
2020-12-28,1263,1150,1272,,,1172
2020-12-29,1237,1123,1286,,,1172
2020-12-30,1163,1119,1330,,,1172
2020-12-31,1111,1142,1348,,,1172
2021-01-01,,,,,,1172
