Fecha,2015,2016,2017,2018,2019,2020,2021,2022,2023,INE2018
2020-01-01,1417.49,1229.54,1441.71,1550.48,1253.69,1253.07,1346.88,1390.17,1354.38,1172
2020-01-02,1468,1175.75,1475.06,1576.37,1328.16,1320.64,1370.11,1407.4,1439.87,1172
2020-01-03,1446.09,1196.79,1593.76,1608.3,1383.67,1299.94,1339.26,1384.46,1443.81,1172
2020-01-04,1454.77,1230.74,1574.43,1712.5,1402.3,1323.15,1398.59,1515.87,1424.54,1172
2020-01-05,1493.47,1287.96,1588.13,1748.86,1402.08,1284.85,1419.93,1395.67,1452.65,1172
2020-01-06,1486.6,1235.98,1602.46,1645.41,1327.27,1248.48,1455.25,1360.32,1367.73,1172
2020-01-07,1485.7,1288.43,1510.98,1539.63,1387.57,1268.2,1480.84,1439.13,1441.85,1172
2020-01-08,1521.3,1271.59,1549.96,1647.13,1418.04,1436.41,1570.21,1491.44,1424.46,1172
2020-01-09,1516.99,1273.25,1538.01,1636.68,1568.58,1365.14,1632.49,1415.98,1415.08,1172
2020-01-10,1603.17,1220.5,1769.83,1650.98,1468.49,1473.21,1528.56,1533.03,1499.57,1172
2020-01-11,1490.54,1285.31,1675.84,1512.16,1420.4,1425.52,1621.93,1489.88,1578.72,1172
2020-01-12,1534.76,1268.63,1688.64,1675.32,1493.88,1353.28,1719.45,1524.09,1341.28,1172
2020-01-13,1605.29,1235.42,1790.43,1558.03,1445.82,1346.16,1648.5,1543.88,1505.37,1172
2020-01-14,1586.05,1292.67,1603.7,1464.05,1453.81,1431.18,1767.37,1611.93,1369.38,1172
2020-01-15,1573.02,1298.67,1553.23,1556.3,1530.55,1438.04,1769.06,1530.09,1404.7,1172
2020-01-16,1597.96,1316.78,1646.13,1550.61,1622.84,1429.71,1759.61,1530.34,1379.65,1172
2020-01-17,1443.18,1152.79,1746.89,1729.28,1485.22,1581,1643.31,1475.54,1471.31,1172
2020-01-18,1563.74,1221.84,1572.88,1589.29,1543.78,1476.95,1803.42,1505.46,1484.13,1172
2020-01-19,1573.76,1301.36,1697.13,1686.21,1587.84,1374.75,1831.98,1638.4,1420.24,1172
2020-01-20,1563.17,1289.06,1707.35,1542.56,1427,1323.42,1888.09,1609.48,1419.76,1172
2020-01-21,1594.86,1287.01,1565.48,1471.65,1449.33,1487.59,1948.79,1635.96,1400.05,1172
2020-01-22,1550.31,1327.39,1537.75,1517.44,1427.34,1472.56,1975.47,1581.09,1392.07,1172
2020-01-23,1523.96,1339.07,1627.1,1593.06,1479.44,1457.2,1801.83,1464.12,1322.58,1172
2020-01-24,1523.86,1224,1607.38,1540.98,1509.96,1513.46,1805.14,1598.75,1466,1172
2020-01-25,1480.18,1226.92,1686.27,1595.35,1494.68,1434.02,1838.21,1654.27,1364.06,1172
2020-01-26,1557.77,1235.62,1633.47,1540.03,1519.25,1394.45,1864.16,1624.38,1419.15,1172
2020-01-27,1613.03,1241.75,1612.73,1377.62,1494.45,1441.1,1936.52,1673.15,1460.05,1172
2020-01-28,1654.92,1281.08,1623.39,1312.4,1427.18,1445.91,1877.02,1606.69,1420.68,1172
2020-01-29,1693.73,1210.49,1524.32,1424.09,1451.27,1499.37,1793.64,1616.84,1315.37,1172
2020-01-30,1658.57,1217.86,1585.46,1480.05,1422.94,1491.03,1790.39,1526.77,1369.56,1172
2020-01-31,1579.4,1205.42,1623.48,1453.73,1590.05,1481.31,1658.63,1523.42,1469.65,1172
2020-02-01,1474.1,1279.5,1606.82,1508.29,1580.3,1394.35,1765.02,1612.53,1556.6,1172
2020-02-02,1504.87,1192.79,1630.72,1469.81,1396.58,1354.61,1743.84,1592.16,1468.26,1172
2020-02-03,1587.63,1210.93,1519.19,1407.07,1304.17,1368.22,1707.55,1653.93,1522.01,1172
2020-02-04,1628.02,1241.17,1422.55,1348.98,1347.77,1385.46,1679.71,1621.18,1428.69,1172
2020-02-05,1551.69,1270.08,1438.65,1473.86,1416.77,1380.92,1650.15,1558.07,1402.69,1172
2020-02-06,1573.31,1212.01,1438.96,1349.57,1487.27,1351.45,1619.85,1397.69,1412.35,1172
2020-02-07,1476.71,1209.51,1431.9,1515.82,1398.03,1353.91,1494.96,1390.67,1596.63,1172
2020-02-08,1520.63,1203.14,1407.54,1540.38,1479.07,1272.61,1480.56,1497.42,1520.53,1172
2020-02-09,1563.48,1265.72,1387.92,1458.71,1425.04,1219.75,1574.1,1559.86,1441.16,1172
2020-02-10,1599.99,1266.4,1412.77,1473.16,1276.45,1228.82,1617.85,1469.35,1463.02,1172
2020-02-11,1601.38,1246.58,1349.15,1379.23,1343.99,1317.26,1476.87,1431.9,1446.09,1172
2020-02-12,1596.72,1279.03,1359.11,1451.24,1371.67,1320.06,1581.36,1399.44,1385.91,1172
2020-02-13,1549.38,1225.12,1342.54,1470.26,1445.58,1366.01,1413.28,1345.91,1347.67,1172
2020-02-14,1614.9,1204,1306.79,1462.19,1403.96,1297.25,1316.68,1325.93,1487.97,1172
2020-02-15,1448.21,1129.41,1375.99,1513.9,1371.53,1287.14,1361.07,1388.29,1460.99,1172
2020-02-16,1545.31,1183.68,1350.1,1556.97,1347.5,1135.37,1414.4,1352.87,1449.77,1172
2020-02-17,1538.09,1246.06,1386.46,1469.07,1273.15,1203.03,1418.48,1391.71,1446.67,1172
2020-02-18,1493.52,1250.8,1196.84,1346.64,1325.86,1209.51,1473.81,1349.91,1369.09,1172
2020-02-19,1540.05,1266.61,1199.97,1348.11,1451.81,1173.45,1383.26,1305.91,1322.49,1172
2020-02-20,1629.51,1278.49,1221.91,1424.17,1395.32,1262.96,1288.58,1214.89,1391.97,1172
2020-02-21,1568.84,1246.08,1282.31,1446.47,1328.13,1241.66,1225.32,1280.01,1468.88,1172
2020-02-22,1429.6,1264.7,1283.99,1405.93,1318.65,1260.38,1304.12,1302.66,1419.84,1172
2020-02-23,1494.4,1275.77,1271.4,1466.62,1327.58,1156.78,1331.16,1309.79,1444.74,1172
2020-02-24,1407.57,1252.79,1318.38,1418.47,1240.31,1226.9,1344.22,1338.98,1403.78,1172
2020-02-25,1475.53,1303.52,1267.64,1322.16,1203.45,1207.2,1314.93,1334.42,1282.08,1172
2020-02-26,1501.15,1385.26,1121.13,1418.53,1291.09,1208.58,1298.25,1233.96,1282.43,1172
2020-02-27,1535.73,1211.59,1211.51,1381.45,1387.7,1305.82,1287.09,1210.12,1337.58,1172
2020-02-28,1452.5,1126.47,1261.15,1415.67,1300.28,1198.2,1214.17,1194.64,1344.57,1172
2020-02-29,,1238.23,,,,1217.5,,,,1172
2020-03-01,1374.17,1246.17,1204.19,1481.79,1372.86,1129.23,1180.82,1197.9,1358.29,1172
2020-03-02,1514.27,1179,1216.52,1402.12,1255.81,1199.34,1287.91,1258.23,1411.88,1172
2020-03-03,1457.78,1328.33,1241.05,1351.2,1303.93,1223.5,1303.7,1329.88,1424.86,1172
2020-03-04,1389.59,1353.32,1239.57,1319.55,1330.17,1227.03,1211.27,1270.58,1407.69,1172
2020-03-05,1257.41,1256.82,1116.8,1331.35,1305.05,1256.85,1219.5,1206.19,1364.77,1172
2020-03-06,1336.74,1181.2,1134.88,1385.63,1318.68,1247.96,1215.13,1234.08,1394.91,1172
2020-03-07,1306.65,1269.44,1256.02,1340.69,1275,1240.03,1125.71,1181.18,1450.12,1172
2020-03-08,1264.91,1252.28,1221.33,1340.59,1197.26,1195.93,1181.35,1207.28,1429.84,1172
2020-03-09,1334.39,1264.91,1225.84,1353.65,1201.01,1183.34,1254.01,1234.43,1420.08,1172
2020-03-10,1313.65,1221.43,1221.39,1320.13,1159.59,1293.88,1166.84,1285.42,1466.54,1172
2020-03-11,1327.81,1264,1144.53,1289.2,1214.52,1365.86,1215.19,1270.26,1348.35,1172
2020-03-12,1297.63,1305.89,1140.3,1298.85,1268.37,1358.19,1233.88,1248.34,1213.11,1172
2020-03-13,1307.51,1241.05,1099.65,1348.12,1197.08,1482.31,1238.73,1139.76,1324.41,1172
2020-03-14,1276.95,1212.6,1216.82,1324.56,1146.54,1478.26,1068.08,1169.57,1270.11,1172
2020-03-15,1088.13,1304.11,1115.96,1327.83,1202.87,1470.84,1219.9,1296.94,1325.77,1172
2020-03-16,1215.8,1282.04,1104.51,1290.83,1241.49,1507.68,1201.09,1290.36,1323.99,1172
2020-03-17,1203.71,1307.61,1216.18,1273.06,1093.52,1609.89,1173.25,1226.76,1338.95,1172
2020-03-18,1260.6,1381.76,1155.72,1135.76,1152.87,1698.37,1189.98,1296.67,1235.28,1172
2020-03-19,1215.98,1279.99,1114.83,1139.41,1206.51,1816.72,1165.33,1172.79,1136.94,1172
2020-03-20,1251.97,1253.03,1194.52,1254.01,1176.46,2060.04,1122.6,1145.35,1145.82,1172
2020-03-21,1165.59,1180.06,1180.84,1315.5,1212.36,2171.96,1086.35,1168.33,1309.13,1172
2020-03-22,1170.83,1224.22,1201.39,1265.62,1185.28,2231.42,1131.51,1212.89,1291.6,1172
2020-03-23,1211.55,1303.66,1130.5,1289.69,1114.04,2510.85,1196.81,1314.9,1220.93,1172
2020-03-24,1226.96,1202.01,1153.59,1302.75,1141.15,2758.91,1202.23,1221.81,1233.19,1172
2020-03-25,1222.86,1202.18,1103.1,1189.97,1138.63,2916.17,1240.18,1329.52,1201.71,1172
2020-03-26,1186.17,1175.87,1063,1265.09,1241.67,2842.63,1271.4,1246.03,998.84,1172
2020-03-27,1255.12,1103.66,1105.75,1285.18,1190.39,3077.52,1150.58,1102.6,1117.3,1172
2020-03-28,1287.79,1148.09,1200.25,1307.19,1223.32,3051.94,1086.29,1126.68,1168.8,1172
2020-03-29,1123.3,1198.64,1186.51,1290.27,1199.65,2883.33,1167.66,1298.3,1231.64,1172
2020-03-30,1258.26,1275.87,1107.69,1261.98,1224.14,3036.13,1234.84,1284.12,1261.89,1172
2020-03-31,1305.82,1254.18,1174,1131.44,1118.82,3228.58,1256.88,1249.08,1314.78,1172
2020-04-01,1270.71,1226.64,1168.9,1183.13,1205.58,3160.27,1183.47,1241.2,1169.53,1172
2020-04-02,1140.67,1227.37,1055.55,1225.31,1157.6,2990.26,1157.38,1221.92,1066.08,1172
2020-04-03,1155.24,1198.75,1110.23,1218.76,1228.1,2971.43,1186.37,1144.87,1130.73,1172
2020-04-04,1112.33,1227.52,1147.05,1254.57,1171.86,2665.03,1060.33,1180.58,1191.91,1172
2020-04-05,1164.65,1205.03,1117.7,1281.47,1212.73,2749.26,1205.55,1260.58,1239.36,1172
2020-04-06,1145.35,1169.84,1203.05,1241.63,1245.31,2662.88,1185.27,1212.57,1148.73,1172
2020-04-07,1128.61,1160.03,1104.23,1244.58,1078.45,2747.24,1219.74,1335.65,1124.71,1172
2020-04-08,1128.58,1154.34,1150.73,1139.49,1169.33,2621.16,1121.51,1312.54,1197.52,1172
2020-04-09,1209,1095.94,1082.61,1166.87,1111.45,2401.53,1226.12,1252.33,1084.66,1172
2020-04-10,1159.87,1110.19,1143.66,1241.65,1226.69,2348.15,1160.26,1206.51,1161.81,1172
2020-04-11,1198.84,1186.88,1216.89,1218.87,1175.16,2246.12,1048.38,1324.76,1147.49,1172
2020-04-12,1041.6,1145.13,1202.53,1274.08,1204.06,2122.52,1156.87,1282.07,1248.25,1172
2020-04-13,1119.97,1175.26,1088.02,1233.81,1172.55,2091.1,1090.28,1340.7,1200.4,1172
2020-04-14,1131.1,1186.18,1117.87,1206.45,1132.49,2062.25,1204.04,1254.17,1185.47,1172
2020-04-15,1196.44,1196.09,1058.28,1155.56,1219.56,1956.8,1181.2,1188.19,1153.61,1172
2020-04-16,1185.36,1127.15,1078.55,1124.5,1204.25,1847.01,1192.6,1179.99,1125.06,1172
2020-04-17,1168.53,1000.19,1060.13,1240.77,1155.67,1874.3,1116.76,1186.53,1110,1172
2020-04-18,1160.89,1139.06,1107.16,1168.4,1197.37,1778.72,1071.35,1215.51,1196.73,1172
2020-04-19,1039.95,1126.37,1105.47,1303.6,1071.18,1647.73,1165.46,1180.57,1107.81,1172
2020-04-20,1123.76,1160.93,1115.65,1180.06,1059.58,1603.09,1165.3,1193.55,1168.43,1172
2020-04-21,1116.28,1098.14,1168.47,1109.16,1075.39,1701.78,1177.47,1205.54,1241.38,1172
2020-04-22,1136.88,1095.42,1099.12,1138.96,1107.67,1503.49,1192.23,1241.74,1110.79,1172
2020-04-23,1167.58,1113.74,1078.44,1104.79,1114.76,1460.01,1192.17,1250.16,1058.92,1172
2020-04-24,1163.06,1010.8,1131.86,1119.43,1104.96,1523.98,1150.85,1169.88,1064.43,1172
2020-04-25,1112.03,1080.36,1174.74,1188.54,1171.3,1447.83,1064.81,1193.14,1144.42,1172
2020-04-26,1097.56,1179.6,1142.81,1144.36,1154.25,1327.29,1047.44,1244.3,1051.42,1172
2020-04-27,1028.63,1091.53,1095.67,1213.54,1187.83,1351.13,1173.77,1284.88,1062.24,1172
2020-04-28,1098.18,1147.42,1086.47,1117.41,1109.8,1382.17,1228.63,1180.04,1047.97,1172
2020-04-29,1045.6,1062.51,1129.53,1003.66,1154.3,1279.41,1178.68,1237.69,957.13,1172
2020-04-30,1096.87,1087.68,1032.63,1013.18,1192.03,1295.71,1144.02,1249.95,939.77,1172
2020-05-01,1114,969.64,1000,1079.85,1147.34,1249.58,1098.45,1177.89,900.44,1172
2020-05-02,1048.82,1019.39,1006.68,1002.24,1114.48,1290.29,1039.82,1168.36,1049.08,1172
2020-05-03,1044.61,1118.05,1158.19,1124.21,1140.32,1236.45,1090.69,1233.82,1124.09,1172
2020-05-04,1075.07,1169.55,1196.73,1067.06,1170.22,1211.22,1102.05,1197.93,,1172
2020-05-05,1096.33,1184.16,1175.71,1104.21,1004.08,1354.94,1187.84,1251.88,,1172
2020-05-06,1092.59,1143,1087,1074.11,1066.19,1252.11,1185.25,1278.24,,1172
2020-05-07,1134,1077.98,1083.17,1132.04,1201.14,1259.06,1214.69,1259,,1172
2020-05-08,1119.42,1040.91,1066.39,1191.88,1199.26,1269.6,1220.04,1160.88,,1172
2020-05-09,1112.83,1052.79,1148.82,1073.15,1149.68,1189.72,1139.56,1234.61,,1172
2020-05-10,961.58,1045.82,1199.83,1152.53,1122.64,1001.98,1115.87,1313.48,,1172
2020-05-11,1130.43,1062.06,1171.51,1102.89,1110.17,1085.52,1093.66,1245.66,,1172
2020-05-12,1125.11,1104.86,1102.88,1086.65,1034.19,1113.51,1126.27,1313.24,,1172
2020-05-13,1172.94,1100.02,1058.11,994.26,1093.33,1144.74,1121.73,1322.71,,1172
2020-05-14,1139.19,1064.43,995.42,1079.2,1130.79,1081.2,1162.42,1262.26,,1172
2020-05-15,1067.55,1072.75,1063.52,1067.81,1181.92,1121.54,1113.95,1184.94,,1172
2020-05-16,1007.98,1047.63,1179.76,1096.48,1134.37,1017.41,1027.5,1286.89,,1172
2020-05-17,1034.47,1098.79,1189.7,1128.32,1094.22,1046.13,1084.31,1273.15,,1172
2020-05-18,1082.83,1156.54,1053.2,1122.28,1050.07,1002.68,1111.63,1350.27,,1172
2020-05-19,1097.95,1142,1111.05,1131.18,995.12,1045.79,1095.33,1295.2,,1172
2020-05-20,1081.2,1101.34,1115.12,1025.2,1046.14,1123.46,1128.77,1301.32,,1172
2020-05-21,1042.89,1153.83,963.08,1058.61,1101.83,1139.93,1151.48,1288.23,,1172
2020-05-22,1036.03,993,1073.81,1066.05,1137.96,1217.58,1049.51,1171.64,,1172
2020-05-23,1043.69,1025.37,1158.72,1149.04,1132.15,1107.4,986.47,1233.87,,1172
2020-05-24,970.43,1042.87,1175.57,1168.11,1128.27,1101.58,1042.14,1280.54,,1172
2020-05-25,1070.19,1114.66,1171.16,1116.23,1049.37,1082.45,977.96,1112.14,,1172
2020-05-26,1020.8,1064.08,1125.32,1079.94,1058.58,1080.42,1082.86,1201.93,,1172
2020-05-27,981.25,1155.93,1078.58,1009.75,1082.59,1116.66,1091.77,1202.95,,1172
2020-05-28,1010.07,1023.17,1051.68,1094.81,1123.44,1105.26,1070.35,1146.59,,1172
2020-05-29,1062.27,979.62,1078.57,1073.08,1138.87,1133.08,1101.37,1102.49,,1172
2020-05-30,1044.93,1018.86,1077.22,1092.01,1083.57,1136.6,1060.32,1087.89,,1172
2020-05-31,1020.06,1020.94,1056.87,1057.31,1163.43,1030.12,1131.75,1205.89,,1172
2020-06-01,1044.93,1098.51,1008.06,1134.21,1135.76,1066.3,1104.59,1256.27,,1172
2020-06-02,1024.55,1090.48,1040.31,997.46,1043.49,1062.48,1138.13,1225.67,,1172
2020-06-03,1127.37,1110.34,1024.29,1000.12,1090.03,1051.39,1045.75,1202.52,,1172
2020-06-04,1080.44,1030.76,955.25,959.96,1182.79,1083.89,1066.63,1153.98,,1172
2020-06-05,1070.5,1019.98,939.15,1104.68,1122.6,1026.8,989.6,1052.47,,1172
2020-06-06,1054.03,1060,983.13,1012.65,1147.09,961.41,965.66,1043.6,,1172
2020-06-07,1083,1076.45,999.52,1052.16,1076,918.67,1037.88,1205.52,,1172
2020-06-08,1049.84,1130.88,1083.68,1037.67,1054.82,939.84,1056.38,1223.52,,1172
2020-06-09,1098.43,1116.58,1105.65,1103.47,972.64,974.92,1081.48,1257.35,,1172
2020-06-10,1084.12,1176.85,1031.89,957.81,992.3,1033.11,1157.29,1242.25,,1172
2020-06-11,1066.84,1131.93,1028.79,1034.44,1043.26,986.03,1156.77,1201.6,,1172
2020-06-12,1024.07,1011.25,1050.95,1010.65,1013.46,1095.55,1105.96,1068.02,,1172
2020-06-13,1045.83,1087.46,1146.84,1064.06,1014.73,979.48,1141.54,1182.98,,1172
2020-06-14,938.37,1084.72,1113.96,1042.41,1101.81,893.18,1136.96,1284.63,,1172
2020-06-15,960.67,1042.4,1119.52,1126.72,1082.16,1012.82,1171.38,1285.7,,1172
2020-06-16,955.68,1043.96,1170.89,1029.42,924.63,1031.28,1227.4,1423.58,,1172
2020-06-17,990.25,1027.05,1171.36,985.91,1008.98,1012.04,1197.18,1420.25,,1172
2020-06-18,1065.62,1041.29,1135.99,1068.51,1102.77,1065.95,1097.26,1508.81,,1172
2020-06-19,1020.81,982.68,1155.64,1098.62,1103.95,976.5,1021.19,1310.16,,1172
2020-06-20,1088.49,975.37,1169.78,1095.61,1111.85,1042.12,997.89,1303.64,,1172
2020-06-21,989.57,1032.98,1208.63,1182.71,1036.61,984.6,1018.06,1244.58,,1172
2020-06-22,995.1,1116.52,1180.93,1120.59,1058.63,977.24,1007.96,1329.5,,1172
2020-06-23,1034.78,1084.43,1184.82,1130.25,1087.34,1159.24,1079.51,1247.4,,1172
2020-06-24,1018.84,1095.76,1180.83,1136.43,1026.83,1132.76,1114.86,1234.61,,1172
2020-06-25,997.86,1045.54,1034.18,1112.08,1078.46,1099.98,1108.24,1195.55,,1172
2020-06-26,1117,934.66,1116.98,1167.91,1096.95,1142.41,1018.38,1073.07,,1172
2020-06-27,1009.39,955.44,1048.32,1147.27,1152.13,1094.22,992.8,1187.13,,1172
2020-06-28,1023.48,1092.12,1031.77,1134.91,1158.87,967.35,1039.99,1201.3,,1172
2020-06-29,1121.73,1030.48,1035.51,1172.36,1127.53,1030.94,1109.62,1351.57,,1172
2020-06-30,1179.53,1133.71,1112.87,1065.11,1063.34,1159.85,1111.72,1245.82,,1172
2020-07-01,1214.97,1120.78,1027.04,1026.56,1149.97,1131.12,1090.99,1234.05,,1172
2020-07-02,1204.67,1076.72,937.66,1035.05,1209.04,1150.74,1097.93,1233.24,,1172
2020-07-03,1164.38,1001.71,1002.53,1082.26,1144.23,1105.7,1129.54,1202.81,,1172
2020-07-04,1141.58,1073.35,1069.8,1038.49,1179.78,1076.48,980.88,1273.16,,1172
2020-07-05,1158.72,1078.85,1066.18,1089.06,1195.03,1064.74,1111.87,1304.33,,1172
2020-07-06,1206.45,1112.59,1098.64,1094.98,1193.77,1080.48,1168.7,1328.03,,1172
2020-07-07,1243.59,1164.82,1041.34,1014.07,1116.81,1113.94,1080.93,1352.56,,1172
2020-07-08,1276.38,1113.77,1034.72,1070.03,1087.45,1108.18,1017.76,1318.61,,1172
2020-07-09,1244.94,1079.85,955.65,1033.38,1060.32,1168.33,1098.31,1317.33,,1172
2020-07-10,1254.94,1034.45,948.83,1150.14,1061.72,1180.44,1089.47,1267.12,,1172
2020-07-11,1110.16,1055.94,1020.11,1094.41,1103.1,1123.38,1028.83,1356.04,,1172
2020-07-12,1083.43,1172.09,1056.62,1093.09,1165.71,1023.19,1077.26,1516.44,,1172
2020-07-13,1125.83,1113.95,1072.5,1130.79,1117.63,1072.36,993.3,1505.22,,1172
2020-07-14,1238.67,1077.67,1114.28,1045.85,996.69,1105.09,1083.22,1644.89,,1172
2020-07-15,1174.75,981.97,1064.97,973.03,1026.3,1086.86,1058.96,1704.39,,1172
2020-07-16,1180.75,1079.19,1043.24,1010.68,1124.81,1085.39,1194.42,1619.74,,1172
2020-07-17,1206.41,1043.4,1050.09,1098.13,1051.99,1145.02,1130.49,1606.21,,1172
2020-07-18,1235.47,1073.56,1097.35,1048,1053.2,1164.52,1067.34,1769.76,,1172
2020-07-19,1079.61,1098.22,1112.14,1065.73,1068.9,1035.85,1141.02,1709.53,,1172
2020-07-20,1160.88,1123.58,1072.24,1067.83,1056.63,1111.52,1135.58,1556.57,,1172
2020-07-21,1151.73,1086.22,1074.76,1025.53,1039.06,1113.7,1250.41,1594.89,,1172
2020-07-22,1158.57,1085.95,978.16,939.64,1000.13,1126.76,1266.8,1490.94,,1172
2020-07-23,1106.38,1039.98,978.35,949.85,1121.11,1114.41,1298.79,1518.96,,1172
2020-07-24,1151.92,960.41,980.07,1077.24,1112.48,1147.81,1250.9,1407.1,,1172
2020-07-25,1103.91,969.21,1051.84,1022.55,1156.01,1185.53,1129.8,1483.34,,1172
2020-07-26,1029.08,1120.44,1048.49,1077.38,1121.65,1084.12,1158.96,1513.01,,1172
2020-07-27,1070.94,1033.85,1021.07,1117.78,1046.44,1103.21,1228.88,1430.6,,1172
2020-07-28,1050.86,1086.9,1073.48,1025.38,1002.65,1194.15,1183.99,1397.56,,1172
2020-07-29,1107.5,1050.58,1050.82,984.72,1021.97,1274.81,1243.96,1496.85,,1172
2020-07-30,1097.51,1094.45,990.41,977.61,1025.55,1246.39,1341.19,1301.55,,1172
2020-07-31,1053.79,1028.96,1050.17,1029.5,1063.84,1246.55,1179.47,1341.73,,1172
2020-08-01,1020.67,1064.31,1087.37,1088.83,1077.77,1275.24,1094.41,1418.41,,1172
2020-08-02,1057.98,1083.42,1111.66,1143.37,1063.85,1260.74,1169.31,1436.15,,1172
2020-08-03,1075.84,1111.88,1038.28,1152.73,1012.05,1192.79,1265.5,1412.41,,1172
2020-08-04,1089.53,1050.67,1118.06,1204.64,968.16,1244.56,1254.8,1393.37,,1172
2020-08-05,1047.34,1094.81,1168.06,1217.24,967.99,1200.81,1212.42,1341.41,,1172
2020-08-06,1048.67,1124.39,1082.09,1248.54,1054.44,1266.91,1374.69,1305.48,,1172
2020-08-07,1043.37,947.07,1076.77,1248.76,1130.96,1177.8,1326.28,1177.33,,1172
2020-08-08,969.22,993.25,1142.7,1152.16,1143.73,1231.61,1117.81,1266.1,,1172
2020-08-09,971.4,1089.94,1024.24,1123.68,1109.81,1146.52,1246.57,1260.69,,1172
2020-08-10,1009.96,1056.98,1066.77,1172.06,1026.57,1235.72,1208.58,1389.56,,1172
2020-08-11,1098.33,1044.37,1062.87,1071.38,987.9,1231.52,1192.87,1365.31,,1172
2020-08-12,1027.81,1054.38,995.93,1084.56,965.64,1237.77,1299.29,1350.5,,1172
2020-08-13,1071.7,1024.76,930.87,1050.03,1040.41,1187.31,1339.01,1368.98,,1172
2020-08-14,1044.08,1011.69,1074.63,1088.28,1025.93,1192.6,1315.04,1332.28,,1172
2020-08-15,960.93,984.58,1079.52,1048.76,1089.69,1115.01,1269.05,1147.94,,1172
2020-08-16,971.18,1024.01,976.76,1071.57,966.51,1032.16,1345.08,1150.8,,1172
2020-08-17,961.04,1016.42,990.88,1085.8,1114.19,1103.06,1305.74,1212.34,,1172
2020-08-18,1008.91,1080.92,1073.03,979.6,1031.57,1076.58,1294.76,1161.94,,1172
2020-08-19,941.89,1088.31,1020.3,987.04,998.32,1157.24,1250.26,1195.73,,1172
2020-08-20,977.48,1015.38,979.49,936.33,1002.84,1141.88,1255.85,1158.09,,1172
2020-08-21,1017.58,958.87,926.04,1100.24,1002.19,1223.55,1254.2,1115.67,,1172
2020-08-22,1019.01,1037.88,1045.14,1033.29,1001.74,1174.62,1117.65,1229.68,,1172
2020-08-23,942.12,981.81,1081.57,1084.81,1060.51,1086.3,1114.09,1223.23,,1172
2020-08-24,940.21,998.65,1106.29,1097.48,996.85,1127.51,1215.24,1229.02,,1172
2020-08-25,953.79,1035.58,1098.53,986.93,1004.9,1136.53,1282.54,1220.36,,1172
2020-08-26,1057.11,1104.53,1078.53,901.01,992.21,1174.67,1193.9,1195.32,,1172
2020-08-27,1014.58,1061.29,994.92,1023.67,1015.18,1148.38,1214.67,1084.92,,1172
2020-08-28,1001.85,1021.68,1031.13,1011.57,989.24,1284.48,1135.1,1022.77,,1172
2020-08-29,1072.53,1057.09,1067.1,1034.99,1016.34,1143.02,1123.76,1138.3,,1172
2020-08-30,1003.79,1056.7,1013.45,963.75,1079.91,1010.3,1226.52,1116.31,,1172
2020-08-31,962.34,1033.64,1032.32,1012.35,1027.58,1035.98,1182.33,1161.85,,1172
2020-09-01,1017.4,1070.62,1011.95,1015.75,874.44,1103.6,1133.81,1087.33,,1172
2020-09-02,970.73,1033.95,1004.09,928.94,1002.51,1135.69,1090.8,1132.85,,1172
2020-09-03,976.08,1026.67,949.36,1004.37,998.64,1143.27,1169.55,1065.44,,1172
2020-09-04,909.15,943.6,944.89,1065.01,1068.18,1195.64,1079.97,999.82,,1172
2020-09-05,938.81,974.19,992.73,1031,1058.06,1159.37,1068.4,1072.65,,1172
2020-09-06,931.02,1077.74,1042.41,974.61,1011.03,1103.15,1114.17,1051.95,,1172
2020-09-07,950.22,1127.48,981.42,1013.3,955.52,1056.06,1226.91,1155.88,,1172
2020-09-08,944.11,1096.01,993.45,1013.9,958.49,1140.68,1152.79,1133.21,,1172
2020-09-09,959.31,1113.52,965.57,919.26,968,1092.73,1220.78,1104.19,,1172
2020-09-10,987.52,1001.96,880.68,941.51,1048.41,1181.27,1156.97,1107.88,,1172
2020-09-11,969.95,939.34,966.56,963.53,972.06,1265.14,1072.7,1068.35,,1172
2020-09-12,962.4,968.93,997.21,1066.22,1020.59,1245.37,1043.36,1083.46,,1172
2020-09-13,998.97,1018.17,1008.53,1003.2,1079.27,1146.05,1081.41,1156.61,,1172
2020-09-14,978.35,945.1,964.12,1031.75,1050.15,1215.25,1157.98,1157.06,,1172
2020-09-15,960.81,959.23,984.49,1040.82,963.98,1191.06,1120.01,1187.99,,1172
2020-09-16,963.65,914.12,966.12,912.01,985.49,1241.86,1086.19,1053.44,,1172
2020-09-17,975.42,978.59,943.95,1020.64,1071.72,1218.56,1113.55,1026.25,,1172
2020-09-18,948.27,967.02,984.23,1078.91,989.31,1203.84,1072.62,1019.86,,1172
2020-09-19,943.06,979.65,1011.67,1055.05,1085.45,1139.63,966.61,1040.51,,1172
