CCAA,2021,2020,2018,2017,2015,2014,2012,2009,2005,2000,1999
01 Andalucía,12175,13723,12481,11752,12386,11206,12363,10788,11597,10111,11035
02 Aragón,1977,2773,2394,2230,2481,2276,2437,2191,2442,2116,2229
03 Principado\nAsturias,2172,2614,2336,2134,2307,2122,2295,2156,2251,2071,2121
04 Illes\nBalears,1307,1576,1478,1395,1496,1363,1473,1356,1322,1186,1298
05 Canarias,2757,2855,2880,2633,2815,2626,2600,2301,2134,2055,2143
06 Cantabria,711,1010,1029,949,1049,951,1071,1016,952,934,883
07 Castilla\ny León,3522,7370,5306,4735,4967,4643,4994,4621,4976,4182,4435
08 Castilla\nLa Mancha,2888,8348,3420,3175,3282,3155,3382,2977,3135,2809,3038
09 Cataluña,11232,22355,11443,10570,11294,10333,11401,9898,10377,9051,9537
10 Comunitat\nValenciana,6943,9216,7888,7171,7451,7014,7499,6769,7160,6007,6724
11 Extremadura,1624,2442,2084,1898,2028,1917,2110,1838,2027,1725,1866
12 Galicia,5235,6000,5891,5433,5638,5150,5602,5068,5326,4811,5213
13 Comunidad\nde Madrid,7262,20833,8108,7619,7678,7304,7518,6838,7137,6239,6273
14 Región\nde Murcia,1814,2045,1942,1849,1878,1709,1900,1694,1759,1510,1639
15 Comunidad\nForal de Navarra,917,1647,1032,940,1051,863,953,843,886,784,767
16 País Vasco,3507,5230,3873,3475,3832,3455,3610,3304,3400,3041,3127
17 La Rioja,421,685,607,472,530,483,542,475,452,395,460
18 Ceuta\n19 Melilla,189,202,167,178,182,175,169,170,156,143,144
