CCAA,1999,2000,2005,2009,2012,2014,2015,2017,2018,2020,2021
01 Andalucía,11035,10111,11597,10788,12363,11206,12386,11752,12481,13723,12592
02 Aragón,2229,2116,2442,2191,2437,2276,2481,2230,2394,2773,2040
03 Principado\nAsturias,2121,2071,2251,2156,2295,2122,2307,2134,2336,2614,2197
04 Illes\nBalears,1298,1186,1322,1356,1473,1363,1496,1395,1478,1576,1353
05 Canarias,2143,2055,2134,2301,2600,2626,2815,2633,2880,2855,2853
06 Cantabria,883,934,952,1016,1071,951,1049,949,1029,1010,751
07 Castilla\ny León,4435,4182,4976,4621,4994,4643,4967,4735,5306,7370,3639
08 Castilla\nLa Mancha,3038,2809,3135,2977,3382,3155,3282,3175,3420,8348,2900
09 Cataluña,9537,9051,10377,9898,11401,10333,11294,10570,11443,22355,11077
10 Comunitat\nValenciana,6724,6007,7160,6769,7499,7014,7451,7171,7888,9216,7177
11 Extremadura,1866,1725,2027,1838,2110,1917,2028,1898,2084,2442,1651
12 Galicia,5213,4811,5326,5068,5602,5150,5638,5433,5891,6000,5388
13 Comunidad\nde Madrid,6273,6239,7137,6838,7518,7304,7678,7619,8108,20833,7259
14 Región\nde Murcia,1639,1510,1759,1694,1900,1709,1878,1849,1942,2045,1879
15 Comunidad\nForal de Navarra,767,784,886,843,953,863,1051,940,1032,1647,950
16 País Vasco,3127,3041,3400,3304,3610,3455,3832,3475,3873,5230,3615
17 La Rioja,460,395,452,475,542,483,530,472,607,685,430
18 Ceuta\n19 Melilla,193,202,167,178,182,175,169,170,156,143,144
