Pais;% enfermeres per cada 1000 habitants
Norway;17.49
Switzerland;17.02
Iceland;14.22
Germany;12.84
Luxembourg;11.72
United States;11.61
Australia;11.57
Ireland;11.56
Japan;11.34
Belgium;10.96
Sweden;10.9
New Zealand;10.28
France;10.21
Denmark;9.95
Canada;9.91
Slovenia;9.65
Russia;8.46
Czech Republic;8.07
United Kingdom;7.88
Lithuania;7.7
South Korea;6.8
Austria;6.77
Italy;6.54
Portugal;6.47
Hungary;6.44
Estonia;6.1
Slovakia;5.74
Spain;5.51
Poland;5.16
Israel;4.99
Latvia;4.64
Greece;3.25
Mexico;2.9
China;2.5
Turkey;1.93
India;1.5
South Africa;1.32
Colombia;1.21
