Pais;% metges per cada 1000 habitants;Year
Australia;3.75;2018
Austria;5.24;2018
Belgium;3.13;2018
Brazil;1.82;2010
Canada;2.8;2019
Switzerland;4.34;2018
China;1.99;2017
Colombia;2.18;2018
Czech Republic;4.04;2018
Germany;4.31;2018
Denmark;4.19;2018
Spain;4.02;2018
Estonia;3.48;2018
Finland;3.21;2014
France;3.37;2018
United Kingdom;2.95;2019
Hungary;3.38;2018
Indonesia;0.32;2013
India;0.78;2017
Ireland;3.34;2019
Iceland;3.93;2019
Israel;3.22;2018
Italy;4.02;2019
Japan;2.49;2018
South Korea;2.39;2018
Lithuania;4.6;2018
Luxembourg;2.98;2017
Latvia;3.3;2018
Mexico;2.44;2018
Netherlands;3.31;2013
Norway;4.93;2019
New Zealand;3.35;2018
Poland;2.38;2017
Russia;4.09;2018
Slovakia;3.52;2018
Slovenia;3.18;2018
Sweden;4.27;2017
Turkey;1.88;2018
United States;2.61;2018
South Africa;0.78;2015
