Pais;% of hospital beds per 1000 inhabitants;Year
Australia;3.84;2016
Austria;7.27;2018
Belgium;5.58;2019
Brazil;2.3;2012
Canada;2.52;2019
Switzerland;4.63;2018
Chile;2.06;2018
China;4.31;2017
Colombia;1.71;2018
Costa Rica;1.1;2019
Czech Republic;6.62;2018
Germany;8;2017
Denmark;2.6;2019
Spain;2.97;2018
Estonia;4.57;2018
Finland;3.61;2018
France;5.91;2018
United Kingdom;2.46;2019
Greece;4.2;2018
Hungary;7.01;2018
Indonesia;1.04;2017
India;0.53;2017
Ireland;2.97;2018
Iceland;2.83;2019
Israel;2.98;2018
Italy;3.14;2018
Japan;12.98;2018
South Korea;12.43;2018
Lithuania;6.43;2018
Luxembourg;4.26;2019
Latvia;5.49;2018
Mexico;0.98;2018
Netherlands;3.17;2018
Norway;3.53;2018
New Zealand;2.57;2019
Poland;6.54;2018
Portugal;3.45;2018
Russia;7.12;2018
Slovakia;5.7;2018
Slovenia;4.43;2018
Sweden;2.14;2018
Turkey;2.85;2018
United States;2.87;2017
South Africa;2.3;2010
